ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Artificial respiration,,ಕೃತಕ ಉಸಿರಾಟ,,,,,,,
,,Asbestos gloves,,ಕಲ್ನಾರಿನ ಕೈಗವಸುಗಳು,,,,,,,
,,Asbestos suit,,ಕಲ್ನಾರಿನ ಸೂಟು / ಉಡುಪು,,,,,,,
,,Assistant sub-officer,,ಸಹಾಯಕ ಉಪ ಅಧಿಕಾರಿ,,,,,,,
,,Authority,,1. ಅಧಿಕಾರ 2. ಅಧಿಕಾರಿ 3 ಪ್ರಾಧಿಕಾರ,,,,,,,
,,Axe,,ಕೊಡಲಿ,,,,,,,
,,Backfire,,ಬ್ಯಾಕ್‌ ಫಯರ್‌ ; ಹಿಂಬೆಂಕಿ ; ಹಿಂದಕ್ಕೆ ಬಂದು ಹತ್ತಿಕೊಳ್ಳುವ ಬೆಂಕಿ,,,,,,,
,,Back pressure,,ಹಿಮ್ಮುಖ ಒತ್ತಡ,,,,,,,
,,Badge of rank,,ಶ್ರೇಣೀ ಸೂಚಕ ಬಿಲ್ಲೆ / ಲಾಂಛನ,,,,,,,
,,Bale,,ಬೇಲ್‌; ಪಿಂಡಿ; ಮೂಟೆ,,,,,,,
,,Basement,,1. ಕಟ್ಟಡದ ತಳಹದಿ 2. ನೆಲಮಾಳಿಗೆ,,,,,,,
,,Battery,,ಬ್ಯಾಟರಿ ; ವಿದ್ಯುತ್ಕೋಶ,,,,,,,
,,Battery charger,,ಬ್ಯಾಟರಿ ಚಾರ್ಜರ್‌ ; ವಿದ್ಯುತ್ಕೋಶ ಪೂರಕ,,,,,,,
,,Bench vise,,"ಬೆಂಚ್‌ವೈಜ್‌ ; ಬೆಂಚಿನ ಮೇಲೆ ಅಳವಡಿಸಿರುವ, ಗಟ್ಟಿಯಾಗಿ ಹಿಡಿದು ಕೊಳ್ಳುವ ಸಾಧನ",,,,,,,
,,Benevolent fund,,ಧರ್ಮಾರ್ಥ / ಸಹಾಯಾರ್ಥ ನಿಧಿ,,,,,,,
,,Bill book,,ಬಿಲ್‌ಬುಕ್‌; ದೇಯಕ ಪುಸ್ತಕ,,,,,,,
,,Bill hook,,ಮಚ್ಚು; ಕುಡುಗೋಲು,,,,,,,
,,Bitumen,,ಬಿಟ್ಯುಮನ್‌ ; ಒಂದು ಬಗೆಯ ಗಟ್ಟಿ ಡಾಂಬರು,,,,,,,
,,Blinking light,,(ಎಚ್ಚರಿಕೆ ಕೊಡುವ) ಮಿಣುಕುದೀಪ,,,,,,,
,,Boiler,,ಬಾಯ್ಲರ್; ಕುದಿಪಾತ್ರೆ; ಕುದಿಹಂಡೆ,,,,,,,
,,Boil over,,ಕುದಿದು ಉಕ್ಕು; ಉಕ್ಕಿ ಹರಿ,,,,,,,
,,Bolt,,"ಬೋಲ್ಡ್‌, ಹೊರ ತಿರುಪು ಮೊಳೆ",,,,,,,
,,Bonnet,,ಹೊಗೆಕೊಳವೆಯ ಟೋಪಿ ; ಚಿಮಣಿಟೋಪಿ,,,,,,,
,,Booster,,"ಬೂಸ್ಟರ್‌; ಬಲವರ್ಧಕ; ಯಂತ್ರ ಮೊ.ಗಳಿಗೆ ಹೆಚ್ಚುಶಕ್ತಿ, ಒತ್ತಡ, ನೂಕುಬಲ ಮೊ.ವನ್ನು ಒದಗಿಸುವ ಸಲಕರಣೆ",,,,,,,
,,Brake booster assembly,,ಬ್ರೇಕ್‌ ಬಲವರ್ಧಕ ಜೋಡಣೆ,,,,,,,
,,Brake light,,ಬ್ರೇಕ್‌ ಲೈಟ್‌; ತಡೆಸೂಚಕ ದೀಪ,,,,,,,
,,Brake lining,,ಬ್ರೇಕ್‌ ಲೈನಿಂಗ್‌; ಬಿರಿಪಟ್ಟಿ ; ಚಕ್ರ ಮೊ.ಗಳ ಚಲನೆಯನ್ನು ತಗ್ಗಿಸುವುದಕ್ಕಾಗಿ ಯಾ ನಿಲ್ಲಿಸುವುದಕ್ಕಾಗಿ ಬ್ರೇಕ್‌ಶೂನ ಘರ್ಷಣೆಯನ್ನು ಹೆಚ್ಚಿಸಲು ಅಂಟಿಸಿದ ಕಲ್ನಾರು ಮೊ.ಗಳಿಂದ ಮಾಡಿದ ಪಟ್ಟಿ,,,,,,,
,,Brake master cylinder,,ಬ್ರೇಕ್‌ ಮುಖ್ಯ ಉರುಳೆ,,,,,,,
,,Breaching,,ಭಂಗಪಡಿಸುವಿಕೆ,,,,,,,
,,Break down,,1. ನಿಂತು ಹೋಗು 2. ನಿಂತುಹೋಗುವಿಕೆ,,,,,,,
,,Breathing apparatus,,ಉಸಿರಾಟದ ಉಪಕರಣ,,,,,,,
,,Brief description,,ಸಂಕ್ಷಿಪ್ತ ನಿರೂಪಣೆ,,,,,,,
,,Building depth,,ಕಟ್ಟಡದ ಆಳ,,,,,,,
,,Bumper,,ಬಂಪರ್‌; ಎಗುರುತಡೆ; ಹೊಡೆತಡೆ,,,,,,,
,,Bumper bars,,ಬಂಪರ್‌ ಪಟ್ಟಿಗಳು,,,,,,,
,,Cadre and recruitment rules,,ಪದವೃಂದ ಮತ್ತು ನೌಕರಿಭರ್ತಿ ನಿಯಮಗಳು,,,,,,,
,,Calendar year,,ಕ್ಯಾಲೆಂಡರ್‌ ವರ್ಷ,,,,,,,
,,Canvas bucket,,ಕ್ಯಾನ್‌ವಾಸ್‌ ಬಕೆಟ್‌,,,,,,,
,,Canvassing,,ಪ್ರಚಾರಮಾಡುವುದು,,,,,,,
,,Cap-assembly,,ಮುಚ್ಚಳ ಜೋಡಣೆ,,,,,,,
,,Carburettor,,"ಕಾರ್ಬ್ಯುರೇಟರ್‌; ಸಾ. ಮೋಟಾರು ವಾಹನಗಳಲ್ಲಿ, ಗಾಳಿಯನ್ನು ಪೆಟ್ರೋಲ್‌ ಆವಿಯೊಂದಿಗೆ ಬೆರಸಿ ಎಂಜಿನ್ನಿಗೆ ಒದಗಿಸುವ ಉಪಕರಣ",,,,,,,
,,Care and maintenance of appliances,,ಉಪಕರಣಗಳ ರಕ್ಷಣೆ ಮತ್ತು ನಿರ್ವಹಣೆ,,,,,,,
,,Carrying handle,,ಒಯ್ಯುವ ಹಿಡಿ,,,,,,,
,,Cash book,,ನಗದುಪುಸ್ತಕ,,,,,,,
,,Casuality,,1. ಅಪಘಾತ 2. ಗಾಯಗೊಂಡ ಯಾ ಸತ್ತ ವ್ಯಕ್ತಿ,,,,,,,
,,Catechism,,ಕ್ಯಾಟಕಿ ಜಮ್‌; ಪ್ರಶ್ನೋತ್ತರ ಪಾಠ; ಪ್ರಶ್ನೋತ್ತರ ಶಿಕ್ಷಣ,,,,,,,
,,Caution money,,ಮುಂಜಾಗ್ರತಾ ಹಣ,,,,,,,
,,Censure,,1. ಖಂಡಿಸು ನಿಂದಿಸು 2. ಖಂಡನೆ; ನಿಂದನೆ 3. ವಿರುದ್ಧ ತೀರ್ಪು,,,,,,,
,,Central fire control room,,ಕೇಂದ್ರ: ಅಗ್ನಿನಿಯಂತ್ರಣ ಕೊಠಡಿ,,,,,,,
,,Centrifugal pump,,ಸೆಂಟ್ರಫ್ಯೂಗಲ್‌ ಪಂಪ್‌; ಕೇಂದ್ರಾಪಗಾಮಿ ಪಂಪು,,,,,,,
,,Ceremonial dress,,ಶಿಷ್ಟಾಚಾರದ / ವಿಧ್ಯುಕ್ತವಾದ ಉಡುಪು,,,,,,,
,,Ceremonial parade,,ಶಿಷ್ಟಾಚಾರದ ಕವಾಯತು,,,,,,,
,,Chain reaction,,ಸರಣಿಕ್ರಿಯೆ,,,,,,,
,,Chain saw,,ಸರಪಳಿ ಗರಗಸ,,,,,,,
,,Change of watch,,ಪಹರೆ / ಕಾವಲು ಬದಲಾವಣೆ,,,,,,,
,,Charge memo,,ದೋಷಾರೋಪಣ ಜ್ಞಾಪನಪತ್ರ,,,,,,,
,,Charitable purpose,,ಧಾರ್ಮಿಕ ಉದ್ದೇಶ,,,,,,,
,,Chemical foam,,ರಾಸಾಯನಿಕ ನೊರೆ,,,,,,,
,,Chief fire officer,,ಮುಖ್ಯಅಗ್ನಿಶಾಮಕ ಅಧಿಕಾರಿ,,,,,,,
,,Chief instructor,,ಮುಖ್ಯಬೋಧಕ,,,,,,,
,,Choke,,ಉಸಿರು ಕಟ್ಟಿಸು; ಶ್ವಾಸಕಟ್ಟಿಸು,,,,,,,
,,Chute,,ಶೂಟ್‌; ಇಳಿಗಾಲುವೆ; ಜಾರುದಾರಿ,,,,,,,
,,Cinema inspection form,,ಸಿನಿಮಾ ಪರಿಶೀಲನ ನಮೂನೆ,,,,,,,
,,Cinema regulation act,,ಸಿನಿಮಾ ನಿಯಂತ್ರಣ ಅಧಿನಿಯಮ,,,,,,,
,,Circular saw,,ಸುತ್ತು ಗರಗಸ:,,,,,,,
,,Cistern,,1. ನೀರುತೊಟ್ಟಿ; ಟ್ಯಾಂಕು 2. ಕೆರೆ; ಜಲಾಶಯ,,,,,,,
,,Classification of fire,,ಬೆಂಕಿಯ ವರ್ಗೀಕರಣ.,,,,,,,
,,Clean air,,ಶುದ್ಧವಾಯು; ನಿರ್ಮಲಗಾಳಿ,,,,,,,
,,Clean vehicles,,ಶುಭ್ರವಾಹನಗಳು,,,,,,,
,,Co2 extinguisher (carbon dioxide extinguisher),,ಸಿ ಓ 2 ಅಗ್ನಿನಂದಿಗೆ (ಕಾರ್ಬನ್‌ ಡೈಆಕ್ಸೈಡ್‌ ಅಗ್ನಿನಂದಿಗೆ),,,,,,,
,,Collapsed buildings,,ಕುಸಿದು ಬಿದ್ದ ಕಟ್ಟಡಗಳು,,,,,,,
,,Collecting head,,ಕಲೆಕ್ಟಿಂಗ್‌ ಹೆಡ್‌ ; ನೀರು ಶೇಖರಿಸುವ ಮೂತಿ,,,,,,,
,,Combustibility,,ದಾಹ್ಯತೆ; ದಹನಶೀಲತೆ,,,,,,,
,,Combustible materials,,ದಹನ / ಉರಿಯುವ ಸಾಮಗ್ರಿಗಳು,,,,,,,
,,Combustion,,ದಹನ; ಉರಿಯುವುದು,,,,,,,
,,Commandant general of civil defence and Director of fire services,,ಪೌರರಕ್ಷಣೆಯ ಕಮಾಂಡೆಂಟ್‌ ಜನರಲ್‌ ಮತ್ತು ಅಗ್ನಿಶಾಮಕ ಸೇವೆಗಳ ನಿರ್ದೇಶಕ,,,,,,,
,,Comment,,1. ಟೀಕಿಸು; ವ್ಯಾಖ್ಯಾನಿಸು 2. ಟೀಕೆ; ವ್ಯಾಖ್ಯಾನ,,,,,,,
,,Commercial establishment,,ವಾಣಿಜ್ಯಸಂಸ್ಥೆ,,,,,,,
,,Commutator,,ಕಾಮ್ಯುಟೀಟರ್‌; ವಿದ್ಯುತ್‌ಪರಿವರ್ತಕ; ವಿದ್ಯುತ್‌ಪ್ರವಾಹದ ದಿಕ್ಕನ್ನು ಬದಲಾಯಿಸುವ ಉಪಕರಣ,,,,,,,
,,Competent authority,,ಸಕ್ಷಮ ಅಧಿಕಾರಿ,,,,,,,
,,Completion report.,,ಸಮಾಪನ / ಮುಕ್ತಾಯ ವರದಿ,,,,,,,
,,Compulsory retirement,,ಕಡ್ಡಾಯ ನಿವೃತ್ತಿ,,,,,,,
,,Condemned,,ನಿಷ್ಪ್ರಯೋಜಕ,,,,,,,
,,Condemned and unserviceable article,,ನಿಷ್ಪ್ರಯೋಜಕ ಮತ್ತು ನಿರುಪಯುಕ್ತ ವಸ್ತುಗಳು,,,,,,,
,,Condemned article :,,ನಿಷ್ಪ್ರಯೋಜಕ ವಸ್ತು,,,,,,,
,,Condenser,,"1. ವಿದ್ಯುತ್‌ ಸಂಗ್ರಾಹಕ 2, ಸಾಂದ್ರೀಕರಿಸುವ ಯಂತ್ರ",,,,,,,
,,Conditions of service and duties,,ಸೇವಾ ಮತ್ತು ಕರ್ತವ್ಯಗಳ ಷರತ್ತುಗಳು,,,,,,,
,,Conduct and discipline,,ನಡತೆ ಮತ್ತು ಶಿಸ್ತು,,,,,,,
,,Conference,,1. ಸಮಾಲೋಚನೆ 2. ಸಮ್ಮೇಳನ,,,,,,,
,,Confer,,1. ಸಮಾಲೋಚಿಸು 2. ಪ್ರದಾನ ಮಾಡು,,,,,,,
,,Confirm,,ಸ್ಥಿರಪಡಿಸು; ದೃಢಪಡಿಸು,,,,,,,
,,Conical shape,,ಶಂಕುವಿನ ಆಕೃತಿ; ಅಡಿಯಲ್ಲಿ ಅಗಲವಾಗಿದ್ದು ತುದಿಯಲ್ಲಿ ಚೂಪಾಗಿರುವ ಆಕೃತಿ,,,,,,,
,,Consumption of water,,ನೀರಿನ ಬಳಕೆ,,,,,,,
,,Container,,ಧಾರಕ; ಶೇಖರಣ ಪಾತ್ರೆ,,,,,,,
,,Contents,,1. ಒಳಗಿರುವ ವಸ್ತುಗಳು 2. ವಿಷಯಸೂಚಿ,,,,,,,
,,Contingent voucher,,ಸಾದಿಲ್ವಾರು ರಸೀದಿ,,,,,,,
,,Control equipment,,ನಿಯಂತ್ರಣ ಸಾಧನ ಸಾಮಗ್ರಿ,,,,,,,
,,Control room,,ಕಂಟ್ರೋಲ್‌ ರೂಮ್‌; ನಿಯಂತ್ರಣ ಕೊಠಡಿ,,,,,,,
,,Conviction,,1. ಅಪರಾಧ ನಿರ್ಣಯ; ಅಪರಾಧಿಯೆಂದು ತೀರ್ಮಾನಿಸುವುದು 2. ಮನೋನಿಶ್ಚಯ ; ಗಾಢನಂಬಿಕೆ,,,,,,,
,,Cooling system,,ಶೈತ್ಯವ್ಯೂಹ; ಶೀತಕಮಂಡಲ; ಶಾಖವನ್ನು ಕಡಿಮೆ ಮಾಡುವ ಸಾಧನ ಸಮೂಹ,,,,,,,
,,Copper branch,,ಕಾಪರ್‌ಬ್ರಾಂಚ್‌; ತಾಮ್ರದ ಜಲವೇಗವರ್ಧಕ; ನೀರ್ಕೊಳವೆಗೆ ಜೋಡಿಸುವ ತಾಮ್ರದಿಂದ ಮಾಡಿದ ಮೂತಿ,,,,,,,
,,Correct preference,,ಸರಿಯಾದ ಆದ್ಯತೆ,,,,,,,
,,Corresponding entries,,ಸಂವಾದಿ ದಾಖಲೆಗಳು,,,,,,,
,,Cost of replacement,,ಪುನಃಸ್ಥಾಪನ ವೆಚ್ಚ,,,,,,,
,,Countersign,,ಪ್ರತಿಹಸ್ತಾಕ್ಷರ / ಮೇಲುರುಜು(ಮಾಡು),,,,,,,
,,Courtyard,,ಪ್ರಾಂಗಣ;ಅಂಗಳ,,,,,,,
,,Crash fire tender,,ಕ್ರ್ಯಾಶ್‌ ಫೈಯರ್‌ ಟೆಂಡರ್‌; ರಭಸದಿಂದ ಚಲಿಸುವ ಮತ್ತು ಕೆಲಸಮಾಡುವ ಅಗ್ನಿಶಮನ ಯಂತ್ರ,,,,,,,
,,Credit,,1. ಜಮಾ ಮಾಡು 2. ಜಮೆ,,,,,,,
,,Crew,,ತಂಡ;ಗುಂಪು,,,,,,,
,,Criminal court,,ಕ್ರಿಮಿನಲ್‌ ಕೋರ್ಟ್‌ / ನ್ಯಾಯಾಲಯ,,,,,,,
,,Cross-belt,,ಅಡ್ಡಪಟ್ಟಿ,,,,,,,
,,Cross-examination,,ಅಡ್ಡ. ವಿಚಾರಣೆ; ಪಾಟೀಸವಾಲು,,,,,,,
,,Crow bar,,ಹಾರೆ;ಹಾರೆಕೋಲು,,,,,,,
,,Current driving licence,,ಚಾಲ್ತಿ ಚಾಲನ ಲೈಸೆನ್ಸು,,,,,,,
,,Curtain branch,,ಕರ್ಟನ್‌ ಬ್ರಾಂಚ್‌; ಪರದೆ ರೀತಿಯಲ್ಲಿ ನೀರನ್ನು ಹೊರಚಿಲ್ಲುವ ಚಲವೇಗ ವ್ರರ್ಧಕ,,,,,,,
,,Custody and issue,,ಅಭಿರಕ್ಷೆ ಮತ್ತು ನೀಡಿಕೆ,,,,,,,
,,Cylinder head,,ಸಿಲಿಂಡರ್‌ ಹೆಡ್‌; ಹಬೆ ಯಾ ದ್ರವದ ಕ್ರಿಯೆಯಿಂದ ಪಿಸ್ಟನ್‌ ಮೊದಲಾದವು ಹಿಂದಕ್ಕೂ ಮುಂದಕ್ಕೂ ಆಡುವ ಕೋಷ್ಠದ ಮೇಲ್ಭಾಗ,,,,,,,
,,Daily administration,,ದೈನಂದಿನ ಆಡಳಿತ,,,,,,,
,,Daily report of station,,ಠಾಣೆಯ ದೈನಂದಿನ ವರದಿ,,,,,,,
,,DCP extinguisher (dry chemical powder extinguisher),,ಡಿಸಿಪಿ ಆಗ್ನಿನಂದಿಗೆ (ಒಣ ರಾಸಾಯನಿಕ ಪುಡಿ ನಂದಿಗೆ),,,,,,,
,,Dead end,,"(ರಸ್ತೆ, ಕೊಳವೆ, ಮೊ.ವಿಷಯದಲ್ಲಿ) ನಿಲುಕೊನೆ / ತುದಿ",,,,,,,
,,Defaulter,,1. ತಪ್ಪಿತಸ್ಥ 2. ಸುಸ್ತಿದಾರ; ಬಾಕಿದಾರ,,,,,,,
,,Defect,,ದೋಷ; ನ್ಯೂನತೆ,,,,,,,
,,Defects report,,ನ್ಯೂನತೆಗಳ ವರದಿ,,,,,,,
,,Defence document,,ಪ್ರತಿ ರಕ್ಷಾ ದಸ್ತಾವೇಜು,,,,,,,
,,Defence witness,,ಪ್ರತಿ ರಕ್ಷಾ ಸಾಕ್ಷಿ,,,,,,,
,,Deficiency,,ಕೊರತೆ; ನ್ಯೂನತೆ; ಅಪೂರ್ಣಶೆ,,,,,,,
,,Deficit budget,,ಖೋತಾ ಆಯವ್ಯಯ; ಕೊರತೆ ಮುಂಗಡಪತ್ರ,,,,,,,
,,Deliberate,,ಉದ್ದೇಶಪೂರ್ವಕ; ಬುದ್ಧಿ ಪೂರ್ವಕ,,,,,,,
,,Deliberately,,ಉದ್ದೇಶಪೂರ್ವಕವಾಗಿ; ಬುದ್ಧಿ ಪೂರ್ವಕವಾಗಿ,,,,,,,
,,Delivery hose,,ಡೆಲಿವರಿ ಹೋಜ್‌ ; ನಿರ್ಗಮ ಕೊಳವೆ ; ರೇಚಕದಿಂದ ನೀರು ಹೊರಹೋಗುವ ಕೊಳವೆ,,,,,,,
,,Delivery pressure,,ನಿರ್ಗಮ ಒತ್ತಡ; ರವಾನೆಯ ಒತ್ತಡ,,,,,,,
,,Demonstrator,,ಪ್ರದರ್ಶಕ; ತೋರಿಸುವವನು,,,,,,,
,,Denatured spirit,,ಡಿನೇಚರ್ಡ್‌ ಸ್ಟಿರಿಟ್‌; ಸ್ಟಾಭಾವಿಕ ಗುಣ ಕಳೆದುಕೊಂಡ ಮದ್ಯಸಾರ,,,,,,,
,,Departmental enquiry,,ಇಲಾಖಾ ವಿಚಾರಣೆ,,,,,,,
,,Departmental order,,ಇಲಾಖಾ ಆದೇಶ,,,,,,,
,,Departmental proceedings,,ಇಲಾಖಾ ವ್ಯವಹರಣೆಗಳು,,,,,,,
,,Deputy director (technical),,ಉಪನಿರ್ದೇಶಕ (ತಾಂತ್ರಿಕ),,,,,,,
,,Desertion,,ಬಿಟ್ಟುಹೋಗುವುದು / ಪರಿತ್ಯಜಿಸುವುದು,,,,,,,
,,Deserving,,ಅರ್ಹ; ತಕ್ಕ; ಯೋಗ್ಯ,,,,,,,
,,Destruction register,,ನಾಶನ ರೆಜಿಸ್ಟರು ; ಹಾಳುಮಾಡಿದ ಯಾ ಮಾಡುವ ವಸ್ತುಗಳ ನೊಂದಣಿ ಪುಸ್ತಕ,,,,,,,
,,Detached cable,,ಬೇರ್ಪಟ್ಟ ಕಡಲತಂತಿ,,,,,,,
,,Detention,,1. ತಡೆಯುವುದು; ನಿಯಂತ್ರಿಸುವುದು 2. ಸೆರೆ; ಬಂಧನ 3. ಸ್ಥಾನಬದ್ಧತೆ,,,,,,,
,,Detention of fire,,ಬೆಂಕಿ ನಿಯಂತ್ರಿಸುವುದು,,,,,,,
,,Devotion to duty,,ಕರ್ತವ್ಯನಿಷ್ಠೆ,,,,,,,
,,Dial gauge,,ಡೈಯಲ್‌ ಗೇಜ್‌ ; ಮಾಪನ ಸೂಚಕ ಫಲಕ,,,,,,,
,,Direct cooling,,ನೇರವಾಗಿ ತಣಿಸುವುದು,,,,,,,
,,Disburse,,ಹಣ ಪಾವತಿಮಾಡು / ಬಟವಾಡೆಮಾಡು,,,,,,,
,,Disciplinary authority,,1. ಶಿಸ್ತು ಪ್ರಾಧಿಕಾರ 2. ಶಿಸ್ತುಪ್ರಾಧಿಕಾರಿ,,,,,,,
,,Dismantled delivery valves,,ಕಳಚಿ ಹಾಕಿದ ನಿರ್ಗಮಕವಾಟಗಳು,,,,,,,
,,Disposal,,ವಿಲೇವಾರಿ; ಇತ್ಯರ್ಥ,,,,,,,
,,Disposition board,,ಡಿಸ್‌ಪೊಜೆಶನ್‌ ಬೋರ್ಡ್‌; ಏರ್ಪಾಟು ಸೂಚನಾ ಫಲಕ; ದೈನಂದಿನ ಕರ್ತವ್ಯದ ಏರ್ಪಾಡುಗಳನ್ನು ಸೂಚಿಸುವ ಹಲಗೆ,,,,,,,
