ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Addendum,,ಅನುಬಂಧ,,,,,,,
,,Address,,ವಿಳಾಸ,,,,,,,
,,Achesive,,"ಅಂಟು ಪದಾರ್ಥ, ಅಂಟು",,,,,,,
,,Adhesive coated films,,ಅಂಟು ಲೇಪಿತ ಫಿಲ್ಮ್,,,,,,,
,,Adhesives and chemicals,,ಅಂಟುಪದಾರ್ಥಗಳು ಮತ್ತು ರಸಾಯನಿಕ ಪದಾರ್ಥಗಳು,,,,,,,
,,Ad hoc committee Report,,ತದರ್ಥ ಸಮಿತಿ ವರದಿ,,,,,,,
,,Adjustable shelf,,ಹೊಂದಿಕೊಳ್ಳುವ ಕಪಾಟು,,,,,,,
,,Administrative Archives,,ಆಡಳಿತ ಪತ್ರಾಗಾರ,,,,,,,
,,Administrative Unit,,ಆಡಳಿತ ಘಟಕ,,,,,,,
,,Advertisement file,,ಜಾಹೀರಾತು ಕಡತ,,,,,,,
,,Aerial Map,,ಅಂತರಿಕ್ಷ ನಕ್ಷೆ ; ಸ್ಥೂಲ ನಕ್ಷೆ,,,,,,,
,,Aerial Photograph,,ಅಂತರಿಕ್ಷ ಛಾಯಾಚಿತ್ರ,,,,,,,
,,Aero film survey,,ಅಂತರಿಕ್ಷ ಚಲನಚಿತ್ರ ಸಮೀಕ್ಷೆ,,,,,,,
,,Affected document,,ಹಾನಿಗೊಂಡ ದಸ್ತಾವೇಜು,,,,,,,
,,Agate,,"ಅಗೇಟು, ಒಂದು ಕೆಂಪು ಮೃದುಶಿಲೆ",,,,,,,
,,Agency,,"ಏಜೆನ್ಸಿ, ನಿಯೋಗ; ಮಧ್ಯವರ್ತಿ",,,,,,,
,,Aggressive admixture,,ಆಕ್ರಮಣಕಾರಿ ಮಿಶ್ರಣ,,,,,,,
,,Aids,,ಸಾಧನಗಳು,,,,,,,
,,Air circulation,,ವಾಯು ಪ್ರಸರಣ,,,,,,,
,,Air conditioning,,ಹವಾ ನಿಯಂತ್ರಣ,,,,,,,
,,Air dried,,ಗಾಳಿಯಲ್ಲಿ ಆರಿದ,,,,,,,
,,Air purification plant,,ವಾಯು ಶುದ್ಧೀಕರಣ ಸ್ಥಾವರ,,,,,,,
,,Airtight steel cupboard,,ವಾಯು ನಿರೋಧ ಉಕ್ಕಿನ ಅಲಮಾರು,,,,,,,
,,Album,,"ಆಲ್ಬಂ, ಚಿತ್ರಸಂಪುಟ",,,,,,,
,,Alcohol,,ಮಧ್ಯಸಾರ,,,,,,,
,,Aldine,,ಆಲ್ಡೈನ್ ಅಕ್ಷರ ; ಆಲ್ಡೈನ್ ಅಕ್ಷರ ಮುದ್ರಿತ ಪುಸ್ತಕ,,,,,,,
,,Alkaline wash,,ಕ್ಷಾರೀಯ ತೊಳೆತ,,,,,,,
,,Allocation,,ಹಂಚಿಕೆ,,,,,,,
,,All-over style,,ಪುಸ್ತಕಾಲಂಕಾರದ ಒಂದು ಶೈಲಿ,,,,,,,
,,Almirah,,"ಆಲಮಾರು, ಬೀರು",,,,,,,
,,Alphabetical slip,,ಅಕಾರಾದಿ ಚೀಟಿ,,,,,,,
,,Alphabetic subject Catalogue,,ಅಕಾರಾದಿ ವಿಷಯ ವಿವರಣಪಟ್ಟಿ,,,,,,,
,,Alumed pig skin,,ಪಟಕೀಕರಿಸಿದ ಹಂದಿ ಚರ್ಮ,,,,,,,
,,Aluminium foil,,ಅಲ್ಯೂಮಿನಿಯಂ ತೆಳುಹಾಳೆ,,,,,,,
,,Aluminium plate,,ಅಲ್ಯೂಮಿನಿಯಂ ಫಲಕ,,,,,,,
,,Amendment,,ತಿದ್ದುಪಡಿ,,,,,,,
,,Amidal,,"ಆಮಿಡಾಲ್‌, ಒಂದು ರಾಸಾಯನಿಕ",,,,,,,
,,Analysis,,ವಿಶ್ಲೇಷಣೆ,,,,,,,
,,Analysis and Chemical Restoration,,ವಿಶ್ಲೇಷಣೆ ಮತ್ತು ರಾಸಾಯನಿಕ ಪುನಃ ಸ್ಥಾಪನೆ,,,,,,,
,,Analysis of Ink corrosion,,ಮಸಿನಾಶಕ ವಿಶ್ಲೇಷಣ,,,,,,,
,,Analytical booklet,,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಪುಸ್ತಿಕೆ,,,,,,,
,,Analytical facilities,,ವಿಶ್ಲೇಷಣಾತ್ಮಕ ಸೌಲಭ್ಯಗಳು,,,,,,,
,,Analytical Index,,ವಿಶ್ಲಷಣಾತ್ಮಕ ಸೂಚಿ,,,,,,,
,,Anastatic printing,,ಉಬ್ಬುಚಿತ್ರ ಮುದ್ರಣ,,,,,,,
,,Ancillary matter,,ಅನುಗತ ಪೂರಕ ವಿಷಯ,,,,,,,
,,Angle bracket,,ಕೋನ ಕಂಸ,,,,,,,
,,Angular mark,,ಕೋನ ಗುರುತು,,,,,,,
,,Annexure,,ಅನುಬಂಧ,,,,,,,
,,Annotations,,"ಟೀಕೆಗಳು, ವ್ಯಾಖ್ಯಾನಗಳು",,,,,,,
,,Annual Accounts,,ವಾರ್ಷಿಕ ಲೆಕ್ಕಪತ್ರ,,,,,,,
,,Annual File Series,,ವಾರ್ಷಿಕ ಕಡತ ಶ್ರೇಣಿ,,,,,,,
,,Annual Index,,ವಾರ್ಷಿಕ ಸೂಚಿ,,,,,,,
,,Annual Inspection,,ವಾರ್ಷಿಕ ತಪಾಸಣೆ,,,,,,,
,,Annual report,,ವಾರ್ಷಿಕ ವರದಿ,,,,,,,
,,Annual return,,ವಾರ್ಷಿಕ ಲೆಕ್ಕ ವಿವರಣೆ,,,,,,,
,,Antiquarian,,ಪ್ರಾಚೀನಾನ್ವೇಷಕ,,,,,,,
,,Antiquarian Interest,,ಪ್ರಾಚೀನ ಅನ್ವೇಷಣ ಆಸಕ್ತಿ,,,,,,,
,,Antique,,ಜೀರ್ಣಾವಶೇಷ; ಒಂದು ವಿಧದ ಮುದ್ರಣಕಾಗದ,,,,,,,
,,Antique finish,,ಕೈಯಿಂದ ಮಾಡಿದ (ಹಳೆಯ) ಮುದ್ರಣ ಕಾಗದ,,,,,,,
,,Aplanat,,ಕಿರಣಾಪಸರಣ ರಹಿತ ಜೋಡಿ ಲೆನು,,,,,,,
,,Aplanatic,,ಕಿರಣಾಪಸರಣ ರಹಿತ,,,,,,,
,,Apochromat,,ವರ್ಣಾಪಸರಣ ರಹಿತ ಲೆನ್ಸು,,,,,,,
,,Apochromatic,,ವರ್ಣಾಪಸರಣ ರಹಿತ,,,,,,,
,,Apograph,,ಮೂಲ ಹಸ್ತಪ್ರತಿಯ ಪ್ರತಿ,,,,,,,
,,Apparent wax,,ತೋರಿಕೆಯ ಮೇಣ,,,,,,,
,,Appendix,,ಪರಿಶಿಷ್ಟ,,,,,,,
,,Apprenticeship index,,"ಅಭ್ಯಾಸ ಸೂಚಿ, ಕೆಲಸ ಕಲಿಕೆ ಸೂಚಿ",,,,,,,
,,Appropriation Accounts,,ವಿನಿಯೋಗ ಲೆಕ್ಕಪತ್ರ,,,,,,,
,,Aqueous solution Chemicals,,ಜಲರೂಪಿ ದ್ರಾವಣ ಅಥವಾ ರಾಸಾಯನಿಕಗಳು,,,,,,,
,,Arbee Laminator,,ಆರ್ ಬೀ ತಗಡುಹೊದಿಕೆ ಯಂತ್ರ ಆರ್ ಬೀ ತಗಡು ಸೀಳುವ ಯಂತ್ರ,,,,,,,
,,Archaeological society,,ಪುರಾತತ್ತ್ವ ಶಾಸ್ತ್ರ ಸಂಘ,,,,,,,
,,Archaeologist,,ಪುರಾತತ್ತ್ವ ಶಾಸ್ತ್ರಜ್ಞ,,,,,,,
,,Archaeology,,ಪುರಾತತ್ತ್ವಶಾಸ್ತ್ರ,,,,,,,
,,Architect,,ವಾಸ್ತುಶಿಲ್ಪಿ,,,,,,,
,,Archival,,ಪತ್ರಾಗಾರದ,,,,,,,
,,Archival Functions,,ಪತ್ರಾಗಾರ ಕಾರ್ಯಗಳು,,,,,,,
,,Archives,,ಪತ್ರಾಗಾರ; ಪತ್ರ ಮೊದಲಾದ ದಾಖಲೆಗಳು,,,,,,,
,,Archive Science,,ಪತ್ರಾಗಾರ ಶಾಸ್ತ್ರ,,,,,,,
,,Archives week,,ಪತ್ರಾಗಾರ ಸಪ್ತಾಹ,,,,,,,
,,Arch livist,,ಪತ್ರಪಾಲಕ,,,,,,,
,,Aristo paper,,ಶ್ರೇಷ್ಠ ದರ್ಜೆಯ ಛಾಯಾಚಿತ್ರ ಕಾಗದ,,,,,,,
,,Armarium,,ಒಂದು ಬಗೆಯ ಅಲಮಾರು,,,,,,,
,,Armenian bole,,"ಅರ್ಮಿನಿಯಾ ಕೆಮ್ಮಣ್ಣು, ಒಂದು ಔಷಧಯುಕ್ತ ಕೆಮ್ಮಣ್ಣು",,,,,,,
,,Arranged Records,,ಜೋಡಿಸಿದ ದಾಖಲೆಗಳು,,,,,,,
,,arrangement and Description,,ಜೋಡಣೆ ಮತ್ತು ವಿವರಣೆ,,,,,,,
,,Arrangement and Maintenance of files,,ಕಡತಗಳ ಜೋಡಣೆ ಮತ್ತು ನಿರ್ವಹಣೆ,,,,,,,
,,Arrow-headed characters,,ಶರ ಲಿಪಿ,,,,,,,
,,Art Canvas,,ರಟ್ಟು ಬಟ್ಟೆ,,,,,,,
,,Articulation,,ಜೋಡಿಸುವ ವಿಧಾನ,,,,,,,
,,Artificial ageing of paper,,ಕಾಗದವನ್ನು ಕೃತಕವಾಗಿ ಹಳೆಯದಾಗಿಸುವಿಕೆ,,,,,,,
,,Artificial light,,ಕೃತಕ ಬೆಳಕು,,,,,,,
,,Artistic manuscript,,ಕಲಾತ್ಮಕ ಹಸ್ತಪ್ರತಿ,,,,,,,
,,Art of book illumination,,ಪುಸ್ತಕಾಲಂಕರಣ ಕಲೆ,,,,,,,
,,Art paper,,ಆರ್ಟ್ ಕಾಗದ,,,,,,,
,,Art Vellum,,ಆರ್ಟ್‌ ವೆಲಮ್‌ ಕಲಾತ್ಮಕ ಚರ್ಮ ಕಾಗದ,,,,,,,
,,Association for computing machinery-ACM,,ಗಣಕ ಯಂತ್ರ ಸಂಘ,,,,,,,
,,Association of Genealogists and Record agents- AGRA,,ವಂಶಾವಳಿರಚಕ ಮತ್ತು ದಾಖಲೆ ಪ್ರತಿನಿಧಿಗಳ ಸಂಘ,,,,,,,
,,Atlas,,"ಆಟ್ಲಾಸು, ಭೂಪಟಗಳ ಪುಸ್ತಕ",,,,,,,
,,Atlas stand,,ಭೂಪಟ ಪ್ರಸ್ತಕ ನಿಲುವು,,,,,,,
,,Atomizer,,ತುಂತುರು ಯಂತ್ರ,,,,,,,
,,Audiotape,,ಧ್ವನಿ ಮುದ್ರಿತ ಟೇಪ್‌,,,,,,,
,,Audio-visual aids,,ಶ್ರವಣ-ದೃಶ್ಯ ಸಾಧನಗಳು,,,,,,,
,,Audio-visual archives,,ಶ್ರವಣ-ದೃಶ್ಯ ಪತ್ರಾಗಾರ,,,,,,,
,,Audit and appropriation report,,ಲೆಕ್ಕ ಪರಿಶೋಧನೆ ಮತ್ತು ವಿನಿಯೋಗ ವರದಿ,,,,,,,
,,Audited balance sheet,,ಲೆಕ್ಕಪರಿಶೋಧಿತ ಜಮಾಖರ್ಚು ಪಟ್ಟಿ,,,,,,,
,,Audit report,,ಲೆಕ್ಕ ಪರಿಶೋಧನ ವರದಿ,,,,,,,
,,Author’s name,,ಗ್ರಂಥಕರ್ತನ ಹೆಸರು,,,,,,,
,,Author’s Proof-AP,,ಗ್ರಂಥಕರ್ತನ ಕರಡಚ್ಚೆ,,,,,,,
,,Auto abstract,,ಸ್ವಯಂ ಸಂಕ್ಷಿಪ್ತಕ,,,,,,,
,,Autobiographer,,ಆತ್ಮಚರಿತ್ರಕಾರ,,,,,,,
,,Autobiography,,ಆತ್ಮಚರಿತ್ರೆ,,,,,,,
,,Autograph,,ಸ್ವಹಸ್ತಾಕ್ಷರ ; ಗ್ರಂಥಕರ್ತನ ಸ್ವಹಸ್ತಪ್ರತಿ,,,,,,,
,,"Autograph card, signed ACS",,ಸಹಿ ಹಾಕಿದ ಸ್ವಹಸ್ತಾಕ್ಷರ ಕಾರ್ಡು,,,,,,,
,,"Autograph letter, signed-ALS",,ಸಹಿಹಾಕಿದ ಸ್ವಹಸ್ತಾಕ್ಷರ ಪತ್ರ,,,,,,,
,,Autograph,,ಸಹಿ ಹಾಕಿದ ಸ್ವಹಸ್ತಾಕ್ಷರ,,,,,,,
,,"manuscript, signed-AMS",,ಹಸ್ತಪ್ರತಿ,,,,,,,
,,"Autograph Note, signed-ANS",,ಸಹಿ ಹಾಕಿದ ಸ್ವಹಸ್ತಾಕ್ಷರ ಟಿಪ್ಪಣಿ,,,,,,,
,,Auto Index,,ಸ್ವಯಂ ಸೂಚಿ,,,,,,,
,,Automatic data,,ಸ್ವಯಂ ಚಲನ ಮಾಹಿತಿ,,,,,,,
,,processing-ADP,,ಸಂಸ್ಕರಣ,,,,,,,
,,Automatic fire extinguisher,,ಸ್ವಯಂಚಾಲಿತ ಅಗ್ನಿಶಾಮಕ,,,,,,,
,,Automatic Indexing,,ಸ್ವಯಂಚಾಲಿತ ವಿಷಯ ಸೂಚೀಕರಣ,,,,,,,
,,Automaton equipment,,ಸ್ವಯಂ ಚಾಲನ ಸಾಧನ ಸಾಮಗ್ರಿ,,,,,,,
,,Auto positive paper,,ಸ್ವಯಂ ಸಹಜ ಛಾಯಾಚಿತ್ರಕಾಗದ,,,,,,,
,,Autotype,,ಆಟೊಮಾದರಿ ಮುದ್ರಣ,,,,,,,
,,Award,,ಪ್ರಶಸ್ತಿ,,,,,,,
,,Back Board,,ಬೆನ್ನು ರಟ್ಟು,,,,,,,
,,Backed,,ಹಾಳೆಯ ಬೆನ್ನು ಅಂಟಿಸಿದ ; ಪುಸ್ತಕದದ ಬೆನ್ನು ಕಟ್ಟಿದ ಬೆಂಬಲ ;,,,,,,,
,,Backing,,ಪುಸ್ತಕಕ್ಕೆ ಬೆನ್ನುಕಟ್ಟುವುದು,,,,,,,
,,Backing boards,,ಬೆನ್ನು ರಟ್ಟುಗಳು,,,,,,,
,,Backing Hammer,,ಬೆನ್ನು ರಟ್ಟುಕಟ್ಟುವ ಸುತ್ತಿಗೆ,,,,,,,
,,Backing Machine,,ಬೆನ್ನು ರಟ್ಟುಕಟ್ಟುವ ಯಂತ್ರ,,,,,,,
,,Backing Material,,ಬೆನ್ನು ರಟ್ಟುಕಟ್ಟುವ ಸಾಮಗ್ರಿ,,,,,,,
,,Baking Parchment,,ಬೆನ್ನು ರಟ್ಟುಕಟ್ಟುವ ಚರ್ಮಕಾಗದ,,,,,,,
,,Backing Sheets,,ಚೆನ್ನು ರೆಟ್ಟುಕಟ್ಟುವ ಹಾಳೆಗಳು,,,,,,,
,,Backless binding,,ಬೆನ್ನಿಲ್ಲದ ರಟ್ಟು ಕಟ್ಟುವಿಕೆ,,,,,,,
,,Back lining,,(ಪುಸ್ತಕದ) ಬೆನ್ನಿಗೆ ಅಸ್ತರಿ ಹಾಕುವುದು,,,,,,,
,,Back Mark,,ಬೆನ್ನು ಗುರುತು,,,,,,,
,,Backpage,,"ಬೆನ್ನುಪುಟ, ಹಿಂಪುಟ",,,,,,,
,,Backlog,,ಉಳಿಕೆ ಸಂಗ್ರಹ,,,,,,,
,,Back projection Reader,,ಹಿಂಪ್ರಕ್ಷೇಪಣ ಓದುಗ,,,,,,,
,,Back slide,,ಹಿಂದಿನ ಜಾರು ಹಲಗೆ,,,,,,,
,,Backup Services,,ಮಾಹಿತಿ ಪೊರೈಕೆ ಸೇವೆಗಳು,,,,,,,
,,Bad Copy,,ಕೆಟ್ಟ ಪ್ರತಿ; ಓದಲಾಗದ ಪ್ರತಿ,,,,,,,
,,Bad letter,,ಮುರಿದ ಅಕ್ಷರ ; ಕೆಟ್ಟ ಪತ್ರ,,,,,,,
,,Band,,"ಬ್ಯಾಂಡು, ಬಂಧಕ",,,,,,,
,,Barest minimum,,ಅತಿ ಕನಿಷ್ಠ,,,,,,,
,,Bark,,ತೊಗಟೆ,,,,,,,
,,Bark-pit,,ತೊಗಟೆ ಗುಂಡಿ,,,,,,,
,,Barrow Process,,ಬ್ಯಾರೊ ಯಂತ್ರವಿಧಾನದ ದುರಸ್ತಿ,,,,,,,
,,Baryta paper,,ಬರೈಟಾ ಕಾಗದ,,,,,,,
,,Base,,ಮೂಲ,,,,,,,
,,Baseline Survey,,ಮೂಲಾಧಾರ ಸಮೀಕ್ಷೆ,,,,,,,
,,Base Stock,,ಫೋಟೊ ಸೆನ್ಸಿಟಿವ್ ಇಮಲ್ಶನ್ ಗೆ ವಾಹಕವಾಗಿ ಬಳಸುವ ಮೂಲ / ಆಧಾರ ಸಾಮಗ್ರಿ,,,,,,,
,,Basic Analysis,,ಮೂಲ ವಿಶ್ಲೇಷಣೆ,,,,,,,
,,Basic list,,ಮೂಲ ಪಟ್ಟಿ,,,,,,,
,,Batten Card,,ಬ್ಯಾಟನ್ ಕಾರ್ಡು,,,,,,,
,,Batter,,ಸರಿ (ಅಂಟು); ಮುದ್ರಣ ಮೊಳೆಗಳ ಸವೆತ,,,,,,,
,,Bay,,"""ಯು"" ಆಕಾರದ ಅಲಮಾರು ವ್ಯವಸ್ಥೆ",,,,,,,
,,Beaker,,ಕೊಕ್ಕುಪಾತ್ರೆ,,,,,,,
,,Bee wax,,ಜೇನು ಮೇಣ,,,,,,,
,,Ben Day process,,ಬೆನ್ ಡೇ ವಿಧಾನ,,,,,,,
,,Bias phase,,"ಬಯಾಸ್ ಹಂತ, ಒಂದು ವರ್ಗೀಕರಣ ವಿಧಾನ",,,,,,,
,,Biblioclast,,ಗ್ರಂಥ ನಾಶಕ,,,,,,,
,,Bibliographer,,ಗ್ರಂಥ ಸೂಚೀಕಾರ,,,,,,,
,,Bibliographic,,ಗ್ರಂಥ ಸೂಚೀಯ,,,,,,,
,,Bibliographical note,,ಗ್ರಂಥಸೂಚೀ ಟಿಪ್ಪಣಿ,,,,,,,
,,Bibliography,,ಗ್ರಂಥಸೂಚಿ,,,,,,,
,,Bibliomania,,ಗ್ರಂಥ ಸಂಗ್ರಹಣ ವ್ಯಾಮೋಹ,,,,,,,
,,Bibliophagist,,"ರಟ್ಟುಗಾರ, ರಟ್ಟು ಕಟ್ಟುವವನು",,,,,,,
,,Bibliopegy,,ರಟ್ಟು ಕಟ್ಟುವ ಕಲೆ,,,,,,,
,,Bibliophile,,ಗ್ರಂಥಾಸಕ್ತ,,,,,,,
,,Bibliotheca,,ಪುಸ್ತಕ ಸಂಗ್ರಹ ; ಗ್ರಂಥಾಲಯ,,,,,,,
,,Bifurcate Classification,,ದ್ವಿಭಾಗ ವರ್ಗೀಕರಣ,,,,,,,
,,Binary system,,ಯುಗಳ ಪದ್ಧತಿ,,,,,,,
,,Bind,,ಕಟ್ಟು; ರಟ್ಟುಕಟ್ಟು,,,,,,,
,,Binder,,ಕಟ್ಟುಗಾರ; ರಟ್ಟುಗಾರ,,,,,,,
,,Binder’s brass,,ರಟ್ಟುಗಾರನ ಹಿತ್ತಾಳೆ ಅಕ್ಷರ,,,,,,,
,,Binder’s die,,ರಟ್ಟುಗಾರನ ಮುದ್ರೆ,,,,,,,
,,Binder’s Waste,,ರಟ್ಟುಗಾರನ ಚೂರುಪಾರು,,,,,,,
,,Bindery,,ರಟ್ಟುಗಾರಿಕೆ ಸ್ಥಳ,,,,,,,
,,Bindery section,,ರಟ್ಟುಗಾರಿಕೆ ಶಾಖೆ,,,,,,,
,,Binding,,ರಟ್ಟುಗಾರಿಕೆ : ಪುಸ್ತಕದ ರಟ್ಟು,,,,,,,
,,Binding layer,,ರಟ್ಟು ಪದರ,,,,,,,
,,Binding of vellum leaved books,,ಚರ್ಮ ಕಾಗದ ಪುಸ್ತಕದ ರಟ್ಟುಗಾರಿಕೆ,,,,,,,
,,Binding slip (sheet),,ರಟ್ಟುಗಾರನಿಗೆ ಕೊಡುವ ಸೂಚನಾ ಚೀಟಿ,,,,,,,
,,Binding variations,,ರಟ್ಟುಗಾರಿಕೆಯ ವೈವಿಧ್ಯಗಳು,,,,,,,
,,Bibliography,,ಲೇಖಕರ ಜೀವನ ಚರಿತ್ರೆಯ ಗ್ರಂಥಸೂಚಿ,,,,,,,
,,Biography,,ಜೀವನ ಚರಿತ್ರೆ,,,,,,,
,,Biological damages,,ಜೈವಿಕ ಹಾನಿ,,,,,,,
,,Biological pests,,ಜೈವಿಕ ಕೀಟಗಳು,,,,,,,
,,Biological sciences Information Service-BIOSIS,,ಜೀವವಿಜ್ಞಾನ ಮಾಹಿತಿ ಸೇವೆಗಳು,,,,,,,
,,Biosystematic Index,,ಜೈವಿಕ ವ್ಯವಸ್ಥಿತ ವರ್ಗಸೂಚಿ,,,,,,,
,,Birch,,"ಬೂರ್ಜ್ವ ಮರ, ಲೆಕ್ಕಿ ಗಿಡ",,,,,,,
,,Bistre,,ಇಟ್ಟಿಗೆ ಕಂದುಬಣ್ಣ,,,,,,,
,,Bite,,ಹುಳಕಡಿತ; ಆಮ್ಲಕಡಿತ,,,,,,,
,,Black and white film,,ಕಪ್ಪು ಬಿಳುಪು ಫಿಲ್ಮು,,,,,,,
,,Black cardboard,,ಕಪ್ಪುರಟ್ಟು,,,,,,,
,,Black ink,,ಕಪ್ಪುಮಸಿ,,,,,,,
,,Blade,,ಬ್ಲೇಡು ಅಲಗು,,,,,,,
,,Blank book,,ಖಾಲಿ ಪುಸ್ತಕ,,,,,,,
,,Blanking,,ಪುಸ್ತಕದ ಬಟ್ಟೆಯ ರಕ್ಷಾಪುಟದ ಮೇಲೆ ಮಾಡುವ ಅಲಂಕಾರ,,,,,,,
,,Bleaching,,ಚೆಲುವು ಮಾಡುವುದು,,,,,,,
,,Bleed,,ಒಪ್ಪವಾಗಿ ಕತ್ತರಿಸು,,,,,,,
,,Blind stamping,,ಖಾಲಿ ಅಚ್ಚೊತ್ತುವುದು,,,,,,,
,,Block,,ಪಡಿಯಚ್ಚು ; ಎರಕದ ಅಚ್ಚು,,,,,,,
,,Block Indexing,,ಅಕಾರಾದಿ ಪಡಿಯಚ್ಚು ಸೂಚೀಕರಣ,,,,,,,
,,Blotting paper,,ಒತ್ತುಕಾಗದ,,,,,,,
,,Blow-up,,ವಿಸ್ತೃತ ರೂಪ,,,,,,,
,,Blue print,,ನೀಲಿ ನಕ್ಷೆ. ನೀಲಿ ಪ್ರತಿ,,,,,,,
,,Blueprint process,,ನೀಲಿ ಪ್ರತಿ ವಿಧಾನ,,,,,,,
,,Blue sensitive,,ನೀಲಿ ಸೂಕ್ಷ್ಮ ಗ್ರಾಹಿ,,,,,,,
,,Blunted knife,,ಮೊಂಡು ಚಾಕು / ಕತ್ತಿ,,,,,,,
,,Board,,"ರಟ್ಟು, ಹಲಗೆ",,,,,,,
,,Board boxes,,ರಟ್ಟು ಪೆಟ್ಟಿಗೆಗಳು,,,,,,,
,,Bodkin,,"ತಟ್ಟು ದಬ್ಬಳ, ಮೊಂಡು ದಬ್ಬಳ",,,,,,,
,,Bodleian hand made paper,,ಕೈಯಿಂದ ಮಾಡಿದ ಬ್ಲೋಡಿಯನ್ ಕಾಗದ,,,,,,,
,,Body paper’ Board,,ಕಚ್ಚಾ ಕಾಗದ ರಟ್ಟು,,,,,,,
,,Bonafide research Scholar,,ಬೊನಾಫೈಡ್ ಪರಿಶೋಧನಾ ವಿದ್ಯಾರ್ಥಿ,,,,,,,
,,Bonding,,ಕಟ್ಟುವುದು,,,,,,,
