ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Application form,,ಅರ್ಜಿ ನಮೂನೆ / ಮಾದರಿ,,,,,,,
,,Appointing Authority,,ನೇಮಕಾತಿ ಅಧಿಕಾರ / ಅಧಿಕಾರಿ,,,,,,,
,,Appointment,,ನೇಮಕಾತಿ; ನೇಮಕ,,,,,,,
,,Apprenticeship,,ಅಪ್ರೆಂಟಿಸ್‌ಶಿಪ್‌; ತರಬೇತಿ ಅವಧಿ,,,,,,,
,,Appraise,,ತಿಳಿಯಪಡಿಸು; ಬೆಲೆಕಟ್ಟು,,,,,,,
,,Approval,,ಅನುಮೋದನೆ; ಒಪ್ಪಿಗೆ,,,,,,,
,,Approved list,,ಅನುಮೋದಿತ ಪಟ್ಟಿ; ಒಪ್ಪಿತ ಪಟ್ಟಿ,,,,,,,
,,Army,,ಭೂಸೇನೆ,,,,,,,
,,Article (of Constitution),,(ಸಂವಿಧಾನದ) ಅನುಚ್ಛೇದ,,,,,,,
,,Artisan,,ಕುಶಲಕರ್ಮಿ; ಕಸಬುದಾರ,,,,,,,
,,Assessment list,,ನಿರ್ಧಾರಣ ಪಟ್ಟಿ,,,,,,,
,,Assessment of damage,,ನಷ್ಟ ನಿರ್ಧಾರಣ,,,,,,,
,,Assistant,,ಸಹಾಯಕ,,,,,,,
,,Assistant Commercial Tax Officer,,ಸಹಾಯಕ ವಾಣಿಜ್ಯ ತೆರಿಗೆ ಅಧಿಕಾರಿ,,,,,,,
,,Assistant Public Prosecutor,,ಸಹಾಯಕ ಪಬ್ಲಿಕ್‌ ಪ್ರಾಸಿಕ್ಯೂಟರ್‌,,,,,,,
,,Assumption of Charges,,ಪ್ರಭಾರ ಸ್ವೀಕಾರ,,,,,,,
,,Attender,,ಅಟೆಂಡರು,,,,,,,
,,Attest,,ದೃಢೀಕರಿಸು,,,,,,,
,,Attestation form,,ಸಾಕ್ಷಿ ರುಜುವಾತು ನಮೂನೆ; ಒಪ್ಪಿ ರುಜು ಹಾಕುವ ನಮೂನೆ,,,,,,,
,,Attested,,ದೃಢಿಕೃತ; ಒಪ್ಪಿ ರುಜು ಹಾಕಿದ,,,,,,,
,,Audit,,ಲೆಕ್ಕ ಪರಿಶೋಧನೆ,,,,,,,
,,Audit note,,ಲೆಕ್ಕ ಪರಿಶೋಧನಾ ಟಿಪ್ಪಣಿ,,,,,,,
,,Audit objection,,ಲೆಕ್ಕ ಪರಿಶೋಧನೆಯ ಆಕ್ಷೇಪಣೆ,,,,,,,
,,Auditor,,ಲೆಕ್ಕಪರಿಶೋಧಕ,,,,,,,
,,Auditor General,,ಮಹಾ ಲೆಕ್ಕ ಪರಿಶೋಧಕ,,,,,,,
,,Audit report,,ಲೆಕ್ಕ ಪರಿಶೋಧನಾ ವರದಿ,,,,,,,
,,Authority,,ಪ್ರಾಧಿಕಾರ; ಪ್ರಾಧಿಕಾರಿ; ಅಧಿಕಾರ; ಅಧಿಕಾರಿ,,,,,,,
,,Authorized,,ಅಧಿಕಾರ ಪಡೆದ,,,,,,,
,,Backward Class,,ಹಿಂದುಳಿದ ವರ್ಗ,,,,,,,
,,Balance sheet,,ಆಯವ್ಯಯ ಪಟ್ಟಿ; ಜಮಾ ಖರ್ಚು ಪಟ್ಟಿ,,,,,,,
,,Balance the budget,,ಆಯವ್ಯಯ ಮುಂಗಡ ಪತ್ರ ಸಮತೋಲನ,,,,,,,
,,Balance to credit,,ಉಳಿಕೆ ಹಣ,,,,,,,
,,Bank Draft,,ಬ್ಯಾಂಕ್ ಡ್ರಾಫ್ಟ್,,,,,,,
,,Bank reconciliation,,ಬ್ಯಾಂಕ್ ಲೆಕ್ಕ ಸಮನ್ವಯ,,,,,,,
,,Basic Pay,,ಮೂಲ ವೇತನ,,,,,,,
,,Bearer bond,,ಬೇರರ್ ಬಾಂಡು,,,,,,,
,,Bearer cheque,,ಬೇರರ್ ಚೆಕ್ಕು,,,,,,,
,,Beyond the maximum period,,ಗರಿಷ್ಠ ಕಾಲಾವಧಿಯ ತರುವಾಯ,,,,,,,
,,Bill form,,ಬಿಲ್ಲು ನಮೂನೆ,,,,,,,
,,Block letters,,ದಪ್ಪಕ್ಷರಗಳು; ದೊಡ್ಡಕ್ಷರಗಳು,,,,,,,
,,Bond,,ಬಂಧ ಪತ್ರ,,,,,,,
,,Book debit,,ಲೆಕ್ಕಕ್ಕೆ ಖರ್ಚು ಹಾಕು,,,,,,,
,,Borrowing authority,,ಸಾಲ ಪಡೆಯುವ ಅಧಿಕಾರ; ಎರವಲು ಪಡೆಯುವ ಅಧಿಕಾರ,,,,,,,
,,Brief note,,ಸಂಕ್ಷಿಪ್ತ ಟಿಪ್ಪಣಿ,,,,,,,
,,Budget,,ಬಜೆಟ್‌; ಮುಂಗಡ ಪತ್ರ,,,,,,,
,,Budget allotment,,ಬಜೆಟ್‌ ಹಂಚಿಕೆ,,,,,,,
,,"Budget, deficit",,ಖೋತಾ ಬಜೆಟ್‌,,,,,,,
,,Budget estimate,,ಆಯವ್ಯಯ ಅಂದಾಜು ಪಟ್ಟಿ,,,,,,,
,,Budget Provision,,ಆಯವ್ಯಯ ಹಣದ ಅವಕಾಶ,,,,,,,
,,"Budget, Surplus",,ಹೆಚ್ಚುವರಿ ಮುಂಗಡ ಪತ್ರ,,,,,,,
,,By influence,,ಪ್ರಭಾವದ ಮೂಲಕ,,,,,,,
,,By Promotion,,ಬಡ್ತಿ ಮೂಲಕ,,,,,,,
,,By Selection,,ಆಯ್ಕೆ ಮೂಲಕ,,,,,,,
,,Cadre,,ಕೇಡರ್‌; ನೌಕರವೃಂದ,,,,,,,
,,Cadre and Recruitment Rules,,ಕೇಡರ್‌ ಮತ್ತು ನೌಕರಿ ಭರ್ತಿ ನಿಯಮಾವಳಿ,,,,,,,
,,Call for,,ತರಿಸಿಕೊ; ಕೇಳು,,,,,,,
,,Candidate,,ಅಭ್ಯರ್ಥಿ; ಉಮೇದುವಾರ,,,,,,,
,,Cancel,,ರದ್ದುಮಾಡು; ರದ್ಧತಿ,,,,,,,
,,Capital,,ಮೂಲಧನ; ಬಂಡವಾಳ,,,,,,,
,,Cash bonus,,ನಗದು ಬೋನಸ್,,,,,,,
,,Cash deposit,,ನಗದು ಠೇವಣಿ,,,,,,,
,,Cash security,,ಭದ್ರತೆಯ ಹಣ,,,,,,,
,,Cash Surrender Value,,ಬಿಟ್ಟುಕೊಟ್ಟ ನಗದು ಹಣದ ಮೌಲ್ಯ,,,,,,,
,,Cash transactions,,ನಗದು ವ್ಯಾಪಾರ,,,,,,,
,,Casting Vote,,ನಿರ್ಣಾಯಕ ಮತ,,,,,,,
,,Casual labour,,ದಿನಗೂಲಿ ಕೆಲಸ,,,,,,,
,,Central Revenue,,ಕೇಂದ್ರ ರಾಜ್ಯಾದಾಯ,,,,,,,
,,Certificate,,ಪ್ರಮಾಣ ಪತ್ರ; ಅರ್ಹತಾ ಪತ್ರ,,,,,,,
,,Certificate of physical Fitness,,ದೇಹದಾರ್ಢ್ಯ ಪ್ರಮಾಣ ಪತ್ರ,,,,,,,
,,Chairman,,ಅಧ್ಯಕ್ಷ,,,,,,,
,,Character Certificate,,ಚಾರಿತ್ರ್ಯ ಪ್ರಮಾಣ ಪತ್ರ; ನಡತೆ ಪ್ರಮಾಣ ಪತ್ರ,,,,,,,
,,Chartered Accountant,,ಪ್ರಮಾಣೀಕೃತ ಲೇಖಾಪಾಲ,,,,,,,
,,Cheque Book,,ಚೆಕ್ಕು ಪುಸ್ತಕ,,,,,,,
,,Chief Inspector,,ಮುಖ್ಯ ನಿರೀಕ್ಷಕ,,,,,,,
,,Circulation,,ಪ್ರಸಾರ,,,,,,,
,,Citizen,,ನಾಗರಿಕ,,,,,,,
,,Claim,,ಕ್ಲೇಮು; ಹಕ್ಕು,,,,,,,
,,Claimant,,ಹಕ್ಕುದಾರ,,,,,,,
,,Clarification,,ಸ್ಪಷ್ಟೀಕರಣ,,,,,,,
,,Class,,ವರ್ಗ; ತರಗತಿ,,,,,,,
,,Classification,,ವರ್ಗೀಕರಣ,,,,,,,
,,Classification of posts,,ಹುದ್ದೆಗಳ ವರ್ಗೀಕರಣ,,,,,,,
,,Collection of assets,,ಆಸ್ತಿ ಸಂಗ್ರಹ,,,,,,,
,,Column,,ಅಂಕಣ,,,,,,,
,,Compensation,,ಪರಿಹಾರ,,,,,,,
,,Competent,,ಸಕ್ಷಮ,,,,,,,
,,Competition,,ಸ್ಪರ್ಧೆ,,,,,,,
,,Competitive Examination,,ಸ್ಪರ್ಧಾತ್ಮಕ ಪರೀಕ್ಷೆ,,,,,,,
,,Compulsory Saving,,ಕಡ್ಡಾಯ ಉಳಿತಾಯ,,,,,,,
,,Computation report,,ಗಣನಾ ವರದಿ,,,,,,,
,,Condition,,ಷರತ್ತು; ಸ್ಥಿತಿ,,,,,,,
,,Condonation of delay,,ವಿಳಂಬ ಮಾಫಿ,,,,,,,
,,Conduct an enquiry,,ವಿಚಾರಣೆ ನಡೆಸು,,,,,,,
,,Conduct rules,,ನಡತೆ ನಿಯಮಾವಳಿ,,,,,,,
,,Confidential,,ರಹಸ್ಯ; ಗೌಪ್ಯ,,,,,,,
,,Confidential record,,ರಹಸ್ಯ; ದಾಖಲೆ,,,,,,,
,,Confidential Section,,ರಹಸ್ಯ ಶಾಖೆ,,,,,,,
,,Consignment account,,ರವಾನೆ ಸರಕು ಲೆಕ್ಕ,,,,,,,
,,Consolidated fund,,ಸಂಚಿತ ನಿಧಿ,,,,,,,
,,Consolidated Statement,,ಕ್ರೋಡೀಕೃತ ವಿವರಣ ಪತ್ರ,,,,,,,
,,Consultation,,ಸಮಾಲೋಚನೆ,,,,,,,
,,Contingent fees,,ಸಾದಿಲ್ವಾರು ಶುಲ್ಕ,,,,,,,
,,Continuous,,ನಿರಂತರ,,,,,,,
,,Continuous easement,,ನಿರಂತರ ಅನುಭೋಗದ ಹಕ್ಕು,,,,,,,
,,Continuous service,,ನಿರಂತರ ಸೇವೆ,,,,,,,
,,Contraband telegram,,ಕೂಟ ತಂತಿವಾರ್ತೆ,,,,,,,
,,Contract,,ಕರಾರು; ಒಪ್ಪಂದ,,,,,,,
,,Contract cost,,ಕರಾರು ವೆಚ್ಚ,,,,,,,
,,Contribution,,ಕೊಡುಗೆ; ಅಂಶದಾನ,,,,,,,
,,Contribution for pension,,ನಿವೃತ್ತಿ ವೇತನ ಅಂಶದಾನ,,,,,,,
,,Controlled credits,,ನಿಯಂತ್ರಿತ ಸಾಲ,,,,,,,
,,Controlling authority,,ನಿಯಂತ್ರಣಾಧಿಕಾರ,,,,,,,
,,Convene,,ಸಭೆ ಕರೆ,,,,,,,
,,Conveyance,,ವಾಹನ ಸೌಕರ್ಯ,,,,,,,
,,Conveyance allowance,,ವಾಹನಭತ್ಯೆ,,,,,,,
,,Copy,,ಪ್ರತಿ; ನಕಲು,,,,,,,
,,Correction slip,,ತಿದ್ದುಪಡಿ ಚೀಟಿ,,,,,,,
,,Correspondence,,ಪತ್ರ ವ್ಯವಹಾರ,,,,,,,
,,Cost of living index number,,ಜೀವನ ವೆಚ್ಚದ ಸೂಚ್ಯಂಕ,,,,,,,
,,Cost of maintenance,,ನಿರ್ವಹಣಾ ವೆಚ್ಚ,,,,,,,
,,Counterfeit money,,ಖೋಟಾಹಣ,,,,,,,
,,Counter signature,,ಮೇಲು ರುಜು,,,,,,,
,,Criminal (Higher) Examination,,ಕ್ರಿಮಿನಲ್‌ ಪರೀಕ್ಷೆ (ಪ್ರೌಢ),,,,,,,
,,Criminal Prosecution,,ಕ್ರಿಮಿನಲ್‌ ಕಾನೂನು ಕ್ರಮ,,,,,,,
,,Crossed cheque,,ಅಡ್ಡಗೆರೆ ಚೆಕ್ಕು,,,,,,,
,,Crossed I.P.0.,,ಕ್ರಾಸ್ಡ್ ಐ.ಪಿ.ಒ.,,,,,,,
,,Cross examination,,ಪಾಟೀ ಸವಾಲು,,,,,,,
,,Currency,,ಚಲಾವಣೆ,,,,,,,
,,Currency note,,ಕರೆನ್ಸಿ ನೋಟು,,,,,,,
,,Current account,,ಚಾಲ್ತಿ ಲೆಕ್ಕ,,,,,,,
,,Current expenditure,,ಚಾಲ್ತಿ ವೆಚ್ಚ,,,,,,,
,,Daily Allowance,,ದಿನಭತ್ಯ,,,,,,,
,,Daily balance,,ದೈನಂದಿನ ಶಿಲ್ಕು,,,,,,,
,,Daily labour,,ದಿನಗೂಲಿ,,,,,,,
,,Daily report,,ದೈನಂದಿನ ವರದಿ,,,,,,,
,,Dalayatha,,ದಲಾಯತ,,,,,,,
,,Date of arrival,,ಆಗಮನ ದಿನಾಂಕ,,,,,,,
,,Date of Birth,,ಜನ್ಮ ದಿನಾಂಕ,,,,,,,
,,Date of payment,,ಸಂದಾಯದ ದಿನಾಂಕ,,,,,,,
,,Date of posting,,ಸ್ಥಳ ನಿಯುಕ್ತಿ ದಿನಾಂಕ,,,,,,,
,,Dead account,,ಜಡ ಲೆಕ್ಕ,,,,,,,
,,Dead loan,,ವಸೂಲಾಗದ ಸಾಲ,,,,,,,
,,Dearness Allowance,,ತುಟ್ಟಿ ಭತ್ಯ,,,,,,,
,,Debar,,ಹೊರಹಾಕು,,,,,,,
,,Debenture,,ಡಿಬೆಂಚರು; ಋಣ ಪತ್ರ,,,,,,,
,,Debenture loan,,ಡಿಬೆಂಚರು; ಸಾಲ,,,,,,,
,,Debit,,ಖರ್ಚು ಹಾಕು,,,,,,,
,,Debit balance,,ಖರ್ಚಿನ ಉಳಿಕೆ,,,,,,,
,,Debit entry,,ಖರ್ಚು ನಮೂದು,,,,,,,
,,Debit note,,ಖರ್ಚು ಟಿಪ್ಪಣಿ,,,,,,,
,,Debt,,ಋಣ; ಸಾಲ,,,,,,,
,,Debt due,,ಬಾಕಿ ಸಾಲ,,,,,,,
,,Debtor,,ಸಾಲಗಾರ,,,,,,,
,,Debtor Insolvent,,ಸಾಲ ದಿವಾಳಿಗಾರ,,,,,,,
,,Decimal system,,ದಶಮಾಂಶ ಪದ್ಧತಿ,,,,,,,
,,Decision contrary to law,,ವಿಧಿವಿರುದ್ಧ ತೀರ್ಮಾನ,,,,,,,
,,Declarant,,ಘೋಷಣಕಾರ,,,,,,,
,,Declaration,,ಘೋಷಣೆ,,,,,,,
,,Declare the result,,ಫಲಿತಾಂಶ ಘೋಷಿಸು,,,,,,,
,,Deduct,,ಕಳೆ; ವ್ಯವಕಲಿಸು,,,,,,,
,,Deduct entry,,ವ್ಯವಕಲನ ನಮೂದು,,,,,,,
,,Deed of arrangement,,ವ್ಯವಸ್ಥಾ ಪತ್ರ,,,,,,,
,,Deed of assignment,,ಹಸ್ತಾಂತರ ಪತ್ರ,,,,,,,
,,Deed of lease,,ಗುತ್ತಿಗೆ ಪತ್ರ,,,,,,,
,,Deed of Mortgage,,ಅಡಮಾನ ಪತ್ರ,,,,,,,
,,Defence Service,,ರಕ್ಷಣಾ ಸೇವೆ,,,,,,,
,,Deemed date,,ಪರಿಗಣಿತ ದಿನಾಂಕ,,,,,,,
,,Defalcation,,ಹಣ ದುರುಪಯೋಗ,,,,,,,
,,Defaulter,,ಸುಸ್ತಿದಾರ; ತಪ್ಪಿತಸ್ಥ,,,,,,,
,,Degree Course,,ಪದವಿ ವ್ಯಾಸಂಗ ಅವಧಿ,,,,,,,
,,Delegation,,ನಿಯೋಗ; ಪ್ರತ್ಯಾಯೋಜನೆ,,,,,,,
,,Demand Draft,,ಡಿಮ್ಯಾಂಡ್ ಡ್ರಾಫ್ಟ್; ಬೇಡಿಕೆ ಹುಂಡಿ,,,,,,,
,,Demi-official (D.O),,ಅರೆ ಸರ್ಕಾರಿ,,,,,,,
,,Demonstration,,ಪ್ರಾತ್ಯಕ್ಷಿಕೆ; ಪ್ರತ್ಯಕ್ಷ ನಿರೂಪಣೆ,,,,,,,
,,Demonstrator,,ಪ್ರತ್ಯಕ್ಷ ನಿರೂಪಕ,,,,,,,
,,Demurrage Charges,,ವಿಳಂಬ ಶುಲ್ಕ; ತಡವಾದುದಕ್ಕೆ ಶುಲ್ಕ; ವಿಳಂಬ ದಂಡ,,,,,,,
,,Demurrage days,,ವಿಳಂಬ ದಿನಗಳು,,,,,,,
,,Denomination,,ವರ್ಗ; ಹೆಸರು,,,,,,,
,,Departmental enquiry,,ಇಲಾಖಾ ವಿಚಾರಣೆ,,,,,,,
,,Departmental examination,,ಇಲಾಖಾ ಪರೀಕ್ಷೆ,,,,,,,
,,Deputation,,ಪ್ರತಿ ನಿಯೋಜನೆ,,,,,,,
,,Deputation pay,,ಪ್ರತಿ ನಿಯೋಜನೆ ವೇತನ,,,,,,,
,,Designation,,ಪದನಾಮ,,,,,,,
,,Despatch,,ರವಾನಿಸು,,,,,,,
,,Destroy,,ನಾಶಪಡಿಸು,,,,,,,
,,Detailed estimate,,ಸವಿವರ ಅಂದಾಜು,,,,,,,
,,Detailed reports,,ಸವಿವರ ವರದಿ,,,,,,,
,,Determine,,ನಿರ್ಣಯಿಸು; ನಿರ್ಧರಿಸು; ಇತ್ಯರ್ಥ ಮಾಡು,,,,,,,
,,Diploma Course,,ಡಿಪ್ಲೊಮಾ ವ್ಯಾಸಂಗ ಅವಧಿ,,,,,,,
,,Direction,,ನಿರ್ದೇಶನ,,,,,,,
,,Direct recruitment,,ನೇರ ನೌಕರಿ ಭರ್ತಿ,,,,,,,
,,Disbursement,,ಬಟವಾಡೆ,,,,,,,
,,Discharge,,ವಿಸರ್ಜನೆ; ಬಿಡುಗಡೆ; ನಿರ್ವಹಿಸು; ಬಿಡುಗಡೆ ಮಾಡು,,,,,,,
,,Disciplinary action,,ಶಿಸ್ತುಕ್ರಮ,,,,,,,
,,Disciplinary and promotion branch,,ಶಿಸ್ತು ಮತ್ತು ಪದೋನ್ನತಿ ಶಾಖೆ,,,,,,,
,,Disciplinary authority,,ಶಿಸ್ತು ಪಾಲನಾಧಿಕಾರಿ,,,,,,,
,,Disciplinary case (Appellate),,ಶಿಸ್ತು ಮೊಕದ್ದಮೆ / ದಾವೆ(ಅಪೀಲು),,,,,,,
,,Disciplinary case(Original),,ಶಿಸ್ತು ಮೊಕದ್ದಮೆ / ದಾವೆ (ಮೂಲ),,,,,,,
,,Disciplinary matter,,ಶಿಸ್ತಿನ ವಿಷಯ,,,,,,,
,,Discipline,,ಶಿಸ್ತು,,,,,,,
,,Discretion,,ವಿವೇಚನೆ,,,,,,,
,,Discussion,,ಚರ್ಚೆ,,,,,,,
,,Dismissal,,ವಜಾವಣೆ,,,,,,,
,,Disqualification,,ಅನರ್ಹತೆ,,,,,,,
,,Document,,ದಸ್ತಾವೇಜು; ದಾಖಲೆ,,,,,,,
,,Dossier,,ದಸ್ತಾವೇಜುಗಳ ಕಟ್ಟು,,,,,,,
,,Downgrade,,ಕೆಳದರ್ಜೆ,,,,,,,
,,Draw a cheque,,ಚೆಕ್ಕು ಬರೆ,,,,,,,
,,Draw salary,,ಸಂಬಳ ಪಡೆ,,,,,,,
,,Drop a case or matter,,ಒಂದು ಪ್ರಕರಣವನ್ನು ಅಥವಾ ವಿಷಯವನ್ನು ಬಿಟ್ಟುಬಿಡು,,,,,,,
,,Dues,,ಬಾಕಿ,,,,,,,
,,Duplicate,,ದ್ವಿಪ್ರತಿ,,,,,,,
,,Duration,,ಅವಧಿ,,,,,,,
,,Duties,,ಶುಲ್ಕಗಳು; ಕರ್ತವ್ಯಗಳು,,,,,,,
,,Duty pay,,ಕರ್ತವ್ಯ ವೇತನ,,,,,,,
,,Duty stamp,,ಸ್ಟಾಂಪು ಶುಲ್ಕ,,,,,,,
,,Earmark,,ಮೀಸಲಿಡು,,,,,,,
,,Earned income,,ಗಳಿಕೆ ಆದಾಯ,,,,,,,
,,Earned leave,,ಗಳಿಕೆ ರಜೆ,,,,,,,
,,Earnest money,,ಮುಂಗಡ ಹಣ,,,,,,,
,,Economic Survey,,ಆರ್ಥಿಕಾವಲೋಕನ,,,,,,,
,,Edition,,ಆವೃತ್ತಿ; ಮುದ್ರಣ,,,,,,,
,,Educational,,ವಿದ್ಯಾ ಸಂಬಂಧದ; ಶೈಕ್ಷಣಿಕ,,,,,,,
,,Educational institution,,ವಿದ್ಯಾಸಂಸ್ಥೆ; ಶೈಕ್ಷಣಿಕ ಸಂಸ್ಥೆ,,,,,,,
,,Efficiency wages,,ದಕ್ಷತಾ ಮಜೂರಿ,,,,,,,
