ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Components,"ಅಂಗಭಾಗಗಳು, ಘಟಕಗಳು, ಅಂಶಭಾಗಗಳು",,,,,,,,,YES
,Compounding fees,ರಾಜಿ / ಕಬೂಲಿ ಶುಲ್ಕ,,,,,,,,,YES
,Computer,ಗಣಕ ಯಂತ್ರ,,,,,,,,,YES
,Concession passes,ರಿಯಾಯಿತಿ ಪಾಸುಗಳು,,,,,,,,,YES
,Concurrence,"ಸಮ್ಮತ, ಒಪ್ಪಿಗೆ",,,,,,,,,YES
,Conductor,"ನಿರ್ವಾಹಕ, ಕಂಡಕ್ಟರ್‌",,,,,,,,,YES
,Confluent,ಸಂಗಮವಾಗುವ,,,,,,,,,YES
,Contract carriage,ಕರಾರುವಾಹನ / ಒಪ್ಪಂದದ ಮೇಲೆ ಪಡೆಯುವ ವಾಹನ,,,,,,,,,YES
,Control levers,ನಿಯಂತ್ರಕ ಸನ್ನೆಗೋಲುಗಳು,,,,,,,,,YES
,Counter checking,"ಕೌಂಟರ್‌ ತಪಾಸಣೆ, ಮರು ತಪಾಸಣೆ, ಪ್ರತಿ ತಪಾಸಣೆ",,,,,,,,,YES
,Countersignature of permit,ರಹದಾರಿಯ ಮೇಲುರುಜು,,,,,,,,,YES
,Cross,(ರಸ್ತೆ) ದಾಟು ಅಡ್ಡ ರಸ್ತೆ,,,,,,,,,YES
,Cubic capacity,ಘನ ಸಾಮರ್ಥ್ಯ,,,,,,,,,YES
,Curve,"ಬಾಗು, ತಿರುವು",,,,,,,,,YES
,Dairy abstract,ದಿನಚರಿಯ ಸಾರಾಂಶ,,,,,,,,,YES
,Damaged vehicle,"ಹಾನಿಗೊಂಡ ವಾಹನ,",,,,,,,,,YES
,Dash Board,"ಡ್ಯಾಷ್‌ ಬೋರ್ಡ್‌, ಕೆಸರು ತಡೆ",,,,,,,,,YES
,Dazzling lights,ಕಣ್ಣು ಕುಕ್ಕುವ / ಕಣ್ಣು ಕೊರೈಸುವ ದೀಪಗಳು,,,,,,,,,YES
,Dealer,ವ್ಯಾಪಾರಿ,,,,,,,,,YES
,Death rate,ಮರಣ ಪ್ರಮಾಣ,,,,,,,,,YES
,Defective meter,"ನ್ಯೂನತೆ ಮೀಟರ್‌ / ಮಾಪಕ, ದೋಷ ಪೂರ್ಣ ಮಾಪಕ",,,,,,,,,YES
,Departmental Action,ಇಲಾಖಾ ಕ್ರಮ,,,,,,,,,YES
,Departmental statutory action,ಇಲಾಖೆಯ ಶಾಸನಬದ್ದ ಕ್ರಮ,,,,,,,,,YES
,Demand Yard,"ಅಂಗಣ, ಯಾರ್ಡ್‌ ಬಸ್ಸುಗಳನ್ನು ನಿಲ್ಲಿಸುವ ಸ್ಥಳ",,,,,,,,,YES
,Depot,ಘಟಕ,,,,,,,,,YES
,Destination board,ಮಾರ್ಗಸೂಚಿ ಫಲಕ,,,,,,,,,YES
,Detained Vehicles,"ನಿರ್ಬಂಧಿತ ವಾಹನಗಳು, ನಿಲ್ಲಿಸಿಕೊಂಡ, ವಾಹನಗಳು, ತಡೆಹಿಡಿದಿಟ್ಟ ವಾಹನಗಳು",,,,,,,,,YES
,Distinguishing board,ವಿಶಿಷ್ಟ ಗುರುತಿನ ಫಲಕ,,,,,,,,,YES
,Distinguishing marks,ವಿಶಿಷ್ಟ ಗುರುತುಗಳು,,,,,,,,,YES
,Driver,ಚಾಲಕ,,,,,,,,,YES
,Driving License,ಚಾಲನಾ ಪರವಾನಿಗೆ,,,,,,,,,YES
,Driving tests,ಚಾಲನೆ ಪರೀಕ್ಷೆಗಳು,,,,,,,,,YES
,Emergency exit,ತುರ್ತು ನಿರ್ಗಮನ,,,,,,,,,YES
,Emission of smoke,ಹೊಗೆ ಉಗುಳುವಿಕೆ,,,,,,,,,YES
,Enquiry counters,ವಿಚಾರಣಾ ಮೇಜುಗಳು,,,,,,,,,YES
,Enroute checking,"ದಾರಿಯಲ್ಲಿನ ತನಿಖೆ, ಮಾರ್ಗ ಮಧ್ಯ ತಪಾಸಣೆ",,,,,,,,,YES
,Exhaust,"ಬರಿದು ಮಾಡು, ಖಾಲಿ ಮಾಡುವುದು",,,,,,,,,YES
,Exhaust pipes,ನಿಷ್ಕಾಸ ನಾಳಗಳು,,,,,,,,,YES
,Express services,ವೇಗದೂತ ಸೇವೆಗಳು,,,,,,,,,YES
,Extra trips,ಹೆಚ್ಚಿನ / ಹೆಚ್ಚುವರಿ ಸಂಚಾರಗಳು,,,,,,,,,YES
,Fair specials,ಸಂತೆ / ಜಾತ್ರೆ ವಿಶೇಷ ಬಸ್ಸುಗಳು,,,,,,,,,YES
,Fatal accidents,"ಮಾರಕ ಅಪಘಾತಗಳು, ಮರಣಾಂತರ, ಅಪಘಾತಗಳು",,,,,,,,,YES
,Feeder service,ಪೂರಕ ಬಸ್ಸು ಸೇವೆ,,,,,,,,,YES
,First aid box,ಪ್ರಥಮ ಚಿಕಿತ್ಸಾ ಪೆಟ್ಟಿಗೆ,,,,,,,,,YES
,Fitness certificate,ಅರ್ಹತಾ ಪ್ರಮಾಣ ಪತ್ರ,,,,,,,,,YES
,Floor board,ವಾಹನ ನೆಲೆಗಟ್ಟು,,,,,,,,,YES
,Foot board,"ಫುಟ್‌ ಬೋರ್ಡ್‌, ಪಾದನೆಲೆ, ಹೆಜ್ಜೆ ಜಗಲಿ",,,,,,,,,YES
,Foot brake,ಕಾಲು ತಡೆ,,,,,,,,,YES
,Foot path,"ಪಾದಚಾರಿ ಮಾರ್ಗ, ಕಾಲುದಾರಿ,",,,,,,,,,YES
,For hire,ಬಾಡಿಗೆಗೆ,,,,,,,,,YES
,Franking duty,ಸಾಗಣೆ ಸುಂಕ / ತೆರಿಗೆ,,,,,,,,,YES
,Freight,"ಸರಕು ರವಾನೆ, ರವಾನೆ ವೆಚ್ಚ",,,,,,,,,YES
,Friction gear,ಘರ್ಷಕ ಕಚ್ಚುಗಾಲಿ / ಹಲ್ಲುಚಕ್ರ / ಗೇರು,,,,,,,,,YES
,Fuel brake,ಇಂಧನ ತಡೆ / ಬ್ರೇಕ್‌,,,,,,,,,YES
,Fuel consumption,ಇಂಧನ ಬಳಕೆ,,,,,,,,,YES
,Gangway,ಮಧ್ಯದಾರಿ,,,,,,,,,YES
,Garage,"ಗ್ಯಾರೇಜು, ವಾಹನ ನಿಲುಮನೆ",,,,,,,,,YES
,Gear,"ಹಲ್ಲುಚಕ್ರ, ಕಚ್ಚುಗಾಲಿ, ಗೇರ್‌",,,,,,,,,YES
,Ghat Roads,ಕಣಿವೆ / ಘಟ್ಟದ ರಸ್ತೆಗಳು,,,,,,,,,YES
,Grease,"ಜಿಡ್ಡು, ಗ್ರೀಸು",,,,,,,,,YES
,Hairpin bend,(ರಸ್ತೆಯ) ಹಿಮ್ಮುರಿ ತಿರುವು,,,,,,,,,YES
,Hand brake,ಕೈಬ್ರೇಕ್‌ ಕೈತಡೆ,,,,,,,,,YES
,Hand post,"ಕೈಮರ, ಕೈಗಂಬ",,,,,,,,,YES
,Haulage,"ಸರಕು ಸಾಗಣೆ, ಸಾಗಣೆ ವೆಚ್ಚ",,,,,,,,,YES
,Head light,"ಮುಂದಿನ ದೀಪ, ತಲೆದೀಪ",,,,,,,,,YES
,Heavy traffic,ಭಾರಿ ಜನ / ವಾಹನ ಸಂಚಾರ,,,,,,,,,YES
,Heavy vehicles,ಭಾರಿ ವಾಹನಗಳು,,,,,,,,,YES
,High way,"ಹೆದ್ದಾರಿ, ರಾಜಮಾರ್ಗ",,,,,,,,,YES
,Hire purchase agreement,ಬಾಡಿಗೆಯ ಮೇಲೆ ಪಡೆಯುವ ಬಗ್ಗೆ ಕರಾರು,,,,,,,,,YES
,Hypothecation,ಅಡಮಾನ,,,,,,,,,YES
,Ignition coil,ಉರಿಹೊತ್ತಿಗೆ ಸುರುಳಿ,,,,,,,,,YES
,Inflamable articles,"ದಹಿಸುವ ವಸ್ತುಗಳು, ಸುಲಭದಾಹ್ಯ ವಸ್ತುಗಳು",,,,,,,,,YES
,Inland transport,ಒಳನಾಡು ಸಾರಿಗೆ,,,,,,,,,YES
,Inspection of Vehicles,ವಾಹನಗಳ ಪರಿಶೀಲನೆ,,,,,,,,,YES
,Intracity traffic,"ನಗರದೊಳಗಿನ ವಾಹನ ಸಂಚಾರ, ಅಂತರನಗರ ಜನ /ವಾಹನ ಸಂಚಾರ",,,,,,,,,YES
,Invalid carriage,ಅಸಮರ್ಥ ವಾಹನ,,,,,,,,,YES
,Invalid ticket,ಸಿಂಧುವಲ್ಲದ ಚೀಟಿ,,,,,,,,,YES
,Itinerary,ಪ್ರಯಾಣಿಕರ ಕೈಪಿಡಿ,,,,,,,,,YES
,Jack,"ಜಾಕ್‌, ಊರೆಯೆತ್ತಿಗೆ",,,,,,,,,YES
,Karnataka state transport,ಕರ್ನಾಟಕ ರಾಜ್ಯ ಸಾರಿಗೆ,,,,,,,,,YES
,Laden weight,ಹೇರಿದ ಭಾರ,,,,,,,,,YES
,Legal proceedings,ಕಾನೂನು ನಡವಳಿಗಳು,,,,,,,,,YES
,Level crossing,"ರಸ್ತೆ, ರೈಲುಗಳ ಅಡ್ಡ ಸೇತುವೆ, ಹಾಯಿ ದಾರಿ",,,,,,,,,YES
,Lever,ಸನ್ನೆ,,,,,,,,,YES
,Licence,"ಪರವಾನಗಿ, ಲೈಸನ್ಸು, ಅನುಜ್ಞಾನಪತ್ರ",,,,,,,,,YES
,Life insurance,ಜೀವವಿಮೆ,,,,,,,,,YES
,Line checking staff,ಮಾರ್ಗ ತನಿಖಾ ಸಿಬ್ಬಂದಿ,,,,,,,,,YES
,Load capacity,ಭಾರ ಸಾಮರ್ಥ್ಯ,,,,,,,,,YES
,Load restriction,ಹೇರು ನಿರ್ಬಂಧನೆ,,,,,,,,,YES
,Locking of nuts,ತಿರುಪುಗಳನ್ನು ಬಿಗಿಪಡಿಸುವುದು,,,,,,,,,YES
,Long route,ದೂರ ಮಾರ್ಗ,,,,,,,,,YES
,Lubricants,"ಮೃದು ಚಾಲಕಗಳು, ಕೀಲೆಣ್ಣೆಗಳು",,,,,,,,,YES
,Luggage Charges,ಸಾಮಾನು ಸರಂಜಾಮು ಶುಲ್ಕ,,,,,,,,,YES
,Main Road,ಮುಖ್ಯರಸ್ತೆ,,,,,,,,,YES
,Make and Model,ನಿರ್ಮಾಣ ಮತ್ತು ಮಾದರಿ,,,,,,,,,YES
,Mandatory traffic sign,ಆಜ್ಞಾಪಕ / ಆದೇಶದ ಸಂಚಾರ ಸಂಕೇತಗಳು,,,,,,,,,YES
,Mark,ಗುರುತು,,,,,,,,,YES
,Mechanical defect,ತಾಂತ್ರಿಕ / ಯಾಂತ್ರಿಕ ದೋಷ,,,,,,,,,YES
,Mechanic,ಯಾಂತ್ರಿಕ ಸಿಬ್ಬಂದಿ,,,,,,,,,YES
,Metropolitan transport,ಮಹಾನಗರ ಸಾರಿಗೆ,,,,,,,,,YES
,Mileage,"ಮೈಲು ದರ, ಮೈಲು ದೂರ",,,,,,,,,YES
,Milestone,ಮೈಲಿಗಲ್ಲು,,,,,,,,,YES
,Missing links,"ಬಿಟ್ಟುಹೋದ ಕೊಂಡಿಗಳು, ತಪ್ಪಿಹೋದ ಸಂಪರ್ಕ",,,,,,,,,YES
,Mobile squad,ಸಂಚಾರಿ ತಂಡ / ದಳ,,,,,,,,,YES
,Moffusil services,ಗ್ರಾಮಾಂತರ ಬಸ್ಸು ಸೇವೆಗಳು,,,,,,,,,YES
,Motor accidents claims,ಮೋಟಾರು ಅಪಘಾತಗಳ ಹಕ್ಕು,,,,,,,,,YES
,Mudguard,ಕೆಸರು ಕಾಪು,,,,,,,,,YES
,No entry board,ಪ್ರವೇಶವಿಲ್ಲ' ಫಲಕ,,,,,,,,,YES
,Noise pollution,ಶಬ್ದ ಮಾಲಿನ್ಯ,,,,,,,,,YES
,Nominal penalty,ನಾಮಮಾತ್ರದ ದಂಡ,,,,,,,,,YES
,Non-stop,"ತಡೆರಹಿತ, ನಿಲುಗಡೆರಹಿತ",,,,,,,,,YES
,Non-use,ಬಳಕೆಯಲ್ಲಿಲ್ಲದಿರುವುದು / ನಿರುಪಯೋಗಿ,,,,,,,,,YES
,No parking Board,ನಿಲ್ದಾಣವಲ್ಲ' ಫಲಕ,,,,,,,,,YES
,Non-professional,ವೃತ್ತಿಯೇತರ,,,,,,,,,YES
,Obsolete registration,ನಿರುಪಯುಕ್ತ ನೋಂದಣಿ,,,,,,,,,YES
,Octroi posts,"ಉಕ್ಕಡ, ಸುಂಕ ಸ್ಥಾನಗಳು",,,,,,,,,YES
,Oil guage,ತೈಲ ಮಾಪಕ,,,,,,,,,YES
,Omni buses,"ಸಾರ್ವತ್ರಿಕ ಬಸ್ಸುಗಳು, ಅಮ್ನಿ ಬಸ್ಸುಗಳು",,,,,,,,,YES
,On demand,ತಗಾದೆಯ ಮೇಲೆ / ಬೇಡಿಕೆ ಮೇರೆಗೆ,,,,,,,,,YES
,Oneway traffic,ಏಕಮುಖ ಸಂಚಾರ,,,,,,,,,YES
,Overhang,"ಚಾಚಿಕೊಂಡಿರುವುದು, ಮೇಲು ತೂಗು",,,,,,,,,YES
,Overheads,ಮೇಲಿನ ವೆಚ್ಚ/ ಖರ್ಚು,,,,,,,,,YES
,Overheight,ಮಿತಿಮೀರಿದ ಎತ್ತರ,,,,,,,,,YES
,Overlength,ಮಿತಿಮೀರಿದ ಉದ್ದ,,,,,,,,,YES
,Over loaded,ಮಿತಿಮೀರಿದ ಜನ /ಸರಕು ತುಂಬಿರುವ,,,,,,,,,YES
,Over loading,ನಿಗದಿಗಿಂತ ಹೆಚ್ಚು ಜನ ತುಂಬುವುದು,,,,,,,,,YES
,Over riding effect,ತಳ್ಳಿ ಹಾಕುವ ಅಧಿಕಾರ,,,,,,,,,YES
,Over taking,"(ಮುಂದಿನ ವಾಹನದ) ಸಮಕ್ಕೆ ಬರುವುದು, ಹಿಂದಕ್ಕೆ ಹಾಕುವುದು, ಮೀರಿಹೋಗುವುದು.",,,,,,,,,YES
,Over width,ಮೀತಿಮೀರಿದ ಅಗಲ,,,,,,,,,YES
,Parking,ನಿಲುಗಡೆ ಸ್ಥಳ,,,,,,,,,YES
,Pass,"ಪಾಸ್‌, ಅಪ್ಪಣೆ ಚೀಟಿ, ಮುಂದಕ್ಕೆ ಹೋಗು",,,,,,,,,YES
,Passenger,ಪ್ರಯಾಣಿಕ,,,,,,,,,YES
,Passport,"ರಹದಾರಿ ಪತ್ರ, ಪಾಸ್‌ಪೋರ್ಟು",,,,,,,,,YES
,Pavement,"ನೆಲಗಟ್ಟು, ನೆಲಗಟ್ಟಿನ ಕಾಲುದಾರಿ",,,,,,,,,YES
,Pay load,ಜನಸಂಚಾರದ ಪರಮಾವಧಿ,,,,,,,,,YES
,Peak hour service,ಹೆಚ್ಚು ಜನಸಂಚಾರದ ಅವಧಿಯಲ್ಲಿನ ಬಸ್ಸು ಸೇವೆಗಳು,,,,,,,,,YES
,Pedestrian,ಪಾದಚಾರಿ,,,,,,,,,YES
,Pedestrian cross,ಪಾದಚಾರಿ ದಾಟುರಸ್ತೆ,,,,,,,,,YES
,Penalty,ದಂಡ,,,,,,,,,YES
,Periodical inspection of vehicles,ವಾಹನಗಳ ನಿಯತಕಾಲಿಕ ಪರಿಶೀಲನೆ,,,,,,,,,YES
,Permitted load,"ಅನುಮತಿಸಲಾದ ಹೊರೆ, ಭಾರ",,,,,,,,,YES
,Pent duty,"ವಾಹನ ಸಂಚಾರವನ್ನು ಒಂದು ಕ್ರಮದಲ್ಲಿ ನಡೆಸಲು ಗೊತ್ತಾದ ಸ್ಥಳದಲ್ಲಿ ನಿಲ್ಲಿಸಿದ ಪೊಲೀಸ್‌ ಪೇದೆಯ ಕೆಲಸ, ನಿರ್ದಿಷ್ಟ ಸ್ಥಳ ಕರ್ತವ್ಯ",,,,,,,,,YES
,Private carriage,ಖಾಸಗಿ ವಾಹನಗಳು / ಬಂಡಿಗಳು,,,,,,,,,YES
,Proceeds of taxes,ತೆರಿಗೆಗಳ ಹುಟ್ಟುವಳಿ / ವರಮಾನ,,,,,,,,,YES
,Prohibited Roads,ನಿಷೇಧಿತ ರಸ್ತೆಗಳು,,,,,,,,,YES
,Prohibited explosives,ನಿಷೇಧಿತ ಸ್ಫೋಟಕ ವಸ್ತುಗಳು,,,,,,,,,YES
,Prosecuting,"ಕಾನೂನು ಕ್ರಮ ಜರುಗಿಸುವ, ಅಭಿಯೋಗಿಸುವ",,,,,,,,,YES
,Prosecuting inspector,ಅಭಿಯೋಗಿ ನಿರೀಕ್ಷಕ,,,,,,,,,YES
,Provision,"ಉಪಬಂಧ, ಅವಕಾಶ",,,,,,,,,YES
,Public carrier,ಸಾರ್ವಜನಿಕ ವಾಹನ,,,,,,,,,YES
,Public roads,ಸಾರ್ವಜನಿಕ ರಸ್ತೆಗಳು,,,,,,,,,YES
,Rear axle,ಚಕ್ರಸುತ್ತಿನ ಹಿಂದಿನ ಅಚ್ಚು,,,,,,,,,YES
,Rearview mirror,ಹಿಂಬದಿ ದೃಶ್ಯ ದರ್ಶಕ ಕನ್ನಡಿ,,,,,,,,,YES
,Recovery certificate,ವಸೂಲಿ ಪ್ರಮಾಣಪತ್ರ,,,,,,,,,YES
,Reflector,ಪ್ರತಿಫಲಕಗಳು,,,,,,,,,YES
,Refused to issue tickets,ಟಿಕೆಟ್‌ಗಳನ್ನು ನೀಡಲು ನಿರಾಕರಣೆ,,,,,,,,,YES
,Regional transport office,ಪ್ರಾದೇಶಿಕ ಸಾರಿಗೆ ಕಚೇರಿ,,,,,,,,,YES
,Register extract,ರಿಜಿಸ್ಟರಿನ ಉದ್ದೃತ ಭಾಗ,,,,,,,,,YES
,Registered Post/Acknowledgement,ನೋಂದಣಿ ಅಂಚೆ ಸ್ವೀಕೃತಿ ಬಾಕಿ,,,,,,,,,YES
,Registration Certificate Book (R.C. Book),ನೋಂದಣಿ ಪ್ರಮಾಣ ಪತ್ರ ಪುಸ್ತಕ,,,,,,,,,YES
,Registeted laden weight,ನೋಂದಾಯಿತ ಹೊರೆ ಇರದ ತೂಕ,,,,,,,,,YES
,Renewal of Licence,ಪರವಾನಗಿ ನವೀಕರಣ,,,,,,,,,YES
,Reservation,ಕಾಯ್ದಿರಿಸುವಿಕೆ,,,,,,,,,YES
,Restriction of the speed,ವೇಗ ನಿರ್ಬಂಧ,,,,,,,,,YES
,Return ticket,ಹಿಂಬರುವ ಟಿಕೆಟ್‌,,,,,,,,,YES
,Reverse gear,ಹಿಮ್ಮುಖ ಕಚ್ಚುಗಾಲಿ ಗೇರ್‌,,,,,,,,,YES
,Revised fare,ಪರಿಷ್ಕೃತ (ಪ್ರಯಾಣ) ತೆರ ದರ,,,,,,,,,YES
,Road Block,ರಸ್ತೆ ತಡೆ,,,,,,,,,YES
,Route,ಮಾರ್ಗ,,,,,,,,,YES
,Rural services,ಗ್ರಾಮಾಂತರ ಬಸ್‌ ಸೇವೆಗಳು,,,,,,,,,YES
,Scale of refund of tax,ತೆರಿಗೆ ಮರುಪಾವತಿಯ ಪ್ರಮಾಣ ಅಳತೆ,,,,,,,,,YES
,Scheduled time,ನಿಗದಿತ ವೇಳೆ,,,,,,,,,YES
,Scrapped Vehicle,"ಖಂಡಿಸಲ್ಪಟ್ಟ ವಾಹನ, ಹಾಳಾದ ವಾಹನ",,,,,,,,,YES
