ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Action and use,,ಕ್ರಿಯೆ ಮತ್ತು ಉಪಯೋಗ,,,,,,,
,,Active directions,,ಸಕ್ರಿಯ ನಿರ್ದೇಶನಗಳು,,,,,,,
,,Active ingredient,,ಸಕ್ರಿಯ ಘಟಕಾಂಶ,,,,,,,
,,Active transport,,ಸಕ್ರಿಯ ಅಭಿಸರಣ,,,,,,,
,,Acute toxic effects,,ತೀವ್ರ ವಿಷ ಪರಿಣಾಮಗಳು,,,,,,,
,,Adaptation,,"ಹೊಂದಾಣಿಕೆ, ಅಳವಡಿಕೆ",,,,,,,
,,Addict,,"ಚಟಕ್ಕೆ ಬೀಳು, ಚಟಗಾರ, ವ್ಯಸನಿ",,,,,,,
,,Addiction,,"ಚಟ, ವ್ಯಸನ",,,,,,,
,,Addiction Analgesic,,ಚಟಕಾರಕ ವೇದನಹಾರಿ,,,,,,,
,,Addison’s disease,,"ಆಡಿಸನ್ನನ ರೋಗ, ರಕ್ತಹೀನತೆ ಹೆಚ್ಚುತ್ತ ಹೋಗುವ ಒಂದು ರೋಗ",,,,,,,
,,Addition,,"ಸೇರಿಸುವುದು, ಸೇರಿಕೆ",,,,,,,
,,Additive effect,,ಸೇರಿಕೆ ಪರಿಣಾಮ,,,,,,,
,,Adduce,,(ಸಾಕ್ಷ್ಯ) ಒದಗಿಸು,,,,,,,
,,Adducing,,"ಸಾದರಪಡಿಸುವುದು, ಮುಂದಿಡುವುದು",,,,,,,
,,Adequate,,ಸಾಕಷ್ಟು,,,,,,,
,,Adherent Fluid,,ಅಂಟು ದ್ರವ,,,,,,,
,,Adhesional force,,ಅಂಟು ಶಕ್ತಿ,,,,,,,
,,Adhesive,,"ಅಂಟುಗುಣವುಳ್ಳ, ಅಂಟು ಪದಾರ್ಥ",,,,,,,
,,Adhesive bandage,,ಅಂಟುಪಟ್ಟಿ,,,,,,,
,,Adhesiveness,,"ಜಿಗಂಟುತನ, ಅಂಟುತನ",,,,,,,
,,Adhesive plaster,,ಅಂಟು ಪ್ಲಾಸ್ಟರು,,,,,,,
,,Adhesive reaction,,ಅಂಟು ಪ್ರತಿಕ್ರಿಯೆ,,,,,,,
,,Adhesive tape,,ಅಂಟುಪಟ್ಟಿ,,,,,,,
,,Adhibition,,(ಔಷಧಿ) ಕುಡಿಸುವುದು,,,,,,,
,,Admixture,,"ಸಂಮಿಶ್ರಣ, ಮಿಶ್ರಣ",,,,,,,
,,Adopt,,ಅಂಗೀಕರಿಸು,,,,,,,
,,Adrenal,,"ಆಡ್ರಿನಲ್ ಗ್ರಂಥಿಯ, ಮೂತ್ರಜನಕಾಂಗಗಳಿಗೆ ಅಂಟಿಕೊಂಡಿರುವ ನಿರ್ನಾಳ ಗ್ರಂಥಿ",,,,,,,
,,Adrenaline,,ಆಡ್ರಿನಲ್ (ಚೋದಕ) ಅಂತಃಸ್ರಾವ,,,,,,,
,,Adrenergic blockade,,ಆಡ್ರಿನಲಿನ್ ಚೋದನ ತಡೆ,,,,,,,
,,Adrenolytic,,ಆಡ್ರಿನಲಿನ್ ದಮನಕ,,,,,,,
,,Adsorbent,,ಮೇಲ್ಮೈಯಲ್ಲಿ ಹಿಡಿದಿಟ್ಟುಕೊಳ್ಳುವ ವಸ್ತು,,,,,,,
,,Adsorption chromatography,,ವರ್ಣಗಳ ಆಧಾರದ ಮೇಲೆ ಮಿಶ್ರಣದಲ್ಲಿರುವ ನಿಕಟ ವಸ್ತುಗಳನ್ನು ಮೇಲ್ಮೈಯಲ್ಲಿ ಹಿಡಿದಿಟ್ಟುಕೊಳ್ಳುವುದರಿಂದ ಪ್ರತ್ಯೇಕಿಸುವ ಕಾರ್ಯ ವಿಧಾನ,,,,,,,
,,Adulterated,,"ಕಲಬೆರಕೆಯಾದ, ಕಲಬೆರಕೆ ಮಾಡಿದ",,,,,,,
,,Adulterated drugs,,ಕಲಬೆರಕೆ ಔಷಧಿಗಳು,,,,,,,
,,Adverse drug reaction,,ಪ್ರತಿಕೂಲ ಪರಿಣಾಮ,,,,,,,
,,Advisory,,ಸಲಹಾತ್ಮಕ,,,,,,,
,,Advisory committee,,ಸಲಹಾ ಸಮಿತಿ,,,,,,,
,,Adynamia,,"ಸತ್ತ್ವಹೀನತೆ, ನಿತ್ರಾಣ",,,,,,,
,,Aeipathy,,ಬೇರೂರಿದ ವ್ಯಾಧಿ,,,,,,,
,,Aerobe,,ವಾತಾಣುಜೀವಿ,,,,,,,
,,Aerobic,,ವಾತಾಪೇಕ್ಷಿ,,,,,,,
,,Aerosol,,ಏರೋಸಾಲ್: ಒತ್ತಡ ಧಾರಕದಿಂದ ಪ್ರಯೋಗಿಸುವ ಔಷಧ ಅಥವಾ ಕಾಂತಿವರ್ಧಕ,,,,,,,
,,Aerosol therapy,,ಏರೋಸಾಲ್‌ ಚಿಕಿತ್ಸೆ,,,,,,,
,,Affect,,ಬಾಧಿಸು,,,,,,,
,,Affiliation,,ಸಂಯೋಜನೆ,,,,,,,
,,Affinity chromatography,,ನಿಕಟ ಸಂಬಂಧವುಳ್ಳ ದ್ರಾವಣವನ್ನು ರಾಸಾಯನಿಕ ಸಂಯೋಜನ ವಿಧಾನದಿಂದ ಪ್ರತ್ಯೇಕಿಸುವ ಕ್ರಿಯೆ,,,,,,,
,,Affusion,,ಜಲಸೇಚನೆ (ಜ್ವರರೋಗಿಗಳ ಮೈಮೇಲೆ ತಣ್ಣೀರನ್ನು ಸುರಿಯುವುದು),,,,,,,
,,Agent,,"ಏಜೆಂಟ್‌, ಪ್ರತಿನಿಧಿ, ಕಾರಕ",,,,,,,
,,Agglutinate,,"ಅಂಟಿಸು, ಸಂಯುಕ್ತಗೊಳಿಸು",,,,,,,
,,Agglutinim,,ಪ್ರತಿಲಸಿಕೆ,,,,,,,
,,Agglutinogen test,,ಸಂಯುಕ್ತಕಾರಕ ಜನಕ ವಸ್ತು ಪರೀಕ್ಷಣ,,,,,,,
,,Aggreived,,"ಬಾಧಿತ, ತೊಂದರೆಗೊಳಗಾದ",,,,,,,
,,Aging of drugs,,ಔಷಧಗಳ ಹಳತಾಗುವಿಕೆ,,,,,,,
,,Agnail,,ಉಗುರುಸುತ್ತು,,,,,,,
,,Agonist,,ಎಗನಿಸ್ಟ್: ಸ್ನಾಯುಸಂಕೋಚನವನ್ನು ಏಕಕಾಲಕ್ಕೆ ಪ್ರತಿಸ್ನಾಯು ಸಂಕೋಚನವು ತಡೆಯುವುದು ಮತ್ತು ನಿಯಂತ್ರಿಸುವುದು,,,,,,,
,,Agranulocytosis,,ಕಣ ಜೀವದ್ರವ್ಯದ ಕೋಶನಾಶಕ ಸ್ಥಿತಿ,,,,,,,
,,Agreement,,ಒಪ್ಪಂದ,,,,,,,
,,Agrypnotic,,ನಿದ್ರಾನಿರೋಧಿ,,,,,,,
,,Ague,,"ಚಳಿಜ್ವರ, ಮಲೇರಿಯಾ ಜ್ವರ",,,,,,,
,,Ailment,,"ವ್ಯಾಧಿ, ಕಾಯಿಲೆ",,,,,,,
,,Air blower,,ಗಾಳಿ ಊದುಕ ಯಂತ್ರ,,,,,,,
,,Air inflation test,,ಗಾಳಿ ಉಲ್ಬಣ ಪರೀಕ್ಷಣ,,,,,,,
,,Airtight,,ಗಾಳಿ ತೂರದ,,,,,,,
,,Alcohol,,"ಆಲ್ಕೋಹಾಲ್‌, ಮದ್ಯಸಾರ",,,,,,,
,,Alchoholism,,"ಮದ್ಯವ್ಯಸನ, ಕುಡಿತದ ಚಟ, ಮದ್ಯವ್ಯಸನ ರೋಗಾವಸ್ಥೆ",,,,,,,
,,Alexin,,ಅಲೆಕ್ಸಿನ್: ರಕ್ತ ವಿಷಾಣುನಾಶಕ ಸಸಾರಜನಕ,,,,,,,
,,Alexipharmin,,"ಪ್ರತಿವಿಷ, ವಿಷಹರ",,,,,,,
,,Alexipyretic,,ಜ್ವರಹರ,,,,,,,
,,Alexiteric,,"ಅಂಟುರೋಗ ತಡೆಯುವ, ವಿಷಾಪಹಾರಕ",,,,,,,
,,Algefacient,,"ಶೀತಕಾರಕ, ತಂಪು ಮಾಡುವ",,,,,,,
,,Algetic,,ಬಾಧಕ,,,,,,,
,,Alible,,ಪುಷ್ಟಿಕಾರಕ,,,,,,,
,,Alkaloid,,"ಸಸ್ಯಕ್ಷಾರ, ಸಸಾರಜನಕ, ಕ್ಷಾರದ್ರವ್ಯ",,,,,,,
,,Alkalosis,,ಕ್ಷಾರತೆ,,,,,,,
,,Alleged,,ಆಪಾದಿಸಲಾದ,,,,,,,
,,Allergen,,ಅಲರ್ಜಿ ಪ್ರಚೋದಕ ವಸ್ತು,,,,,,,
,,Allergenic extract,,ಅಲರ್ಜಿ ಪ್ರಚೋದಕ ವಸ್ತುಸಾರ,,,,,,,
,,Allergic contact dermatitis,,ಅಲರ್ಜಿ ಸಂಪರ್ಕ ಚರ್ಮರೋಗ,,,,,,,
,,Allergy,,ಅಲರ್ಜಿ: ಅತಿಪ್ರತಿಕ್ರಿಯೆ,,,,,,,
,,Alleviate,,"ಉಪಶಮನ ಮಾಡು, ತಗ್ಗಿಸು",,,,,,,
,,Allopathy,,"ಅಲೋಪತಿ, ಆಂಗ್ಲ ವೈದ್ಯ ಪದ್ಧತಿ",,,,,,,
,,Aloe,,"ಲೋಳಿಸರ, ಲೋಳಿಸರದ ಭೇದಿ ಔಷಧ",,,,,,,
,,Alopecia,,"ಕೂದಲು ಉದುರುವಿಕೆ, ಬೊಕ್ಕ ತಲೆ",,,,,,,
,,Alpha particles,,ಆಲ್ಫ ಕಣಗಳು,,,,,,,
,,Alpha radiation,,ಆಲ್ಫ ವಿಕಿರಣ,,,,,,,
,,Alter,,ಬದಲಾಯಿಸು,,,,,,,
,,Alterative,,ರೋಗಸುಧಾರಕ ಔಷಧ,,,,,,,
,,Ambient,,"ಸುತ್ತಲಿನ, ಪರಿಸರದ",,,,,,,
,,Ambient temperature,,ಪರಿಸರದ ಉಷ್ಣಾಂಶ,,,,,,,
,,Amblotic,,ಗರ್ಭಸ್ರಾವಕ (ಔಷಧ),,,,,,,
,,Ambulance,,"ಆಂಬ್ಯೂಲನ್ಸ್, ರೋಗಿವಾಹನ",,,,,,,
,,Ambulatory,,"ಚಲಿಸುವ, ನಡೆದಾಡುವ ಸ್ಥಿತಿಯಲ್ಲಿರುವ",,,,,,,
,,Amend,,ತಿದ್ದುಪಡಿ ಮಾಡು,,,,,,,
,,Amendment,,ತಿದ್ದುಪಡಿ,,,,,,,
,,Amnesia,,ಮರೆವು ರೋಗ,,,,,,,
,,Amoeba,,"ಅಮೀಬ, ಜಲಜೀವಾಣು",,,,,,,
,,Amoebicides,,ಅಮೀಬನಾಶಕ,,,,,,,
,,Ampoule,,ಅಂಪೋಲ್ (ಒಂದು ಡೋಸ್ ಚುಚ್ಚುಮದ್ದಿನ ಔಷಧಿಯುಳ್ಳ ಮುಚ್ಚುನಳಿಕೆ),,,,,,,
,,Amputation,,ಅಂಗಚ್ಛೇದನ,,,,,,,
,,Anaemia,,ರಕ್ತಹೀನತೆ,,,,,,,
,,Anaerobe,,ನಿರ್ವಾತಾಣುಜೀವಿ,,,,,,,
,,Anaerobic,,ವಾತನಿರಪೇಕ್ಷಿ,,,,,,,
,,Ansesthesia,,"ಸಂವೇದನಹರಣ, ಅರಿವಳಿಕೆ",,,,,,,
,,Anaesthetic,,"ಸಂವೇದನಹಾರಕ, ಅರಿವಳಿಕೆ",,,,,,,
,,Analeptic,,"ಪುನರುಜ್ಜೀವಕ (ಔಷಧ), ಶಕ್ತಿವರ್ಧಕ (ಔಷಧ)",,,,,,,
,,Analgesic,,"ವೇದನಹಾರಕ, ನೋವಳಿಕ",,,,,,,
,,Analogous product,,ಸದೃಶ ವಸ್ತು,,,,,,,
,,Analysis,,ವಿಶ್ಲೇಷಣೆ,,,,,,,
,,Analytical Balance,,ವಿಶ್ಲೇಷಣ ತೋಲನ ಯಂತ್ರ,,,,,,,
,,Anaphylactic shock,,ಅತಿಸಂವೇದನ ಪ್ರತಿಕ್ರಿಯೆ / ಆಘಾತ,,,,,,,
,,Anaphylaxis,,ಅತಿ ಸಂವೇದನಶೀಲತೆ,,,,,,,
,,Anasarca,,"ಜಲೋದರ ರೋಗ, ಸೋಬೆರೋಗ",,,,,,,
,,Amblyopia,,ದೃಷ್ಟಿಮಾಂದ್ಯ,,,,,,,
,,Anchylosis,,ಸಂಧಿವಾತ,,,,,,,
,,Angina,,"ಸೆರೆಬಿಗಿತ ನೋವು, ಗಂಟಲು ಊತ",,,,,,,
,,Angina pectoris,,ಎದೆಚಳುಕು,,,,,,,
,,Anhydrous,,ನಿರ್ಜಲ,,,,,,,
,,Animal products,,ಪ್ರಾಣಿ ಉತ್ಪನ್ನಗಳು,,,,,,,
,,Anionic agent,,ಋಣ ಐಯಾನಿನ ಕಾರಕ,,,,,,,
,,Annual Supplement,,ವಾರ್ಷಿಕ ಪುರವಣಿ,,,,,,,
,,Annulment,,ರದ್ದತಿ,,,,,,,
,,Anodyne,,ನೋವು ನಿವಾರಕ,,,,,,,
,,Anoint,,ಲೇಪಿಸು,,,,,,,
,,Antacid,,ಪ್ರತ್ಯಾಮ್ಲ,,,,,,,
,,Antagonism,,ವಿರೋಧ,,,,,,,
,,Antagonist,,ಪ್ರತಿರೋಧಕ,,,,,,,
,,Antalgic,,ವೇದನಹಾರಿ,,,,,,,
,,Antarthritic,,ವಾತರೋಗ ನಿವಾರಕ,,,,,,,
,,Antasthmatic,,ಅಸ್ತಮ ನಿರೋಧಕ,,,,,,,
,,Antatrophic,,ಕ್ಷೀಣತಾನಿರೋಧಿ,,,,,,,
,,Anterior lobe,,ಅವಯವದ ಮುಂಭಾಗ,,,,,,,
,,Anthelmintic,,ಕರುಳು ಜಂತುನಾಶಕ,,,,,,,
,,Anthrax,,(ದನಕರುಗಳಿಂದ ಮನುಷ್ಯರಿಗೆ ಬರುವ) ಕೆಟ್ಟ ಕುರು,,,,,,,
,,Antianxiety,,ಕಳವಳ ವಿರೋಧಿ,,,,,,,
,,Antiarrhythmic drug,,ಕ್ರಮರಹಿತ ಹೃದಯ ಬಡಿತ ನಿರೋಧಕ ಔಷಧ,,,,,,,
,,Anti Asthamatics,,ಅಸ್ತಮಾ / ಗೂರಲು ನಿರೋಧಕ,,,,,,,
,,Antioilicus,,ಪಿತ್ತನಾಶಕ,,,,,,,
,,Antibiotics,,ಪ್ರತಿಜೈವಿಕ ವಸ್ತು,,,,,,,
,,Antibody,,ಪ್ರತಿವಿಷ ವಸ್ತು,,,,,,,
,,Anti Co-agulant,,ಹೆಪ್ಪುಗಟ್ಟು ನಿರೋಧಕ,,,,,,,
,,Anti Convulsant,,ಸೆಳೆತ ನಿರೋಧಕ,,,,,,,
,,Anti depressant,,ಖಿನ್ನತಾ ನಿರೋಧಕ,,,,,,,
,,Antidote,,ವಿಷಹಾರಿ (ಔಷಧ),,,,,,,
,,Anti emetics,,ವಾಂತಿ ನಿರೋಧಕ,,,,,,,
,,Anti epileptic,,ಅಪಸ್ಮಾರ ನಿರೋಧಕ,,,,,,,
,,Anti fungal,,ಶಿಲೀಂಧ್ರ ನಿರೋಧಕ,,,,,,,
,,Antigen,,ಪ್ರತಿವಿಷಜನಕ,,,,,,,
,,Antigenicity,,ಪ್ರತಿವಸ್ತುಜನಕತ್ವ ಶಕ್ತಿ,,,,,,,
,,Antilithic,,"ಮೂತ್ರಾಶ್ಮ ನಿರೋಧಕ, ಮೂತ್ರಕೋಶದಲ್ಲಿಯ ಕಲ್ಲನ್ನು ಕರಗಿಸುವ ಔಷಧ",,,,,,,
,,Anti logarithm,,ಪ್ರತಿಲಘಂಗಣಕ,,,,,,,
,,Antioxidant,,ಪ್ರತಿಭಸ್ಮಕಾರಕ ಆಮ್ಲಜನಕ ಸಂಯೋಜನ ವಿರೋಧಿ,,,,,,,
,,Antiphlogistine,,ಊತದ ಉರಿಶಾಮಕ,,,,,,,
,,Antiprotozoal,,ಪ್ರೊಟೋಝೋವಾ ನಿರೋಧಕ,,,,,,,
,,Antipyretic,,ಜ್ವರನಿವಾರಕ,,,,,,,
,,Antirabic vaccine,,ಹುಚ್ಚನಾಯಿ ಕಡಿತ ರೋಗ ನಿರೋಧಕ ಲಸಿಕೆ,,,,,,,
,,Antiscorbutic,,ರಕ್ತ ಪಿತ್ತ ನಿರೋಧಕ,,,,,,,
,,Antiseptic,,ಪೂತಿನಿರೋಧನ; ಪೂತಿನಾಶಕ,,,,,,,
,,Antiserum,,ಪ್ರತಿಲಸಿಕೆ,,,,,,,
,,Antispasmodic,,ಸೆಳೆವುರೋಗ ನಿರೋಧಕ,,,,,,,
,,Antitoxin,,"ಪ್ರತಿವಿಷ, ವಿಷಹಾರಿ",,,,,,,
,,Antivenene,,ಸರ್ಪ ವಿಷಹಾರಿ,,,,,,,
,,Antipsychotic,,ಮನೋರೋಗ ನಿರೋಧಕ,,,,,,,
,,Anxiety,,"ಕಳವಳ, ಕಾತರ",,,,,,,
,,Apepsy,,ಅಗ್ನಿಮಾಂದ್ಯ,,,,,,,
,,Aperient,,ಸುಖ ವಿರೇಚಕ,,,,,,,
,,Apoplexy,,ಮೆದುಳು ರಕ್ತಾಘಾತದಿಂದ ತಟ್ಟನೆ ಪ್ರಜ್ಞೆ ತಪ್ಪುವುದು,,,,,,,
,,Apothecary,,"ಔಷಧ ರಸಾಯನಜ್ಞ, ಔಷಧಿಗಾರ",,,,,,,
,,Apothecary system of weights,,ಔಷಧಾಲಯ ತೂಕ ಪದ್ಧತಿ,,,,,,,
,,Apparatus,,ಉಪಕರಣ,,,,,,,
,,Appeal,,ಅಪೀಲು,,,,,,,
,,Appear,,"ಕಾಣಿಸು, ಹಾಜರಾಗು",,,,,,,
,,Appearance,,"ತೋರಿಕೆ, ಚರ್ಯೆ(ನ್ಯಾಯಾಲಯದಲ್ಲಿ) ಹಾಜರಾತಿ",,,,,,,
,,Appetizor,,ಕ್ಷುಧಾವರ್ಧಕ,,,,,,,
,,Appellant,,ಅಪೀಲುದಾರ,,,,,,,
,,Appellate,,"ಅಪೀಲಿನ, ಮೇಲ್ಮನವಿಯ",,,,,,,
,,Appendicitis,,ಕುರುಳುಬಾಲ ರೋಗ,,,,,,,
,,Appliance,,ಸಲಕರಣೆ,,,,,,,
,,Application,,"ಅರ್ಜಿ, ಲೇಪನ",,,,,,,
,,Apply,,"ಅನ್ವಯಿಸು, ಲೇಪಿಸು",,,,,,,
,,Appoint,,ನೇಮಿಸು,,,,,,,
,,Approval,,ಅನುಮೋದನೆ,,,,,,,
,,Approved practitioner,,ಅನುಮೋದಿತ(ವೈದ್ಯ) ವೃತ್ತಿಗಾರ,,,,,,,
,,Approximation,,ಸಮೀಪೀಕರಣ,,,,,,,
,,Area,,ಕ್ಷೇತ್ರ,,,,,,,
,,Aromatic,,ಸುಗಂಧಯುಕ್ತ,,,,,,,
,,Aromaticity,,ಸುಗಂಧಿತ,,,,,,,
,,Aromatic water,,ಪನ್ನೀರು,,,,,,,
,,Arsenic,,"ಪಾಷಾಣ, ಶಂಖಪಾಷಾಣ",,,,,,,
,,Arteriosclerosis,,ಅಪಧಮನೀ ಪೆಡಸಣೆ,,,,,,,
,,Arthritis,,"ಸಂಧಿವಾತ, ವಾತರೋಗ",,,,,,,
,,Arthropathy,,ಕೀಲುರೋಗ,,,,,,,
,,Article,,"ವಸ್ತು, ಪದಾರ್ಥ, ಅನುಚ್ಛೇದ, ಲೇಖನ",,,,,,,
,,Ascertain,,"ಖಚಿತಪಡಿಸಿಕೊಳ್ಳು, ವಿಚಾರಿಸಿ ತಿಳಿದುಕೊಳ್ಳು",,,,,,,
,,Ascites,,ಕಿಬ್ಬೊಟ್ಟೆ ಜಲರೋಗ,,,,,,,
,,Asepsis,,ವಿಷಾಣುರಹಿತ ಸ್ಥಿತಿ,,,,,,,
,,Asepsis laboratory,,ವಿಷಾಣುರಹಿತ ಪ್ರಯೋಗಾಲಯ,,,,,,,
,,Aseptic,,ವಿಷಾಣುರಹಿತ,,,,,,,
,,Aseptic technic,,ವಿಷಾಣುರಹಿತ ತಂತ್ರ,,,,,,,
,,Ash,,"ಭಸ್ಮ, ಬೂದಿ",,,,,,,
,,"Ash, sulphated",,ಗಂಧಕೀಕೃತ ಭಸ್ಮ,,,,,,,
,,"Ash, water soluble",,ನೀರಿನಲ್ಲಿ ಕರಗುವ ಬೂದಿ,,,,,,,
,,Assay,,"ಒರೆ, ನಿಷ್ಕರ್ಷೆ, ವಿಶ್ಲೇಷಣೆ",,,,,,,
,,Assent,,"ಸಮ್ಮತಿ, ಅನುಮತಿ",,,,,,,
,,Assistant,,ಸಹಾಯಕ,,,,,,,
,,Astringent,,ಬಂಧಕ ಔಷಧ,,,,,,,
,,Atmosphere contamination source,,ವಾತಾವರಣ ಮಾಲಿನ್ಯ ಮೂಲ,,,,,,,
,,Atom,,ಪರಮಾಣು,,,,,,,
,,Atomic weight,,ಪರಮಾಣು ತೂಕ,,,,,,,
,,Atomiser,,"ಅಣುಕಾರಕ, ತುಂತುರಿಕ",,,,,,,
,,Atopic dermatitis,,ಆನುವಂಶಿಕ ಅಲರ್ಜಿ ಚರ್ಮರೋಗ,,,,,,,
,,Atrophy,,ಕ್ಷೀಣತೆ,,,,,,,
,,Attract,,"ಆಕರ್ಷಿಸು, ಗಮನಸೆಳೆ",,,,,,,
,,Audiovisual,,ಶ್ರವಣ ದೃಶ್ಯ,,,,,,,
,,Authorisation,,ಅಧಿಕಾರ ನೀಡಿಕೆ,,,,,,,
,,Authoritative,,"ಅಧಿಕಾರಯುಕ್ತ, ಆಧಾರ ಪೂರ್ವಕ",,,,,,,
,,Authority,,ಅಧಿಕಾರ / ರಿ,,,,,,,
,,Auto analyser,,ಸ್ವಯಂ ವಿಶ್ಲೇಷಕ,,,,,,,
,,Auto anti body,,ಸ್ವಯಂ ರೋಗ ಪ್ರತಿಕಾರಕ,,,,,,,
,,Autoclave,,(ಸೂಕ್ಷ್ಮ ರೋಗಾಣುನಾಶಕ ಕ್ರಿಯೆಗಾಗಿ ಬಳಸುವ) ಅಧಿಕೋಷ್ಣ ಹಬೆಯೊತ್ತಡ ಪಾತ್ರೆ,,,,,,,
,,Auto cytometre,,ಸ್ವಯಂ ರಕ್ತಕೋಶ ಮಾಪಕ,,,,,,,
,,Auto fluoroscope,,"ಸ್ವಯಂ ಅಗೋಚರ ಕಿರಣದರ್ಶಕ, ರಾಂಟ್‌ಜನ್ ಕಿರಣ ಪರಿಣಾಮದರ್ಶಕ ಸಲಕರಣೆ",,,,,,,
,,Autonomic,,"ಸ್ವಾಯತ್ತ, ಸ್ವಯಂ ಅಧಿಕಾರವುಳ್ಳ",,,,,,,
,,Autooxidation,,ಸ್ವಯಂ ಭಸ್ಮೀಕರಣ,,,,,,,
,,Auto plasty,,ಸ್ವ ಅಂಗಾಂಶ ಕಸಿ,,,,,,,
,,Autotoxin,,"ಸ್ವಜನೀ ವಿಷ, ದೇಹದಲ್ಲಿ ಉಂಟಾಗುವ ವ್ಯತ್ಯಾಸಗಳಿಂದ ಹುಟ್ಟುವ ವಿಷ ಪದಾರ್ಥ",,,,,,,
,,Ayurvedic,,ಆಯುರ್ವೇದದ,,,,,,,
,,Bacteria,,"ಬ್ಯಾಕ್ಟೀರಿಯ, ಸೂಕ್ಷ್ಮಾಣುಜೀವಿ",,,,,,,
,,Bacterial colony,,ಸೂಕ್ಷ್ಮಾಣುಜೀವಿ ವಸಾಹತು,,,,,,,
,,Bactericidal,,ಸೂಕ್ಷ್ಮಾಣುಜೀವಿ ನಾಶಕ,,,,,,,
,,Bacteriology,,ಸೂಕ್ಷ್ಮಾಣುಜೀವಿ ವಿಜ್ಞಾನ,,,,,,,
