ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Adynamia,ಸ್ನಾಯು ನಿರ್ಬಲತೆ,,,,,,,,,
,Aedoeology,ಜನನಾಂಗಶಾಸ್ತ್ರ,,,,,,,,,
,Aerosols,"ಗಾಳಿತೂರು ದ್ರವಗಳು, ನೀರ್ಗಾಳಿ",,,,,,,,,
,Aestivation,"ಬೇಸಗೆಯ ಚೇತನ, ಗ್ರೀಷ್ಮ ನಿಶ್ಚೇಷ್ಟತೆ",,,,,,,,,
,Afebrile,"ಜ್ವರಬಿಟ್ಟ, ಜ್ವರರಹಿತ",,,,,,,,,
,Afferentia,ಒಳಸಾಗು ನಾಳಗಳು,,,,,,,,,
,Afferent nerve,"ಕೇಂದ್ರಾಭಿವಾಹಿನರ, ಅಂತರ್ವಾಹೀ (ಒಳಸಾಗು) ನರ",,,,,,,,,
,Aflatoxin,"ಅಫ್ಲಾಟಾಕ್ಸಿನ್, ವಿಷಕಾರಕ ವಸ್ತು",,,,,,,,,
,African coast fever,ಆಫ್ರಿಕಾದ ತೀರಪ್ರದೇಶದ ಜ್ವರ,,,,,,,,,
,African horse sickness,ಆಫ್ರಿಕಾದ ಕುದುರೆಜ್ವರ,,,,,,,,,
,African pig disease,ಆಫ್ರಿಕಾದ ಹಂದಿರೋಗ,,,,,,,,,
,African swine fever,ಆಫ್ರಿಕಾದ ಹಂದಿಜ್ವರ,,,,,,,,,
,After birth,"ಮಾಸು, ಸೆತ್ತೆ",,,,,,,,,
,After care,ಮೇಲಾರೈಕೆ,,,,,,,,,
,Agalactia,"ಸ್ತನ್ಯಹೀನತೆ, ಹಾಲಿಲ್ಲದಿರುವಿಕೆ",,,,,,,,,
,Agalorrhoea,ಹಾಲುಬತ್ತುವೆ,,,,,,,,,
,Agammaglobinaemia,ಗ್ಯಾಮಗ್ಲೋಬಿನ್ ರಕ್ತಕೊರೆ,,,,,,,,,
,Agastric,ಜಠರವಿಲ್ಲದ,,,,,,,,,
,Age of eruption,ಹಲ್ಲುಹುಟ್ಟುವಾಗಿನ ವಯಸ್ಸು,,,,,,,,,
,Age at first calving,ಮೊದಲ ಸೂಲಿನ ವಯಸ್ಸು,,,,,,,,,
,Aged,ವಯಸ್ಸಾದ (ಆರ್ಥಿಕ ಲಾಭಾವಧಿ ಮುಗಿದ),,,,,,,,,
,Ageing,1. ವಯಸ್ಸಾಗುವಿಕೆ 2. ಹದವಾಗುವಿಕೆ,,,,,,,,,
,Agistment,ಹುಲ್ಲುಗಾವಲು ಮೇಯಿಸುವ ಹಕ್ಕಿನ ಗೇಣಿ,,,,,,,,,
,Agglutination test,ಅಂಟಿಕೆ / ಅಂಟಣಿಕೆ ಪರೀಕ್ಷೆ,,,,,,,,,
,Aglurition,ಅಂಟಣಿಕೆ,,,,,,,,,
,Agmark-ghee,ಅಗ್‌ಮಾರ್ಕ್‌ ತುಪ್ಪ,,,,,,,,,
,Agmatology,ಎಲುಮುರಿಕೆಶಾಸ್ತ್ರ,,,,,,,,,
,Agonists,ಸಂಕಟಕಾರಿಗಳು,,,,,,,,,
,Agranulocyte,ಹರಳಿರದ ಕೋಶ,,,,,,,,,
,Agri. business,ಕೃಷಿ ವ್ಯವಹಾರ / ಉದ್ಯಮ,,,,,,,,,
,Agrostology,ಹುಲ್ಲು ಕೃಷಿಶಾಸ್ತ್ರ,,,,,,,,,
,A I. gun,ಕೃತಕ ವೀರ್ಯಾವಾಪನ / ಗರ್ಭಧಾರಣ ತುಪಾಕಿ (ಗನ್),,,,,,,,,
,Alarligament,ಪಕ್ಕದ ತಂತುಗಟ್ಟು,,,,,,,,,
,Albinism,"ಬಿಳಿಚಿಕೆ, ರಂಜಕಹೀನತೆ",,,,,,,,,
,Albino,ಬಿಳಿಚಿಕೊಂಡ ಪ್ರಾಣಿ (ಏಕೈಕ ಅಪ್ರಭಾವೀ ವಂಶವಾಹಿಯಿಂದಾಗಿ),,,,,,,,,
,Albumen,"ಬಿಳಿಲೋಳೆ, ತತ್ತಿಲೋಳೆ",,,,,,,,,
,Albuminuria,ಲೋಳೆಮೂತ್ರ,,,,,,,,,
,Alimentary,"ಹೊಟ್ಟೆಭಾಗದ, ಜೀರ್ಣಾಂಗದ",,,,,,,,,
,Alimentary canal,ಜೀರ್ಣಾಂಗವ್ಯೂಹ/ನಾಳ,,,,,,,,,
,Alimentary tract,ಜಠರ / ಜೀರ್ಣಾಂಗವ್ಯೂಹ ನಾಳ,,,,,,,,,
,Allantochorion,"ಜರಾಯು, ಹೊಕ್ಕಳಚೀಲ",,,,,,,,,
,Allantoic fluid,ಭ್ರೂಣಾವರಿತ ದ್ರವ,,,,,,,,,
,Allantosis,ಹೊಕ್ಕಳ ಚೀಲ,,,,,,,,,
,Alleles,"ಒಡರೂಪಿ, ಜೋಡಿ (ಜೋಡಿ ವರ್ಣದಂಡಗಳ ಮೇಲೆ ಒಂದೇ ಬಿಂದುವಿನ ಮೇಲಿನ ವಂಶವಾಹಿಗಳು)",,,,,,,,,
,Allelomorph,ಒಡರೂಪಿ,,,,,,,,,
,Allergic disorders,ಒಗ್ಗದಿಕೆ ರೋಗಗಳು,,,,,,,,,
,Allergin,ಒಗ್ಗದಿಕೆ ಜನಕ,,,,,,,,,
,Allergy,ಒಗ್ಗದಿಕೆ,,,,,,,,,
,Alleviation,"ಕಡಮೆಮಾಡುವಿಕೆ, ಶಮನಮಾಡುವಿಕೆ, ನಿವಾರಣೆ",,,,,,,,,
,"Alleviation, stress",ಯಾತನೆ ನಿವಾರಣೆ,,,,,,,,,
,Alligator,"ಮೊಸಳೆ, ಮಕರ",,,,,,,,,
,Allosome,ಯಾವುದೇ ಮಾದರೀಯ (ವಿಶೇಷವಾಗಿ ಲೈಂಗಿಕ) ವರ್ಣತಂತುಗಳು,,,,,,,,,
,Allosomol inheritence,ವರ್ಣತಂತುಗಳಲ್ಲಿ ವಂಶವಾಹಿಪಾಲಿತ ಗುಣಧರ್ಮಗಳ ಆನುವಂಶಿಕತೆ,,,,,,,,,
,Allotrophagia,ಆಹಾರೇತರ ವಸ್ತುಗಳ ಸೇವನೆ,,,,,,,,,
,Allowance,ಸೋಡಿ ಭತ್ಯ,,,,,,,,,
,Alopecia,ಕೂದಲುದುರಿ ಬೋಳಾಗುವಿಕೆ (ನೈಸರ್ಗಿಕವಾಗಿ ಇಲ್ಲವೇ ಅಸಹಜವಾಗಿ),,,,,,,,,
,Alpine,ಸ್ವಿಸ್ಆಲ್ಪ್‌ನ ದೇಸೀಆಡು,,,,,,,,,
,Alternate AMPM sampling plan,ಹೈನುಗಾರದಲ್ಲಿ ದಾಖಲೆಯಿಡುವ ಒಂದು ಯೋಜನೆ,,,,,,,,,
,Alum precipitated,ಸ್ಫಟಿಕ ಪ್ರಕ್ಷೇಪಿತ,,,,,,,,,
,Alveolar emphysema,"ವಾಯುಕುಹರ, ಗಾಳಿಯುಬ್ಬರ",,,,,,,,,
,Alveoli,"ವಾಯುಕುಹರ, ಗಾಳಿಗೂಡು",,,,,,,,,
,Alveolus,1. ಗಾಳಿಕೋಶ/ಗೂಡುಗಳು 2. ಹಲ್ಗೂಡುವಾಯುಕುಹರ 3. ಹಾಲುಕೋಶಗಳ ಕಿರುಗೂಡು,,,,,,,,,
,Amaurosis,ಮಂದದೃಷ್ಟಿ,,,,,,,,,
,Ambient,"ಆವೃತ, ಸುತ್ತುವರಿದ",,,,,,,,,
,Ambient temperature,ವಾತಾವರಣದ ಉಷ್ಣತೆ,,,,,,,,,
,Amblyopia,ಮಂದದೃಷ್ಟಿ,,,,,,,,,
,Ameiosis,ಸಂಖ್ಯಾಕ್ಷೀಣ ವಿಭಜನೆ ರಹಿತತೆ,,,,,,,,,
,Amensalism,ಒಂದು ಜೈವಿಕ ಅಂತಃಕ್ರಿಯೆ,,,,,,,,,
,Amitosis,ಸಮಸೂತ್ರ ವಿಭಜನೆರಹಿತತೆ,,,,,,,,,
,Amnion,"ಗರ್ಭವೇಷ್ಟನ / ಉಲ್ಬ / ಭ್ರೂಣಾವರಣ ಪರೆ, ಭ್ರೂಣಪೊರೆ",,,,,,,,,
,Amniota,ಭ್ರೂಣಕೋಶ ಪ್ರಾಣಿಗಳು,,,,,,,,,
,Amniotic fluid,"ಗರ್ಭವೇಷ್ಟನ ದ್ರವ, ಉಲ್ಬದ್ರವ",,,,,,,,,
,Amniotic sac,"ಗರ್ಭವೇಷ್ಟನ ಚೀಲ, ಉಲ್ಬಚೀಲ",,,,,,,,,
,Amoebiasis,ಚಲಕಣಬೇನೆ,,,,,,,,,
,Amoeboid cell,ಅಮೀಬಾದಂತಹ ಕೋಶ,,,,,,,,,
,Amphiarthrosis,"ಇಗ್ಗೀಲುವೆ, ಅಲ್ಪಚಲಸಂದು",,,,,,,,,
,Amphibian,ಉಭಯಜೀವಿ,,,,,,,,,
,Amphibolic,"ಅನಿಶ್ಚಿತ, ಅನುಮಾನಿತ",,,,,,,,,
,Ampules,ನಳಿಕೆಗಳು,,,,,,,,,
,Ampulla,ನಾಳ್ಚೀಲ,,,,,,,,,
,AMR (Auto milk release),ಸ್ವಯಂ ಹಾಲು ಬಿಡುಗಡೆ,,,,,,,,,
,Amul dan,ದನಗಳ ಅಮುಲ್ ತಿಂಡಿ,,,,,,,,,
,Anabolic,ಉತ್ಪಾದಕ,,,,,,,,,
,Anaemia,"ರಕ್ತಹೀನತೆ, ರಕ್ತಕೊರೆ",,,,,,,,,
,Anaemic,ರಕ್ತಕಣಗಾತ್ರ ಮತ್ತು / ಇಲ್ಲವೇ ಸಂಖ್ಯಾಕೊರತೆ,,,,,,,,,
,Anaesthesia,"ವೇದನಾಪಹಾರಕ, ಸಂವೇದನಾಪಹಾರಿ, ಅರಿವಳಿಕೆ",,,,,,,,,
,Anaesthetic,ಅರಿವಳಿಕ,,,,,,,,,
,Anal fistula,ಗುದನಾಳದ ನಾಳೀಹುಣ್ಣು,,,,,,,,,
,Analgesic,"ನೋವುನಿವಾರಕ, ವೇದನಾಹಾರಿಕ",,,,,,,,,
,Anal gland,ಗುದಸಂಬಂಧಿ ಗ್ರಂಥಿ,,,,,,,,,
,Analogue,ಸಮಗೆಲಸಿ / ರೂಪಿ,,,,,,,,,
,Analgesia,"ನೋವು ನಿವಾರಕತೆ, ವೇದನಾಪಹಾರಿಕತೆ",,,,,,,,,
,Anamestic,ದೊಡ್ಡಸ್ಥಿರಮೂಳೆಗಳ ನಡುವಣ ಸ್ಥಾನ ತುಂಬುವ ಚಿಕ್ಕಮೂಳೆಗಳು (ಮೀನು ತಲೆಯಲ್ಲಿದ್ದಂತೆ),,,,,,,,,
,Anamnesis,ರೋಗಿಯ ಪೂರ್ವಚರಿತ್ರೆ/ಹಿನ್ನೆನಪು ಮರವೆ,,,,,,,,,
,Anamniota,"ಭ್ರೂಣಕೋಶರಹಿತ ಪ್ರಾಣಿಗಳು, ಗರ್ಭಪರಿವೇಷ್ಟನ ಪೊರೆರಹಿತ ಪ್ರಾಣಿಗಳು",,,,,,,,,
,Anaphase,ಕೋಶವಿಭಜನೆಯ ತೃತೀಯ ಹಂತ,,,,,,,,,
,Anaphrodisiac,ಕಾಮೋತ್ತೇಜಿಸದಿರುವಿಕೆ,,,,,,,,,
,Anaplasma marginal,ಪ್ರಾಣಿಗಳಲ್ಲಿ ಅನಪ್ಲಾಸ್ಮೋಸಿಸ್ ಉಂಟುಮಾಡುವ ಸೂಕ್ಷ್ಮಪರೋಪಜೀವಿ,,,,,,,,,
,Anaplasmosis,ದನಗಳ ಒಂದು ಗಂಭೀರ ಸೋಂಕುಕಾರಕ ರಕ್ತರೋಗ,,,,,,,,,
,Anastomosis,"ಅಂತ್ಯಾಂತ್ಯ ಸಂಬಂಧ, ಅಡ್ಡಗೂಡಣೆ, ಬಾಯಿಗೂಡಿಕೆ",,,,,,,,,
,Anatomy,ಅಂಗರಚನಾಶಾಸ್ತ್ರ,,,,,,,,,
,Ancestor,"ಪೂರ್ವಜ, ಮೂಲಪುರುಷ",,,,,,,,,
,Ancestry,ವಂಶಪರಂಪರೆಯ,,,,,,,,,
,Ancylostomiasis,ಕೊಕ್ಕೆಹುಳುಗಳ ಬೇನೆ,,,,,,,,,
,Androgen,"ಪುಂಜನಕ, ಗಂಡುಜನಕ",,,,,,,,,
,Androgenic hormone,ಪುಂಜನಿಕ / ಗಂಡುಜನಕ ಚೋದಕ,,,,,,,,,
,Anestrus,"ಬೆದೆರಹಿತತೆ, ನಿರ್ಬೆದೆ",,,,,,,,,
,Aneuploidy,ಕುಗುಣಿತತೆ,,,,,,,,,
,Aneurism,ಅಗಲುಬ್ಬು,,,,,,,,,
,Angioma,ರಕ್ತನಾಳಗಂತಿ,,,,,,,,,
,Angora goat,ಅಂಗೋರಾ ಮೇಕೆ,,,,,,,,,
,Animal,ಪ್ರಾಣಿ,,,,,,,,,
,Animal behaviour,ಪ್ರಾಣಿ ವರ್ತನೆ,,,,,,,,,
,Animal fat,ಪ್ರಾಣಿಮೂಲದ ಕೊಬ್ಬು,,,,,,,,,
,Animal feed,ಪ್ರಾಣಿ ಆಹಾರ,,,,,,,,,
,Animal husbandman,"ಪಶುಸಂಗೋಪಕ, ಗೋವಳ, ಗೋವಳಿಗ",,,,,,,,,
,Animal husbandry,ಪಶುಸಂಗೋಪನೆ,,,,,,,,,
,Animal management artistry,ಪ್ರಾಣಿನಿರ್ವಹಣ ಕಲೆ,,,,,,,,,
,Animal organic wastes,ಪ್ರಾಣಿ ಸಾವಯವ ವ್ಯರ್ಥ ಪದಾರ್ಥಗಳು,,,,,,,,,
,Animal production,ಪ್ರಾಣಿ ಉತ್ಪಾದನೆ,,,,,,,,,
,Animal production technology,ಪ್ರಾಣಿ ಉತ್ಪನ್ನಗಳ ತಾಂತ್ರಿಕತೆ,,,,,,,,,
,Animal protein,ಪ್ರಾಣಿ ಸಸಾರಜನಕ,,,,,,,,,
,Animal psychology,ಪ್ರಾಣಿ ಮನಃಶಾಸ್ತ್ರ,,,,,,,,,
,Animal unit,"ಪ್ರಾಣಿ ಘಟಕ: ಒಂದು ಪ್ರೌಢ ಹಸು ಅಥವಾ ಅದಕ್ಕೆ ಸಮಾನವಾದುದು (ಒಂದು ಪ್ರಾಣಿ ಘಟಕವು ಹೆಚ್ಚು ಕಡಮೆ 1 ಕುದುರೆ, 5 ಕುರಿ ಇಲ್ಲವೇ 1 ವರ್ಷ ವಯೋಮಾನದ 2 ಕರುಗಳಿಗೆ ಸಮವಾಗಿರುತ್ತದೆ).",,,,,,,,,
,Animal unit month,ಪ್ರಾಣಿ ಘಟಕ ಮಾಸ (ಒಂದು ಪ್ರಾಣಿ ಘಟಕಕ್ಕೆ ತಿಂಗಳವಧಿಗೆ ಬೇಕಾಗುವ ಮೇವು ಇಲ್ಲವೇ 3/10 ಟನ್ (ಒಣಹುಲ್ಲು ಇಲ್ಲವೇ 300 ಪೌಂಡು ಒಟ್ಟು ಜೀರ್ಣವಾಗಬಲ್ಲ ಆಹಾರ),,,,,,,,,
,Anjan grass hay,ಅಂಜನ್ ಜಾತಿಯ ಒಣಹುಲ್ಲು,,,,,,,,,
,Ankylosis,ಕೀಲುಗಟ್ಟು,,,,,,,,,
,Annular ligament,ಕಂಕಣ ತಂತುಗಟ್ಟು,,,,,,,,,
,Anodynes,ನೋವುಶಾಮಕ ಔಷಧಗಳು,,,,,,,,,
,Anoestrous period,"ಬೆದೆಯಲ್ಲಿಲ್ಲದ ಅವಧಿ, ನಿರ್ಬೆದೆಕಾಲ",,,,,,,,,
,Anoestrous pig,ಅನಿರ್ದಿಷ್ಟ ಕಾಲದವರೆಗೆ ಬೆದೆ ತೋರಿಸದ ಹಂದಿ,,,,,,,,,
,Anogenital,ಗುದಜನನಾಂಗದ,,,,,,,,,
,Anorexia,"ಆಹಾರ ನಿರಾಸಕ್ತಿ / ನಿರಪೇಕ್ಷೆ, ಹಸಿವಿಲ್ಲರುವಿಕೆ, ಹಸಿವುನಾಶ",,,,,,,,,
,Anoxia,ರಕ್ತಾಮ್ಲಜನಕ ಕೊರೆ,,,,,,,,,
,Antacid,ಪ್ರತ್ಯಾಮ್ಲ,,,,,,,,,
,Antagonistic,ವೈರುದ್ಧಕ,,,,,,,,,
,Antagonistic medicine,"ವೈರುದ್ಧಕ ಪರಿಣಾಮಕಾರಿ ಔಷಧ, ಪ್ರತಿಸಂಕಟಕಾರಿ ಔಷಧ",,,,,,,,,
,Antagonistic muscle,ಪ್ರತಿಕಾರಕ ಸ್ನಾಯು,,,,,,,,,
,Antepartum,"ಹೆರಿಗೆಮೊದಲು, ಪ್ರಸವಪೂರ್ವ",,,,,,,,,
,Anterior,ಮುಂಭಾಗ,,,,,,,,,
,Anterior costo transverse ligament,ಮುಂಬದಿಯ ಪಕ್ಕೆಲುಬಿನ ಬಾಹುತಂತುಗಟ್ಟು,,,,,,,,,
,Anterior fallopian tube,ಮುಂಭಾಗದ ಅಂಡನಾಳ / ಗರ್ಭನಾಳ,,,,,,,,,
