ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Acid Soil,,"ಆಮ್ಲ ಮಣ್ಣು. ಮಣ್ಣಿನಲ್ಲಿ, ‘OH’ ಅಯಾನ್ ಗಳಿಗಿಂತ ‘H’ ಅಯಾನ್ ಗಳು ಹೆಚ್ಚಾಗಿದ್ದು, ದೊರಕುವ ಪ್ರತ್ಯಾಮ್ಲ ಕಡಿಮೆ ಇರುವ ಸ್ಥಿತಿ.",,,,,,,
,,Acidic Oxides,,ಆಮ್ಲೀಯ ಆಕ್ಸೈಡ್ ಗಳು. ನೀರಿನಲ್ಲಿ ಬೆರೆತು ಆಮ್ಲವನ್ನುಂಟುಮಾಡುವ ಆಕ್ಸೈಡ್ ಗಳಿಗೆ ಆಮ್ಲೀಯ ಆಕ್ಸೈಡ್ ಗಳು ಎನ್ನುವರು.,,,,,,,
,,Acidification,,ಆಮ್ಲೀಕರಣ. ಆಮ್ಲತೆಯನ್ನುಂಟುಮಾಡುವ ಗೊಬ್ಬರಗಳನ್ನು ಕೊಟ್ಟಾಗ ಮಣ್ಣು ಆಮ್ಲಗತಿಗೆ ಸಾಗುತ್ತದೆ.,,,,,,,
,,Acidity,,ಆಮ್ಲೀಯತೆ; ಆಮ್ಲತೆ. ಪ್ರತ್ಯಾಮ್ಲ ಹಾಗೂ ಆಮ್ಲಗಳ ನಡುವೆ ಕ್ರಿಯೆ ನಡೆದಾಗ ಪ್ರತ್ಯಾಮ್ಲದ ಆಮ್ಲವು ಪಲ್ಲಟಿಸತಕ್ಕ ಜಲಜನಕದ ಪರಮಾಣುಗಳ ಸಂಖ್ಯೆಗೆ ಆಮ್ಲೀಯತೆ ಎಂದು ಹೆಸರು.,,,,,,,
,,Activated Sludge,,"ಜಾಗೃತ ರೊಜ್ಜು. ಚರಂಡಿ ರೊಜ್ಜಿನಲ್ಲಿ ಚದುರಿದ ವಾಯುವಿನ ಪ್ರವಾಹವನ್ನು ಸಾಕಷ್ಟು ಕಾಲ ಪ್ರವಹಿಸಿದಾಗ, ಅದರಲ್ಲಿನ ಸಾವಯವ ವಸ್ತು ತುಂತುಗಟ್ಟುತ್ತದೆ. ವಾಯು ಪ್ರವಾಹ ನಿಂತಾಗ, ಅದು ತಳದಲ್ಲಿ ಕಂದುಬಣ್ಣದ ಗಷ್ಟಾಗಿ ನಿಲ್ಲುತ್ತದೆ; ಮೇಲಿನ ನೀರು ತಿಳಿಯಾಗುತ್ತದೆ. ಈ ನೀರನ್ನು ತೆಗೆದು ಹೊಸ ರೊಜ್ಜನ್ನು ಬಿಟ್ಟು ಹೆಚ್ಚು ಹೆಚ್ಚು ಗಷ್ಟವನ್ನು ಕೂಡಿಸಬಹುದು. ಇಂತಹ ಗಷ್ಟಿಗೆ ಜಾಗೃತ ರೊಜ್ಜು ಎಂದು ಕರೆಯುತ್ತಾರೆ.",,,,,,,
,,Active Immunity,,ಸ್ವಶಕ್ತಿ ರಕ್ಷಣೆ. ತನ್ನ ಸ್ವಶಕ್ತಿಯಿಂದಲೇ ಒಂದು ಜೀವಿಯು ರೋಗಕಾರಕ ಜೀವಿಗಳಿಂದ ರಕ್ಷಣೆ ಪಡೆಯುವುದು.,,,,,,,
,,Activity Index,,ಚಟುವಟಿಕೆ ಸೂಚಿ. ಯೂರಿಯಾ ಫಾರ್ಮಾಲ್ಡಿಹೈಡ್ ಸಂಯುಕ್ತವಸ್ತುವಿನ ಚಟುವಟಿಕೆ ಸೂಚಿಯನ್ನು ಈ ಕೆಳಗಿನ ಸಮೀಕರಣದಿಂದ ವ್ಯಕ್ತಪಡಿಸಬಹುದು. ಚಟುವಟಿಕೆ ಸೂಚಿ = {[(% GWIN)-(%HWIN)] ➗ (% GWIN)} x 100 % GWIN = ತಣ್ಣೀರಿನಲ್ಲಿ ಕರಗದ ಸಾರಜನಕದ ಶೇಕಡ. % HWIN = ಬಿಸಿ ನೀರಿನಲ್ಲಿ ಕರಗದ ಸಾರಜನಕದ ಶೇಕಡ.,,,,,,,
,,Actomag,,"ಆಕ್ಟೋಮಾಗ್. ಕ್ಯಾಲ್ಸಿಯಂ ಕಾರ್ಬೊನೇಟ್ ಮತ್ತು ಮೆಗ್ನೀಸಿಯಂ ಆಕ್ಸೈಡ್ ಗಳನ್ನೊಳಗೊಂಡ ರಾಸಾಯನಿಕ ವಸ್ತುವಿನ ಮಾರಾಟದ ಹೆಸರು. ಈ ವಸ್ತು, ಶೇಕಡ 67 ರಷ್ಟು ಕ್ಯಾಲ್ಸಿಯಂ ಕಾರ್ಬೊನೇಟ್, 27 ರಷ್ಟು ಮೆಗ್ನೀಸಿಯಂ ಆಕ್ಸೈಡ್ ಮತ್ತು 2 ರಷ್ಟು ಕ್ಯಾಲ್ಸಿಯಂ ಆಕ್ಸೈಡ್ ಗಳನ್ನು ಹೊಂದಿರುತ್ತದೆ.",,,,,,,
,,Addition Compound,,ಸಂಕಲಿತ ಸಂಧಿಸಿದ ಸಂಯುಕ್ತ ವಸ್ತು. ಸಂಕಲನಾ ಪ್ರತಿಕ್ರಿಯೆಯಿಂದುಂಟಾದ ಸಂಯುಕ್ತ ವಸ್ತು.,,,,,,,
,,Addition Reaction,,ಸಂಕಲನಾಪ್ರತಿಕ್ರಿಯೆ; ಸಂಧಿ ಪ್ರತಿಕ್ರಿಯೆ. ಎರಡು ಅಥವಾ ಹೆಚ್ಚು ಅಣುಗಳು ಒಟ್ಟುಗೂಡಿ ಒಂದು ವಸ್ತುವನ್ನು ಉತ್ಪತ್ತಿ ಮಾಡುವ ಪ್ರಕ್ರಿಯೆ. ಉದಾಹರಣೆ : ಗಂಧಕ ಮತ್ತು ಆಮ್ಲಜನಕ ಒಟ್ಟುಗೂಡಿ ಗಂಧಕದ ಡೈಆಕ್ಸೈಡ್ ಆಗುವಿಕೆ.,,,,,,,
,,Adiabatic Change,,"ಸ್ಥಿರೋಷ್ಣ ಬದಲಾವಣೆ. ಒಂದು ವಸ್ತುವಿನ ಬದಲಾವಣೆಗೆ ಬೇಕಾಗುವ ಶಕ್ತಿಯನ್ನು ಆ ವಸ್ತುವಿನೊಳಗಿನ ಆಂತರಿಕ ಶಕ್ತಿಯಿಂದಲೇ ಹೊಂದುವುದರಿಂದ, ಅದರ ಉಷ್ಣತೆ ಕಡಿಮೆ ಆಗುತ್ತದೆ.",,,,,,,
,,Adsorption,,"ಅಡ್ ಸಾರ್ ಪ್ ಷನ್, ಮೇಲ್ಮೈಗ್ರಹಣ; ಅನಿಲ ಮಂದಗಟ್ಟುವಿಕೆ. ಪದರದ ಎಲ್ಲೆಯಲ್ಲಿ ವಸ್ತು ಮಂದಗಟ್ಟುವಿಕೆ. ಮಂದಗಟ್ಟಲು ಎಡೆಮಾಡಿ ಕೊಡುವ ಭಾಗಕ್ಕೆ ಅಡ್ ಸಾರ್ಬೆಂಟ್ ಎಂದು ಹೆಸರು.",,,,,,,
,,Aeolian Soil,,"ಗಾಳಿಸಾಗು ಮಣ್ಣು. ಗಾಳಿಯಿಂದ ಸಾಗಿಸಲ್ಪಟ್ಟು, ಬೇರೊಂದೆಡೆನಿಂತ ಮಣ್ಣು.",,,,,,,
,,Aeration,,"ವಾಯುಪೂರಣ. ಮಣ್ಣಿನಲ್ಲಿರುವ ಗಾಳಿ, ವಾತಾವರಣದಲ್ಲಿರುವ ಗಾಳಿಯೊಡನೆ ವಿನಿಮಯವಾಗುವಿಕೆ.",,,,,,,
,,Aerobic Respirtion,,ವಾಯುಸನ್ನಿಧಿ ಉಸಿರಾಡುವಿಕೆ. ವಾಯುವಿನಲ್ಲಿರುವ ಆಮ್ಲಜನಕವನ್ನು ಉಪಯೋಗಿಸಿಕೊಂಡು ಉಸಿರಾಡುವಿಕೆ.,,,,,,,
,,Affinity,,ಆಕರ್ಷಣೆ. ಮೂಲಧಾತುಗಳು ಒಂದರೊಡನೊಂದು ರಾಸಾಯನಿಕ ಸಂಯೋಗವಾಗುವ ಪ್ರವೃತ್ತಿ.,,,,,,,
,,Agent,,ಕಾರಕ. ರಾಸಾಯನಿಕ ಪ್ರಕ್ರಿಯೆಗಳನ್ನು ಕ್ರಿಯಾಶಕ್ತಗೊಳಿಸುವ ವಸ್ತು.,,,,,,,
,,Agglutinin,,ಪ್ರತಿಜೀವಿ ಅಂಟುಕಾರಕತೆ. ಬ್ಯಾಕ್ಟೀರಿಯಾ ಅಥವಾ ಇತರ ಕಣಗಳನ್ನು ಅಂಟು ಪದಾರ್ಥವನ್ನಾಗಿ ಮಾರ್ಪಡಿಸುವ ಸಾಮರ್ಥ್ಯ.,,,,,,,
,,Aggregate,,ಸಮಷ್ಟಿ. ಮಣ್ಣುಕಣಗಳ ಒಕ್ಕೂಟ.,,,,,,,
,,Aggregation,,ಸಮಷ್ಟೀಕರಣ. ಮಣ್ಣು ಕಣಗಳು ಒಟ್ಟಾಗಿ ಸೇರುವ ಅಥವಾ ಸಂಯುಕ್ತ ಕಣಗಳಾಗುವ ವಿಧಾನ.,,,,,,,
,,Agricultural Geology,,"ಕೃಷಿ ಭೂಗರ್ಭ ಶಾಸ್ತ್ರ. ಶಿಲಾ ಗುಣಧರ್ಮ, ಮಣ್ಣು ಉತ್ಪಾದನೆಯಲ್ಲಿ ಖನಿಜಗಳ ಪಾತ್ರ ಮುಂತಾದ ವಿಷಯಗಳನ್ನು ಚರ್ಚಿಸುವ ಭೂಗರ್ಭ ಶಾಸ್ತ್ರದ ವಿಭಾಗ.",,,,,,,
,,Air Capacity,,ಹವಾ ಸಾಮರ್ಥ್ಯ. ಮಣ್ಣು ನೀರಿನಲ್ಲಿ ಪೂರ್ತಿ ತೊಯ್ದಾಗ ಅದರಲ್ಲಿ ಉಳಿಯುವ ಗಾಳಿಯ ಮೊತ್ತ. ಇದು ಸಾಮಾನ್ಯವಾಗಿ ಮಣ್ಣಿನ ಸಂಯುಕ್ತಗಳ ಮಧ್ಯಾಂತರವನ್ನು ಸೂಚಿಸುತ್ತದೆ.,,,,,,,
,,Alcohol,,ಆಲ್ಕೋಹಾಲ್; ಮಧ್ಯಸಾರ. ಅಲಿಫ್ಯಾಟಿಕ್ ಹೈಡ್ರೋಕಾರ್ಬನ್ ಗಳಿಂದ ಉತ್ಪತ್ತಿಯಾಗುವ ವಸ್ತು. ಅದರಲ್ಲಿ ಒಂದು ಅಥವಾ ಹೆಚ್ಚು ‘H’ ಬದಲು ‘OH’ ಅಥವಾ ಹೈಡ್ರಾಕ್ಸಿಲ್ ಗುಂಪು ಇರುತ್ತದೆ.,,,,,,,
,,Aldehyde,,ಆಲ್ಡಿಹೈಡ್. ಆಲ್ಕೋಹಾಲ್ ಗಳಿಂದ ಉತ್ಪತ್ತಿಯಾದ ಹಾಗೂ ‘CHO’ ಕ್ರಿಯಾಸಮುದಾಯವುಳ್ಳ ಒಂದು ವರ್ಗದ ಸಾವಯವ ಸಂಯುಕ್ತ ವಸ್ತು.,,,,,,,
,,Alkali,,"ಕ್ಷಾರ. ನೀರಿನಲ್ಲಿ ಕರಗಿ ಸುಡುವ ಗುಣವುಳ್ಳ, ಆಮ್ಲವನ್ನು ನಿರಾಮ್ಲಗೊಳಿಸುವ ವಸ್ತು. ಇದು ಸಾಬೂನಿನಂತೆ ನುಣುಪುಳ್ಳ ಕೆಂಪುಲಿಟ್ ಮಸ್ ಕಾಗದವನ್ನು ನೀಲಿಯಾಗಿ ಪರಿವರ್ತಿಸುತ್ತದೆ.",,,,,,,
,,Alkali Forming Fertilizer,,ಕ್ಷಾರಕಾರಕ ರಾಸಾಯನಿಕ ಗೊಬ್ಬರ. ಮಣ್ಣಿನಲ್ಲಿ ಕ್ಷಾರದ ಉಳಿಕೆಯನ್ನು ಬಿಡುವ ರಾಸಾಯನಿಕ ಗೊಬ್ಬರ.,,,,,,,
,,Alkali Soil,,ಕ್ಷಾರಮಣ್ಣು. ಸಸ್ಯಗಳ ಬೆಳವಣಿಗೆಗೆ ತೊಂದರೆಯಾಗುವಂತೆ ಹೆಚ್ಚಿನ ಮಟ್ಟದ ಕ್ಷಾರೀಯತೆ ಇರುವ ಮಣ್ಣು. ಇದರಲ್ಲಿ ಶೇಕಡ 15 ಕ್ಕೂ ಹೆಚ್ಚು ಕ್ಷಾರದ ವಿನಿಮಯ ಸಾಧ್ಯ. ಉದಾಹರಣೆ : ಸೋಡಿಯಂ ಇರುವ ಮಣ್ಣು.,,,,,,,
,,Alkaline Soil,,ಕ್ಷಾರೀಯ ಮಣ್ಣು. ಕ್ಷಾರ ಪ್ರತಿಕ್ರಿಯೆಯುಳ್ಳ ಅಂದರೆ 7 ಕ್ಕಿಂತ ಹೆಚ್ಚು pH ಆಮ್ಲಸೂಚಿಯುಳ್ಳ (ಆಮ್ಲಾಂಶ) ಮಣ್ಣು.,,,,,,,
,,Alkalinization,,"ಕ್ಷಾರೀಕರಣ: ಅಯಾನ್ ವಿನಿಮಯದಿಂದಾಗಿ, ಮಣ್ಣಿನ ವಿನಿಮಯ ಸಂಕೀರ್ಣದಲ್ಲಿ ಸೋಡಿಯಂ ಅಂಶ ಹೆಚ್ಚಾಗುವಿಕೆ.",,,,,,,
,,Alkaloid,,"ಆಲ್ಕಲಾಯಿಡ್, ಕ್ಷಾರ ಸಾರಜನಕ ವಸ್ತು. ಸಾರಜನಕವನ್ನು ಹೊಂದಿರುವ ಸಾವಯವ ರಾಸಾಯನಿಕ ಸಂಯುಕ್ತ ವಸ್ತು.",,,,,,,
,,Allotropy,,ಬಹುರೂಪತೆ. ಪರಮಾಣುಗಳ ಅಥವಾ ಅಣುಗಳ ವಿನ್ಯಾಸ ವ್ಯತ್ಯಾಸದಿಂದಾಗಿ ಕೆಲವು ಮೂಲ ವಸ್ತುಗಳು ಒಂದಕ್ಕಿಂತ ಹೆಚ್ಚು ರೂಪದಲ್ಲಿರುವ ವಿಶಿಷ್ಟ ಗುಣ.,,,,,,,
,,Alloys,,ಮಿಶ್ರಲೋಹಗಳು. ಎರಡು ಅಥವಾ ಹೆಚ್ಚು ಲೋಹಗಳ ಮಿಶ್ರಣದಿಂದುಂಟಾದ ಸಂಯುಕ್ತ ವಸ್ತುಗಳು.,,,,,,,
,,Alluvial Soil,,"ಮೆಕ್ಕಲು ಮಣ್ಣು. ನೀರಿನಿಂದ ಸಾಗಿಸಲ್ಪಟ್ಟು, ಅಸ್ತಿತ್ವಕ್ಕೆ ಬಂದ ಮಣ್ಣು.",,,,,,,
,,Alluvium,,"ಮೆಕ್ಕಲು. ಹರಿಯುವ ನೀರಿನಿಂದ ಕೊಚ್ಚಿಬಂದು ಶೇಖರವಾಗಿರುವ ನವಿರು ಮರಳು, ಜೇಡಿ, ಗೋಡು ಮುಂತಾದ ಮೃದು ಮಣ್ಣು ಸಂಗ್ರಹಣೆ.",,,,,,,
,,Alpha Particle,,ಆಲ್ಫಾ ಮೊದಲಕ್ಷರ ಕಣಗಳು. ಹೀಲಿಯಂ ಮೂಲವಸ್ತುವಿನ ಕಣಗಳು.,,,,,,,
,,Amide,,ಅಮೈಡ್ . ಅಮೋನಿಯದಿಂದ ಸಂಯೋಜಿತವಾದ ಒಂದು ವರ್ಗದ ಸಾವಯವ ಸಂಯುಕ್ತ ವಸ್ತು.,,,,,,,
,,Ammonia,,ಅಮೋನಿಯ. ಒಂದು ಸಾರಜನಕದ ಪರಮಾಣು ಮೂರು ಜಲಜನಕದ ಪರಮಾಣುಗಳೊಂದಿಗೆ ಕೂಡಿರುವ ವರ್ಣರಹಿತ ಅನಿಲ.,,,,,,,
,,Ammonification,,"ಅಮೋನೀಕರಣ, ಸಾವಯವ ಸಾರಜನಕ ಸಂಯುಕ್ತ ವಸ್ತುಗಳ ವಿಘಟನೆಯಿಂದ ಅಮೋನಿಯ ಉತ್ಪತ್ತಿಯಾಗುವಿಕೆ. R - NH₂ + NOH → NH₂ + R - OH + ಶಕ್ತಿ.",,,,,,,
,,Ammonium Chloride,,"ಅಮೋನಿಯಂ ಕ್ಲೋರೈಡ್; ಅಮೋನಿಯ ಮತ್ತು ಹೈಡ್ರೋಕ್ಲೊರಿಕ್ ಆಮ್ಲಗಳ ಸಂಯೋಗದಿಂದುಂಟಾಗಿ, ಶೇಕಡ 26 ರಷ್ಟು ಸಾರಜನಕವನ್ನುಳ್ಳ ರಸಾಯನ ಗೊಬ್ಬರ.",,,,,,,
,,Ammonium Nitrate,,ಅಮೋನಿಯಂ ನೈಟ್ರೇಟ್. ಅಮೋನಿಯಂ ಮತ್ತು ನೈಟ್ರಿಕ್ ಆಮ್ಲಗಳ ಸಂಯೋಗದಿಂದುಂಟಾದ ರಸಾಯನ ಗೊಬ್ಬರ. ಅದರಲ್ಲಿ ಶೇಕಡ 33-35 ರಷ್ಟು ಸಾರಜನಕವಿರುತ್ತದೆ.,,,,,,,
,,Ammonium Phosphate,,ಅಮೋನಿಯಂ ಫಾಸ್ಫೇಟ್. ರಂಜಕಾಮ್ಲವನ್ನು ಅಮೋನಿಯದೊಂದಿಗೆ ಸಂಸ್ಕರಿಸಿದಾಗ ದೊರೆಯುವ ರಸಾಯನ ಗೊಬ್ಬರ.,,,,,,,
,,Ammonium Sulphate,,ಅಮೋನಿಯಂ ಸಲ್ಫೇಟ್. ಅಮೋನಿಯ ಮತ್ತು ಸಲ್ಫ್ಯೂರಿಕ್ ಆಮ್ಲಗಳ ಸಂಯೋಗದಿಂದುಂಟಾದ ರಸಾಯನ ಗೊಬ್ಬರ. ಇದರಲ್ಲಿ ಶೇಕಡ 21 ರಷ್ಟು ಸಾರಜನಕವಿರುತ್ತದೆ.,,,,,,,
,,Ammonium Sulphate Nitrate,,ಅಮೋನಿಯಂ ಸಲ್ಫೇಟ್ ನೈಟ್ರೇಟ್. ಇದು ಶೇಕಡ 26 ರಷ್ಟು ಸಾರಜನಕವನ್ನು ಹೊಂದಿರುತ್ತದೆ. ಅದರಲ್ಲಿ 20 ಅಮೋನಿಯ ಮತ್ತು 6 ನೈಟ್ರೇಟ್ ರೂಪದ ಸಾರಜನಕವಿರುತ್ತದೆ. ಇದನ್ನು ರಸಾಯನ ಗೊಬ್ಬರವಾಗಿ ಉಪಯೋಗಿಸುವರು.,,,,,,,
,,Amphoteric Electrolyte,,ಆಮ್ಲಕ್ಷಾರ ವಿದ್ಯುದ್ವಿಶ್ಲೇಷ್ಯ. ಆಮ್ಲ ಮತ್ತು ಕ್ಷಾರ ಎರಡೂ ಗುಣಗಳನ್ನು ಪ್ರದರ್ಶಿಸುವ ವಿದ್ಯುದ್ವಿಶ್ಲೇಷ್ಯ.,,,,,,,
,,Amphoteric Oxides,,"ಆಮ್ಲಕ್ಷಾರ ಆಕ್ಸೈಡ್ ಗಳು. ಆಮ್ಲದಂತೆಯೂ ಹಾಗೂ ಪ್ರತ್ಯಾಮ್ಲದಂತೆಯೂ, ಕ್ರಿಯೆಯಲ್ಲಿ ತೊಡಗುವ ಆಕ್ಸೈಡ್ ಗಳು. ಉದಾಹರಣೆ : ZnO, SnO, Al₂O₃.",,,,,,,
,,Amplitude,,ಕಂಪನ ವಿಸ್ತಾರ. ತರಂಗ ಚಲನೆಯಲ್ಲಿ ಒಂದು ಕಣ ಅಧಿಕವಾಗಿ ಸ್ಧಾನ ಪಲ್ಲಟವಾಗುವಿಕೆ.,,,,,,,
,,Anaerobic Respiration,,ನಿರ್ವಾತ ಶ್ವಾಸೋಚ್ಛ್ವಾಸ. ಆಮ್ಲಜನಕವಿಲ್ಲದೆ ಉಸಿರಾಡುವಿಕೆ.,,,,,,,
,,Anhydrous Ammonia,,"ಅನಾರ್ದ್ರ ಅಮೋನಿಯ. ಇದು, ಅಧಿಕ ಒತ್ತಡದಿಂದ, ಸಂಕುಚಿತಗೊಳಿಸಿದ ಅಮೋನಿಯ ಅನಿಲ. ಇದರಲ್ಲಿ ಶೇಕಡ 82 ರಷ್ಟು ಸಾರಜನಕ ಇರುತ್ತದೆ. ಇದು ಇತ್ತೀಚೆಗೆ ರಸಾಯನ ಗೊಬ್ಬರವಾಗಿ ಬಳಸಲ್ಪಡುತ್ತಿದೆ.",,,,,,,
,,Anion,,ಋಣ ಅಯಾನ್ ಋಣ ವಿದ್ಯುತ್ತನ್ನು ಹೊಂದಿರುವ ಕಣ.,,,,,,,
,,Anode,,"ಧನ ವಿದ್ಯುತ್ ಧ್ರುವ. ವಿದ್ಯುತ್, ವಿದ್ಯುದ್ವಿಭಜನೀಯವನ್ನು ಪ್ರವೇಶಿಸುವ ಧ್ರುವ.",,,,,,,
