ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Abundance of insect,,ಕೀಟ ಸಮೃದ್ಧತೆ,,,,,,,
,,Abyss,,"ವಿತಳ, ಪಾತಾಳ",,,,,,,
,,Academic control,,ಪಾಂಡಿತ್ಯ ಪೂರ್ಣ ಹತೋಟಿ,,,,,,,
,,Acapsular,,"ಅಸಂಪುಟಿಕ, ಹೊರೆಇಲ್ಲದ, ಹೊದಿಕೆರಹಿತ",,,,,,,
,,Acaricide,,ನಂಶಿನಾಶಕ,,,,,,,
,,Acarology,,ನಂಶಿಶಾಸ್ತ್ರ,,,,,,,
,,Accelerated growth phase,,ವೇಗವರ್ಧಿಸಿದ ಬೆಳವಣಿಗೆ ಹಂತ,,,,,,,
,,Accentuate,,"ವೃದ್ಧಿಗೊಳಿಸು, ಒತ್ತಿಹೇಳು",,,,,,,
,,Acceptor,,"ಆದಾತ ವಸ್ತು, ಗ್ರಾಹ್ಯಕ, ಅಂಗೀಕಾರ ವಸ್ತು",,,,,,,
,,Accessory,,"ಸಹಾಯಕ, ಆನುಷಂಗಿಕ",,,,,,,
,,Accessory genital gland,,ಜನನೇಂದ್ರಿಯ ಸಹಕಾರಿ ರಸಗ್ರಂಥಿ,,,,,,,
,,Accessory gland,,ಆನುಷಂಗಿಕ ಗ್ರಂಥಿ,,,,,,,
,,Accessory heart,,ಆನುಷಂಗಿಕ ಹೃದಯ,,,,,,,
,,Accessory pigment,,ಸಹಾಯಕ ವರ್ಣದ್ರವ್ಯ,,,,,,,
,,Accessory respiratory organ,,"ಆನುಷಂಗಿಕ ಶ್ವಾಸೇಂದ್ರಿಯ, ಸಹಾಯಕ ಶ್ವಾಸೇಂದ್ರಿಯ",,,,,,,
,,Accumulation of body waste,,ದೇಹವಿಸರ್ಜಕ ವಸ್ತು ಸಂಚಯ (ರಾಶಿ),,,,,,,
,,Acellular slime mold,,ಕೋಶರಹಿತ ಬಂಕೆಬೂಷ್ಟು (ಲೋಳೆ ಬೂಷ್ಟು),,,,,,,
,,Acervulus,,ಮಿದುಳುಸುಬು,,,,,,,
,,Achromatic,,"ಅವರ್ಣಕ, ಬಣ್ಣಹತ್ತದ, ವರ್ಣರಹಿತ",,,,,,,
,,Acidfast,,"ಆಮ್ಲಸ್ಥಾಯಿ, ಆಮ್ಲಭದ್ರ",,,,,,,
,,Acidfast stain,,"ಆಮ್ಲಸ್ಥಾಯಿ ಕಲೆ, ಆಮ್ಲಸ್ಥಾಯಿ ಬಣ್ಣ",,,,,,,
,,Acidification,,"ಆಮ್ಲಿಕರಣ, ಆಮ್ಲಿಯವಾಗುವಿಕೆ",,,,,,,
,,Acidity,,"ಆಮ್ಲಿಯತೆ, ಅಮ್ಲತೆ",,,,,,,
,,Acid mine drainage,,ಆಮ್ಲಗಣಿ ಬಸಿಯುವಿಕೆ,,,,,,,
,,Acidophile,,ಆಮ್ಲಪ್ರಿಯ,,,,,,,
,,Acid spring,,ಆಮ್ಲಚಿಲುಮೆ,,,,,,,
,,Acquired resistance,,ಆರ್ಜಿತ ಪ್ರತಿರೋಧಕತೆ,,,,,,,
,,Actinomycetes,,"ಕಿರಣಣಬೆಗಳು, ಕಿರಣ ಸೂಕ್ಷ್ಮ ಕವಕಜಾಲ",,,,,,,
,,Actinomycosis,,"ಗಲ್ಲಕಟ್ಟು, ಕಿರಣಣಬೇನೆ",,,,,,,
,,Action spectrum,,ಕ್ರಿಯಾಪಟಲ,,,,,,,
,,Activated,,"ಕ್ರಿಯಾಶಕ್ತಗೊಳಿಸಿದ, ಕಾರ್ಯಪ್ರವೃತ್ತಗೊಳಿಸಿದ",,,,,,,
,,Activated sludge,,"ಜಾಗೃತರೊಜ್ಜು, ಕ್ರಿಯಾಶೀಲಗೊಳಿಸಿದ ರೊಜ್ಜು, ಕ್ರಿಯಾಶೀಲ ರೊಜ್ಜು",,,,,,,
,,Activation,,"ಕ್ರಿಯಾಶಕ್ತಗೊಳಿಸುವಿಕೆ, ಪ್ರಚೋದನೆ",,,,,,,
,,Activation centre,,ಕ್ರಿಯಾಕೇಂದ್ರ,,,,,,,
,,Activator,,ಕ್ರಿಯಾಶಕ್ತಕಾರಕ,,,,,,,
,,Active immunity,,"ಕ್ರಿಯಾಶೀಲ ಪ್ರತಿರೋಧಕತೆ, ಸಕ್ರಿಯ ಪ್ರತಿ ರೋಧಕತೆ, ಕ್ರಿಯಾಶಕ್ತ, ಸೋಂಕುರಕ್ಷಣೆ",,,,,,,
,,Active ingredient,,ಕ್ರಿಯಾಶೀಲ ಘಟಕ,,,,,,,
,,Active transport,,ಕ್ರಿಯಾಶೀಲ ಸಾಗಣೆ,,,,,,,
,,Acute respiratory disease,,ತೀವ್ರತೆರನಾದ ಉಸಿರಾಟದ ರೋಗ,,,,,,,
,,Adaptation,,ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,,,,,,,
,,Adaptive enzyme,,ಹೊಂದಾಣಿಕೆ ಕಿಣ್ವ,,,,,,,
,,Adaptive radiation,,ಸಂಯೋಜಿತ ವಿಕಿರಣ,,,,,,,
,,Adaptive variations,,ಹೊಂದಾಣಿಕೆ ವಿಭಿನ್ನತೆಗಳು,,,,,,,
,,Additive,,ಅನುಬಂಧಿ,,,,,,,
,,Adduct,,ಅಭಿಕರ್ಷಿಸು,,,,,,,
,,Adenocarcinoma,,ಗ್ರಂಥಿಯೇಡಿ ಗ್ರಂಥಿ,,,,,,,
,,Aderoides,,ನಾಸಾಗ್ರಂಥಿಗಳು,,,,,,,
,,Adhesion,,"ಅನುಸಕ್ತಿ, ಅಂಟಿಕೊಳ್ಳುವಿಕೆ",,,,,,,
,,Adhesion of stomach poison,,ಜಠರ ಪಾಷಾಣದ ಅಂಟು,,,,,,,
,,Adhesive organ,,ಅಂಟಿಕೊಳ್ಳುವ ಅಂಗ,,,,,,,
,,Adhesive pad,,"ಅಂಟು ಸಿಂಬೆ, ಅಂಟು ಜೇನು",,,,,,,
,,Adjunct,,ಅಧೀನ ವಸ್ತು,,,,,,,
,,Adoptation,,ಅನುಸರಣೆ,,,,,,,
,,Adrenocortical hormone,,ಅಡ್ರಿನೊಕಾರ್ಟಿಕಲ್ ಚೋದಕ,,,,,,,
,,Adsorption,,"ಅಧಿಶೋಷಣೆ, ಮೇಲ್ಮೈ ಮಂದಗಟ್ಟುವಿಕೆ",,,,,,,
,,Adsorption co-factor,,ಅಧಿಶೋಷಣೆ ಸಹಘಟಕ,,,,,,,
,,Adulteration,,"ಕಲಬೆರಕೆ, ಅಶುದ್ಧ",,,,,,,
,,Adulticide,,ಪ್ರೌಢಜೀವಿನಾಶಕ,,,,,,,
,,Adult organism,,ಪ್ರೌಢಜೀವಿ,,,,,,,
,,Adult plant resistance,,ವಯಸ್ಕ ಸಸ್ಯಪ್ರತಿರೋಧಕತೆ,,,,,,,
,,Adult stage,,ಪ್ರೌಢಾವಸ್ಥೆ,,,,,,,
,,Advancing frontiers,,ಪ್ರವರ್ಧಮಾನಕ್ಕೆ ಬರುತ್ತಿರುವ,,,,,,,
,,Aerate,,ಗಾಳಿಯಾಡಿಸು,,,,,,,
,,Aeration,,ಗಾಳಿಯಾಡುವಿಕೆ,,,,,,,
,,Aerial mycelium,,"ಆಕಾಶಿಕವಕಜಾಲ, ಗಾಳಿಯಲ್ಲಿನ ಕವಕಜಾಲ",,,,,,,
,,Aerobic chemoautotroph,,ಆಮ್ಲಜನಕಾಪೇಕ್ಷಿ ರಾಸಾಯನಿಕ ಸ್ವಯಂಪೋಷಿ,,,,,,,
,,Aerobic respiration,,ಆಮ್ಲಜನಕಾಪೇಕ್ಷಿ ಉಸಿರಾಟ,,,,,,,
,,Aerobic treatment,,ಆಮ್ಲಜನಕಾಪೇಕ್ಷಿ ಚಿಕಿತ್ಸೆ,,,,,,,
,,Aerobiology,,ವಾಯುಜೀವಿಶಾಸ್ತ್ರ,,,,,,,
,,Aeroscope,,ವಾಯುದರ್ಶಕ,,,,,,,
,,Aerosol,,ಆವಿಕೀಟನಾಶಕ,,,,,,,
,,"Aerotactic, aerotaxis",,ವಾತಾನುಚಲನ,,,,,,,
,,Aerotactic response,,ವಾತಾನುಚಲನ ಪ್ರತಿಕ್ರಿಯೆ,,,,,,,
,,Aestivation,,ಗ್ರೀಷ್ಮ ನಿಶ್ಚೇಷ್ಟತೆ,,,,,,,
,,Affinity,,ಸ್ವೀಕಾರಕತೆ,,,,,,,
,,Agamete,,ಅಯುಗ್ಮಕ,,,,,,,
,,Agamous,,ಅಯುಗ್ಮನಿ,,,,,,,
,,Agamy,,ಅಯುಗ್ಮತೆ,,,,,,,
,,Agar diffusion method,,ಅಗಾರ್ ಪ್ರಸರಣ ವಿಧಾನ,,,,,,,
,,Agglutination,,ಅಂಟಣೆ,,,,,,,
,,Aggressive mimicry,,ಭೀಕರ ಅಣಕು,,,,,,,
,,Aging,,"ಹದ ಮಾಡುವುದು, ವಯಸ್ಸಾಗುವುದು",,,,,,,
,,Agitator,,"ಕಲಕುಸಾಧನ, ಕ್ಷೋಭಕಯಂತ್ರ",,,,,,,
,,Agriculture microbiology,,ಕೃಷಿ ಸೂಕ್ಷ್ಮಜೀವಿಶಾಸ್ತ್ರ,,,,,,,
,,Agro technical,,ಕೃಷಿ ತಾಂತ್ರಿಕ,,,,,,,
,,Airborne,,"ವಾಯುಧಾರಿತ, ವಾಯುವಿನಲ್ಲಿಯ, ವಾಯುವಾಹಿನಿ",,,,,,,
,,Airborne micro organism,,ವಾಯುಧಾರಿ ಸೂಕ್ಷ್ಮ ಜೀವಿ,,,,,,,
,,Air channel,,ಗಾಳಿಕೊಳವೆ,,,,,,,
,,Air current,,ಗಾಳಿ ಸೆಳೆತೆ,,,,,,,
,,Air sac,,ಗಾಳಿಚೀಲ,,,,,,,
,,Air sampler,,ಗಾಳಿ ಮಾದರಿಕ,,,,,,,
,,Air space,,ವಾಯುಪ್ರದೇಶ,,,,,,,
,,Air tight,,"ಅನಿಲಭದ್ರ, ಗಾಳಿಯಾಡದ",,,,,,,
,,Akinete,,"ನಿಶ್ಚೇಷ್ಟ ಬೀಜಾಣು, ಸುಪ್ತಬೀಜಾಣು, ಅಚಲ ಬೀಜಾಣ",,,,,,,
,,Alarm water,,ವಿಪತ್ತು ಸೂಚಕ ನೀರು,,,,,,,
,,Alcoholic beverage,,ಮದ್ಯಸಾರ ಪಾನೀಯ,,,,,,,
,,Alcoholic fermentation,,ಮದ್ಯಸಾರೀಯ ಹುದುಗುವಿಕೆ,,,,,,,
,,Algae,,"ಶೈವಲ, ಪಾಚಿ",,,,,,,
,,Algal classification,,"ಪಾಚಿಗಳ ವರ್ಗೀಕರಣ, ಶೈವಲಗಳ ವರ್ಗೀಕರಣ",,,,,,,
,,Algal culture,,ಶೈವಲ ಸಾಕಣೆ,,,,,,,
,,Algal layer,,"ಶೈವಲಸ್ತರ, ಪಾಚಿಗಳ ಪದರ",,,,,,,
,,Algal symbiont,,ಪಾಚಿಗಳ ಸಹಜೀವಿ,,,,,,,
,,Algicide,,"ಶೈವಲನಾಶಕ, ಪಾಚಿನಾಶಕ",,,,,,,
,,Algology,,ಶೈವಲ ವಿಜ್ಞಾನ,,,,,,,
,,Alimentary canal,,"ಅನ್ನನಾಳ, ಆಹಾರನಾಳ",,,,,,,
,,Aliphatic,,"ಕೊಬ್ಬಿನ, ತೆರಸುತ್ತಿನ",,,,,,,
,,Alkaline gland,,ಕ್ಷಾರಗ್ರಂಥಿ,,,,,,,
,,Alkalinity,,ಕ್ಷಾರೀಯತೆ,,,,,,,
,,Alkalophile,,ಕ್ಷಾರಪ್ರಿಯ,,,,,,,
,,Alkalyting agent,,ಆಲ್ಕಲೀಕರಿಸುವ ನಿಯೋಗಿ,,,,,,,
,,"Allele, Allelomorph",,ಯುಗ್ಮವಿಕಲ್ಪಿ,,,,,,,
,,Allergenic compound,,ಒಗ್ಗದಿಕೆಜನಕ ಸಂಯುಕ್ತ ವಸ್ತು,,,,,,,
,,Allergy,,ಒಗ್ಗದಿಕೆ,,,,,,,
,,Allergy of infection,,ಸೋಂಕಿನ ಒಗ್ಗದಿಕೆ,,,,,,,
,,"Allogamous, Allogamy",,ಪರಫಲೀಕರಣ,,,,,,,
,,Allogenic,,ಪರಜನ್ಯ,,,,,,,
,,Alloploid,,ಅನ್ಯಗುಣಿತ,,,,,,,
,,Allopolyploidy,,ಅನ್ಯಬಹುಗುಣಿತತೆ,,,,,,,
,,Allosteric transition,,ಅಲ್ಲೊಸ್ಟೆರಿಕ್ ಬದಲಾವಣೆ,,,,,,,
,,Alternate,,ಪರ್ಯಾಯ,,,,,,,
,,Alternate disease,,ಪರ್ಯಾಯ ರೋಗ,,,,,,,
,,Alternating,,"ಬದಲಾಯಿಸುತ್ತಿರುವ, ಪರ್ಯಾಯ",,,,,,,
,,Alternation of generation,,ಪರ್ಯಾಯ ಸಂತತಿ,,,,,,,
,,Alveoli,,ಶ್ವಾಸಕೋಶದ ಸಣ್ಣ ಗೂಡುಗಳು,,,,,,,
,,Amber mutation,,ಶಿಲಾರಾಳ ಉತ್ಪರಿವರ್ತನೆ,,,,,,,
,,Ambient,,ಸುತ್ತಲೂ ವ್ಯಾಪಿಸಿರುವ,,,,,,,
,,Ambocepter,,"ಈರಿಡಿಕ, ಇಪ್ಪಡೆಕ",,,,,,,
,,Ambrosia beetle,,ಅಮೃತ (ಕೀಟ) ದುಂಬಿ,,,,,,,
,,Ambrosia fungus,,ಅಮೃತ ಶಿಲೀಂಧ್ರ,,,,,,,
,,Ameliorate,,ಉತ್ತಮವಾಗುವಿಕೆ,,,,,,,
,,Amination,,ಅಮೈನೀಕರಣ,,,,,,,
,,Amitosis,,"ಅಸೂತ್ರೀವಿಭಜನೆ, ಅಸಮಸೂತ್ರಣ",,,,,,,
,,Ammonification,,ಅಮೋನೀಕರಣ,,,,,,,
,,Amoebic dysentry,,"ಅಮಿಬಿಕ್ ಆಮಶಂಕೆ ಭೇದಿ, ಅಮಿಬಿಕ್ ರಕ್ತಭೇದಿ",,,,,,,
,,Amoebiosis,,ಚಲ್ಕಣ ಬೇನೆ,,,,,,,
,,Amoeboid,,ಅಮಿಬಾ ರೀತಿಯ,,,,,,,
,,Amorphous,,"ಅಸ್ಫಟಿಕ, ರೂಪರಹಿತ",,,,,,,
,,Amphibolic pathways,,ಉಭಯ ಪ್ರತಿರೋಧಿ ಮಾರ್ಗಗಳು,,,,,,,
,,Amphiploid,,ದ್ವಿಸೂತ್ರಗುಣಿ,,,,,,,
,,Amphipneustic,,ಉಭಯ ಶ್ವಾಸಕ್ರಮ,,,,,,,
,,Amphitrichous,,ಇಕ್ಕೆಲಕಶಾಂಗ,,,,,,,
,,Anabolism,,ಚಯಕ್ರಿಯೆ,,,,,,,
,,Anaerobic,,ಆಮ್ಲಜನಕ ನಿರಪೇಕ್ಷತೆ,,,,,,,
,,Anaerobic respiration,,ಆಮ್ಲಜನಕ ನಿರಪೇಕ್ಷತೆ ಉಸಿರಾಟ,,,,,,,
,,Anaerobic treatment,,ಆಮ್ಲಜನಕ ನಿರಪೇಕ್ಷಿಯ ಚಿಕಿತ್ಸೆ,,,,,,,
,,Anaerobiosis,,ಆಮ್ಲ ಜನಕ ನಿರಪೇಕ್ಷತೆ,,,,,,,
,,Anaerogenic (non-gas producing),,ವಾಯು ಉತ್ಪಾದಕವಲ್ಲದ,,,,,,,
,,Analogue,,ಸದೃಶವಸ್ತು,,,,,,,
,,Analogous,,ಸಾದೃಶ್ಯರೂಪ,,,,,,,
,,Anaphase,,ಪಶ್ಚಾವಸ್ಥೆ,,,,,,,
,,Angular growth,,ಕೋನಾಕಾರ ಬೆಳವಣಿಗೆ,,,,,,,
,,Anhydrous,,ಜಲಾಂಶರಹಿತ,,,,,,,
,,Animalcules,,ಸೂಕ್ಷ್ಮತಮ ಪ್ರಾಣಿಗಳು,,,,,,,
,,Animal feed,,ಪ್ರಾಣಿ ಆಹಾರ,,,,,,,
,,Anisogamete,,ಅಸಮಯುಗ್ಮಕ,,,,,,,
,,Anisogamous,,ಅಸಮಯುಗ್ಮಕತೆ,,,,,,,
,,Anisogamy,,ಅಸಮಯುಗ್ಮನ,,,,,,,
,,Anisospory,,ಅಸಮಬೀಜಕಣತೆ,,,,,,,
,,Anomalous,,"ಅಸ್ವಾಭಾವಿಕ, ಅಸಂಬದ್ಧ",,,,,,,
,,Anoxygenic,,ಆಮ್ಲಜನಕರಹಿತ,,,,,,,
,,Antagonism,,ವಿರೋಧತ್ವ,,,,,,,
,,Antagonistic organism,,ವಿರುದ್ಧ ಜೀವಿ,,,,,,,
,,Antagonistic symbiosis,,ವಿರೋಧಿ ಸಹಜೀವನ,,,,,,,
,,Antheridium,,ಪುಂದಾನಿ,,,,,,,
,,Anthracnose,,ಎಲೆಗಳ ಚುಕ್ಕೆರೋಗ,,,,,,,
,,Anthrax,,ನೆರಡಿ ರೋಗ,,,,,,,
,,Antibiosis,,"ಪ್ರತಿಜೀವಿತನ, ಪ್ರತಿವಿಷಕ",,,,,,,
,,Antibiotic,,ಪ್ರತಿಜೈವಿಕ,,,,,,,
,,Antibiotic assay,,ಪ್ರತಿಜೈವಿಕ ಪರೀಕ್ಷೆ,,,,,,,
,,Antibiotic dependence,,ಪ್ರತಿಜೈವಿಕ ಅವಲಂಬನೆ,,,,,,,
,,Antibiotic resistance,,"ಪ್ರತಿಜೈವಿಕ, ಪ್ರತಿರೋಧಕತೆ",,,,,,,
,,Antibiotic sensitivity,,ಪ್ರತಿಜೈವಿಕ ಸಂವೇದನೆ,,,,,,,
,,Antibiotic theraphy,,ಪ್ರತಿಜೈವಿಕ ಚಿಕಿತ್ಸೆ,,,,,,,
,,Antibody,,ಪ್ರತಿವಿಷ ವಸ್ತು,,,,,,,
,,Antibody formation,,ಪ್ರತಿವಿಷ ವಸ್ತು ನಿರ್ಮಾಣ,,,,,,,
,,Antibody precipitation,,ಪ್ರತಿದೇಹಿ ಪ್ರಕ್ಷೇಪಣ,,,,,,,
,,Anticoagulant,,ಹೆಪ್ಪು ತಡೆಗಟ್ಟುವ,,,,,,,
,,Antidote,,"ಪ್ರತಿವಿಷ, ವಿಷಮುರಿ, ವಿಷಹಾರಿ, ವಿಷಾಪಹಾರಕ",,,,,,,
,,Antifibrin,,ತಂತುದ್ರವ್ಯ ವಿರೋಧಿಗಳು,,,,,,,
,,Antifungal,,ಪ್ರತಿಶಿಲೀಂಧ್ರ,,,,,,,
,,Antigen,,"ಪ್ರತಿಶರೀರಿ, ರೋಧವಸ್ತುಜನಕ, ಪ್ರತಿವಿಷಜನಕ",,,,,,,
,,Antigenesity,,ಪ್ರತಿಜೈವಿಕತೆ,,,,,,,
,,Antigenic,,ಪ್ರತಿವಿಷಜನಕತ್ವ,,,,,,,
,,Antigenic analysis,,ಪ್ರತಿವಿಷಜನಕ ವಿಶ್ಲೇಷಣೆ,,,,,,,
,,Antigenic determinant,,ಪ್ರತಿವಿಷಜನಕ ನಿರ್ಧಾರಕ,,,,,,,
,,Antigenic mimicry,,ಪ್ರತಿವಿಷಜನಕ ಅಣಕ,,,,,,,
,,Antigen specificity,,ಪ್ರತಿವಿಷಜನಕದ ನಿರ್ದಿಷ್ಟತೆ,,,,,,,
,,Antimicrobial,,ಪ್ರತಿಸೂಕ್ಷ್ಮಜೀವೀಯ,,,,,,,
,,Antimicrobial agent,,ಪ್ರತಿಸೂಕ್ಷ್ಮ ಜೀವೀನಿಯೋಗಿ,,,,,,,
,,Antioxidant,,"ಉತ್ಕರ್ಷ ನಿರೋಧಕವಸ್ತು, ಪ್ರತಿ ಉತ್ಕರ್ಷಕ",,,,,,,
,,Antipyretic,,"ಜ್ವರನಾಶಿ, ಜ್ವರವಿರೋಧಿ",,,,,,,
,,Antiseptic,,"ನಂಜುನಿರೋಧಕ, ಸೋಂಕುನಾಶಕ, ಪೂತಿನಾಶಕ",,,,,,,
,,Antiseptic surgery,,ಸೋಂಕುನಾಶಕ ಶಸ್ತ್ರಕ್ರಿಯೆ,,,,,,,
,,Antiserum,,"ಪ್ರತಿರಕ್ತಸಾರ, ರೋಧರಸಿಕೆ",,,,,,,
,,Antitoxin,,"ಪ್ರತಿವಿಷ, ಪ್ರತಿಜೀವಿವಿಷ",,,,,,,
,,Antitumour,,ಗಡ್ಡೆ ನಿರೋಧಕ,,,,,,,
,,Antiviral,,ಪ್ರತಿವೈರಸ್,,,,,,,
,,Antiviral agent,,"ಪ್ರತಿನಂಜು ನಿಯೋಗಿ, ಪ್ರತಿವೈರಸ್ ನಿಯೋಗಿ",,,,,,,
,,Antivirotic,,"ಪ್ರತಿನಂಜಿನ, ಪ್ರತಿವೈರಸ್ಸಿನ",,,,,,,
,,Aperture,,"ರಂಧ್ರ, ದ್ವಾರ",,,,,,,
,,Aplanogamete,,ಅಚಲಯುಗ್ಮಕ,,,,,,,
,,Aplano sporangium,,ಅಚಲಬೀಜಾಣುದಾನಿ,,,,,,,
,,Aplanospore,,ಅಚಲಬೀಜಕಣ,,,,,,,
,,Apochromatic,,ಅತಿವರ್ಣಕ,,,,,,,
,,Apochromatic lens,,ಬಣ್ಣವೊಡೆಯದ ಮಸೂರ,,,,,,,
,,Apogamic,,ಅಪಯುಗ್ಮಿ,,,,,,,
,,Apogamy,,ಅಪಯುಗ್ಮನ,,,,,,,
,,Aposporous,,ಅಪಬೀಜಕಣತ್ವ,,,,,,,
,,Apospory,,ಅಪಬೀಜಕಣತೆ,,,,,,,
,,Apparent,,"ತೋರಿಕೆಯ, ಸ್ಪಷ್ಟ",,,,,,,
,,Appendage,,"ಅನುಬಂಧ, ಉಪಾಂಗ",,,,,,,
,,Appertization,,ಅಪರ್ಟೀಕರಣ,,,,,,,
,,Apple rot,,ಸೇಬು ಕೊಳೆರೋಗ,,,,,,,
,,Apple sucker,,"ಸೇಬು ರಸಹೀರುಕ, ಸೇಬು ರಸ ಹೀರುವ ಹುಳು",,,,,,,
,,Appressoria,,ಆಸಂಗಾಂಗ,,,,,,,
,,Aquatic,,"ಜಲಚರ, ಜಲೀಯ",,,,,,,
,,Aquatic environment,,ಜಲೀಯ ಪರಿಸರ,,,,,,,
,,Aquatic fungi,,ಜಲೀಯ ಶಿಲೀಂಧ್ರ,,,,,,,
,,Aquatic microbiology,,ಜಲೀಯ ಸೂಕ್ಷ್ಮಜೀವಿಶಾಸ್ತ್ರ,,,,,,,
,,Aqueous,,"ಜಲೀಯ, ಜಲಮಯ, ನೀರಿನ",,,,,,,
,,Arbitrary,,"ನಿಷ್ಪ್ರಮಾಣ, ಯಾದೃಚ್ಛಿಕ",,,,,,,
,,Arching,,ಬಿಲ್ಲಿನಂತೆ ಬಾಗುವ,,,,,,,
,,Arid,,"ಶುಷ್ಕ, ಒಣ",,,,,,,
,,Aridity,,ಶುಷ್ಕತೆ,,,,,,,
,,Arithmetic growth,,ಗಣಿತ ಬೆಳವಣೆಗೆ,,,,,,,
,,Aroma,,"ಸುವಾಸನೆ, ಸುಗಂಧ",,,,,,,
,,Aromatic compounds,,"ಸುವಾಸನಾಯುಕ್ತ, ಸಂಯುಕ್ತ ವಸ್ತುಗಳು",,,,,,,
,,Aromatic ring synthesis,,ಸುಗಂಧ ಉಂಗುರ ಸಂಶ್ಲೇಷಣೆ,,,,,,,
,,Aromatic series,,ಸುಗಂಧ ಶ್ರೇಣಿ,,,,,,,
,,Arsenic,,"ಶಂಖಪಾಷಾಣ, ಇಲಿ ಪಾಷಾಣ",,,,,,,
,,Artery,,ಅಪಧಮನಿ,,,,,,,
,,Arthritis,,"ಕೀಲುರಿತ, ಕೀಲುರೋಗ, ಸಂಧಿವಾದ",,,,,,,
,,Arthropods,,ಸಂಧಿಪದಿಗಳು,,,,,,,
,,Artifact,,"ಮನುಷ್ಯನಿರ್ಮಿತವಸ್ತು, ಕೈಕಲೆ",,,,,,,
,,Artificial brine,,ಕೃತಕ ಲವಣ ಜಲ,,,,,,,
,,Artificial bypass,,ಕೃತಕ ಉಪಮಾರ್ಗ,,,,,,,
,,Artificial culture,,ಕೃತಕ ಸಾಕಣೆ,,,,,,,
,,Ascospore,,ಆಸ್ಕೊಬೀಜಕಣ,,,,,,,
,,Aseptic,,ಸೂಕ್ಷ್ಮಜೀವಿರಹಿತ,,,,,,,
,,Asexual reproduction,,ನಿರ್ಲಿಂಗ ವಂಶಾಭಿವೃದ್ಧಿ,,,,,,,
,,Asexual spore,,ಅಲೈಂಗಿಕ (ನಿರ್ಲಿಂಗ) ಬೀಜಕಣ,,,,,,,
,,Aspermy,,"ನಿರ್ಬೀಜ, ಬೀಜರಹಿತ",,,,,,,
