ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Absorbent,1. ಹೀರಿಕೊಳ್ಳುವ 2. ಹೀರಿಕೊಳ್ಳುವ ವಸ್ತು,,,,,,,,,
,Absorption,ಹೀರಿಕೆ,,,,,,,,,
,Absorption complex,ಹೀರಿಕೆ ಸಂಕೀರ್ಣ,,,,,,,,,
,Absorption gas,ಹೀರಿಕೆ ಅನಿಲ,,,,,,,,,
,Absorption meter,ಹೀರಿಕೆ ಮಾಪಕ,,,,,,,,,
,Absorptive dust,ಹೀರುವ ಹುಡಿ,,,,,,,,,
,Absorptiveness,ಹೀರಿಕೆ ಗುಣ,,,,,,,,,
,Absorptivity,1. ಹೀರಿಕೆ ಗುಣ 2. ಹೀರಿಕೆ ಪ್ರಮಾಣ,,,,,,,,,
,Abstriction,ಬೂಷ್ಟು ಬೀಜಕಣ ಬೇರ್ಪಡಿಕೆ,,,,,,,,,
,Abundance,ಸಮೃದ್ಧಿ,,,,,,,,,
,Abutilon hirtum,ಹೆತ್ತುತ್ತಿ ಮರ,,,,,,,,,
,A. indicum,ತುತ್ತಿ ಗಿಡ,,,,,,,,,
,A. polyandrum,ಬೆಟ್ಟದ ಬೆಂಡುಗಿಡ,,,,,,,,,
,Acacia catechu,ಕಗ್ಗಲಿ ಕಾಚುಮರ,,,,,,,,,
,A. dealbata,ಸೀಮೆ ಸೀಗೆ; ಹುಲುಗಲು,,,,,,,,,
,A. decurrens,ಸೀಮೆಜಾಲಿ,,,,,,,,,
,A.ebumea,ಪೀಕ ಜಾಲಿ / ತಮ್ಮಟಿ ಜಾಲಿಮರ,,,,,,,,,
,A. famesiana,ಕಸ್ತೂರಿ ಜಾಲಿಮರ,,,,,,,,,
,A. nilotica,ಕರಿಗೊಬ್ಬಳಿ ಮರ,,,,,,,,,
,Acalyculate,ಪುಷ್ಪಪಾತ್ರ ರಹಿತ,,,,,,,,,
,Acanthaceous,ಮುಳ್ಳಿರುವ,,,,,,,,,
,Acanthocarpus,ಮುಳ್ಳ ಫಲವುಳ್ಳ,,,,,,,,,
,Acanthospermu-hispidum,ಕಡಲೆ ಮುಳ್ಳು ಗಿಡ,,,,,,,,,
,Acapsular,ಕೋಶರಹಿತ,,,,,,,,,
,Acariasis,ಉಣ್ಣೆ / ನುಸಿ ಪೀಡಿತ ಸ್ಥಿತಿ,,,,,,,,,
,Acaricide,ಉಣ್ಣೆ / ನುಸಿ ನಾಶಕ,,,,,,,,,
,Acarology,ಉಣ್ಣೆ /ನುಸಿ ವಿಜ್ಞಾನ,,,,,,,,,
,Acarpous,ಫಲ ಕೊಡದ / ಬಿಡದ,,,,,,,,,
,Acaulous,ಕಾಂಡರಹಿತ; ತಾಳು ಇಲ್ಲದ,,,,,,,,,
,Accelerated soil erosion,ತ್ವರಿತ ಮಣ್ಣುಸವೆತ,,,,,,,,,
,Acceptance number,ಅಂಗೀಕಾರ ಸಂಖ್ಯೆ,,,,,,,,,
,Acceptor cell,ಗ್ರಾಹಕ ಕೋಶ,,,,,,,,,
,Accessory bud,ಕಂಕಳ ಮೊಗ್ಗು,,,,,,,,,
,Accessory organs,ಸಹಾಯಕ ಅವಯವಗಳು,,,,,,,,,
,Acclimatisation,ವಾಯುಗುಣಕ್ಕೆ 1. ಒಗ್ಗುವಿಕೆ 2. ಒಗ್ಗಿಸುವಿಕೆ,,,,,,,,,
,Accrescent,ಹೂಬಿಟ್ಟು ಮೇಲೆ ದೊಡ್ಡದಾಗಿ ಬೆಳೆಯುವ,,,,,,,,,
,Accumbent,ಒರಗಿಕೊಂಡ,,,,,,,,,
,Accumulate,1. ಒಟ್ಟುಗೂಡು 2. ಒಟ್ಟುಗೂಡಿಸು,,,,,,,,,
,Acephalous,1. ಚೆಂಡುರಹಿತ 2. ತಲೆ ಸವರಿದ,,,,,,,,,
,Acerate,ಸೂಚೀಪರ್ಣಿ: ಚೂಪೆಲೆಯುಳ್ಳ,,,,,,,,,
,Acetarious,ಪಚಡಿಗಾಗಿ ಉಪಯೋಗಿಸುವ,,,,,,,,,
,Acetate,ಅಸಿಟೇಟ್‌; ಅಸಿಟಿಕ್‌ ಆಮ್ಲದ ಲವಣ,,,,,,,,,
,Acetone cyanohydrin,ಅಸಿಟೋನ್‌ ಸೈನೊಹೈಡ್ರಿನ್; ಒಂದು ಕೀಟನಾಶಕ,,,,,,,,,
,Achene,"ಬಿರಿಯದ, ಒಂದೇ ಬೀಜವಿರುವ, ಗಟ್ಟಿಯಾದ, ಚಿಕ್ಕ ಒಣ ಹಣ್ಣು",,,,,,,,,
,Achlorophyllous,ಹರಿತ್ತುರಹಿತ; ಹಸಿರು ಬಣ್ಣವಿಲ್ಲದ,,,,,,,,,
,Achyranthes aspera,ಉತ್ರಾಣಿ,,,,,,,,,
,Acicular; aciform,ಸೂಜಿಯಾಕಾರದ,,,,,,,,,
,Acid,ಆಮ್ಲ: ಹುಳಿ,,,,,,,,,
,Acid action,ಆಮ್ಲಕ್ರಿಯೆ,,,,,,,,,
,Acid fixing,ಆಮ್ಲ ಸ್ಥಿರೀಕರಣ,,,,,,,,,
,Acid flux,ಆಮ್ಲ ವಿಸರ್ಜನೆ,,,,,,,,,
,Acid-forming fertiliser,ಆಮ್ಲಕಾರಕ ರಸಗೊಬ್ಬರ,,,,,,,,,
,Acidic,ಆಮ್ಲೀಯ; ಹುಳಿಯುಳ್ಳ,,,,,,,,,
,Acidic oxide,ಅಸಿಡಿಕ್‌ ಆಕ್ಸೈಡ್‌; ಆಮ್ಲೀಯ ಭಸ್ಮ,,,,,,,,,
,Acidiferous,1. ಆಮ್ಲಭರಿತ 2.ಆಮ್ಲೋತ್ಪಾದಕ,,,,,,,,,
,Acidifiant,ಆಮ್ಲೀಕರಣ,,,,,,,,,
,Acidification,,,,,,,Acidifiant,,,
,Acidifier,ಆಮ್ಲಕಾರಕ,,,,,,,,,
,Acidify,ಆಮ್ಲೀಕರಿಸು,,,,,,,,,
,Acid igneous rock,ಆಮ್ಲಲಾವಾಶಿಲೆ,,,,,,,,,
,Acidimeter,ಆಮ್ಲತಾಮಾಪಕ,,,,,,,,,
,Acidimetry,ಆಮ್ಲತಾಮಾಪನ,,,,,,,,,
,Acidity,ಆಮ್ಲತೆ,,,,,,,,,
,Acid lava,ಆಮ್ಲಲಾವಾ,,,,,,,,,
,Acid lining,ಆಮ್ಲ ಲೇಪನ,,,,,,,,,
,Acid oxide,ಆಸಿಡ್‌ ಆಕ್ಸೈಡ್‌: ಆಮ್ಲ ಭಸ್ಮ,,,,,,,,,
,Acid phosphate,,,,,,,Superphosphate,,,
,Acid proof,ಆಮ್ಲನಿರೋಧಕ,,,,,,,,,
,Acid rock,ಆಮ್ಲಶಿಲೆ,,,,,,,,,
,Acid slag,ಆಮ್ಲಕಿಟ್ಟ,,,,,,,,,
,Acid soil,ಹುಳಿಮಣ್ಣು,,,,,,,,,
,Acid test,ಆಮ್ಲತಾಪರೀಕ್ಷೆ,,,,,,,,,
,Acid telorance,ಆಮ್ಲಸಹಿಷ್ಣುತೆ,,,,,,,,,
,Acidulate,ಆಮ್ಲೀಕರಿಸು; ಹುಳಿಮಾಡು,,,,,,,,,
,Acidulous,ಮಿತಾಮ್ಲೀಯ; ಮಿತ ಆಮ್ಲವುಳ್ಳ,,,,,,,,,
,Acinaciform,(ಎಲೆಯ ವಿ.ದಲ್ಲಿ) ಕುಡುಗತ್ತಿಯಾಕಾರದ,,,,,,,,,
,Aciniform,ದ್ರಾಕ್ಷಿಗೊಂಚಲಿನಂಥ,,,,,,,,,
,Acme harrow,ಕೊಂಕು ಅಲಗುಕುಂಟೆ; ಬಳುಗುಂಟೆ,,,,,,,,,
,Acmite,ಆಕ್ಮೈಟ್; ಒಂದು ಖನಿಜ,,,,,,,,,
,Acotyledon,ಬೀಜದಳರಹಿತ,,,,,,,,,
,Acquired characters,ಪಡೆದುಕೊಂಡ ಗುಣಲಕ್ಷಣಗಳು,,,,,,,,,
,Acquired immunity,ಪಡೆದು ಕೊಂಡ ಪ್ರತಿರಕ್ಷೆ,,,,,,,,,
,Acre,ಎಕರೆ,,,,,,,,,
,Acreage,ಎಕರೆಯ ಮೊತ್ತ,,,,,,,,,
,Acre-foot,"ಏಕರ್‌ ಫುಟ್; ಎಕರೆ / ಅಡಿ; ಒಂದಡಿ‌ ಆಳದ ಒಂದೆ ಕರೆಯಲ್ಲಿರುವ ನೀರು, ಮಣ್ಣು ಯಾ ಇತರ ವಸ್ತುಗಳ ಪ್ರಮಾಣ",,,,,,,,,
,Acre-inch,ಏಕರ್‌ ಇಂಚ್‌; ಎಕರೆ ಅಂಗುಲ; ಒಂದಂಗುಲ ಆಳದ ಒಂದೆಕರೆಯಲ್ಲಿರುವ ನೀರಿನ ಪ್ರಮಾಣ: ನೀರಾವರಿಗೆ ಬಳಸುವ ನೀರಿನ ಅಳತೆಯ ಮೂಲಮಾನ.,,,,,,,,,
,Acre-yield,ಎಕರೆವಾರು ಇಳುವರಿ,,,,,,,,,
,Acrid,ಅತಿಕಹಿ,,,,,,,,,
,Acrogen,ಅಗ್ರವರ್ಧಿ; ಬೆಳೆಯುವ ಭಾಗವು ಕಾಂಡದ ತುದಿಯಲ್ಲಿರುವ,,,,,,,,,
,Actinium,ಅಕ್ಟೀನಿಯಂ ಮೂಲಧಾತು,,,,,,,,,
,Actinomorphic,ಎಕ್ಟಿನೋಮಾರ್ಫಿಕ್‌; ತ್ರಿಜ್ಯ ಸಮಪಾರ್ಶ್ವದ,,,,,,,,,
,Activate,ಚುರುಕುಗೊಳಿಸು; ಪಟುಗೊಳಿಸು; ಸಕ್ರಿಯಗೊಳಿಸು,,,,,,,,,
,Activated charcoal,ಪಟುಗೊಳಿಸಿದ ಇದ್ದಲು,,,,,,,,,
,Activated sludge,ಸಕ್ರಿಯಗೊಳಿಸಿದ ರೊಚ್ಚು; ವಾಯು ಜೀವಿ ದಂಡಾಣುಗಳನ್ನೊಳಗೊಂಡ ಗಾಳಿ ತುಂಬಿದ ರೊಚ್ಚು,,,,,,,,,
,Active,ಚುರುಕು; ಸಕ್ರಿಯ,,,,,,,,,
,Active acidity,ಸಕ್ರಿಯ ಆಮ್ಲತೆ,,,,,,,,,
,Active agent,(ಕೀಟನಾಶಕದ) ನಂಜುಕಾರಕ ಘಟಿಕಾಂಶ,,,,,,,,,
,Active ingredient,ಸಕ್ರಿಯ ಘಟಿಕಾಂಶ,,,,,,,,,
,Active water absorption,ಸಕ್ರಿಯ ನೀರು ಹೀರಿಕೆ,,,,,,,,,
,Aculeate,ಮುಳ್ಳಿರುವ,,,,,,,,,
,Acumeinate,ತುದಿ ಮೊನಚಾದ,,,,,,,,,
,Acute disease,ತೀಕ್ಷ್ಣರೋಗ,,,,,,,,,
,Acyclic flower,ಸುರುಳಿ ಜೋಡಣೆ ಹೂವು,,,,,,,,,
,Adamite,ಅಡ್‌ಮೈಟ್‌; ಸತುಯುಕ್ತ ಖನಿಜ,,,,,,,,,
,Adapt,1. ಹೊಂದಿಸು 2. ಹೊಂದಿಕೊಳ್ಳು,,,,,,,,,
,Adaptive,ಹೊಂದಾಣಿಕೆಯ,,,,,,,,,
,Adaxial,(ಎಲೆಯ) ಕೆಳಭಾಗ,,,,,,,,,
,Adelphous,ಕೂಡು ಕೇಸರವುಳ್ಳ,,,,,,,,,
,Adenophyllous,ಗ್ರಂಥಿಪತ್ರವುಳ್ಳ,,,,,,,,,
,Adhere,1. ಅಂಟಿಕೊಳ್ಳು 2. ನಿಷ್ಠನಾಗಿರು,,,,,,,,,
,Adhesion,ಅಂಟುವುದು,,,,,,,,,
,Adhesive,1. ಅಂಟು ಗುಣವುಳ್ಳ 2. ಅಂಟು (ಪದಾರ್ಥ),,,,,,,,,
,Adhesive agent,ಅಂಟುಕಾರಕ,,,,,,,,,
,Admixture,ಸಮ್ಮಿಶ್ರಣ,,,,,,,,,
,Adopt,ಅ೦ಗೀಕರಿಸು; ಸ್ವೀಕರಿಸು,,,,,,,,,
,Adopted village,ದತ್ತು ಗ್ರಾಮ,,,,,,,,,
,Adopter,ಸ್ವೀಕರ್ತ,,,,,,,,,
,Adsali (cane),ಒಂದೂವರೆ ವರ್ಷದ (ಕಬ್ಬು),,,,,,,,,
,Adult insect,ಪ್ರೌಢಕೀಟ,,,,,,,,,
,Advance trenching,ಮುಂದಾಗಿ ಕಂದಕ ತೋಡಿಕೆ,,,,,,,,,
,Adventitious root,1. ಬಿಳಿಲು ಬೇರು 2. ತೊಡಕು ಬೇರು.,,,,,,,,,
,Adventive crop,(ಪೂರ್ತಿ ಹೊಂದಿಕೊಂಡಿಲ್ಲದ) ಪರಸ್ಥಳದ ಬೆಳೆ,,,,,,,,,
,Aegirite,ಎಜಿರೈಟ್‌; ಒಂದು ಖನಿಜ,,,,,,,,,
,Aeolian soil,ಗಾಳಿ ತಂದ ಮಣ್ಣು,,,,,,,,,
,Aeration,ಗಾಳಿಗೊಡ್ಡುವಿಕೆ,,,,,,,,,
,Aeration porosity,ವಾಯುಸರಂಧ್ರತೆ,,,,,,,,,
,Aerial dusting,"(ಕೀಟನಾಶಕ, ಕಳೆನಾಶಕ, ಶಿಲೀಂಧ್ರನಾಶಕ) ವೈಮಾನಿಕ ಧೂಳೀಕರಣ",,,,,,,,,
,Aerial photography,ವೈಮಾನಿಕ ಛಾಯಾಚಿತ್ರಣ,,,,,,,,,
,Aerial root,1. ಬಿಳಲು ಬೇರು 2. ತೊಡಕು ಬೇರು,,,,,,,,,
,Aerial spray,ವೈಮಾನಿಕ ಸಿಂಪರಣೆ,,,,,,,,,
,Aerial survey,ವೈಮಾನಿಕ ಸಮೀಕ್ಷೆ,,,,,,,,,
,Aerobe,ವಾಯು ಅಣುಜೀವಿ,,,,,,,,,
,Aerobic,ವಾಯುಜೀವಿ; ಮುಕ್ತ ಆಮ್ಲಜನಕದಲ್ಲಿ ಮಾತ್ರ ಬದುಕಬಲ್ಲ,,,,,,,,,
,Aerobic composting,ವಾಯು ಅಣುಜೀವಿಯ ಕಂಪೋಸ್ಟ್‌ ತಯಾರಿಕೆ,,,,,,,,,
,Aerobiosis,ಆಮ್ಲಜನಕದಲ್ಲಿ ಜೀವಿಸುವಿಕೆ,,,,,,,,,
,Aerosol,ಏರೋಸಾಲ್‌; ಒಂದು ಕೀಟನಾಶಕ,,,,,,,,,
,Affinity,1. ಸಂಬಂಧ 2. ರಚನಾಸಾದೃಶ್ಯ,,,,,,,,,
,Afforestation,ವನನಿರ್ಮಾಣ; ಕಾಡು ಬೆಳೆಸುವಿಕೆ,,,,,,,,,
,A - frame ridger,A - ಆಕಾರದ ದಿಂಡುಕ,,,,,,,,,
,Agamic,ನಿರ್ಲಿಂಗ; ಲಿಂಗ ಕ್ರಿಯಾರಹಿತ,,,,,,,,,
,Agamous,,,,,,,Agamic,,,
,Agar (agar),ಅಗರ್‌ (ಅಗರ್‌); ಸೂಕ್ಷ್ಮಾಣು ಜೀವಿಗಳನ್ನು ಬೆಳೆಯಿಸಲು ಸಮುದ್ರದ ಕಳೆಯಿಂದ ತಯಾರಿಸಿದ ಜೀವಾಣುವರ್ಧಕ ಮಾಧ್ಯಮ,,,,,,,,,
,Agaric,1. ಅಣಬೆ 2. ಅಣಬೆಯಂಥ,,,,,,,,,
,Agave,ಭೂತಾಳೆ; ಕತ್ತಾಳೆ,,,,,,,,,
,Agent,ಏಜೆಂಟ್‌: 1. ಮಧ್ಯವರ್ತಿ 2. ಕಾರಕ,,,,,,,,,
,Ageratum conizoides,ಊರಾಳ ಗಿಡ: ಒಂದು ಅಲಂಕಾರ ಸಸ್ಯ,,,,,,,,,
,Agglomerant,ರಾಶಿಕಾರಕ; ರಾಶಿ ಮಾಡಬಲ್ಲ ವಸ್ತು,,,,,,,,,
,Agglomerate,1. ರಾಶಿ ಮಾಡು; ಒಟ್ಟುಗೂಡಿಸು 2. ರಾಶಿಯಾಗು; ಒಟ್ಟುಗೂಡು 3. ರಾಶಿ ಮಾಡಿದ; ಒಟ್ಟುಗೂಡಿಸಿದ 4. ರಾಶಿಯಾದ; ಒಟ್ಟುಗೂಡಿದ 5. ರಾಶಿ,,,,,,,,,
,Agglomeration,1. ರಾಶಿಯಾಗುವಿಕೆ 2. ರಾಶಿ,,,,,,,,,
,Aggregate,"1. ಸಂಯುಕ್ತ; ಸಮಷ್ಟಿ 2. ಒಟ್ಟು, ಮೊತ್ತ",,,,,,,,,
,Aggregatefruit,ಸಂಯುಕ್ತ ಫಲ; ಒಂದೇ ಹೂವಿನ ಅನೇಕ ಬಿಡಿ ಬಿಡಿ ಅಂಡ ಕೋಶಗಳ ಸಂಯೋಜನೆಯಿಂದ ವೃದ್ಧಿಗೊಂಡ ಫಲ,,,,,,,,,
,Aggregation,1. ಸಮಷ್ಟಿ 2. ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ,,,,,,,,,
,Agitator,ಕಲಕುಸಾಧನ,,,,,,,,,
,Agrarian,ಕೃಷಿಗೆ ಸಂಬಂಧಿಸಿದ,,,,,,,,,
,Agrestal,1. ಜಮೀನಿನಲ್ಲಿ ವಾಸಿಸುವ 2. ಜಮೀನಿನಲ್ಲಿ ಕಾಡಾಗಿ ಬೆಳೆಯುವ,,,,,,,,,
,Agricultural chemicals,ಕೃಷಿ ರಾಸಾಯನಿಕಗಳು,,,,,,,,,
,Agricultural chemistry,ಕೃಷಿ ರಸಾಯನ ವಿಜ್ಞಾನ,,,,,,,,,
,Agricultural department,ಕೃಷಿ ಇಲಾಖೆ,,,,,,,,,
,Agricultural economics,ಕೃಷಿ ಅರ್ಥಶಾಸ್ತ್ರ,,,,,,,,,
,Agricultural engineering,ಕೃಷಿ ಎಂಜಿನಿಯರಿಂಗ್‌,,,,,,,,,
,Agricultural entomologist,ಕೃಷಿ ಕೀಟ ವಿಜ್ಞಾನಿ,,,,,,,,,
,Agricultural extension,ಕೃಷಿ ವಿಸ್ತರಣೆ,,,,,,,,,
,Agricultural forecast,ಕೃಷಿ ಮುನ್ಸೂಚನೆ,,,,,,,,,
,Agricultural geology,ಕೃಷಿ ಭೂವಿಜ್ಞಾನ,,,,,,,,,
,Agricultural holdings,ಕೃಷಿ ಹಿಡುವಳಿ,,,,,,,,,
,Agricultural implements,ಕೃಷಿ ಉಪಕರಣಗಳು,,,,,,,,,
,Agricultural income,ಕೃಷಿ ವರಮಾನ,,,,,,,,,
,Agricultural information,ಕೃಷಿ ವಾರ್ತೆ,,,,,,,,,
,Agricultural labour,1. ಕೃಷಿ ಕೆಲಸ 2. ಕೃಷಿ ಕಾರ್ಮಿಕವರ್ಗ,,,,,,,,,
,Agricultural labourer,ಕೃಷಿ ಕಾರ್ಮಿಕ,,,,,,,,,
,Agricultural land,ಕೃಷಿ ಭೂಮಿ,,,,,,,,,
,Agricultural machinery,1.ಕೃಷಿ ಯಂತ್ರಗಳು 2. ಕೃಷಿ ವ್ಯವಸ್ಥೆ,,,,,,,,,
,Agricultural market,ಕೃಷಿ ಮಾರುಕಟ್ಟೆ,,,,,,,,,
,Agricultural meteorology,ಕೃಷಿ ವಾಯುವಿಜ್ಞಾನ,,,,,,,,,
,Agricultural policy,ಕೃಷಿ ನೀತಿ,,,,,,,,,
,Agricultural produce,ಕೃಷಿ ಉತ್ಪನ್ನ ; ವ್ಯವಸಾಯೋತ್ಪನ್ನ; ಒಕ್ಕಲುತನ ಹುಟ್ಟುವಳಿ,,,,,,,,,
,Agricultural Produce Marketing Committee,ಕೃಷಿ ಉತ್ಪನ್ನ ಮಾರಾಟ ಸಮಿತಿ ; ಒಕ್ಕಲುತನ ಹುಟ್ಟುವಳಿ ಮಾರಾಟ ಸಮಿತಿ,,,,,,,,,
,Agricultural regions,ಕೃಷಿ ಪ್ರದೇಶಗಳು,,,,,,,,,
,Agricultural rent,ಕೃಷಿ ಗೇಣಿ / ಗುತ್ತಿಗೆ,,,,,,,,,
,Agricultural research,ಕೃಷಿ ಸಂಶೋಧನೆ,,,,,,,,,
,Agricultural Research Institute,ಕೃಷಿ ಸಂಶೋಧನ ಸಂಸ್ಥೆ,,,,,,,,,
,Agricultural science,ಕೃಷಿ ವಿಜ್ಞಾನ,,,,,,,,,
,Agricultural statistics,ಕೃಷಿ ಅ೦ಕಿಅಂಶಗಳು,,,,,,,,,
,Agricultural University,ಕೃಷಿ ವಿಶ್ವವಿದ್ಯಾನಿಲಯ,,,,,,,,,
,Agricultural wages,ಕೃಷಿ ಮಜೂರಿ,,,,,,,,,
,Agricultural warehouse,ಕೃಷಿ ಉಗ್ರಾಣ,,,,,,,,,
,Agriculture,ಕೃಷಿ; ವ್ಯವಸಾಯ; ಒಕ್ಕಲುತನ,,,,,,,,,
,Agriculturist,ಕೃಷಿಕ; ರೈತ; ಒಕ್ಕಲಿಗ,,,,,,,,,
,Agrite rock,ಅಗ್ರೈಟ್‌ ಶಿಲೆ,,,,,,,,,
,Agro-bacterium,ಕೃಷಿ ದಂಡಾಣುಜೀವಿ,,,,,,,,,
,Agro-biology,ಕೃಷಿ ಜೀವವಿಜ್ಞಾನ,,,,,,,,,
,Agro-climatic region,ಕೃಷಿ ವಾಯುಗುಣ ಪ್ರದೇಶ,,,,,,,,,
,Agro-climatology,ಕೃಷಿ ವಾಯುಗುಣ ವಿಜ್ಞಾನ,,,,,,,,,
,Agro-ecology,ಕೃಷಿ ಜೀವಪರಿಸರ ವಿಜ್ಞಾನ,,,,,,,,,
,Agro-forestry,ಕೃಷಿ ವನವಿಜ್ಞಾನ,,,,,,,,,
,Agro-industries,ಕೃಷಿ ಕೈಗಾರಿಕೆಗಳು / ಉದ್ಯಮಗಳು,,,,,,,,,
,Agrogy,ಮಣ್ಣು ವಿಜ್ಞಾನ,,,,,,,,,
,Agronomist,ಕೃಷಿವಿಜ್ಞಾನಿ,,,,,,,,,
,Agronomy,ಕೃಷಿ ವಿಜ್ಞಾನ,,,,,,,,,
,Agroseeds corporation,ಕೃಷಿ ಬೀಜನಿಗಮ,,,,,,,,,
,Agrostology,ಹುಲ್ಲು ಸಸ್ಯವಿಜ್ಞಾನ,,,,,,,,,
,A. horizon,ಮಣ್ಣು ಮೇಲ್ಪದರ,,,,,,,,,
,Aids,ಸಾಧನ ಸಲಕರಣೆಗಳು,,,,,,,,,
,Aigicolous,ಸಮುದ್ರತೀರದ ಮರಳಿನಲ್ಲಿ ಬೆಳೆಯುವ,,,,,,,,,
,Aikinite,ಐಕಿನೈಟ್‌ ಸಂಯುಕ್ತ ಖನಿಜ,,,,,,,,,
,Ailanthus excelsa,ಹೆಮ್ಮರ,,,,,,,,,
,Air-blast sprayer,,,,,,,Mist blower,,,
,Air-bome plant disease,ಗಾಳಿಯಿಂದ ಹಬ್ಬಿದ ಸಸ್ಯರೋಗ,,,,,,,,,
,Air Capacity,ವಾಯು ಸಾಮರ್ಥ್ಯ,,,,,,,,,
,Air curing,ಗಾಳಿಯಿಂದ ಹದಮಾಡುವುದು,,,,,,,,,
,Air-dry,ಗಾಳಿಯಿಂದ ಒಣಗಿದ,,,,,,,,,
,Air-dry soil,ಗಾಳಿಯಿಂದ ಒಣಗಿದ ಮಣ್ಣು,,,,,,,,,
,Air pump,ಗಾಳಿ ಪಂಪು,,,,,,,,,
,Air sac,ವಾಯುಕೋಶ; ಗಾಳಿಕುಳಿ,,,,,,,,,
,Air-slaked lime,ಗಾಳಿಗೆ ಅರಳಿದ ಸುಣ್ಣ,,,,,,,,,
,Air tight storage,ಗಾಳಿ ತೂರದ ಉಗ್ರಾಣ / ಕೋಠಿ,,,,,,,,,
,Akermanite,ಅಕರ್ಮನೈಟ್‌; ಒಂದು ಖನಿಜ,,,,,,,,,
,Akola hoe,ಅಕೋಲ ಕುಂಟೆ,,,,,,,,,
,Ala,1. ರೆಕ್ಕೆ 2. ರೆಕ್ಕೆಯಂಥ ಭಾಗ,,,,,,,,,
,Alachlor,ಅಲಾಕ್ಲೋರ್‌; ಒಂದು ಕಳೆನಾಶಕ,,,,,,,,,
