ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Aeronautics,,ವೈಮಾನಿಕ ವಿಜ್ಞಾನ,,,,,,,
,,Agency,,ಏಜೆನ್ಸಿ; ಕಾರ್ಯಭಾರ,,,,,,,
,,Agent,,ಏಜೆಂಟ್‌: 1.ಪ್ರತಿನಿಧಿ; ಕಾರುಭಾರಿ 2.ದಳ್ಳಾಳಿ; ಮಧ್ಯಸ್ಥಗಾರ,,,,,,,
,,Agreement bond,,ಒಪ್ಪಂದ ಪತ್ರ,,,,,,,
,,Agricultural machinery centre,,ಕೃಷಿ ಯಂತ್ರೋಪಕರಣ ಕೇಂದ್ರ,,,,,,,
,,Agricultural research institute,,ಕೃಷಿ ಸಂಶೋಧನ ಸಂಸ್ಥೆ,,,,,,,
,,Air compressor,,ವಾಯುಸಂಕೋಚಕ,,,,,,,
,,Airway,,ಗಾಳಿದಾರಿ; ವಾತಾಯನ; ಗಣಗಳಲ್ಲಿ ವಾಯುಸಂಚಾರಕ್ಕೆಂದು ಮಾಡಿದ ಮಾರ್ಗ,,,,,,,
,,Alcohol,,ಆಲ್ಕೊಹಾಲ್‌; ಮದ್ಯಸಾರ,,,,,,,
,,Allied trade,,ಸಂಬಂಧಿಸಿದ ವೃತ್ತಿ,,,,,,,
,,Allotment of raw materials,,ಕಚ್ಚಾಸಾಮಗ್ರಿಯ ಹಂಚಿಕೆ,,,,,,,
,,Alloy,,ಮಿಶ್ರಲೋಹ,,,,,,,
,,Alluvial (soil),,ಮೆಕ್ಕಲು ಮಣ್ಣು,,,,,,,
,,Alternating current (a.c.),,ಪರ್ಯಾಯ ಪ್ರವಾಹ (ಪ.ವಿ.) ಸೆಕೆಂಡಿಗೆ ಅನೇಕಬಾರಿ ದಿಕ್ಕನ್ನು ಬದಲಿಸುವ ವಿದ್ಯುತ್‌ಪ್ರವಾಹ,,,,,,,
,,Amalgam,,ಪಾದರಸ ಮಿಶ್ರಲೋಹ; ಯಾವುದೇ ಲೋಹ ಮತ್ತು ಪಾದರಸಗಳ ಮಿಶ್ರಣ,,,,,,,
,,Amalgamate,,"1. (ಲೋಹ, ಮೊ.ವನ್ನು ) ಬೆರಸು; ಮಿಶ್ರಿಸು 2. (ವರ್ಗಗಳು, ಸಂಘಗಳು ಮೊ.ವನ್ನು) ಕೂಡಿಸು; ಒ೦ದಾಗಿಸು",,,,,,,
,,Ammeter,,ಆ್ಯಮೀಟರ್‌ ; ವಿದ್ಯುತ್‌ ಪ್ರವಾಹ ಮಾಪಕ,,,,,,,
,,Ampere,,ಆ್ಯ೦ಪೇರ್‌; ವಿದ್ಯುತ್‌ ಪ್ರವಾಹವನ್ನುಅಳೆಯುವ ಘಟಕ,,,,,,,
,,Amplifier,,ಅ್ಯಂಪ್ಲಿಫೈಆರ್‌; ವರ್ಧಕ; 1.ಧ್ವನಿವರ್ಧಕ; ಧ್ವನಿಗಳ ಪ್ರಮಾಣವನ್ನು ಹೆಚ್ಚಿಸುವ ವಿದ್ಯುತ್‌ ಸಲಕರಣೆ 2. ವಿದ್ಯುದ್ವರ್ಧಕ; ವಿದ್ಯುತ್‌ ಸಂಕೇತಗಳ ಬಲವನ್ನು ಹೆಚ್ಚಿಸುವ ಸಲಕರಣೆ,,,,,,,
,,Aniline dye,,ಅನಿಲೀನ್‌ ರಂಗು; ಬಟ್ಟೆ ಮೊ.ಗಳಿಗೆ ಬಣ್ಣ ಹಾಕಲು ಬಳಸುವ ಅನಿಲೀನ್‌ ರಾಸಾಯನಿಕ ಸಂಯುಕ್ತವುಳ್ಳ ರಂಗು,,,,,,,
,,Animal fat,,ಪ್ರಾಣಿಗಳ ಕೊಬ್ಬು,,,,,,,
,,Anneal,,"ಹದಕೊಡು; ಕಬ್ಬಿಣ, ಗಾಜು ಮೊ.ಗಳ ಗಡಸುತನವನ್ನು ಕಳೆದು ಬೇಕಾದ ಆಕಾರಕ್ಕೆ ಪರಿವರ್ತಿಸಲು ಅವುಗಳನ್ನು ಕಾಯಿಸಿದ ನಂತರ ನಿಧಾನವಾಗಿ ತಂಪಿಸುವ ಕ್ರಿಯೆ",,,,,,,
,,Annual report,,ವಾರ್ಷಿಕ ವರದಿ,,,,,,,
,,Annual requirements :,,ವಾರ್ಷಿಕ ಅಗತ್ಯಗಳು,,,,,,,
,,Annual returns,,ವಾರ್ಷಿಕ ಸಲ್ಲಿಕೆಗಳು,,,,,,,
,,Annual yield,,ವಾರ್ಷಿಕ ಇಳುವರಿ,,,,,,,
,,Anvil,,ಅಡಿಗಲ್ಲು; ಬಡಿಗಲ್ಲು,,,,,,,
,,Apex weavers co-operative society,,ಏಪೆಕ್ಸ್‌ ನೇಕಾರರ ಸಹಕಾರಿ ಸಂಘ,,,,,,,
,,Apex institution,,ಏಪೆಕ್ಸ್‌ ಸಂಸ್ಥೆ,,,,,,,
,,Apiarist,,ಜೇನುಕೃಷಿಕ,,,,,,,
,,Apiary,,ಜೇನುಸಾಕಣೆ ಕೇಂದ್ರ,,,,,,,
,,Apicultural development,,ಜೇನುಕೃಷಿ ಅಭಿವೃದ್ಧಿ,,,,,,,
,,Apicultural Development officer,,ಜೇನುಕೃಷಿ ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿ,,,,,,,
,,Apiculture,,ಜೇನುಕೃಷಿ,,,,,,,
,,Apparatus,,ಉಪಕರಣ ಸಮೂಹ,,,,,,,
,,Appliance,,ಪರಿಕರ,,,,,,,
,,Applied,,"ಅನ್ಜಯಿಕ, ಪ್ರಾಯೋಗಿಕ",,,,,,,
,,Apply,,1. ಅನ್ವಯಿಸು 2. ಅರ್ಜಿ ಸಲ್ಲಿಸು 3. ಗಮನಿಸು,,,,,,,
,,Apprentice,,ಅಪ್ರೆಂಟಿಸ್‌; ಶಿಶಿಕ್ಷು; ಉಮೇದುವಾರ,,,,,,,
,,Appropriate,,1. ವಿನಿಯೋಗಿಸು 2. ಸೂಕ್ತ,,,,,,,
,,Appropriate technology (a.t.),,ಸೂಕ್ತ ತಂತ್ರಜ್ಞಾನ (ಸೂ.ತಂ.),,,,,,,
,,Approved stockists,,ಅನುಮೋದಿತ ದಾಸ್ತಾನುಗಾರರು.,,,,,,,
,,Approximate cost,,ಅಂದಾಜು ಬೆಲೆ,,,,,,,
,,Approximate value,,ಅಂದಾಜು ಮೌಲ್ಯ,,,,,,,
,,Arbitration,,ಮಧ್ಯಸ್ಥಿಕೆ; ಪಂಚಾಯಿತಿ,,,,,,,
,,Arbitration clause,,ಮಧ್ಯಸ್ಥಿಕೆ ಖಂಡ / ಕಲಮು,,,,,,,
,,Arbitrator,,ಮಧ್ಯಸ್ಥ; ಪಂಚ,,,,,,,
,,Architect,,ವಾಸ್ತುಶಿಲ್ಪಿ,,,,,,,
,,Architecture,,ವಾಸ್ತುಶಿಲ್ಪ,,,,,,,
,,Arc welding,,ಆರ್ಕ್‌ ವೆಲ್ಡಿಂಗ್‌; ವಿದ್ಯುತ್‌ ಬೆಸುಗೆ (ಹಾಕುವುದು),,,,,,,
,,Area of operation,,ಕಾರ್ಯಾಚರಣೆಯ ಕ್ಷೇತ್ರ,,,,,,,
,,Armour,,(ರಕ್ಷಾ) ಕವಚ,,,,,,,
,,Aromatic,,ಸುಗಂಧ ದ್ರವ್ಯ,,,,,,,
,,Arrears of land revenue,,ಭೂಕಂದಾಯ ಬಾಕಿ,,,,,,,
,,Art,,1. ಕಲೆ 2. ಕೌಶಲ್ಯ 3. ಕೃತಕ,,,,,,,
,,Article of charges,,ದೋಷಾರೋಪಣ ಪಟ್ಟಿ,,,,,,,
,,Art silk,,ಆರ್ಟ್‌ಸಿಲ್ಕ್‌; ಕೃತಕ ರೇಶ್ಮೆ,,,,,,,
,,Art textile,,ಕಲಾತ್ಮಕ ಬಟ್ಟೆ,,,,,,,
,,Article,,1. ವಸ್ತು; ಸರಕು 2. ಅನುಚ್ಛೇದ 3. ಲೇಖನ,,,,,,,
,,Articles of merchandise,,ವ್ಯಾಪಾರದ ಸರಕುಗಳು,,,,,,,
,,Artisan,,ಕುಶಲಕರ್ಮಿ; ಕಸಬುದಾರ,,,,,,,
,,Artisan training institute,,ಕುಶಲಕರ್ಮಿ ತರಬೇತಿ ಸಂಸ್ಥೆ,,,,,,,
,,Artistic skill,,ಕಲಾಕೌಶಲ,,,,,,,
,,Artistic work,,ಕಲಾಕೃತಿ,,,,,,,
,,Assemble,,1. ಜೋಡಿಸು 2. ಸಭೆ ಸೇರಿಸು 3. ಸಭೆ ಸೇರು,,,,,,,
,,Assess,,1. ನಿಗದಿಮಾಡು; ಬೆಲೆಕಟ್ಟು 2. ತೆರಿಗೆಹಾಕು,,,,,,,
,,Assessed capacity,,ನಿಗದಿತ ಸಾಮರ್ಥ್ಯ,,,,,,,
,,Assessment,,"1. (ಕಂದಾಯ, ತೆರಿಗೆ ಮೊ.ಗಳ) ನಿರ್ಧಾರಣ; ನಿಗದೀಕರಣ 2. ಕಂದಾಯ; ತೆರಿಗೆ",,,,,,,
,,Assessment of loss,,ನಷ್ಟನಿರ್ಧಾರಣ / ನಿಗದೀಕರಣ,,,,,,,
,,Assets and liabilities,,ಆಸ್ತಿ ಮತ್ತು ಹೊಣೆಗಳು,,,,,,,
,,"Assistant director,industries and commerce",,"ಸಹಾಯಕ ನಿರ್ದೇಶಕ, ಕೈಗಾರಿಕೆ ಮತ್ತು ವಾಣಿಜ್ಯ",,,,,,,
,,Assignment,,1. ಕಾರ್ಯನಿಯೋಜನೆ 2. ನಿಯಮಿತ ಕಾರ್ಯ,,,,,,,
,,At par,,ನಮೂದುಬೆಲೆಗೆ,,,,,,,
,,Attachment,,1. ಜೋಡಣೆ 2. ಜಪ್ತಿ,,,,,,,
,,Allracitive design,,ಆಕರ್ಷಕ ವಿನ್ಯಾಸ,,,,,,,
,,Auction,,"ಹರಾಜು, ಲಿಲಾವು, ಏಲಂ",,,,,,,
,,Auctioneer,,ಹರಾಜುಗಾರ; ಲಿಲಾವುಗಾರ,,,,,,,
,,Audio,,"ಆಡಿಯೋ; ಶಬ್ದಧಜನಕ; ಟಿಲಿವಿಜನ್‌, ರೇಡಿಯೋ ಮೊ.ವುಗಳ ಗ್ರಾಹಕದಲ್ಲಿ ಶಬ್ದ ಯಾ ನಾದವನ್ನು ಉತ್ಪಾದಿಸುವ ಭಾಗ",,,,,,,
,,Audited balance sheet,,ಪರಿಶೋಧಿತ ಆಸ್ತಿಹೊಣೆಪಟ್ಟಿ / ಅಢಾವೆಪಟ್ಟಿ.,,,,,,,
,,Auditor,,ಆಡಿಟರ್‌; ಲೆಕ್ಕಪರಿಶೋಧಕ,,,,,,,
,,Auger,,ಆಗರ್‌; ಬೈರಿಗೆ,,,,,,,
,,Auger bits,,ಬೈರಿಗೆ ಆಲಗುಗಳು,,,,,,,
,,Authentic,,ಅಧಿಕೃತ; ವಿಶ್ವಾಸಾರ್ಹ,,,,,,,
,,Authorized capital,,ಅಧಿಕೃತ ಬಂಡವಾಳ,,,,,,,
,,Authorized share capital,,ಅಧಿಕೃತ ಶೇರು ಬಂಡವಾಳ,,,,,,,
,,Automatic,,ಆಟೋಮ್ಯಾಟಿಕ್‌; ಸ್ವಯಂಚಾಲಿತ,,,,,,,
,,Automatic grant of special promotion to senior scale of pay,,ಹಿರಿಯ ವೇತನ ಶ್ರೇಣಿಗೆ ವಿಶೇಷ ಬಡ್ತಿಯ ತಂತಾನೆ ನೀಡಿಕೆ,,,,,,,
,,Automation,,ಸ್ವಯಂಚಾಲನೆ,,,,,,,
,,Auto quick return screwdriver,,ತಟ್ಟನೆ ತಿರುಗಿಬರುವ ಸ್ಪಯಂಚಾಲಿತ ತಿರುಪಳಿ,,,,,,,
,,Average returns,,ಸರಾಸರಿ ಹುಟ್ಟುವಳಿ / ಆದಾಯ,,,,,,,
,,Award,,1. ಕೊಡು; ನೀಡು 2. ಪ್ರಶಸ್ತಿ 3. ಐತೀರ್ಪು,,,,,,,
,,Azo dyes,,ಸಾರಜನಕದ ರಂಗು; ಬಟ್ಟೆ ಮೊ.ಗಳಿಗೆ ಬಣ್ಣ ಹಾಕಲು ಬಳಸುವ ಸಾರಜನಕ ಸಂಯುಕ್ತವುಳ್ಳ ರಾಸಾಯನಿಕ ರಂಗು.,,,,,,,
,,Bad conductor,,"ದುರ್ವಾಹಕ; ಶಾಖ, ವಿದ್ಯುತ್ತು ಮೊ.ಗಳನ್ನು ಕಡಿಮೆ ಪ್ರಮಾಣದಲ್ಲಿ ಸಾಗಿಸುವ ಯಾ ಹರಿಯಗೊಡುವ ವಸ್ತು",,,,,,,
,,Bad debt,,ಕೆಟ್ಟಸಾಲ; ವಸೂಲಾಗದ ಸಾಲ,,,,,,,
,,Baker and confectioner,,ರೊಟ್ಟಿಗಾರ ಮತ್ತು ಮಿಠಾಯಿಗಾರ,,,,,,,
,,Bakery,,"ಬೇಕರಿ; ಬ್ರಿಡ್‌, ಕೇಕ್‌, ಮೊ.ಗಳನ್ನು ಸುಡುವ, ಮಾಡುವ ಹಾಗೂ ಮಾರುವ ಅಂಗಡಿ",,,,,,,
,,Balance sheet,,ಬ್ಯಾಲೆನ್ಸ್‌ ಶೀಟ್‌; ಆಸ್ತಿಹೊಣೆ ಪಟ್ಟಿ; ಅಢಾವೆ ಪಟ್ಟಿ,,,,,,,
,,Bale,,ಬೇಲ್‌; ಪಿಂಡಿ; ಮೂಟಿ; ಅಂಡಿಗೆ,,,,,,,
,,Ballast,,"ಸ್ಥಿರಕಾರಿ; ಆರ್ಕ್‌ದೀಪ, ಮರ್ಕ್ಯುರಿ ದೀಪ, ಮೊ.ಗಳಲ್ಲಿ ವಿದ್ಯುತ್ತು ಸ್ಥಿರವಾಗಿರುವಂತೆ ಮಾಡಲು ಬಳಸುವ ನಿರೋಧಕ ಯಾ ಸಾಧನ",,,,,,,
,,Ball peen hammer,,ದುಂಡುತಲೆ ಸುತ್ತಿಗೆ,,,,,,,
,,Ball pein hammer,,ನೋಡಿ - ball peen hammer,,,,,,,
,,Ban,,1. ಬಹಿಷ್ಕರಿಸು; ನಿಷೇಧಿಸು 2. ಬಹಿಷ್ಕಾರ; ನಿಷೇಧ,,,,,,,
,,Band saw,,ಪಟ್ಟಗರಗಸ; ಚಕ್ರಗಳ ಮೇಲೆ ಸುತ್ತುತ್ತಿರುವ ಪಟ್ಟಗರಗಸ,,,,,,,
,,Banned items,,ಬಹಿಷ್ಕರಿಸಿದ ವಸ್ತುಗಳು / ಬಾಬ್ತುಗಳು,,,,,,,
,,Barbed wire,,ಮುಳ್ಳು ತಂತಿ,,,,,,,
,,Bargain,,1. ಚೌಕಾಸಿ ಮಾಡು; ಕೊಸರಾಡು 2. ಚೌಕಾಸಿ; ಕೊಸರಾಟ,,,,,,,
,,Bark tanning,,"ಬಾರ್ಕ್‌ ಟ್ಯಾನಿಂಗ್‌; ತಂಗಡಿಚಕ್ಕೆ, ಅಣಿಲೆಕಾಯಿ, ಮೊ. ಸಸ್ಯಜನ್ಯಗಳಿಂದ ಚರ್ಮ ಹದಮಾಡುವುದು.",,,,,,,
,,Bar strip,,"ಬಾರ್‌ ಸ್ಟಿಪ್‌; ಲೋಹ, ಮರ,ಮೊ.ಗಳ ಉದ್ದನೆಯ ಪಟ್ಟಿ",,,,,,,
,,Barter,,1. ವಸ್ತುವಿನಿಮಯ ಮಾಡು 2. ವಸ್ತುವಿನಿಮಯ,,,,,,,
,,Barter system,,ಪಸ್ತುವಿನಿಮಯ ಪದ್ಧತಿ,,,,,,,
,,Basic components,,ಮೂಲ ಘಟಕಾಂಶಗಳು,,,,,,,
,,Basic dye,,ಪ್ರತ್ಯಾಮ್ಲೀಯ ರಂಗು; ಬಟ್ಟೆ ಮೊ.ಗಳಿಗೆ ರಂಗುಹಾಕಲು ಬಳಸುವ ಪ್ರತ್ಯಾಮ್ಲ ಗುಣದ ರಂಗು,,,,,,,
,,Basic industry,,ಮೂಲ ಕೈಗಾರಿಕೆ,,,,,,,
,,Basic principle,,ಮೂಲ ತತ್ವ,,,,,,,
,,Basic raw materials,,ಮೂಲ ಕಚ್ಚಾಸಾಮಗ್ರಿ,,,,,,,
,,Bead,,ಬೀಡ್‌ : 1. ಮಣಿ 2. ಚಕ್ರದ ಅಂಚನ್ನು ಹಿಡಿದುಕೊಳ್ಳುವ ಟೈರಿನಲ್ಲಿರುವ ಒಳ ಅಂಚು,,,,,,,
,,Beam,,ತೊಲೆ,,,,,,,
,,Bee,,ಜೇನುನೊಣ,,,,,,,
,,Beer,,ಬಿಯರ್‌; ಒಂದು ವಿಧವಾದ ಮದ್ಯ,,,,,,,
,,Beneficiary,,ಫಲಾನುಭವಿ,,,,,,,
,,Bill,,ಬಿಲ್‌; ಹುಂಡಿ,,,,,,,
,,Billet,,1. ಕೊರಡು 2. ಲೋಹದ ಸರಳು 3. (ವಾಸ್ತುಶಿಲ್ಪದಲ್ಲಿ) ಕಾರಣಿ ದಿಂಡು; ಅಲಂಕಾರಕ್ಕಾಗಿ ಕೂಡಿಸಿದ ದಿಂಡು,,,,,,,
,,Bill of credit,,ಹಣಭರವಸೆಯ ಪತ್ರ / ಪತ್ತುಪತ್ರ,,,,,,,
,,Bill of debt,,ಋಣಪತ್ರ,,,,,,,
,,Bill of exchange,,ವಿನಿಮಯಪತ್ರ / ಹುಂಡಿ,,,,,,,
,,Bill of indemnity,,ನಷ್ಟಭರ್ತಿಪತ್ರ,,,,,,,
,,Bill of lading,,ಭರಾವಣಿ ಚೀಟಿ; ರಪ್ತುಪಟ್ಟಿ; ಹಡಗಿನ ಯಜಮಾನನು ಸಾಮಾನು ಕಳುಹಿಸುವವನಿಗೆ ಕೊಡುವ ತಪಸೀಲು ರಸೀತಿ,,,,,,,
,,Bill of sale,,ವಿಕ್ರಯ / ಮಾರಾಟ ಪತ್ರ,,,,,,,
,,Bills payable,,ಸಂದಾಯವಾಗತಕ್ಕ ಬಿಲ್ಲುಗಳು,,,,,,,
,,Black market,,ಕಾಳಸಂತೆ,,,,,,,
,,Blacklist,,1. ಕಪ್ಪುಪಟ್ಟಿಗೆ ಸೇರಿಸು 2. ಕಪ್ಪುಪಟ್ಟಿ,,,,,,,
,,Blacksmith,,ಕಮ್ಮಾರ,,,,,,,
,,Blacksmithery,,ಕಮ್ಮಾರಿಕೆ,,,,,,,
,,Blast fumace,,ಊದುಕುಲುಮೆ; ಒತ್ತುಗಾಳಿ ಕುಲುಮೆ; ಅದುರಿನಿಂದ ಲೋಹ (ಮು. ಕಬ್ಬಿಣ) ತೆಗೆಯಲು ಬಿಸಿ ಒತ್ತುಗಾಳಿಯನ್ನು ಬಳಸುವ ಕುಲುಮೆ,,,,,,,
,,Bleach,,ಬ್ಲೀಚ್‌; ಚೆಲುವೆಮಾಡು,,,,,,,
,,Bleaching powder,,ಚೆಲುವೆ / ಬಿಳಿಚು ಪುಡಿ; ಬಟ್ಟೆ ಎಣ್ಣೆ ಸೋಪು. ಮೊ. ವಸ್ತುಗಳ ಬಣ್ಣತೆಗೆಯಲು ಮತ್ತು ಕ್ರಿಮಿನಾಶಕವಾಗಿ ಬಳಸುವ ಸುಣ್ಣ ಕ್ಕೆ ಕ್ಲೋರಿನ್‌ ಸೇರಿಸಿ ತಯಾರಿಸುವ ರಾಸಾಯನಿಕ,,,,,,,
,,Block,,1. ತಡೆಗಟ್ಟು: ಅಡ್ಡಿ ಪಡಿಸು 2. ಕ್ಷೇತ್ರ 3. ಪಡಿಯಚ್ಚು,,,,,,,
,,Block board,,ಬ್ಲಾಕ್‌ ಬೋರ್ಡ್‌; ಮಧ್ಯದಲ್ಲಿ ಮರದ ಪಟ್ಟಿಗಳನ್ನು ಬಳಸಿರುವ ಪ್ಲೈವುಡ್‌ ಹಲಗೆ,,,,,,,
,,Block capital,,ತಡೆಗಟ್ಟಿದ ಬಂಡವಾಳ,,,,,,,
,,Block grant,,ಬ್ಲಾಂಕ್‌ ಗ್ರಾಂಟ್‌; ಒಟ್ಟಾರೆ ಅನುದಾನ,,,,,,,
,,Block survey,,ಕ್ಷೇತ್ರ ಸಮೀಕ್ಷೆ,,,,,,,
,,Blower,,1. ತಿದಿ 2. ವಾಯುವರ್ಧಕ; ಯಾವುದೇ ಒಂದಕ್ಕೆ (ಮು. ಒಲೆಗೆ) ಒದಗುತ್ತಿರುವ ಗಾಳಿಯನ್ನು ಹೆಚ್ಚಿಸುವ ಸಲಕರಣೆ 3. ಅನಿಲಕಿಂಡಿ; ಅನಿಲ ಹೊರಕ್ಕೆ ಹೋಗುವ ಕಿಂಡಿ / ಬಿರುಕು / ರಂದ್ರ (ಗಣಿ ಮೊ.ಗಳಲ್ಲಿ),,,,,,,
,,Blow lamp,,ಊದುದೀಪ; ಯಾವುದೇ ನಿರ್ದಿಷ್ಟ ಸ್ಥಳದಮೇಲೆ ಶಾಖವನ್ನುಸಾಂದ್ರೀಕರಿಸಲು ಒತ್ತುಗಾಳಿಯಿಂದ ಚಿಮ್ಮಿಸಿದ ಸುಡುಜ್ವಾಲೆಯನ್ನು ಉಗುಳುವ ದೀಪ,,,,,,,
,,Blow torch,,ನೋಡಿ - blow lamp,,,,,,,
,,Blue chips,,"ಬ್ಲೂ ಚಿಪ್ಸ್‌; ಅತ್ಯಂತ ಮೌಲ್ಯದ,ಸಾಮಾನ್ಯವಾಗಿ. ಅಪಾಯ ಸಂಭವವಿರದ ಶೇರುಗಳು",,,,,,,
,,Blue print,,ಬ್ಲೂ ಪ್ರಿಂಟ್‌; 1. ನೀಲಿಪ್ರತಿ; ನೀಲಿನಕ್ಷೆ 2. (ಯಾವುದೇ ಯೋಜನೆಯ) ವಿವರವಾದ ರೂಪರೇಖೆ,,,,,,,
,,Board,,ಮಂಡಳಿ,,,,,,,
,,Board of control,,ನಿಯಂತ್ರಣ ಮಂಡಳಿ,,,,,,,
,,Board of directors,,ನಿರ್ದೇಶಕರ ಮಂಡಳಿ,,,,,,,
,,Board of administration,,ಆಡಳಿತ ಮಂಡಳಿ,,,,,,,
,,Board of management,,ವ್ಯವಸ್ಥಾಪನ ಮಂಡಳಿ,,,,,,,
,,Board of management of industrial concerns,,ಕೈಗಾರಿಕಾಸಂಸ್ಥೆಗಳ ವ್ಯವಸ್ಥಾಪನ ಮಂಡಳಿ,,,,,,,
