ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Adult organism,,ಪ್ರೌಢಜೀವಿ,,,,,,,
,,Adult stage,,ಪ್ರೌಢಾವಸ್ಥೆ,,,,,,,
,,Aedeagus,,ಶಿಶ್ನ ಸಂಬಂಧದ ಅಂಗ,,,,,,,
,,Acration,,ಗಾಳಿಯಾಡುವಿಕೆ,,,,,,,
,,Aerobic Respiration,,ವಾಯುಜೀವಿ ಉಸಿರಾಟ,,,,,,,
,,Aerosal,,ಅವಿಕೀಟನಾಶಕ,,,,,,,
,,Aesthetic value,,ಸೌಂದರ್ಯೋಪಾಸನಾ ಮೌಲ್ಯ,,,,,,,
,,Aestivation,,ಗ್ರೀಷ್ಮ ನಿಶೇಷ್ಪತೆ,,,,,,,
,,Agave,,ಕತ್ತಾಳೆ : ಭೂತಾಳೆ,,,,,,,
,,Aggressive mimicry,,ಭೀಕರ ಅಣಕು,,,,,,,
,,Aging,,ವಯಸ್ಸಾಗು,,,,,,,
,,Agitator,,ಕಲಕುಸಾಧನ : ಕ್ಷೋಭಕ ಯಂತ್ರ,,,,,,,
,,Agrotechnical,,ಕೃಷಿ ತಾಂತ್ರಿಕ; ಬೇಸಾಯ ತಾಂತ್ರಿಕ,,,,,,,
,,Air blast sprayer,,ಗಾಳಿ ಒತ್ತಡದ ಸ್ಪ್ರೇಯರ್ ಗಾಳಿ ಒತ್ತಡದ ಸಿಂಪಡಕ ಅಥವಾ ತುಂತುರು ಯಂತ್ರ,,,,,,,
,,Air channel,,ಗಾಳಿಯ ಕೊಳವೆ,,,,,,,
,,Air current,,ಗಾಳಿ ಸೆಳೆತ,,,,,,,
,,Air sac,,ಗಾಳಿಚೀಲ,,,,,,,
,,Air space,,ವಾಯು ಪ್ರದೇಶ,,,,,,,
,,Air tight,,ಅನಿಲಭದ್ರ; ಗಾಳಿಯಾಡದ,,,,,,,
,,Alates,,ರೆಕ್ಕೆಯುಳ್ಳವು,,,,,,,
,,Alary muscle,,ಕಕ್ಷೀಯ ಸ್ನಾಯು,,,,,,,
,,Alder fly,,ಅಲ್ಡರ್ ನೊಣ,,,,,,,
,,Aleurodis,,ಬಿಳಿ ನೊಣ,,,,,,,
,,Alfalfa butterfly,,ಕುದುರೆ ಮಸಾಲೆ ಚಿಟ್ಟೆ,,,,,,,
,,Alfalfa weevil,,ಕುದುರೆ ಮಸಾಲೆ ಮೂತಿ ಹುಳು,,,,,,,
,,Algae,,ಪಾಚಿ; ಶೈವಲ,,,,,,,
,,Aliphatic,,ಮೇದಸ್ಸು,,,,,,,
,,Alimentary system,,ಜೀರ್ಣಾಂಗವ್ಯೂಹ,,,,,,,
,,Alimentary tract,,ಅನ್ನನಾಳ ಮಾರ್ಗ,,,,,,,
,,Alkaline gland,,ಕ್ಷಾರ ಗ್ರಂಥಿ,,,,,,,
,,Alkaloidal reagent,,ಸಸ್ಯಕ್ಷಾರ ಪ್ರತಿಕ್ರಿಯಾಕಾಂಶ,,,,,,,
,,Alkaloids,,ಕ್ಷಾರಗಳು,,,,,,,
,,Allergy,,ಒಗ್ಗದಿಕೆ,,,,,,,
,,Almond moth,,ಬಾದಾಮಿ ಪತಂಗ,,,,,,,
,,Alternate,,ಪರ್ಯಾಯ,,,,,,,
,,Alternate disease,,ಪರ್ಯಾಯ ರೋಗ,,,,,,,
,,Alternation of generation,,ಸಂತಾನ ಪರ್ಯಾಯ; ಪರ್ಯಾಯ ಸಂತತಿ ಕ್ರಮ,,,,,,,
,,Alveoli,,ಗಾಳಿಗೂಡು; ಗಾಳಿ ಕುಹರ,,,,,,,
,,Amazon ant,,ಅಮೆಜಾನ್ ಇರುವೆ,,,,,,,
,,Ambrosia beetle,,ಅಂಬ್ರೋಷಿಯಾ ದುಂಬಿ; ಅಮೃತ (ಕೀಟ) ದುಂಬಿ,,,,,,,
,,Ambrosia fungus,,ಅಮೃತ ಶಿಲೀಂಧ್ರ,,,,,,,
,,Ambush bug,,ಹೊಂಚುವ ತಿಗಣೆ; ಹೊಂಚು ಹಾಕುವ ತಿಗಣೆ; ಹೊಂಚು ತಿಗಣೆ,,,,,,,
,,Ametabola,,ರೂಪಾಂತರವಿಲ್ಲದ ಕೀಟಗಳು; ಪರಾವರ್ತನರಹಿತ ಕೀಟವರ್ಗ; ಪಕ್ಷರಹಿತ ಕೀಟ,,,,,,,
,,Amnion,,ಭ್ರೂಣ ಹೊರಪೊರೆ,,,,,,,
,,Amorphous,,ರೂಪರಹಿತ,,,,,,,
,,Amphibian,,ಉಭಯಜೀವಿ,,,,,,,
,,Amphipneustic,,ಉಭಯಶ್ವಾಸಕ್ರಮ,,,,,,,
,,Amphitoky,,ಪುಂಸ್ತ್ರೀ ನಿರ್ಲಿಂಗ ಜನನ,,,,,,,
,,Amplitude pulse,,ವಿಸ್ತೃತ ಮಿಡಿತ,,,,,,,
,,Amphibia,,ದ್ವಿಚರಗಳು,,,,,,,
,,Amsactar albistriga,,ಕೆಂಪುತಲೆ ಕಂಬಳಿ ಹುಳು (ಅಂಸ್ಯಾಕಚರ್ ಅಲ್ಬಿಸ್ ಟ್ರೈಗ),,,,,,,
,,Anaerobe,,ಅವಾಯು ಜೀವಿ,,,,,,,
,,Anaesthetic,,ವೇದನ ಪ್ರತಿಬಂಧೀ ಇಂದ್ರಿಯ ಸುಪ್ತಿ,,,,,,,
,,Anal brush,,ಗುದದ್ವಾರದ ಕುಚ್ಚು,,,,,,,
,,Anal margin,,ಆಸನದ ಒಳಅಂಚು,,,,,,,
,,Analogous,,ಸರೂಪ; ಸದೃಶ,,,,,,,
,,Analogue,,ಸದೃಶವಸ್ತು,,,,,,,
,,Anamorphous,,ಅಸಾಧಾರಣ ರೂಪಾಂತರ,,,,,,,
,,Anatomy,,ದೇಹರಚನಾ ಶಾಸ್ತ್ರ; ಅಂಗರಚನಾ ಶಾಸ್ತ್ರ,,,,,,,
,,Anchoring subtype,,ಉಗಮ ಉಪಬಗೆ,,,,,,,
,,Angoumois grain moth,,ಭತ್ತದ ಹೂಜಿ ನೊಣ,,,,,,,
,,Animalicule,,ಸೂಕ್ಷ್ಮತಮ ಪ್ರಾಣಿ,,,,,,,
,,Animal kingdom,,ಪ್ರಾಣಿರಾಜ್ಯ; ಪ್ರಾಣಿ ಸಾಮ್ರಾಜ್ಯ; ಪ್ರಾಣಿ ಪ್ರಪಂಚ,,,,,,,
,,Anisoptera,,ಅಸಮಪಕ್ಷೀಯ,,,,,,,
,,Annelida,,ವಲಯದೇಹಿ; ವಲಯವಂತಗಳು,,,,,,,
,,Annoying insect,,ಕಾಡಿಸುವ ಕೀಟ; ಅಸಹ್ಯಕರ ಕೀಟ,,,,,,,
,,Annulet,,ಉಂಗುರವಲಯ,,,,,,,
,,Anomis flava,,ಕೊಂಡಲಿಹುಳು (ಅನೊಮಿಸ್ ಫ್ಲಾನ್),,,,,,,
,,Anterior loop,,ಅಗ್ರಕುಣಿಕೆ,,,,,,,
,,Antibiotic,,ಜೀವವಿರೋಧ; ಪ್ರತಿಜೀವಿ,,,,,,,
,,Anticoagulant,,ರಕ್ತಹೆಪ್ಪುಗಟ್ಟಲು ಅವಕಾಶ ಕೊಡದಿರುವ ವಸ್ತು,,,,,,,
,,Anticlockwise,,ಅಪ್ರದಕ್ಷಿಣ,,,,,,,
,,Antimotabolite,,ಪ್ರತಿಜೀವದ್ರವ್ಯಕ,,,,,,,
,,Anther,,ಪರಾಗ,,,,,,,
,,Antherea assama,,ಮೂಗರೇಷ್ಮೆ ಹುಳು (ಅಂಥರಾಯಿಯ ಅಸ್ಸಾಮ),,,,,,,
,,Antherea palpia,,ಟಾಸಾರ್ ರೇಷ್ಮೆಹುಳು (ಅಂಥರಾಯಿಯ ಪಾಲ್ಪಿಯ),,,,,,,
,,Anus,,ಆಸನದ್ವಾರ,,,,,,,
,,Aorta,,ಮಹಾಪಧಮನಿ,,,,,,,
,,Apex of wing,,ರೆಕ್ಕೆಯ ಶೃಂಗ; ರೆಕ್ಕೆಯ ತುದಿ,,,,,,,
,,Aphid,,ಜೇನು; ಸಸ್ಯ ಹೇನು,,,,,,,
,,Aphis,,ಸಸ್ಯಹೇನು,,,,,,,
,,Aphis craccivora,,ಅವರೆ ಹೇನು (ಏಫಿಸ್ ಕ್ರ್ಯಾಕಿವೋರ),,,,,,,
,,Aphis gossypii,,ಹತ್ತಿ ಹೇನು (ಏಫಿಸ್ ಗಾಸಿಪಿಯೈ),,,,,,,
,,Aphis laburni,,ಕರಿಹೇನು (ಏಫಿಸ್ ಲೇಬರ್ನಿ),,,,,,,
,,Aphis lion,,ಹೇನು ಸಿಂಹ,,,,,,,
,,Apical margin,,ಅಗ್ರ ಅಂಚು,,,,,,,
,,Apiculture,,ಜೇನು ಸಾಕಾಣಿಕೆ,,,,,,,
,,Apparatus for applying insecticides,,ಕೀಟನಾಶಕಗಳನ್ನು ಪ್ರಯೋಗಿಸುವ ಸಾಧನ,,,,,,,
,,Appendage,,ಅನುಬಂಧ,,,,,,,
,,Apptied,,ಅನ್ವಯಿಕ; ಪ್ರಾಯೋಗಿಕ,,,,,,,
,,Apptied control,,ಅನ್ವಯಿತ ಹತೋಟಿ,,,,,,,
,,Applying insecticide,,ಕೀಟನಾಶಕ ಪ್ರಯೋಗ,,,,,,,
,,Apposition eye,,ಸಮಾನಾಧಿಕರಣ ಕಣ್ಣು,,,,,,,
,,Apterous or wingless forms,,ರೆಕ್ಕೆಗಳಿಲ್ಲದ ಬಗೆ,,,,,,,
,,Apterygota,,ಅಪಕ್ಷೀಯ,,,,,,,
,,Aquatic insect,,ಜಲಚರಕೀಟ,,,,,,,
,,Arachnid,,ಅಪ್ಟಪಾದಿ; ಅರಾಕ್ನಿಡ್,,,,,,,
,,Arachnidae,,ಜೇಡನವರ್ಗ; ಅರಾಕ್ನಿಡಿ,,,,,,,
,,Arboreal fauna,,ವೃಕ್ಷೀಯ ಪ್ರಾಣಿ ಪ್ರಪಂಚ,,,,,,,
,,Areole,,ನೆರೆದಿಂಡುಗಳ ನಡುವಣ ಪ್ರದೇಶ,,,,,,,
,,Aristate,,ಊಬುರೂಪ,,,,,,,
,,Army ant,,ಸೈನಿಕ ಇರುವೆ,,,,,,,
,,Army worm,,ಸೇನೆ ಹುಳು,,,,,,,
,,Aromatic,,ಸುವಾಸನೆ,,,,,,,
,,Arrestant,,ಸೆರೆಯಾದ,,,,,,,
,,Arrhenotoky,,ಪುಂನಿರ್ಲಿಂಗಜನನ,,,,,,,
,,Arsenical,,ಶಂಖಪಾಷಾಣ,,,,,,,
,,Arthropod,,ಸಂಧಿಪದಿ,,,,,,,
,,Artificial classification,,ಕೃತಕ ವರ್ಗೀಕರಣ,,,,,,,
,,Artificial hatching,,ಕೃತಕ ರೀತಿ ಮರಿ ಮಾಡುವಿಕೆ,,,,,,,
,,Artificial prevention,,ಕೃತಕ ಅಡಚಣೆ; ಕೃತಕವಾಗಿ ತಡೆಗಟ್ಟುವಿಕೆ,,,,,,,
,,Assospore,,ಅಸ್ಕೊಬೀಜಕಣ,,,,,,,
,,Asexual reproduction,,ನಿರ್ಲಿಂಗ ವಂಶಾಭಿವೃದ್ಧಿ,,,,,,,
,,Aspuragus beetle,,ಹಾಡುವ ದುಂಬಿ; ಅಸ್ಟರೇಗಸ್ ದುಂಬಿ,,,,,,,
,,Aspiration,,ವಾಯುಸೆಳೆತ,,,,,,,
,,Assasin bug,,ಕೊಲೆಪಾತಕ ತಿಗಣೆ; ಪಾತಕ ತಿಗಣೆ,,,,,,,
,,Assembling,,ಸುತ್ತಗುಂಪಾಗು,,,,,,,
,,Assimiiation,,ಪಚನತ್ವ (ಪೋಷಣೆ); ದೇಹಗತ,,,,,,,
,,Association neuron,,ಸಂಯೋಜಕ ನರ,,,,,,,
,,Atomizer,,ತುಂತುರು ಯಂತ್ರ,,,,,,,
,,Atomizer sprayer,,ತುಂತುರು ಯಂತ್ರ ಸಿಂಪರಕ,,,,,,,
,,Atmospheric vault,,ವಾಯುಭರಿತ ನೆಲಮಾಳಿಗೆ,,,,,,,
,,Attack,,ಆಕ್ರಮಣ,,,,,,,
,,Attractant gland,,ಆಕರ್ಷಿಸುವ ಗ್ರಂಥಿ; ಆಕರ್ಷಣಾ ಗ್ರಂಥಿ; ಆಕರ್ಷಕ ಗ್ರಂಥಿ,,,,,,,
,,Audioreceptor,,ಶ್ರವಣಗ್ರಾಹ್ಯಕ,,,,,,,
,,Auditory hair,,ಆಲಿಸುವ ಕೇಶ; ಶ್ರವಣ ಕೂದಲು; ಕಿವಿಯ ಕೂದಲು,,,,,,,
,,Auditory organ,,ಶ್ರವಣಾಂಗ,,,,,,,
,,Auditory receptor,,ಶ್ರವಣಾವಯವ,,,,,,,
,,Augmentation,,ವೃದ್ಧಿಯಾಗುವಿಕೆ,,,,,,,
,,Australian lady bird beetle,,ಆಸ್ಟ್ರೇಲಿಯಾದ ಹೆಣ್ಣು ದುಂಬಿ; ಗುಲಗಂಜಿ ಹುಳು,,,,,,,
,,Autocidal control,,ಆತ್ಮಹತ್ಯೆ ಹತೋಟಿ,,,,,,,
,,Awareness,,ಅರಿತಿರುವ ಸ್ಥಿತಿ,,,,,,,
,,Axenic culture,,ಅಕ್ಸೆನಿಕ್ ಸಾಕಣೆ,,,,,,,
,,Axial filament,,ಅಕ್ಷದ ಸೂಕ್ಷ್ಮತಂತು,,,,,,,
,,Axon,,ಉದ್ದತಂತು,,,,,,,
,,Back cross,,ಹಿಮ್ಮುಖಸಂಕರ; ಹಿಂಸಂಕರ,,,,,,,
,,Back-filled fabric,,ಹಿಂಭಾಗಕ್ಕೆ ಲೇಪನಕೊಟ್ಟ ವಸ್ತು,,,,,,,
,,Back swimmer,,ಹಿಮ್ಮುಖ ಈಜುಗಾರ,,,,,,,
,,Bacteria,,ಬ್ಯಾಕ್ಟೀರಿಯಾ,,,,,,,
,,Bacterial leaf blight,,ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ,,,,,,,
,,Bacterial leaf streak,,ಬ್ಯಾಕ್ಟೀರಿಯಾ ಎಲೆ ರೋಗ,,,,,,,
,,Bactericidal,,ಬ್ಯಾಕ್ಟೀರಿಯಾ ನಾಶಕ,,,,,,,
,,Bacteriologist,,ಬ್ಯಾಕ್ಟೀರಿಯಾ ವಿಜ್ಞಾನಿ,,,,,,,
,,Bacteriolytic,,ಬ್ಯಾಕ್ಟೀರಿಯಾ ನಾಶಕ,,,,,,,
,,Bagworm,,ಕೋಶದ ಹುಳು,,,,,,,
,,Bag storage structure,,ಮೂಟೆಸಂಗ್ರಹಣೆ ಮಳಿಗೆ,,,,,,,
,,Bagworms moth,,ಕೋಶದ ಹುಳುಗಳ ಪತಂಗ,,,,,,,
,,Bait,,ಆಮಿಷ ವಸ್ತು; ಆಕರ್ಷಕ ಆಹಾರ,,,,,,,
,,Bait station,,ಆಹಾರವನ್ನಿಡುವ ಸಾಧನ; ಆಹಾರವನ್ನಿಡುವ ಸಾಧನ,,,,,,,
,,Balance of nature,,ನೈಸರ್ಗಿಕ ಸಮತೋಲನ,,,,,,,
,,Balancers,,ಸಮತೂಕಗಳು,,,,,,,
,,Balloon fly,,ಉಬ್ಬು ನೊಣ,,,,,,,
,,Barb,,ಕೊಕ್ಕೆ ಮುಳ್ಳು,,,,,,,
,,Barbule,,ಸಣ್ಣ ಕೊಕ್ಕೆ ಮುಳ್ಳು,,,,,,,
,,Barracle,,ಅಂಟಿಕೊಳ್ಳುವ ಪ್ರಾಣಿ; “ಬಾರ್ನಕಲ್”,,,,,,,
,,Bark beetle,,ತೊಗಟೆ ದುಂಬಿ,,,,,,,
,,Basal body,,ಆಧಾರ ಅಂಗ,,,,,,,
,,Basement,,ತಳಮನೆ,,,,,,,
,,Basement membrane,,ಆಧಾರ ಪೊರೆ,,,,,,,
,,Bat fly,,ಬಾವಲಿ ನೊಣ,,,,,,,
,,Beetle,,ಚಿಪ್ಪು ಕೀಟ; ಜೀರುಂಡೆ; ದುಂಬಿ,,,,,,,
,,Bee-venom,,ಜೇನುವಿಷ,,,,,,,
,,Bee-wax,,ಜೇನುಮೇಣ,,,,,,,
,,Behaviour,,ವರ್ತನೆ,,,,,,,
,,Bihar hairy caterpillar,,ಕೋರಿಯ ಹುಳು; ಕಪ್ಪುತಲೆ ಕಂಬಳಿ ಹುಳು,,,,,,,
,,Bilateral,,ದ್ವಿಪಾರ್ಶ್ವಕ,,,,,,,
,,Bile duct,,ಪಿತ್ತವಾಹಿನಿ,,,,,,,
,,Bile pigment,,ಪಿತ್ತವರ್ಣದ್ರವ್ಯ,,,,,,,
,,Bill bug,,ಅಂಟುತಿಗಣೆ,,,,,,,
,,Bilobed,,ದ್ವಿಪಾಲಿ,,,,,,,
,,Bin,,ಧಾರಕ; ಕಣಜ,,,,,,,
,,Binary fission,,ಯುಗ್ಮ ವಿದಳನ; ದ್ವಿಖಂಡನ,,,,,,,
,,Binding site,,ಬಂಧಕ ಪ್ರದೇಶ,,,,,,,
,,Binomial nomenclature,,ದ್ವಿನಾಮಕರಣ ಪದ್ಧತಿ,,,,,,,
,,Bioassay,,ಜೀವ ಪರೀಕ್ಷೆ,,,,,,,
,,Biogenetic,,ಜೈವಿಕ ವಂಶವಾಹೀಯ,,,,,,,
,,Biological control,,ಜೈವಿಕ ಹತೋಟಿ,,,,,,,
,,Biological control agent,,ಜೀವಿ ಹತೋಟಿ ಕರ್ತೃ; ಜೈವಿಕ ಹತೋಟಿ ಕರ್ತೃ,,,,,,,
,,Biological factor,,ಜೈವಿಕ ಅಂಶ,,,,,,,
,,Biological pesticide,,ಜೈವಿಕ ಪೀಡೆನಾಶಕ,,,,,,,
,,Biologist,,ಜೀವವಿಜ್ಞಾನಿ,,,,,,,
,,Biomathematics,,ಜೀವಗಣಿತ,,,,,,,
,,Biophase,,ಜೀವಿಯ ನೆಲೆ,,,,,,,
,,Biostatistician,,ಜೀವಸಂಖ್ಯಾ ಪರಿಶೀಲಕ,,,,,,,
,,Biostem,,ಜೀವಸಮುದಾಯ,,,,,,,
,,Biosystem,,ಜೀವಸಮುದಾಯ; ಜೈವಿಕ ವ್ಯವಸ್ಥೆ; ಜೈವಿಕ ಪದ್ಧತಿ,,,,,,,
,,Biota,,ಜೀವರಾಶಿ,,,,,,,
,,Biotic,,ಸನ್ನಿವೇಶ ಕ್ರಮಗೊಳಿಸುವ; ಜೀವಿ ಉತ್ಪನ್ನ ಸಾಧ್ಯತೆ,,,,,,,
,,Biotic potential,,ಜೈವಿಕ ಅಂತಸ್ಥ ಶಕ್ತಿ,,,,,,,
,,Bird repellant,,ಪಕ್ಷಿ ವಿಕರ್ಷಕ,,,,,,,
,,Bird scarer,,ಪಕ್ಷಿ ಬಿದಿರು ಯಂತ್ರ,,,,,,,
,,Birthpore,,ಜನನದ್ವಾರ,,,,,,,
,,Bite,,ಕೊರೆಯುವ; ಕಚ್ಚುವ,,,,,,,
,,Biting fly,,ಕಚ್ಚುವ ನೊಣ,,,,,,,
,,Bivoltine,,ದ್ವಿಸಂತತಿ,,,,,,,
,,Black carpet beetle,,ಕಪ್ಪು ಜಮಖಾನ ದುಂಬಿ,,,,,,,
,,Black headed hairy caterpillar,,ಕಪ್ಪು ತಲೆ ಕಂಬಳಿ ಹುಳು,,,,,,,
,,Black scale,,ಕಪ್ಪು ಶಲ್ಕ,,,,,,,
,,Blast,,ಬೆಂಕಿ ರೋಗ; ಸಸ್ಯ ವಿನಾಶಕ ರೋಗ,,,,,,,
,,Blast furnace,,ಊದು ಕುಲುಮೆ,,,,,,,
,,Blastoderm,,ಬಿರುಸು ಪೊರೆ; ಭ್ರೂಣಾವರಣ ಪೊರೆ,,,,,,,
,,Blatta orientalis,,ಮೋಟು ರೆಕ್ಕೆಗಳುಳ್ಳ ಪ್ರಾಚ್ಯ ಜಿರಲೆ,,,,,,,
,,Bleeding,,ರಕ್ತ ಸೋರುವಿಕೆ,,,,,,,
,,Blending,,ಬೆರಕೆ ಮಾಡುವಿಕೆ,,,,,,,
,,Blight,,ಮಚ್ಚೆರೋಗ; ಅಂಗಮಾರಿ,,,,,,,
,,Blighting symptom,,ಮಚ್ಚೆ ರೋಗದ ಲಕ್ಷಣ; ಮಚ್ಚೆ ರೋಗ ಚಿಹ್ನೆ,,,,,,,
,,Blister beetle,,ಹುಚ್ಚು ಮಲ್ಲಿಗೆ ಹುಳು; ಬೊಬ್ಬೆ ದುಂಬಿ,,,,,,,
,,Blister mite,,ಹೊಪ್ಪಳಿ ನುಸಿ,,,,,,,
,,Blotch,,ಬಣ್ಣ ಕೆಡುವಿಕೆ ಬಣ್ಣ ಕೆಟ್ಟ ಭಾಗ,,,,,,,
,,Blood circulation,,ರಕ್ತಾಭಿಸರಣ; ರಕ್ತ ಪರಿಚಲನೆ,,,,,,,
,,Blood worm,,ರಕ್ತದ ಹುಳು,,,,,,,
,,Blow fly,,ಉಬ್ಬಿಸುವ ನೊಣ,,,,,,,
,,Blue beetle,,ನೀಲಿ ಚಿಪ್ಪಿನ ದುಂಬಿ,,,,,,,
,,Body symmetry,,ಅಂಗಸೌಷ್ಟವ,,,,,,,
,,Bolt,,ಗುಬ್ಬಿ ಮೊಳೆ,,,,,,,
,,Bombyx mori,,ಹಿಪ್ಪು ನೇರಳೆ ರೇಷ್ಮೆಹುಳು (ಬಾಂಬಿಕ್ಸ್ ಮೋರಿ),,,,,,,
,,Bonded blister beetle,,ಕೋಲಂಬರ ಹುಳ; ಪಟ್ಟಿ ಬೊಬ್ಬೆ ದುಂಬಿ,,,,,,,
,,Bony fish,,ಎಲುಬು ಮೀನು,,,,,,,
,,Boorn,,ಕೊಳವೆ,,,,,,,
,,Botanist,,ಸಸ್ಯಶಾಸ್ತ್ರಜ್ಞ,,,,,,,
,,Boa fly,,ಕುದರೆ ಹೊಟ್ಟೆ ನೊಣ,,,,,,,
,,Boalter,,ಚಾಲಿಸುವ ಯಂತ್ರ,,,,,,,
,,Brachypterous,,ಮೋತಿ ರೆಕ್ಕೆ,,,,,,,
,,Bractelytra,,ಮೋಟು ಗಡಸು ರೆಕ್ಕೆ,,,,,,,
,,Brisket,,ಎದೆ,,,,,,,
,,Bristle,,ಬಿರುಗೂದಲು,,,,,,,
,,Bristle tail,,ಬಿರುಬಾಲ,,,,,,,
