ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Finite Population,,"ಪರಿಮಿತಗಣ, ಪರಿಮಿತ ರಾಶಿ",,,,,,,
,,First Forecast,,ಪ್ರಥಮ ಮುನ್ಸೂಚನೆ,,,,,,,
,,Forecast,,ಮುನ್ಸೂಚನೆ,,,,,,,
,,Forest,,"ಅರಣ್ಯ, ಕಾಡು",,,,,,,
,,Form,,"ಪ್ರಪತ್ರ, ನಮೂನೆ",,,,,,,
,,Fortnightly Report,,ಪಾಕ್ಷಿಕ ವರದಿ,,,,,,,
,,Fourth Forecast,,ಚತುರ್ಥ ಮುನ್ಸೂಚನೆ,,,,,,,
,,Frame,,ಚೌಕಟ್ಟು,,,,,,,
,,Frequency,,ನಿರ್ದಿಷ್ಟ ಕಾಲಾವೃತ್ತಿ,,,,,,,
,,Frequency Curve,,ನಿರ್ದಿಷ್ಟ ಕಾಲಾವೃತ್ತಿ ರೇಖೆ,,,,,,,
,,Frequency Polygon,,ನಿರ್ದಿಷ್ಟ ಕಾಲಾವೃತ್ತಿ ಬಹುಭುಜ,,,,,,,
,,Frequency Table,,ಆವೃತ್ತಿ ಕೋಷ್ಟಕ,,,,,,,
,,Geometric Mean,,ಜ್ಯಾಮಿತಿ ಮಧ್ಯಕ,,,,,,,
,,Graph,,ರೇಖಾ ನಕ್ಷೆ,,,,,,,
,,Green Weight,,ಹಸಿರು ತೂಕ,,,,,,,
,,Group,,"ಗುಂಪು, ವರ್ಗ",,,,,,,
,,Growth Curve,,ವೃದ್ಧಿ ರೇಖೆ,,,,,,,
,,Growth Rate,,ವೃದ್ಧಿ ಪ್ರಮಾಣ,,,,,,,
,,Harmonic Mean,,ಹರಾತ್ಮಕ ಮಧ್ಯಕ,,,,,,,
,,Harvest Weight,,ಕಟಾವು ತೂಕ,,,,,,,
,,Histogram,,ಆಯತ ಚಿತ್ರ,,,,,,,
,,Homogeneity,,ಸಮರೂಪತೆ,,,,,,,
,,Hypothesis,,"ಕಲ್ಪನಾಧಾರ, ಪ್ರಾಕ್ಕಲ್ಪನೆ",,,,,,,
,,Inaccuracy,,ಅನಿಪ್ಕೃಷ್ಟತೆ,,,,,,,
,,Index Number,,ಸೂಚ್ಯಂಕ,,,,,,,
,,Indirect Proportion,,ವಿಲೋಮ ಅನುಪಾತ,,,,,,,
,,Indirect Sampling,,ಪರೋಕ್ಷ ಮಾದರಿ ವಿಧಾನ,,,,,,,
,,Infant Mortality Rate,,ಶಿಶುಮರಣ ಪ್ರಮಾಣ,,,,,,,
,,Infinite Population,,"ಅನಂತ ಗಣ, ಅನಂತ ರಾಶಿ",,,,,,,
,,Informant,,ಸುದ್ದಿಗಾರ,,,,,,,
,,Inspector,,ಇನ್ಸ್ ಪೆಕ್ಟರ್‌,,,,,,,
,,Investigator,,ಅನುಸಂಧಾನಕ,,,,,,,
,,Junior Statistical Assistant,,ಕಿರಿಯ ಸಾಂಖ್ಯಿಕ ಸಹಾಯಕ,,,,,,,
,,Kind of Medical Attention received during confinement,,ಪ್ರಸವ ಸಮಯದಲ್ಲಿ ದೊರೆತ ವೈದ್ಯೋಪಚಾರ,,,,,,,
,,Land Holdings,,ಭೂ ಹಿಡುವಳಿ,,,,,,,
,,Land put to non-agricultural use,,ವ್ಯವಸಾಯೇತರ ಉಪಯೋಗದ ಭೂಮಿ,,,,,,,
,,Land under Miscellaneous tree crops and groves not included in area sown,,ಬಿತ್ತನೆಯಾದ ಪ್ರದೇಶದಲ್ಲಿ ಸೇರಿಸುವ ವಿವಿದ ಜಾತಿಗಳ ಮರ ಮತ್ತು ತೋಪು ಬೆಳೆದಿರುವ ಭೂಮಿ,,,,,,,
,,Life Table,,ಜೀವಮಾನ ಕೋಷ್ಟಕ,,,,,,,
,,Line Sampling,,ಪಂಕ್ತಿ ಮಾದರಿ ವಿಧಾನ,,,,,,,
,,Live Birth,,ಸಜೀವ ಜನನ,,,,,,,
,,Marital Status,,ವೈವಾಹಿಕ ಸ್ಥಿತಿ,,,,,,,
,,Master Sample,,ವ್ಯಾಪಕ ಮಾದರಿ,,,,,,,
,,Mean,,ಮಧ್ಯಕ,,,,,,,
,,Mean Deviation,,ಮಧ್ಯಕ ವಿಚಲನ,,,,,,,
,,Median,,ಮಧ್ಯಗತ,,,,,,,
,,Mixed Sampling,,ಮಿಶ್ರ ಮಾದರಿ ವಿಧಾನ,,,,,,,
,,Mode,,ಬಹುಲಕ,,,,,,,
,,Monthly Average,,ಮಾಸಿಕ ಸರಾಸರಿ,,,,,,,
,,Monthly Report,,ಮಾಸಿಕ ವರದಿ,,,,,,,
,,Moving Average,,"ಪರಿವರ್ತಿ ಸರಾಸರಿ, ಚಲ ಸರಾಸರಿ",,,,,,,
,,Multi-phase Sampling,,ಬಹುರೂಪ ಮಾದರಿ ವಿಧಾನ,,,,,,,
,,Multi-stage Sample,,ಬಹುಹಂತ ಮಾದರಿ ವಿಧಾನ,,,,,,,
,,Nationality,,ರಾಷ್ಟ್ರೀಯತೆ,,,,,,,
,,Negative Error,,ನಿಷೇದಾತ್ಮಕ ದೋಷ,,,,,,,
,,Net Area Sown,,ಬಿತ್ತಿದ ನಿವ್ವಳ ಪ್ರದೇಶ,,,,,,,
,,Non-Plan Scheme,,ಯೋಜನೇತರ ಕಾರ್ಯ,,,,,,,
,,Non-Random Sample,,ಯಾದೃಚ್ಛಿಕೇತರ ಮಾದರಿ,,,,,,,
,,Non-Response,,ನಿರುತ್ತರ,,,,,,,
,,Non-Sampling Error,,ಮಾದರಿ ವಿಧಾನೇತರ ದೋಷ,,,,,,,
,,Normal,,ಪ್ರಸಾಮಾನ್ಯ,,,,,,,
,,Normal Yield,,ಸಾಮಾನ್ಯ ಇಳುವರಿ,,,,,,,
,,One way Table,,ಏಕಮಾರ್ಗ ಕೋಷ್ಟಕ,,,,,,,
,,Order of Birth,,ಜನನಾನುಕ್ರಮ,,,,,,,
,,Other Fallow Land,,ಇತರ ಬೀಳು ಭೂಮಿ,,,,,,,
,,Output,,ಉತ್ಪನ್ನ,,,,,,,
,,Parameter,,ಪ್ರಾಚಲ,,,,,,,
,,Parent,,ತಾಯಿತಂದೆ,,,,,,,
,,Peak Harvest Period,,ಪರಮಾವಧಿ ಸುಗ್ಗಿಯ ಕಾಲ,,,,,,,
,,Permanent,,ಖಾಯಂ,,,,,,,
,,Permanent Pastures and Other grazing land,,ಖಾಯಂ ಗೋಮಾಳ ಮತ್ತು ಇತರ ಹುಲ್ಲುಗಾವಲು,,,,,,,
,,Physical Achievements,,ವಾಸ್ತವಿಕ ಸಾಧನೆ,,,,,,,
,,Physical Targets,,ಸಾಧಿಸಬೇಕಾದ ಗುರಿ,,,,,,,
,,Physical Targets Achieved,,ಸಾಧಿಸಿದ ಗುರಿ,,,,,,,
,,Pictogram,,ಚಿತ್ರಲೇಖ,,,,,,,
,,Pie chart,,ವೃತ್ತ ನಕ್ಷೆ,,,,,,,
,,Pilot Survey,,ಪ್ರಾಯೋಗಿಕ ಸಮೀಕ್ಷೆ,,,,,,,
,,Plan Programme,,ಯೋಜನಾ ಕಾರ್ಯಕ್ರಮ,,,,,,,
,,Plan Scheme,,ಯೋಜನಾ ಕಾರ್ಯ,,,,,,,
,,Pooled Estimate or Combined Estimate,,ಒಟ್ಟುಗೂಡಿಸಿದ ಅಂದಾಜು,,,,,,,
,,Population,,"ಗಣ, ರಾಶಿ, ಜನಸಂಖ್ಯೆ",,,,,,,
,,Positive Error,,ನಿಶ್ಚಯ ದೋಷ,,,,,,,
,,Preliminary,,ಪ್ರಾರಂಭಿಕ ಅಂದಾಜು,,,,,,,
,,Price Index,,ಬೆಲೆ ಸೂಚ್ಯಂಕ,,,,,,,
,,Price Relative,,ಬೆಲೆಗಳ ಅನುಪಾತ,,,,,,,
,,Primary Data,,ಮೂಲಾಂಶ,,,,,,,
,,Probability,,ಸಂಭಾವ್ಯತೆ,,,,,,,
,,Probability Sampling,,ಸಂಭಾವ್ಯತಾ ಮಾದರಿ ವಿಧಾನ,,,,,,,
,,Production,,ಉತ್ಪಾದನೆ,,,,,,,
,,Project Area,,ಪ್ರೊಜೆಕ್ಟ್ ಕ್ಷೇತ್ರ,,,,,,,
,,Projection,,ಪ್ರಕ್ಷೇಪಣ,,,,,,,
,,Proportion,,ಅನುಪಾತ,,,,,,,
,,Proportional Sampling,,ಅನುಪಾತ ಮಾದರಿ ವಿಧಾನ,,,,,,,
,,Purposive Sample,,ಉದ್ದೇಶಾನುಗುಣ ಮಾದರಿ,,,,,,,
,,Qualitative Data,,ಗುಣಾತ್ಮಕ ಅಂಶ,,,,,,,
,,Quarterly Progress Report,,ತ್ರೈಮಾಸಿಕ ಪ್ರಗತಿ ವರದಿ,,,,,,,
,,Quarterly Report,,ತ್ರೈಮಾಸಿಕ ವರದಿ,,,,,,,
,,Questionnaire,,ಪ್ರಶ್ನಾವಳಿ,,,,,,,
,,Rainfall Statistics,,ಮಳೆಯ ಅಂಕಿಸಂಖ್ಯೆಗಳು,,,,,,,
,,Random Number,,ಯಾದೃಚ್ಛಿಕ ಸಂಖ್ಯೆ,,,,,,,
,,Random Sample,,ಯಾದೃಚ್ಛಿಕ ಮಾದರಿ,,,,,,,
,,Random Sampling,,ಯಾದೃಚ್ಛಿಕ ಮಾದರಿ,,,,,,,
,,Random Table,,ಯಾದೃಚ್ಛಿಕ ಕೋಷ್ಟಕ,,,,,,,
,,Range,,ಅಂತರ,,,,,,,
,,Range Chart,,ಅಂತರ ನಕ್ಷೆ,,,,,,,
,,Rank,,ಸ್ಥಾನ,,,,,,,
,,Rank Correlation,,ಪರಸ್ಪರ ಸ್ಥಾನಸಂಬಂಧ,,,,,,,
,,Ratio,,ಪ್ರಮಾಣ,,,,,,,
,,Rectangular Cut,,ಆಯಾಕಾರ ಕಟಾವು,,,,,,,
,,Register,,ನೋಂದಣಿ ಪುಸ್ತಕ,,,,,,,
,,Registrar,,"ರಿಜಿಸ್ಟ್ರಾರ್‌, ನೋಂದಣಿಕಾರ",,,,,,,
,,Registration,,ನೋಂದಣಿ,,,,,,,
,,Reliability,,ವಿಶ್ವಸನೀಯತೆ,,,,,,,
,,Reporter,,ವರದಿಗಾರ,,,,,,,
,,Reproductive Age,,ಸಂತಾನೋದ್ಪಾದಕ ವಯಸ್ಸು,,,,,,,
,,Response,,ಪ್ರತ್ಯುತ್ತರ,,,,,,,
,,Retail Prices,,ಚಿಲ್ಲರೆ ಮಾರಾಟ ಬೆಲೆಗಳು,,,,,,,
,,Rounding,,ಪೂರ್ಣಾಂಕನ,,,,,,,
,,Rural Area,,ಗ್ರಾಮಾಂತರ ಪ್ರದೇಶ,,,,,,,
,,Sample,,ಮಾದರಿ,,,,,,,
,,Sample Census,,ಮಾದರಿ ಗಣತಿ,,,,,,,
,,Sample Design,,ಮಾದರಿ ರೂಪರೇಖೆ,,,,,,,
,,Sample Size,,ಮಾದರಿ ಗಾತ್ರ,,,,,,,
,,Sample Survey,,ಮಾದರಿ ಸಮೀಕ್ಷೆ,,,,,,,
,,Schedule,,ತಪಶೀಲು,,,,,,,
,,Scheme,,ಕಾರ್ಯ ಯೋಜನೆ,,,,,,,
,,Scrutiny,,ಪರಿಶೋಧನೆ,,,,,,,
,,Seasonal Index,,ಋತು ಸೂಚ್ಯಂಕ,,,,,,,
,,Seasonal Variation,,ಕಾಲಿಕ ವಿಚರಣ,,,,,,,
,,Second Forecast,,ದ್ವಿತೀಯ ಮುನ್ಸೂಚನೆ,,,,,,,
,,Secondary Data,,ಗೌಣ ಅಂಶ,,,,,,,
,,Secondary Unit,,ದ್ವಿತೀಯ ಮಾನ,,,,,,,
,,Self-Weighting Sample,,ಸ್ವಯಂಭಾರ ಮಾದರಿ,,,,,,,
,,Senior Statistical Assistant,,ಹಿರಿಯ ಸಾಂಖ್ಯಿಕ ಸಹಾಯಕ,,,,,,,
,,Serial Number,,ಕ್ರಮ ಸಂಖ್ಯೆ,,,,,,,
,,Sex,,ಲಿಂಗ,,,,,,,
,,Short Note or Brief Note,,ಸಂಕ್ಷೇಪ ಟಿಪ್ಪಣಿ,,,,,,,
,,Significant difference,,ಗಣನೀಯ ವ್ಯತ್ಯಾಸ,,,,,,,
,,Simple Table,,ಸರಳ ಕೋಷ್ಟಕ,,,,,,,
,,Standard Deviation,,ಪ್ರಮಾಣ ವಿಚಲನ,,,,,,,
,,Statistical Analysis,,ಸಾಂಖ್ಯಿಕ ವಿಶ್ಲೇಷಣೆ,,,,,,,
,,Statistical Methods,,ಸಾಂಖ್ಯಿಕ ವಿಧಾನಗಳು,,,,,,,
,,Still Birth,,ನಿರ್ಜೀವ ಜನನ,,,,,,,
,,Straight Line,,ಸರಳ ರೇಖೆ,,,,,,,
,,Stratification,,ಸ್ತರೀಕರಣ,,,,,,,
,,Stratified Random Sampling,,ಸ್ತರೀಕೃತ ಯಾದೃಚ್ಛಿಕ ಮಾದರಿ ವಿಧಾನ,,,,,,,
,,Stratified Sample,,ಸ್ತರೀಕೃತ ಮಾದರಿ,,,,,,,
,,Stratified Sampling,,ಸ್ತರೀಕೃತ ಮಾದರಿ ವಿಧಾನ,,,,,,,
,,Stratum,,ಸ್ತರ,,,,,,,
,,Sub-Sample,,ಉಪ-ಮಾದರಿ,,,,,,,
,,Sub-Sampling,,ಉಪ-ಮಾದರಿ ವಿಧಾನ,,,,,,,
,,Substitution,,ಬದಲಿಕೆ,,,,,,,
,,Survey,,"ಸಮೀಕ್ಷೆ, ಸರ್ವೇಕ್ಷಣ",,,,,,,
,,Survey Report,,ಸಮೀಕ್ಷಾವರದಿ,,,,,,,
,,Systematic Sample,,ಕ್ರಮಬದ್ಧ ಮಾದರಿ,,,,,,,
,,Systematic Sampling,,ಕ್ರಮಬದ್ಧ ಮಾದರಿ ವಿಧಾನ,,,,,,,
,,Table,,ಕೋಷ್ಟಕ,,,,,,,
,,Tabulation,,ಕೋಷ್ಟಕ ತಯಾರಿಕೆ,,,,,,,
,,Third Forecast,,ತೃತೀಯ ಮುನ್ಸೂಚನೆ,,,,,,,
,,Time Series,,ಕಾಲಶ್ರೇಣಿ,,,,,,,
,,Total Cropped Area,,ಬೆಳೆದ ಒಟ್ಟು ಪ್ರದೇಶ,,,,,,,
,,Trend,,ಪ್ರವೃತ್ತಿ,,,,,,,
,,Two-way Table,,ದ್ವಿಮಾರ್ಗ ಕೋಷ್ಟಕ,,,,,,,
,,Universe,,"ರಾಶಿ, ಗಣ",,,,,,,
,,Upward Trend,,ಏರಿಕೆ ಪ್ರವೃತ್ತಿ,,,,,,,
,,Urban Area,,ನಗರ ಪ್ರದೇಶ,,,,,,,
,,Value Index,,ಮೌಲ್ಯ ಸೂಚ್ಯಂಕ,,,,,,,
,,Variation,,ವಿಚರಣ,,,,,,,
,,Weight,,"ತೂಕ, ಭಾರ",,,,,,,
,,Whether Death Medically certified or not,,"ಮರಣವು ವೈದ್ಯಕೀಯ ಪ್ರಮಾಣಿತವಾಗಿದೆಯೇ, ಇಲ್ಲವೇ",,,,,,,
,,Wholesale Prices,,ಸಗಟು ಮಾರಾಟ ಬೆಲೆಗಳು,,,,,,,
,,Yield Rate,,ಇಳುವರಿ ಪ್ರಮಾಣ,,,,,,,
,,Yield Statistics,,ಇಳುವರಿ ಅಂಕಿ ಸಂಖ್ಯೆಗಳು,,,,,,,
