ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Adiposuria,"ಪಸೆಮೂತ್ರ, ಕೊಬ್ಬು/ ಜಿಡ್ಡುಯುತ ಮೂತ್ರ",,,,,,,,,
,Ad Libitum,"ಸ್ವೇಚ್ಛಯಾಗಿ ತಿನ್ನುವಿಕೆ, ಮಿತಿಯಿಲ್ಲದೆ ತಿನ್ನುವಿಕೆ",,,,,,,,,
,Adrenal corticosteroid,"ಮೂತ್ರಪಿಂಡಬದಿಯ, ಅಡ್ರಿನಲ್",,,,,,,,,
,Adrenal medulla,ಕಾರ್ಟಿಕೊ ಸ್ಟೀರಾಯ್ಡ್,,,,,,,,,
,Adrenogenital Syndrome,"ಅಡ್ರಿನಲ್ ಜನನಾಂಗದ ಲಕ್ಷಣಕೂಟ, ಸಮಸ್ಟಿ",,,,,,,,,
,Adult,"ಪ್ರೌಢ, ಪ್ರಾಯದ",,,,,,,,,
,Adynamia,ಸ್ನಾಯುನಿರ್ಬಲತೆ,,,,,,,,,
,Aedocology,ಜನನಾಂಗಶಾಸ್ತ್ರ,,,,,,,,,
,Aerosols,ಸಿಂಚನದ್ರವಗಳು,,,,,,,,,
,Aestivation,"ಬೇಸಿಗೆಯ ಚೇತನ, ಗ್ರೀಷ್ಮನಿಶ್ಚೇಷ್ಟತೆ",,,,,,,,,
,Afferentia,ಒಳಸಾಗುನಾಳಗಳು,,,,,,,,,
,Afterbirth,"ಮಾಸು, ಸೆತ್ತೆ",,,,,,,,,
,Afterpains,ಹೆರಿಗೆ ಬೇನೆ,,,,,,,,,
,Agalorrhoea,ಹಾಲು ಬತ್ತುವೆ,,,,,,,,,
,Agastric,ಜಠರರಹಿತ,,,,,,,,,
,Age at eruption,ಹಲ್ಲು ಹುಟ್ಟುವಾಗಿನ ವಯಸ್ಸು,,,,,,,,,
,Age at first calving,ಮೊದಲ ಸೂಲಿನ ವಯಸ್ಸು,,,,,,,,,
,Ageing,ವಯಸ್ಸಾಗುವಿಕೆ,,,,,,,,,
,Agglutination test,ಅಂಟಿಕೆ / ಅಂಟನೆ ಪರೀಕ್ಷೆ,,,,,,,,,
,Agmark ghee,ಅಗ್ ಮಾರ್ಕ್ ತುಪ್ಪ,,,,,,,,,
,Agmatology,ಎಲುಮುರಿಕೆಶಾಸ್ತ್ರ,,,,,,,,,
,Agonists,ಸಂಕಟಕಾರಿಗಳು,,,,,,,,,
,Agri business,ಕೃಷಿವ್ಯವಹಾರ / ಉದ್ಯಮ,,,,,,,,,
,Alar Ligament,ಪಕ್ಕದ ತಂತುಗಟ್ಟು,,,,,,,,,
,Alimentary,"ಹೊಟ್ಟೆಭಾಗದ, ಜೀರ್ಣಾಂಗದ",,,,,,,,,
,Alimentary canal/tract,ಜೀರ್ಣಾಂಗವ್ಯೂಹ,,,,,,,,,
,Allantois,ಹೊಕ್ಕಳಚೀಲ,,,,,,,,,
,Allergic disorder,ಒಗ್ಗದಿಕೆ ರೋಗ,,,,,,,,,
,Alleviation,"ಕಡಿಮೆ ಮಾಡುವಿಕೆ, ಶಮನಮಾಡುವಿಕೆ, ನಿವಾರಣೆ",,,,,,,,,
,Allowance,1. ಸೋಡಿ 2. ಭತ್ಯ,,,,,,,,,
,Alveolus,"1. ಹಲ್ಗೂಡು 2. ಗಾಳಿಗೂಡು, ವಾಯುಕುಹರ, 3. ಕಿಗ್ಗೂಡು",,,,,,,,,
,Ambient temperature,ವಾತಾವರಣದ ಪರಿವೇಷ್ಟಿ ಉಷ್ಣಾಂಶ,,,,,,,,,
,Amnion,"ಉಲ್ಬ, ಭ್ರೂಣಪೊರೆ / ಗರ್ಭವೇಷ್ಟನ",,,,,,,,,
,Amniota,ಭ್ರೂಣಕೋಶ ಪ್ರಾಣಿಗಳು,,,,,,,,,
,Amniotic fluid,"ಉಲ್ಬದ ದ್ರವ, ಭ್ರೂಣಪೊರೆದ್ರವ, ಗರ್ಭವೇಷ್ಟನ ದ್ರವ",,,,,,,,,
,Amniotic sac,"ಉಲ್ಬದ ಚೀಲ, ಗರ್ಭವೇಷ್ಟನ ಚೀಲ",,,,,,,,,
,Amoebiasis,ಚಲ್ಕಣಬೇನೆ,,,,,,,,,
,Amphiarthrosis,"ಇಗ್ಗೀಲುವೆ, ಅಲ್ಪಚಲಸಂಧಿ",,,,,,,,,
,Amphibian,ಉಭಯ ಜೀವಿ,,,,,,,,,
,Ampules,ನಳಿಕೆಗಳು,,,,,,,,,
,Anaemia,"ರಕ್ತಕೊರೆ, ರಕ್ತಹೀನತೆ",,,,,,,,,
,Anal fistula,ಗುದನಾಳದ ನಾಳಿಹುಣ್ಣು,,,,,,,,,
,Anamniota,"ಭ್ರೂಣಕೋಶಪೊರೆರಹಿತ ಪ್ರಾಣಿಗಳು, ಗರ್ಭಪರಿವೇಷ್ಟನ ಪೊರೆರಹಿತ ಜೀವಿಗಳು",,,,,,,,,
,Anastomosis,"ಅಂತ್ಯಾಂತ್ಯ ಸಂಬಂಧ, ಅಡ್ಡಗೂಡಣೆ, ಬಾಯಿಗೂಡಿಕೆ",,,,,,,,,
,Anatomy,ಅಂಗರಚನಾಶಾಸ್ತ್ರ,,,,,,,,,
,Ancestor,"ಪೂರ್ವಜ, ಮೂಲಪುರುಷ",,,,,,,,,
,Ancylostomiasis,ಕೊಕ್ಕೆಹುಳುಬೇನೆ,,,,,,,,,
,Androgenic hormones,ಪುಂಜನಿಕ / ಗಂಡುಜನಕ ಚೋದಕಗಳು,,,,,,,,,
,Animal behaviour,ಪ್ರಾಣಿವರ್ತನೆ,,,,,,,,,
,Animal feed,ಪಶು ಆಹಾರ,,,,,,,,,
,Animal husbandry,ಪಶುಸಂಗೋಪನೆ,,,,,,,,,
,Animal management Artistry,ಪ್ರಾಣಿ ನಿರ್ವಹಣ ಕಲೆ,,,,,,,,,
,Animal organic wastes,ಪ್ರಾಣಿ ಸಾವಯವ ವ್ಯರ್ಥ ಪದಾರ್ಥಗಳು,,,,,,,,,
,Animal production,ಪ್ರಾಣಿ ಉತ್ಪಾದನೆ,,,,,,,,,
,Animal product technology,ಪ್ರಾಣಿ ಉತ್ಪನ್ನಗಳ ತಾಂತ್ರಿಕತೆ,,,,,,,,,
,Animal protein,ಪ್ರಾಣಿ ಸಸಾರಜನಕ,,,,,,,,,
,Animal psychology,ಪ್ರಾಣಿ ಮನಃಶಾಸ್ತ್ರ,,,,,,,,,
,Anjan grass hay,ಅಂಜಾನ್ ಜಾತಿಯ ಒಣಹುಲ್ಲು,,,,,,,,,
,Annular ligament,ಉಂಗುರ / ಕಂಕಣ ತಂತುಗಟ್ಟು,,,,,,,,,
,Anoestrus period,"ಬೆದೆಯಲ್ಲಿಲ್ಲದ ಅವಧಿ, ನಿರ್ಬೆದೆಕಾಲ",,,,,,,,,
,Anorexia,"ಹಸಿವು ಇಲ್ಲದಿರುವಿಕೆ, ಹಸಿವಿಲಿ",,,,,,,,,
,Antagonistic,"ಪ್ರತಿರೋಧಾತ್ಮಕ, ಪ್ರತಿಸಂಕಟಕಾರಿ",,,,,,,,,
,Antagonistic muscle,ಪ್ರತಿಕಾರಕ ಸ್ನಾಯು,,,,,,,,,
,Antepartum,"ಹೆರಿಗೆಯ ಮೊದಲು, ಪ್ರಸವಪೂರ್ವ",,,,,,,,,
,Anterior,ಮುಂಭಾಗ,,,,,,,,,
,Anterior costotransverse ligament,ಮುಂದಿನ ಪಕ್ಕೆಲುಬಿನ ಬಾಹು ಅಡ್ಡ ಬಾಹುತಂತುಗಟ್ಟು,,,,,,,,,
,Anterior fallopian tube,ಅಂಡನಾಳದ / ಗರ್ಭನಾಳದ ಮುಂಭಾಗ,,,,,,,,,
,Anterior pituitary,ಪೀಯೂಷಿಕದ / ತೆಮಡಿಕದ ಮುಂಭಾಗ,,,,,,,,,
,Anthelmintic,ಜಂತುನಿವಾರಕ,,,,,,,,,
,Anthrax,ನೆರಡಿರೋಗ,,,,,,,,,
,Antibiotics,ಪ್ರತಿಜೈವಿಕಗಳು,,,,,,,,,
,Antibody,ಪ್ರತಿರೋಧ ವಸ್ತು,,,,,,,,,
,Anti-cow-kicker,ಒದೆಯುವ ಹಸು ಪ್ರತಿಸಾಧನ,,,,,,,,,
,Antifungal,ಪ್ರತಿ ಶಿಲೀಂಧ್ರ / ಕಾರಕ ಅಣಬೆ / ಶಿಲೀಂಧ್ರನಿರೋಧಕ,,,,,,,,,
,Antigen,"ಪ್ರತಿರೋಧಜನಕ, ಪ್ರತಿವಿಷ ಜನಕ",,,,,,,,,
,Antihistamine,ಹಿಸ್ಟಮೀನ್ ರೋಧಿ,,,,,,,,,
,Anti-inflammatory,ಉರಿಯೂತ ಪ್ರತಿರೋಧಕ,,,,,,,,,
,Anti Mortem features,ಜೀವಂತಪ್ರಾಣಿಗಳ ಲಕ್ಷಣಗಳು,,,,,,,,,
,Antioxidants,ಪ್ರತಿಉತ್ಕರ್ಷಕಗಳು,,,,,,,,,
,Antiseptic,"ಸೋಂಕು ನಿರೋಧಕ, ಪೂತಿನಾಶಕ",,,,,,,,,
,Antistress medicine,ಪ್ರತಿಯಾತನೆ / ಒತ್ತಡ ನಿರೋಧಕ ಔಷಧಿ,,,,,,,,,
,Antitoxin,ಪ್ರತಿವಿಷವಸ್ತು,,,,,,,,,
,Anus,ಗುದದ್ವಾರ,,,,,,,,,
,Anxiety disorder,ಆತಂಕದ ಕಾಯಿಲೆ,,,,,,,,,
,Aorta,"ಅಯೋರ್ಟ, ಮಹಾ ಅಪಧಮನಿ",,,,,,,,,
,Aortic arch,"ಅಯೋರ್ಟ ಕಮಾನು, ಮಹಾಧಮನಿ ಕಮಾನು",,,,,,,,,
,Apathy,ನಿರಾಸಕ್ತಿ (ಜಡತೆ),,,,,,,,,
,Aponeurosis,ನರಳೆ ಪದರ,,,,,,,,,
,Aponeurositis,ನರಳೆ ಪದರುರಿತ,,,,,,,,,
,Appendage,"1. ಉಪಾಂಗ (ಕೂಡುಭಾಗ), 2. ಅನುಬಂಧ",,,,,,,,,
,Appendicular skeleton,ಅವಯವಾಸ್ಥಿಗಳು,,,,,,,,,
,Appetite,ಹಸಿವು,,,,,,,,,
,Areola,"ದುಂದು ಕಲೆ, ಮೊಲೆತೊಟ್ಟುಕಲೆ, ವಿಕರಳ",,,,,,,,,
,Areolar tissue,ಅಂತರಾವಕಾಶ ಊತಕ,,,,,,,,,
,Arhinia,ಮೂಗುಕೊರೆ,,,,,,,,,
,Arterial,ಅಪಧಮನೀಯ,,,,,,,,,
,Arteriopathy,ಅಪಧಮನಿಬೇನೆ,,,,,,,,,
,Artery,"ಶುದ್ಧರಕ್ತನಾಳ,ಅಪಧಮನಿ",,,,,,,,,
,Artery forceps,ಅಪಧಮನಿಗಳ ಇಕ್ಕಳ,,,,,,,,,
,Arthritis,ಕೀಲುರಿತ,,,,,,,,,
,Arthrodia,ಜಾರುಗೀಲು,,,,,,,,,
,Arthrology,ಕೀಲುಶಾಸ್ತ್ರ,,,,,,,,,
,Articular cartilage,"ಸಂಧಿ ತರುಣಾಸ್ಥಿ, ಮೆಲ್ಲೆಲುಬುಕೀಲು",,,,,,,,,
,Artificial Insemination Centre,"ಕೃತಕ ವೀರ್ಯಾವಾಪನಕೇಂದ್ರ, ಕೃತಕ ಗರ್ಭಧಾರಣ ಕೇಂದ್ರ",,,,,,,,,
,Artificial milk yogurt,ಕೃತಕ ಹಾಲಿನ ಯೋಗರ್ಟ್,,,,,,,,,
,Artificial vagina,ಕೃತಕ ಯೋನಿ,,,,,,,,,
,Ascaris,ಜಂತುಹುಳು,,,,,,,,,
,Ascitis,ಜಲೋದರ,,,,,,,,,
,Asphyxia,ಉಸಿರುಕಟ್ಟು,,,,,,,,,
,Assemble pen,ಸಂಯೋಜಕ ರೊಪ್ಪ,,,,,,,,,
,Astigmatism,"ಅಸಮದೃಷ್ಟಿ, ದೃಷ್ಟಿವೈಷಮ್ಯ",,,,,,,,,
,Athetosis,ಅದಿರುವಾಯು,,,,,,,,,
,Atlantal bursa,ಶಿರಾಧಾರ ಮಣಿಯ ಕೀಲೋಳಿನ ಕವಚ,,,,,,,,,
,Atlantoaxial joint,ಶಿರಾಧಾರ ಅಚ್ಚಿನ ಸಂಧಿ,,,,,,,,,
,Atypical vertebrae,ಅಸಾಮಾನ್ಯ ಕಶೇರುಕಾಸ್ಥಿಗಳು,,,,,,,,,
,Auditory,ಶ್ರವಣ,,,,,,,,,
,Auricle,ಹೃತ್ಕರ್ಣ,,,,,,,,,
,Autacoid,ಚೋದನಿಗಳು,,,,,,,,,
,Autogamy,ಸ್ವಯಂ ಗರ್ಭಾದಾನ,,,,,,,,,
,Auto immunity,ಸ್ವಸೋಂಕು ರಕ್ಷಣೆ,,,,,,,,,
,Automation,ಸ್ವಯಂಚಾಲಿತ,,,,,,,,,
,Auto-sexing,ಸ್ವಯಂಲಿಂಗ ನಿರ್ಧರಿಕೆ,,,,,,,,,
,Axillary,"ಕಂಕುಳಿನ, ಕಕ್ಷಸ್ಥ",,,,,,,,,
,Axon,ನರ ಅಕ್ಷ,,,,,,,,,
,Axon Terminal,ನರ ಅಕ್ಷ ತುದಿ,,,,,,,,,
,Babesiosis,ದನಗಳ ಮಲೇರಿಯ,,,,,,,,,
,Bacciform,ಕಾಯ್ಜೀವಿ ರೂಪ,,,,,,,,,
,Bacillus,ದಂಡಾಣು ಜೀವಿ,,,,,,,,,
,Back,"ಹಿಂಬದಿ, ಬೆನ್ನು",,,,,,,,,
,Black Quarter,ಚಪ್ಪೆ,,,,,,,,,
,Bacteraemia,ಜೀವಾಣು ರಕ್ತತೆ,,,,,,,,,
,Bagasse,"ಕಬ್ಬಿನ ಸಿಪ್ಪೆ, ಹೊಟ್ಟು",,,,,,,,,
,Bait,ಆಕರ್ಷಕ ವಸ್ತು,,,,,,,,,
,Bajra,ಸಜ್ಜೆ,,,,,,,,,
,Bajra kadbi,ಸಜ್ಜೆ ಕಡಿ,,,,,,,,,
,Balance ration,ಸಮತೋಲನ ಆಹಾರ,,,,,,,,,
,Baling & storing,ಪಿಂಡಿ ಕಟ್ಟಿ ಸಂಗ್ರಹಿಸುವಿಕೆ,,,,,,,,,
,Barley,"ಜವೆ, ಯವೆ, ಬಾರ್ಲಿ",,,,,,,,,
,Basal layer,ಆಧಾರಸ್ಥರ,,,,,,,,,
,Basicornual articulation,ಕೊಂಬುಗಳ ಅಡಿಯ ಸಂಧಿ,,,,,,,,,
,Batten,ನೆಲಕ್ಕೆ ಹಾಸುವ ಹಲಗೆ,,,,,,,,,
,Bedding,"ಹಾಸುಕೆ, ತಳಹಾಸು",,,,,,,,,
,Bedding eating,ತಳಹಾಸುತಿನ್ನುವಿಕೆ,,,,,,,,,
,Beef,ದನದ ಮಾಂಸ,,,,,,,,,
,Beetle mite,ಜೀರುಂಡೆ ನುಶಿ,,,,,,,,,
,Behaviour patterns,ವರ್ತನ ಮಾದರಿಗಳು,,,,,,,,,
,Bellowing,ಬೆದೆಯಲ್ಲಿದ್ದಾಗ ಅರಚಿಕೊಳ್ಳುವಿಕೆ,,,,,,,,,
,Belly,ಹೊಟ್ಟೆ,,,,,,,,,
,Bengal gram,ಕಡಲೆಕಾಳು,,,,,,,,,
,Benign tumour,ಹಾನಿಕಾರಕವಲ್ಲದ ದುರ್ಮಾಂಸ,,,,,,,,,
,Bermuda grass,ಬರ್ಮುಡ ಹುಲ್ಲು,,,,,,,,,
,Berseem,"ಬರ್ಸೀಂ, ಒಂದು ಬಗೆಯ ಬೇರುಗಂಟು ದ್ವಿದಳ ಮೇವು",,,,,,,,,
,Berseem fodder,ಬರ್ಸೀಮ್ ಮೇವು (ದ್ವಿದಳ),,,,,,,,,
,Berseem leaf meal,ಬರ್ಸೀಮ್ ಎಲೆ ಆಹಾರ (ಸಸಾರಜನಕ ಸಮೃದ್ಧ ಆಹಾರ),,,,,,,,,
,Bestiality,"ಪ್ರಾಣಿಸಂಭೋಗ, ಮೃಗೀಯತೆ, ಮೃಗಕೂಟ, ಪಶುಕಾಮ",,,,,,,,,
,Bile duct,ಪಿತ್ತನಾಳ,,,,,,,,,
,Bile pigment,ಪಿತ್ತವರ್ಣಾಂಶ,,,,,,,,,
,Bioassay,ಜೈವಿಕ ಪರೀಕ್ಷೆ,,,,,,,,,
,Bio availability,ಜೈವಿಕ ಲಭ್ಯತೆ,,,,,,,,,
,Biochemical balance,ಜೀವರಾಸಾಯನಿಕ ಸಮತೋಲನ,,,,,,,,,
,Biochemical milk synthesis,ಜೀವರಾಸಾಯನಿಕ ಹಾಲು ಸಂಶ್ಲೇಷಣೆ,,,,,,,,,
,Bio-electricity,ಜೈವಿಕ ವಿದ್ಯಚ್ಚಕ್ತಿ,,,,,,,,,
,Biological characters,ಜೈವಿಕ ಲಕ್ಷಣಗಳು,,,,,,,,,
,Biological control,ಜೈವಿಕ ಹತೋಟಿ,,,,,,,,,
,Biological value,ಜೈವಿಕ ಮೌಲ್ಯ,,,,,,,,,
,Biometrics,ಜೀವಸಂಗತಿ ಗಣಿತ,,,,,,,,,
,Birth-ingestion,ಜನನ ಸಾಂಗೀಕರಣ,,,,,,,,,
,Bisexuality,ದ್ವಿಲಿಂಗತ್ವ,,,,,,,,,
,Bite,ಕಚ್ಚು,,,,,,,,,
,Black-gram,ಉದ್ದಿನ ಕಾಳು,,,,,,,,,
,Black quarter disease,ಚಪ್ಪೆರೋಗ,,,,,,,,,
,Bladder,"ಮೂತ್ರಕೋಶ, ಮೂತ್ರಚೀಲ",,,,,,,,,
,Blast,"ಅಂಗಮೂಲ, ನನೆ ಕಣ, ಎಳೆಕಣ",,,,,,,,,
,Bleaching,ನಿರ್ವರ್ಣಗೊಳಿಸುವಿಕೆ,,,,,,,,,
,Blindness,ಕುರುಡುತನ,,,,,,,,,
,Blister,ಬೊಬ್ಬೆ,,,,,,,,,
,Bloat,ಹೊಟ್ಟೆ ಉಬ್ಬರ,,,,,,,,,
,Blockers,ತಡೆಕಗಳು,,,,,,,,,
,Blood electrolyte,ರಕ್ತವಿದ್ಯದ್ವಿಶ್ಲೇಷಕ,,,,,,,,,
,Blood meal,ರಕ್ತಾಹಾರ,,,,,,,,,
,Blood pressure,ರಕ್ತಡೊತ್ತಡ,,,,,,,,,
,Blood profile,ರಕ್ತ ಮಾಹಿತಿದೃಶ್ಯ,,,,,,,,,
,Blood serum albumin,ರಕ್ತಸಾರದ ಬಿಳಿಲೋಳೆ,,,,,,,,,
,Blood transfusion,ರಕ್ತಪೂರಣಿ,,,,,,,,,
,Blood vessels,ರಕ್ತನಾಳಗಳು,,,,,,,,,
,Blows,ಹೊಡೆತಗಳು,,,,,,,,,
,Body brush,ಮೈ ಉಜ್ಜುವ ಬ್ರಷ್,,,,,,,,,
,Body cavity,ದೇಹ ಕುಹರ,,,,,,,,,
,Body cellular material,ದೈಹಿಕ ಜೀವಕಣಗಳುಳ್ಳ ಪದಾರ್ಥ,,,,,,,,,
,Body colour,ಮೈಬಣ್ಣ,,,,,,,,,
,Body fluid,ಶರೀರದ್ರವ,,,,,,,,,
,Body portals,ಶರೀರದ ಮಹಾದ್ವಾರಗಳು,,,,,,,,,
,Body temperature,ಶರೀರದ ಉಷ್ಣತೆ,,,,,,,,,
,Body type,ಶರೀರದ ಬಗೆ,,,,,,,,,
,Body water distribution,ದೈಹಿಕ ನೀರು ಹಂಚಾಣಿಕೆ,,,,,,,,,
,Body weight,ಶರೀರ / ದೇಹತೂಕ,,,,,,,,,
,Body wetting,ಪ್ರಾಣಿಗಳ ಶರೀರವನ್ನು ನೀರಿನಿಂದ ನೆನೆಸುವುದು,,,,,,,,,
,Boggy hocks,ಮಂಡಿ ಮತ್ತು ಚುಂಚುಕಾಲಿನ ಮಧ್ಯಾವಸ್ಥೆ,,,,,,,,,
,Bolus,"ಉಂಡೆ, ಹೆಗ್ಗುಳಿಗೆ",,,,,,,,,
,Bone marrow,ಅಸ್ಥಿಮಜ್ಜೆ,,,,,,,,,
,Bone meal,ಮೂಳೆ ಆಹಾರ,,,,,,,,,
,Bone tumour,ಮೂಳೆ ಗಂತಿ,,,,,,,,,
,Bony skeleton,"ಅಸ್ಥಿಪಂಜರ, ಎಲುಬಿನ ಹಂದರ",,,,,,,,,
,Boost Milk,ಬಲವರ್ಧಕ ಹಾಲು,,,,,,,,,
,Bossy animals,ಧಣಿ / ಒಡೆಯ ಪ್ರಾಣಿಗಳು,,,,,,,,,
,Bostaurus breed,ಬಾಸ್ಸ್ಚರ್ಸ್ ತಳಿ ವಿದೇಶಿ ದನದತಳಿಗಳು,,,,,,,,,
,Botulism,"ಬಾಡುಬೇನೆ, ಊರುಬಾಡುಬೇನೆ",,,,,,,,,
,Bovine,"ದನ,ಪಶು",,,,,,,,,
,Bovine coccidiosis,ದನಗಳ ಕಾಯ್ಬೀಜಾಣುಬೇನೆ,,,,,,,,,
,Bovine ketosis,ದನಗಳ ಕೀಟೋಸಿಸ್,,,,,,,,,
,Bovine tuberculosis,ದನಗಳ ಕ್ಷಯರೋಗ,,,,,,,,,
,Bowleg,ಅಟ್ಟೆಗಾಲು,,,,,,,,,
,Brachiocephalicus,ತಲೆ-ತೋಳಂದ,,,,,,,,,
,Brain,ಮಿದುಳು,,,,,,,,,
,Bran,"ಹೊಟ್ಟು, ತೌಡು",,,,,,,,,
,Branding,"ಗುರುತುಪಟ್ಟಿ ಹಾಕುವಿಕೆ, ಮುದ್ರೆಹಾಕುವಿಕೆ",,,,,,,,,
,Branding Iron,ಮುದ್ರೆಹಾಕುವ ಕಬ್ಬಿಣದ ಸಾಮಗ್ರಿ,,,,,,,,,
