ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,abiotic,ಅಜೈವಿಕ; ಅಜೀವ ಲಕ್ಷಣಗಳುಳ್ಳ,,,,,,,,,
,Abney's level,"ಅಬ್ನೇಸ್‌ ಲೆವೆಲ್‌, ಅಬ್ನೆಯ ಉನ್ನತಿಮಾಪಕ",,,,,,,,,
,abnormal,ಅಸಾಧಾರಣ; ವಿಪರೀತ; ವಿಕೃತ,,,,,,,,,
,abnormal sprout,ವಿಕೃತ ಮೊಳಕೆ/ಕುಡಿ,,,,,,,,,
,aborigines,1. ಮೂಲನಿವಾಸಿಗಳು; ಆದಿವಾಸಿಗಳು 2. ಮೂಲಸಸ್ಯಗಳು/ಪ್ರಾಣಿಗಳು,,,,,,,,,
,aborted,1. ಅಕಾಲಜನಿತ 2. ಅಂಕುರಾವಸ್ಥೆಯ,,,,,,,,,
,abortive,1. ಅಕಾಲಿಕ; ಕಾಲಕ್ಕೆ ಮುಂಚೆ ಹುಟ್ಟುವ 2. ಅಪೂರ್ಣಾವಸ್ಥೆಯ; ಕುಂಠಿತ ಬೆಳವಣಿಗೆಯ,,,,,,,,,
,Abroma augusta (Perennial Indian hemp),ಆಬ್ರೋಮ ಆಗಸ್ಟ; ದೆವ್ವತ್ತಿ ಮರ,,,,,,,,,
,Abrus precatorius (crab's eye; Indian liquorice; rosery pea),"ಏಬ್ರಸ್‌ ಪ್ರಿಕಟೋರಿಯಸ್‌, ಕೆಂಪುಗುಲಗಂಜಿ ಬಳ್ಳಿ",,,,,,,,,
,"Abrus precatorius, var. white","ಏಬ್ರಸ್‌ ಪ್ರಿಕಟೋರಿಯಸ್‌, ವೆ. ವೈಟ್; ‌ ಬಿಳಿಗುಲಗಂಜಿ ಬಳ್ಳಿ",,,,,,,,,
,abscission,"(ಗಿಡದಿಂದ ಹೂವು, ಹಣ್ಣು, ಎಲೆಗಳು ) ಉದುರುವಿಕೆ; ಬೇರ್ಪಡಿಸುವಿಕೆ; ಕಳಚುವಿಕೆ",,,,,,,,,
,absciss layer,ಬೇರ್ಪಡಿಸುವ ಪೊರೆ,,,,,,,,,
,absolute,ಸಂಪೂರ್ಣ; ಪರಮ,,,,,,,,,
,absolute humidity,ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ; ತುಂಬು ತೇವಾಂಶ,,,,,,,,,
,absolute temperature,ಪರಮೋಷ್ಣತೆ,,,,,,,,,
,absolute water requirement,ನೀರಿನ ಪರಮಾಗತ್ಯ,,,,,,,,,
,absorb,ಹೀರಿಕೊಳ್ಳು,,,,,,,,,
,absorbent,1. ಹೀರಿಕೊಳ್ಳುವ 2. ಹೀರಿಕೊಳ್ಳುವ ವಸ್ತು,,,,,,,,,
,absorption,ಹೀರಿಕೆ,,,,,,,,,
,absorptivity,1. ಹೀರಿಕೆ ಗುಣ 2. ಹೀರಿಕೆ ಪ್ರಮಾಣ,,,,,,,,,
,abundant,ಹೇರಳ; ಸಮೃದ್ಧ,,,,,,,,,
,Abutilon theophrasti (Indian mallow),ಅಬ್ಯುಟಿಲಾನ್‌/ತಿಯೋಫ್ರಾಸ್ಟಿ; ಒಂದು ಸೆಣಬಿನ ಸಸ್ಯ,,,,,,,,,
,Abutilon crispum,ಅಬ್ಯುಟಿಲಾನ್‌ ಕ್ರಿಸ್ಟಮ್‌; ಹಂಚಿ/ಪೊರಕೆ ಕಡ್ಡಿ,,,,,,,,,
,Abutilon hirtum,ಅಬ್ಯುಟಿಲಾನ್‌ ಹಿರ್ಟಿಮ್‌; ಹೆತ್ತುತ್ತಿ ಮರ,,,,,,,,,
,Abutilon indicum (country mallow; Indian abutilon),ಅಬ್ಯುಟಿಲಾನ್‌ ಇಂಡಿಕಮ್‌; ಶ್ರೀ ಮುದ್ರಿ/ತುತ್ತಿಗಿಡ,,,,,,,,,
,Abutilon polyandrum,ಅಬ್ಯುಟಿಲಾನ್‌ ಪಾಲಿಯಾಂಡ್ರಮ್; ‌ ಬೆಟ್ಟದ ಬೆಂಡು ಗಿಡ,,,,,,,,,
,Acacia arabica (babul tree; Indian gum-arabic tree),ಅಕೇಷಿಯ ಆರೇಬಿಕ; ಕರಿಗೊಬ್ಬಳಿ/ಕರಿಜಾಲಿ ಮರ,,,,,,,,,
,Acacia caesia,ಅಕೇಷಿಯ ಸೀಸಿಯ; ಅಂಟರಿಕೆ/ಬೆಂಡೆಮುಳ್ಳು ಗಿಡ,,,,,,,,,
,Acacia catechu,ಅಕೇಷಿಯ ಕ್ಯಾಟಚ್ಯೂ; ಕಗ್ಗಲಿ/ಕಾಚು ಮರ,,,,,,,,,
,Acacia concinna (soap pod),ಅಕೇಷಿಯ ಕಾನ್ಸಿನ; ಸೀಗೆಮೆಳೆ,,,,,,,,,
,Acacia dealbata (silver wattle),ಅಕೇಷಿಯ ಡೀಯಲ್ ಬೇಟ; ಸಿಲ್ವರ್‌ ವ್ಯಾಟಲ್‌; ಹೂವಿನಿಂದ ಸುವಾಸನಾ ದ್ರವ್ಯವನ್ನು ಮತ್ತು ತೊಗಟೆಯಿಂದ ಬಣ್ಣವನ್ನು ತೆಗೆಯಲು ಬಳಸುವ ಒಂದು ಮರ,,,,,,,,,
,Acacia decurrens (black wattel),ಅಕೇಷಿಯ ಡೆಕರನ್ಸ್; ಬ್ಲ್ಯಾಕ್ ವ್ಯಾಟಲ್; ‌ ಸೀಮೆಜಾಲಿ; ತೊಗಟೆಯಿಂದ ಬಣ್ಣವನ್ನು ಮತ್ತು ತಿರುಳಿನಿಂದ ಕಾಗದವನ್ನು ತಯಾರಿಸುವ ಒಂದು ಮರ,,,,,,,,,
,Acacia eburenea,ಅಕೇಷಿಯ ಇಬರ್ನಿಯ; ಪೀಕಜಾಲಿ/ತುಂಬಟಿಜಾಲಿ ಮರ,,,,,,,,,
,Acacia farnesiana (cassie flower; sweet acacia),ಅಕೇಷಿಯ ಫಾರ‍್ನೇಸಿಯಾನ; ಕಸ್ತೂರಿಜಾಲಿ ಮರ,,,,,,,,,
,Acacia ferruginea,ಅಕೇಷಿಯ ಫೆರ‍್ಯುಜಿನಿಯ; ಬನ್ನಿಮರ,,,,,,,,,
,Acacia latronum,ಅಕೇಷಿಯ ಲೇಟ್ರಿನಮ್; ‌ ಆನೆಗೊಬ್ಬಳಿ/ಹೊಟ್ಟೆಜಾಲಿ ಮರ,,,,,,,,,
,Acacia leucophloea,ಅಕೇಷಿಯ ಲ್ಯೂಕ್‌ ಫ್ಲೋಯಿಯ; ತೊಪ್ಪಾಲೆ ಬಿಳಿಜಾಲಿ/ಸಾರಾಯಿಬೇಲ/ನಾಯಿಬೇಲ ಮರ,,,,,,,,,
,Acacia melanoxylon (Australian black wood),ಅಕೇಷಿಯ ಮೆಲನೊಜೈಲಾನ್; ‌ ಕರಿಸೀಮೆಗೊಬ್ಬಳಿ ಮರ,,,,,,,,,
,Acacia pennata,ಅಕೇಷಿಯ ಪಿನೇಟ; ಕಾಡುಸೀಗೆ/ಮುಳ್ಳುಸೀಗೆ ಮೆಳೆ,,,,,,,,,
,Acacia planifrons (umbrella thorn),ಅಕೇಷಿಯ ಪ್ಲ್ಯಾನಿಫ್ರಾನ್ಸ್; ‌ ಕೊಡೆಮುಳ್ಳು ಜಾಲಿ/ಹೊಡೆಜಾಲಿ/ಬುಡ್ಡೆಜಾಲಿ ಮರ,,,,,,,,,
,Acacia pycnantha (golden wattel),ಅಕೇಷಿಯ ಪಿಕ್ನಾಂತ; ಸ್ವರ್ಣಜಾಲಿ ಮರ,,,,,,,,,
,Acacia rugata,ಅಕೇಷಿಯ ರುಗೇಟ; ಮಂಡಸೀಗೆ ಬಳ್ಳಿ,,,,,,,,,
,Acacia senegal (gum arabic acasia),ಅಕೇಷಿಯ ಸೆನೆಗಾಲ್‌; ಗೋಂದನ್ನು ಜಿಲುವೆ ಮತ್ತು ಬಣ್ಣದ ಉದ್ದಿಮೆಯಲ್ಲಿ ಬಳಸುವ ಮರ,,,,,,,,,
,Acacia suma,ಅಕೇಷಿಯ ಸುಮ; ಮುಗಳಿ/ಬಿಳಿಜಾಲಿ ಮರ,,,,,,,,,
,Acacia sundra,ಅಕೇಷಿಯ ಸುಂದ್ರ; ಕೆಂಪುಜಾಲಿ/ಕಗ್ಗಲಿ ಮರ,,,,,,,,,
,Acaena anserinifolia (Newzealand bur),ಅಸೀನ ಆನ್ಸೆರಿನಿಫೋಲಿಯ; ಅಂಟುಪುರಳೆ ಗಿಡ,,,,,,,,,
,acalyculate,ಪುಷ್ಪಪತ್ರರಹಿತ,,,,,,,,,
,Acalypha bicolor,ಅಕಲೈಫ ಬೈಕಲರ್; ‌ ಒಂದು ಅಲಂಕಾರ ಪೊದೆ,,,,,,,,,
,Acalypha fruticosa,ಅಕಲೈಫ ಫ್ರೂಟಿಕೋಸ; ಚಿನ್ನಿಗಿಡ,,,,,,,,,
,Acalypha hispida (chenille-plant; red hot cat's tail),ಅಕಲೈಫ ಹಿಸ್ಪಿಡ; ಒಂದು ಅಲಂಕಾರ ಹೂ ಪೊದೆ,,,,,,,,,
,Acalypha indica,ಅಕಲೈಫ ಇಂಡಿಕ; ಕುಪ್ಪಿ ಗಿಡ,,,,,,,,,
,Acalypha wilkesiana (garden acalypha),ಅಕಲೈಫ ವಿಲ್‌ಕೇಸಿಯಾನ; ಒಂದು ಅಲಂಕಾರ ಪೊದೆ,,,,,,,,,
,acanthaceous,ಮುಳ್ಳಿರುವ,,,,,,,,,
,acanthocarpus,ಮುಳ್ಳುಫಲವುಳ್ಳ,,,,,,,,,
,Acanthospermum hispidum,ಅಕ್ಯಾನ್ತೊಸ್ಪರ್ಮಮ್‌ ಹಿಸ್ಪಿಡಮ್; ‌ ಕಡಲೆಮುಳ್ಳು ಗಿಡ,,,,,,,,,
,Acanthus ilicifolius,ಅಕ್ಯಾನ್ತಸ್‌ ಇಲಿಸಿಫೋಲಿಯಸ್‌; ಹೊಳೆಚುಳ್ಳಿ/ಹರಿಕುಶ ಗಿಡ,,,,,,,,,
,acapsular,ಕೋಶರಹಿತ,,,,,,,,,
,acaricide,ಉಣ್ಣೆ ಮತ್ತು ನುಸಿನಾಶಕ,,,,,,,,,
,acarology,ಉಣ್ಣೆ ಮತ್ತು ನುಸಿವಿಜ್ಞಾನ,,,,,,,,,
,acarpelous,(ಪುಷ್ಪದ ವಿ. ದಲ್ಲಿ) ಅಂಡಕೋಶರಹಿತ,,,,,,,,,
,acarpous,ಫಲ ಕೊಡದ/ಬಿಡದ,,,,,,,,,
,acaulous,ಕಾಂಡರಹಿತ; ತಾಳು ಇಲ್ಲದ,,,,,,,,,
,accelerated soil erosion,ತ್ವರಿತ ಮಣ್ಣುಸವೆತ,,,,,,,,,
,acceptor cell,ಗ್ರಾಹಕಕೋಶ,,,,,,,,,
,accessories,ಉಪಸಾಮಗ್ರಿ,,,,,,,,,
,accessory bud,ಕಂಕುಳ ಮೊಗ್ಗು,,,,,,,,,
,accessory fruit,spurious fruit,,,,,,,,,
,acclimatization,ವಾಯುಗುಣಕ್ಕೆ ಒಗ್ಗುವಿಕೆ ಯಾ ಒಗ್ಗಿಸುವಿಕೆ,,,,,,,,,
,acclivity,ಏರುದಿಣ್ಣೆ,,,,,,,,,
,accrescent,ಹೂಬಿಟ್ಟ ಮೇಲೆ (ಗಿಡ) ದೊಡ್ಡದಾಗಿ ಬೆಳೆಯುವ,,,,,,,,,
,accumbent,ಒರಗಿಕೊಂಡ,,,,,,,,,
,accumulate,1. ಒಟ್ಟುಗೂಡು 2. ಒಟ್ಟುಗೂಡಿಸು,,,,,,,,,
,acephalous,1. ಬೆಂಡುರಹಿತ 2. ತಲೆಸವರಿದ,,,,,,,,,
,acerate,ಸೂಚೀಪರ್ಣಿ; ಚೂಪೆಲೆಯುಳ್ಳ,,,,,,,,,
,Acer saccharinum,ಆಸರ್‌ ಸ್ಯಾಕರಿನಮ್‌; ಮೇಪಲ್‌ ಸಕ್ಕರೆ ಮರ,,,,,,,,,
,acetarious,ಪಚಡಿಗಾಗಿ ಉಪಯೋಗಿಸುವ,,,,,,,,,
,achene,"ಅಕೀನ; ಬಿರಿಯದ, ಒಂದೇ ಬೀಜವಿರುವ, ಗಟ್ಟಿಯಾದ ಚಿಕ್ಕ ಒಣಹಣ್ಣು",,,,,,,,,
,Achillea millefolium (milfoil; yarrow),ಅಕೀಲಿಯ ಮಿಲೀಫೋಲಿಯಮ್; ‌ ರೋಜಮಾರಿ ಗಿಡ,,,,,,,,,
,Achimenes tubiflora,Gloxinia tubiflora/Sinningia tubiflora,,,,,,,,,
,achlamydeous,ಪುಷ್ಪಕೋಶರಹಿತ; ಪುಷ್ಪಪತ್ರವೂ ಪುಷ್ಪದಳಗಳೂ ಇಲ್ಲದ,,,,,,,,,
,achlorophyllous,ಹರಿತ್ತುರಹಿತ; ಹಸಿರುಬಣ್ಣವಿಲ್ಲದ,,,,,,,,,
,Achras sapota (sapota; sapodilla plum),ಆಕ್ರಾಸ್‌ ಸಪೋಟ; ಸಪೋಟ/ಚಿಕ್ಕು ಮರ,,,,,,,,,
,achormatic,ವರ್ಣರಹಿತ,,,,,,,,,
,Achyranthes aspera,ಅಕೈರಾಂತೆಸ್‌ ಆಸ್ಪೆರ; ಉತ್ತರಾಣಿ ಗಿಡ,,,,,,,,,
,acicular,ಸೂಜಿಯಾಕಾರದ,,,,,,,,,
,acid action,ಆಮ್ಲಕ್ರಿಯೆ,,,,,,,,,
,acid fixing,ಆಮ್ಲಸ್ಥಿರೀಕರಣ,,,,,,,,,
,acid flux,ಆಮ್ಲವಿಸರ್ಜನೆ,,,,,,,,,
,acid- forming fertilizer,ಆಮ್ಲೋತ್ಪಾದಕ ರಸಗೊಬ್ಬರ,,,,,,,,,
,acidic,ಆಮ್ಲೀಯ; ಹುಳಿಯುಳ್ಳ,,,,,,,,,
,acidic medium,ಆಮ್ಲ/ಹುಳಿ ಮಾಧ್ಯಮ,,,,,,,,,
,acidiferous,1. ಆಮ್ಲಭರಿತ 2. ಆಮ್ಲೋತ್ಪಾದಕ,,,,,,,,,
,acidifiant,acidification,,,,,,,,,
,acidification,ಆಮ್ಲೀಕರಣ,,,,,,,,,
,acidifier,ಆಮ್ಲೀಕಾರಕ,,,,,,,,,
,acidify,ಆಮ್ಲೀಕರಿಸು,,,,,,,,,
,acidimeter,ಆಮ್ಲತಾಮಾಪಕ,,,,,,,,,
,acidimetry,ಆಮ್ಲತಾಮಾಪನ,,,,,,,,,
,acidity,ಆಮ್ಲತೆ,,,,,,,,,
,acid lime,Citrus acida,,,,,,,,,
,acid phosphate,super phosphate,,,,,,,,,
,acid soil,ಆಮ್ಲಮಣ್ಣು,,,,,,,,,
,acid test,ಆಮ್ಲ ಪರೀಕ್ಷೆ,,,,,,,,,
,acid tolerence,ಆಮ್ಲಸಹಿಷ್ಣುತೆ,,,,,,,,,
,acidulous,ಮಿತಾಮ್ಲೀಯ; ಮಿತಾಮ್ಲವುಳ್ಳ,,,,,,,,,
,aciduric,ಆಮ್ಲಸಹಿಷ್ಣು,,,,,,,,,
,acinaciform,(ಎಲೆ ವಿ. ದಲ್ಲಿ) ಕುಡುಗತ್ತಿಯಾಕಾರದ,,,,,,,,,
,aciform,acicular,,,,,,,,,
,aciniform,ದ್ರಾಕ್ಷಿಗೊಂಚಲಿನಂಥ,,,,,,,,,
,acinus,ಅಸಿನಸ್‌; ಸಂಯುಕ್ತ ಫಲದಲ್ಲಿನ ಒಂದು ತೊಳೆ,,,,,,,,,
,acme harrow,ಕೊಂಕು ಅಲಗುಕುಂಟೆ; ಬಳುಗುಂಟೆ,,,,,,,,,
,Aconitum ferox (biku poison of Nepal; Indian aconite),ಅಕೊನಿಟ್‌ಮ್‌ ಫೆರಾಕ್ಸ್; ‌ ಅತಿಬಜೆ/ವತ್ಸನಾಭಿ ಗಿಡ,,,,,,,,,
,Aconitum heterophyllum (atis root; Indianaconite),ಅಕೊನಿಟ್‌ಮ್‌ ಹೆಟೆರೊಫೈಲಮ್‌; ಅತಿವಿಷ/ಸೀತಾಶೃಂಗಿ ಗಿಡ,,,,,,,,,
,Aconitum napellus (monk's wood; wolf's bane),ಅಕೊನಿಟ್‌ಮ್‌ ನೇಪಲಸ್‌; ಸೀಮೆನಾಭಿ/ಕಟುವಿಷ ಗಿಡ,,,,,,,,,
,acorn,ಓಕ್ ಮರದ ಹಣ್ಣು ಯಾ ಬೀಜ,,,,,,,,,
,Acorus calamus (sweet flag),ಆಕೊರಸ್‌ ಕ್ಯಾಲಮಸ್‌; ಬಜೆಗಿಡ,,,,,,,,,
,acotyledon,ಬೀಜದಳರಹಿತ,,,,,,,,,
,acquired character,ಪಡೆದುಕೊಂಡ ಗುಣಲಕ್ಷಣ,,,,,,,,,
,acquired immunity,ಪಡೆದುಕೊಂಡ ಪ್ರತಿರಕ್ಷೆ,,,,,,,,,
,acre,ಎಕರೆ,,,,,,,,,
,acreage,ಎಕರೆಯ ಮೊತ್ತ,,,,,,,,,
,acre-foot,"ಎಕರೆ ಫುಟ್‌; ಎಕರೆಅಡಿ, ಒಂದು ಅಡಿ ಆಳದ ಒಂದೆಕರೆಯಲ್ಲಿರುವ ನೀರು, ಮಣ್ಣು ಯಾ ಇತರ ವಸ್ತುಗಳ ಪ್ರಮಾಣ",,,,,,,,,
,acre-inch,ಎಕರೆ-ಇಂಚ್‌; ಎಕರೆಅಂಗುಲ; ಒಂದಂಗುಲ ಆಳದ ಒಂದೆಕರೆಯಲ್ಲಿರುವ ನೀರಿನ ಪ್ರಮಾಣ; ನೀರಾವರಿಗೆ ಬಳಸುವ ನೀರಿನ ಅಳತೆಯ ಮೂಲಮಾನ,,,,,,,,,
,acre-yeild,ಎಕರೆವಾರು ಇಳುವರಿ,,,,,,,,,
,acrid,ಅತಿಕಹಿ,,,,,,,,,
,Acrocarpus fraxinifolius (red cedar),ಆಕ್ರಕಾರ್ಪಸ್‌ ಪ್ರ‍್ಯಾಕ್ಸಿನಿಫೋಲಿಯಸ್; ‌ ರೆಡ್ ಸಿಡಾರ್‌/ಬಿಳಂಜಿ/ಹಾವುಲಿಗೆ ಮರ,,,,,,,,,
,Acroclinum (Helipterum),ಆಕ್ರಕ್ಲೈನಮ್; ‌ ಒಂದು ಅಲಂಕಾರ ಹೂಸಸ್ಯ ಜಾತಿ,,,,,,,,,
,acrogen,ಆಗ್ರವರ್ಧಿ; ಬೆಳೆಯುವ ಭಾಗವು ಕಾಂಡದ ತುದಿಯಲ್ಲಿರುವ,,,,,,,,,
,Acronychia pedunculata/laurifolia,ಆಕ್ರನೀಕಿಯ ಪಿಡಂಕ್ಯುಲೇಟ್‌/ಲಾರಿಫೋಲಿಯ; ಸೊನೆಮಾವು ಮರ,,,,,,,,,
,acropetal,ಊರ್ಧ್ವವರ್ಧಿ; ಮೇಲ್ಮುಖವಾಗಿ ಬೆಳೆಯುವ,,,,,,,,,
,Actaea spicata (bane berry),ಆಕ್ವಿಯ ಸ್ಪೈಕೇಟ; ಒಂದು ವಿಷಫಲ ಸಸ್ಯ,,,,,,,,,
,Actinidia chinensis (chinese gooseberry),ಆಕ್ಟಿನಿಡಿಯ ಚೈನೆನ್ಸಿಸ್; ಚೈನೀಜ್‌ ಗೂಸ್‌ ಬೆರಿ; ಒಂದು ಹಣ್ಣಿನ ಮರ,,,,,,,,,
,Actinodaphne dichotoma,ಆಕ್ಟಿನೋಡಾಫ್ನೆ ಡೈಕಾಟಮ; ಬುಡಿಗನ್ನೆ ಮರ,,,,,,,,,
,Actinodaphne hookeri,ಆಕ್ಟಿನೋಡಾಫ್ನೆ ಹುಕೇರಿ; ಗಲವಾರ/ಹಗ್ಗೊಡಿಗೆ ಮರ,,,,,,,,,
,actinomorphic,ತ್ರಿಜ್ಯಸಮ ರೂಪದ/ಹೂವನ್ನು ನೇರವಾಗು ಮಧ್ಯಕ್ಕೆ ಕತ್ತರಿಸಿದಾಗ ಎರಡು ಸಮಭಾಗಗಳಾಗುವ,,,,,,,,,
,activate,ಚುರುಕುಗೊಳಿಸು; ಪಟುಗೊಳಿಸು; ಸಕ್ರಿಯಗೊಳಿಸು,,,,,,,,,
,activated charcoal,ಪಟುಗೊಳಿಸಿದ ಇದ್ದಿಲು,,,,,,,,,
,activated sludge,ಸಕ್ರಿಯಗೊಳಿಸಿದ ರೊಚ್ಚು; ವಾಯುಜೀವಿ ದಂಡಾಣುಗಳನ್ನೊಳಗೊಂಡ ಗಾಳಿತುಂಬಿದ ರೊಚ್ಚು,,,,,,,,,
,active ingredient,ಸಕ್ರಿಯ ಘಟಕಾಂಶ,,,,,,,,,
,active water absorption,ಸಕ್ರಿಯ ನೀರು ಹೀರಿಕೆ,,,,,,,,,
,aculeate,ಮುಳ್ಳಿರುವ,,,,,,,,,
,acumen,ಮೊನಚುಕೊನೆ,,,,,,,,,
,acuminate,ತುದಿ ಮೊನಚಾದ,,,,,,,,,
,acute,ಚೂಪಾದ,,,,,,,,,
,acyclic flower,ಅನಿಯಮಿತ ಹೂವು; ಸುರುಳಿ ಜೋಡಣೆ ಹೂವು,,,,,,,,,
,Adam's apple,Musa paradisiaca,,,,,,,,,
,Adansonia digitata (Baobab; monkey bread tree),ಅಡನ್‌ ಸೋನಿಯ ಡಿಜಿಟೇಟ್; ‌ ಆನೆಹುಣಸೆ/ಮಗಿಮಾವು ಮರ,,,,,,,,,
,adapt,1. ಹೊಂದಿಸು 2. ಹೊಂದಿಕೊಳ್ಳು,,,,,,,,,
,adaptation,ಹೊಂದಿಕೊಳ್ಳುವುದು,,,,,,,,,
,adaxial,(ಎಲೆಯ) ಕೆಳಭಾಗ,,,,,,,,,
,adelphous,ಕೂಡುಕೇಸರವುಳ್ಳ,,,,,,,,,
,Adenanthera pavonina (bead tree; redwood tree),ಅಡೆನಾನ್ ತೆರ ಪವೋನಿನ; ಆನೆಗುಲಗಂಜಿ/ಮಂಜಟ್ಟಿಮರ,,,,,,,,,
,Adenocalymna calycina,ಆಡೆನೊಕೆಲಿಮ್ನ ಕೆಲಿಸಿನ; ಒಂದು ಅಲಂಕಾರ ಹೂಬಳ್ಳಿ,,,,,,,,,
,adenophyllous,ಗ್ರಂಥಿಪತ್ರವುಳ್ಳ,,,,,,,,,
,adenophorous,ಗ್ರಂಥಿಯುಕ್ತ; ಗಂಟುಗಂಟಾದ,,,,,,,,,
,adglutinate,ಅಂಟಿ ಬೆಳೆ; ಅಂಟಿಕೊಂಡು ಬೆಳೆ,,,,,,,,,
,Adhatoda vasica (Malabar nut),ಅಡತೋಡ ವಸಿಕ ಆಡುಸೋಗಿ,,,,,,,,,
,adhere,ಅಂಟುಕೊಳ್ಳು,,,,,,,,,
,adhesive,1. ಅಂಟುಗುಣವುಳ್ಳ 2. ಅಂಟು (ಪದಾರ್ಥ),,,,,,,,,
,adhesive agent,ಅಂಟುಕಾರಕ,,,,,,,,,
,adhesive disc,ಅಂಟುಬಿಲ್ಲೆ,,,,,,,,,
,Adiantum actinopteris,"ಅಡಿಯಾಂಟಮ್‌ ಆಕ್ಟಿನಾಪ್ಟಿರಿಸ್‌, ತಾಮ್ರಶಿಖಿ ಗಿಡ",,,,,,,,,
,Adiantum capillus-veneris (maidenhair fern),ಅಡಿಯಾಂಟಮ್‌ ಕ್ಯಾಪಿಲಸ್‌ ವೆನೆರಿಸ್‌; ಹಂಸರಾಜ ಗಿಡ,,,,,,,,,
,Adiantum caudatum (walking fern),ಅಡಿಯಾಂಟಮ್‌ ಕಾಡೇಟಮ್; ‌ ಗಜಕರ್ಣಗಿಡ; ನಡಿಗೆ ಜರೀಗಿಡ,,,,,,,,,
,Adiantum lunulatum (walking maidenhair fern),ಅಡಿಯಾಂಟಮ್‌ ಲ್ಯೂನ್ಯುಲೇಟಮ್; ಹಂಸಪಾದಿ ಗಿಡ,,,,,,,,,
,Adiantum melanacaulon,ಅಡಿಯಾಂಟಮ್‌ ಮೆಲನಕಾಲನ್‌; ನವಿಲು ಬಾಲದ ಗಿಡ; ಒಂದು ಜರೀಗಿಡ,,,,,,,,,
,Adiantum venustum,ಅಡಿಯಾಂಟಮ್‌ ವೆನುಸ್ಟಮ್‌; ದೊಡ್ಡನವಿಲುಬಾಲದ ಒಂದು ಔಷಧ ಸಸ್ಯ,,,,,,,,,
,Adina cordifolia (yellow teak),ಅಡಿನ ಕಾರ್ಡಿಫೋಲಿಯ; ಹೆತ್ತೇಗ; ಅರಿಶಿನತೇಗ (ಮರ),,,,,,,,,
,adjoining,ಪಕ್ಕದಲ್ಲಿರುವ; ಸೇರಿಕೊಂಡಿರುವ,,,,,,,,,
,admixture,ಸಮ್ಮಿಶ್ರಣ,,,,,,,,,
,adnate,ಸಂಲಗ್ನ; ಒಡನಂಟಿ ಬೆಳೆಯುವ; ಹುಟ್ಟಿನಿಂದ ಒಂದಕ್ಕೊಂದು ಅಂಟಿಕೊಂಡು ಬೆಳೆಯುವ,,,,,,,,,
