ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
YES,,Executive Body,,"ಕಾರ್ಯಕಾರಿ ಅಂಗ, ಕಾರ್ಯಕಾರಿ ಸಂಸ್ಥೆ",,,,,,,
YES,,Ex-/Gratia,,ಎಕ್ಸ್ ಗ್ರೇಷಿಯಾ,,,,,,,
YES,,Financial package,,"ಆರ್ಥಿಕ ಸೌಲಭ್ಯ, ಫೈನಾನ್ಸಿಯಲ್‌ ಪ್ಯಾಕೇಜ್‌",,,,,,,
YES,,Follow up,,"ಅನುಸರಣೆ, ಅನುಸರಣಾ ಕ್ರಮ",,,,,,,
YES,,Grievance Machinery,,ಕುಂದುಕೊರತೆ ನಿವಾರಣಾ ವ್ಯವಸ್ಥೆ,,,,,,,
YES,,Gymnasium,,ವ್ಯಾಯಾಮ ಶಾಲೆ,,,,,,,
YES,,Hazardous,,ಅಪಾಯಕಾರಿ,,,,,,,
YES,,Harmonious Relations,,ಮಧುರ ಬಾಂಧವ್ಯಗಳು,,,,,,,
YES,,Home Orderly,,ಮನೆ ಕೆಲಸದವನು,,,,,,,
YES,,Incentive,,"ಪ್ರೋತ್ಸಾಹಕ ಧನ, ಉತ್ತೇಜಕ ಧನ",,,,,,,
YES,,Industrial Relations,,ಕೈಗಾರಿಕಾ / ಔದ್ಯಮಿಕ ಬಾಂಧವ್ಯ,,,,,,,
YES,,Industrial Dispute Act,,ಕೈಗಾರಿಕಾ ವಿವಾದ ಕಾಯ್ದೆ,,,,,,,
YES,,Industrial Tribunal,,ಕೈಗಾರಿಕಾ ನ್ಯಾಯಾಧಿಕರಣ,,,,,,,
YES,,Injury on Duty,,ಕರ್ತವ್ಯದ ಮೇಲಿದ್ದಾಗ ಆದ ಗಾಯ,,,,,,,
YES,,Liquidation,,ಸಮಾಪನ,,,,,,,
YES,,Maternity Benefit,,ಪ್ರಸೂತಿ ಸೌಲಭ್ಯ,,,,,,,
YES,,Meritorious Award,,ಅರ್ಹತಾ ಪ್ರಶಸ್ತಿ,,,,,,,
YES,,Methodology,,"ವಿಧಾನ, ಕ್ರಮ",,,,,,,
YES,,Memorandum of Settlement (MOS),,ಇತ್ಯರ್ಥ ಪತ್ರ,,,,,,,
YES,,Memorandum of Understanding (MOU),,ಒಡಂಬಡಿಕೆ ಪತ್ರ,,,,,,,
YES,,Merger,,ವಿಲೀನ,,,,,,,
YES,,Miscellaneous,,"ಸಂಕೀರ್ಣ, ಇತರೆ",,,,,,,
YES,,Modus Operandi,,ಕಾರ್ಯರೀತಿ,,,,,,,
YES,,Model Worker,,ಮಾದರಿ ಕೆಲಸಗಾರ,,,,,,,
YES,,Monthly Returns,,ಮಾಸಿಕ ವಿವರ ಪಟ್ಟಿ ಸಲ್ಲಿಕೆ,,,,,,,
YES,,Motor Transport Workers Act,,ಮೋಟಾರು ಸಾರಿಗೆ ಕೆಲಸಗಾರರ ಕಾಯ್ದೆ,,,,,,,
YES,,Norms,,ಮಾನದಂಡ,,,,,,,
YES,,Nursing Break,,"ಪೋಷಣಾರ್ಥ ವಿರಾಮ, ಹಾಲೂಡಿಕೆ ವಿರಾಮ",,,,,,,
YES,,Obligation,,"ಬಾಧ್ಯತೆ, ಹೊಣೆ, ಕರ್ತವ್ಯ",,,,,,,
YES,,Outlay,,ಹೊರಹೋಗುವಿಕೆ,,,,,,,
YES,,Parameters,,"ಪರಿಮಾಣ, ಪರಿಧಿಗಳು",,,,,,,
YES,,Penalty,,ದಂಡ,,,,,,,
YES,,Perquisites,,ಪರಿಲಬ್ದಿಗಳು / ಅವಶ್ಯಕತೆ,,,,,,,
YES,,Performance Report,,"ಕಾರ್ಯಾಧಾರಿತ ವರದಿ, ಕಾರ್ಯಪ್ರಗತಿ ವರದಿ",,,,,,,
YES,,Personal Sickness,,"ವೈಯಕ್ತಿಕ ಕಾಯಿಲೆ, ವ್ಯಕ್ತಿಗತ ರೋಗ",,,,,,,
YES,,Prosecution,,"ಪ್ರಾಸಿಕ್ಯೂಷನ್‌, ಮುಂದುವರಿಸು / ವಿಚಾರಣೆ",,,,,,,
YES,,Productivity,,ಉತ್ಪಾದಕತೆ,,,,,,,
YES,,Profitability,,ಲಾಭದಾಯಕತೆ,,,,,,,
YES,,Proficiency,,"ಪ್ರಾವೀಣ್ಯ, ಪ್ರಾವೀಣ್ಯತೆ ತಜ್ಞತೆ, ಕುಶಲತೆ",,,,,,,
YES,,Public Utility,,ಸಾರ್ವಜನಿಕ ಉಪಯುಕ್ತತೆ,,,,,,,
YES,,Prime Lending Rate,,ಮೂಲ / ಆರಂಭದ ಸಾಲ ನೀಡಿಕೆ ದರ,,,,,,,
YES,,Protected Workman,,ಸಂರಕ್ಷಿತ ಕೆಲಸಗಾರ,,,,,,,
YES,,Protracted Negotiations,,ದೀರ್ಘ ಸಂಧಾನಗಳು,,,,,,,
YES,,Repatriation,,"ಮರಳಿ ಕಳುಹಿಸುವುದು, ವಾಪಸ್ಸು ಕಳುಹಿಸುವುದು",,,,,,,
YES,,Retrenchment,,ಕೆಲಸದಿಂದ ತೆಗೆದುಹಾಕುವುದು,,,,,,,
YES,,Ratification,,ಅನುಸಮರ್ಥನೆ / ಸ್ಥಿರೀಕರಣೆ,,,,,,,
YES,,Review,,"ಪುನರಾವಲೋಕನ, ಪುನಃ ಪರಿಶೀಲನೆ ಸಮೀಕ್ಷೆ",,,,,,,
YES,,Restoration,,"ಪೂರ್ವಸ್ಥಿತಿಸ್ಥಾಪನೆ, ಜೀರ್ಣೋದ್ದಾರ",,,,,,,
YES,,Retrospective,,ಪೂರ್ವಾನ್ವಯ,,,,,,,
YES,,Resolve,,"ನಿರ್ಣಯ, ತೀರ್ಮಾನ",,,,,,,
YES,,Resource,,"ಸಂಪನ್ಮೂಲ, ಸಾಧನ ಸಂಪತ್ತು,",,,,,,,
YES,,Referal Hospitals,,ರೆಫರಲ್‌ ಆಸ್ಪತ್ರೆಗಳು,,,,,,,
YES,,Repurcussion,,"ಪರಿಣಾಮ, ಪ್ರತಿಕ್ರಿಯೆ, ಮಾರ್ದನಿ",,,,,,,
YES,,Shops & Commercial Establishments Act,,ಅಂಗಡಿ ಮತ್ತು ವಾಣಿಜ್ಯಸಂಸ್ಥೆಗಳ ಕಾಯ್ದೆ,,,,,,,
YES,,Scholarship,,ವಿದ್ಯಾರ್ಥಿ ವೇತನ,,,,,,,
YES,,Signing on and Signing off,,ಸಹಿಹಾಕುವುದು ಮತ್ತು ಹಿಂತೆಗೆದುಕೊಳ್ಳುವುದು,,,,,,,
YES,,Standing Orders,,ಸ್ಥಾಯೀ ಆದೇಶಗಳು,,,,,,,
YES,,Statutory Requirements,,ಶಾಸನಬದ್ಧ ಅಗತ್ಯಗಳು,,,,,,,
YES,,Sui geniris,,"ತನ್ನದೇ ಆದ, ಅನನ್ಯ ಸಾಮಾನ್ಯ",,,,,,,
YES,,Suspended animation,,"ತಾತ್ಕಾಲಿಕ ಸ್ಥಗಿತ, ತಾತ್ಕಾಲಿಕ ಅಮಾನತು, ಸಸ್ಪೆಂಡೆಡ್‌ ಅನಿಮೇಷನ್‌",,,,,,,
YES,,Suo-moto,,"ತಾನಾಗಿಯೇ, ತನಗೆತಾನೇ, ಸ್ವಯಂಪ್ರೇರಣೆ",,,,,,,
YES,,Undertaking,,"ಉದ್ಯಮ, ಪರಿವಚನ, ಮುಚ್ಚಳಿಕೆ",,,,,,,
YES,,Understanding,,"ತಿಳಿವಳಿಕೆ, ಒಪ್ಪಂದ",,,,,,,
YES,,Wage Freeze,,"ಮಜೂರಿ ಸ್ಥಗಿತ, ಮೂಲ ಸಂಪತ್ತು, ಸಾಧನೋಪಾಯ",,,,,,,
YES,,Wage Revision,,ವೇತನ ಪರಿಷ್ಕರಣೆ,,,,,,,
YES,,Workmen Compensation,,ಕಾರ್ಮಿಕರ ನಷ್ಟ ಪರಿಹಾರ,,,,,,,
YES,,Workforce,,"ಕಾರ್ಮಿಕ ಬಲ, ಕಾರ್ಮಿಕ ಸಂಖ್ಯೆ",,,,,,,
