ಕನ್ನಡ ಪದ (Kannada Word),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word)
,Aerenchyma,ವಾಯು / ಗಾಳಿ ಊತಕ,,,,,,,,,
,Aerial environment,ಆಕಾಶೀ / ಅನಿಲ ವಾತಾವರಣ,,,,,,,,,
,Aerial roots,ವಾಯು / ಗಾಳಿ ಬೇರುಗಳು,,,,,,,,,
,Aerial stem bulblets (bulbil),ಎಲೆಕಂಕುಳಲ್ಲಿ ಹುಟ್ಟುವ ಕಾಂಡದ ಮರಿ ಗೆಡ್ಡೆಗಳು,,,,,,,,,
,Aerifiers,ಗಾಳಿಯಾಡಿಸುವ ಯಂತ್ರಗಳು,,,,,,,,,
,Aerobe,ಆಮ್ಲಜನಕಾಪೇಕ್ಷಿ,,,,,,,,,
,Aesthetic,ಸೌಂದರ್ಯೋಪಾಸನೆ ಸಂಬಂಧಿತ,,,,,,,,,
,Aestivation,ಪುಷ್ಪದಳ / ಮುಕುಟದಳ ವಿನ್ಯಾಸ,,,,,,,,,
,African calabash tree,"ಆನೆ ಹುಣಿಸೆ, ವಂಗಿಮಾವು",,,,,,,,,
,African daisy,ಆಫ್ರಿಕಾದ ಡೇಸಿ,,,,,,,,,
,African lily,ಆಫ್ರಿಕಾದ ಲಿಲಿ,,,,,,,,,
,African marigold,"ದೊಡ್ಡ ಚೆಂಡುಮಲ್ಲಿಗೆ, ಚೆಂಡುಹೂವು",,,,,,,,,
,After ripening,ಕೊಯ್ಲಿನ ನಂತರದ ಪಕ್ವತೆ,,,,,,,,,
,Agathi,ಅಗಸೆ,,,,,,,,,
,Agave,"ಕತ್ತಾಳೆ, ಭೂತಾಳೆ",,,,,,,,,
,Ageing,ಸಂಗ್ರಹಣೆಯಿಂದ ಹಳೆಯದಾಗಿಸು / ಮಾಗಿಸು / ಪಕ್ವ ಗೊಳಿಸು,,,,,,,,,
,Aggregate fruit,"ಸಂಯುಕ್ತ ಫಲ, ಸಮಷ್ಟಿಫಲ",,,,,,,,,
,Agmark,ಅಗ್ ಮಾರ್ಕ್,,,,,,,,,
,Agricultural crops,ಹೊಲದ / ಕೃಷಿ ಬೆಳೆಗಳು,,,,,,,,,
,Agro forestry,ಕೃಷಿ ಅರಣ್ಯ,,,,,,,,,
,Agromyzid fly,ಆಗ್ರೋಮೈಜಿಡ್ ನೋಣ,,,,,,,,,
,Air drainage,ವಾಯುಕುಹರ / ರಂಧ್ರ; ಗಾಳಿ ಹೊರದೂಡುವಿಕೆ,,,,,,,,,
,Air layering,ಗೂಟಿ ಪದ್ಧತಿ,,,,,,,,,
,Air pollution,ವಾಯುಮಾಲಿನ್ಯತೆ,,,,,,,,,
,Air tight,"ಗಾಳಿಯಾಡದಂತಹ, ಗಾಳಿ ಭದ್ರ",,,,,,,,,
,Air wrap,ಗೂಟಿ ಪದ್ಧತಿಗೆ ಬಳಸುವ ಹಾಳೆ,,,,,,,,,
,Albinism,"ರಂಜಕ ಹೀನತೆ, ಬಿಳುಪೇರುವಿಕೆ",,,,,,,,,
,Albumen,ಬೀಜಾಂತಸ್ಸಾರ (ಅಡಕೆ),,,,,,,,,
,Albuminous seed,ಅಲ್ಬುಮಿನ್ ಯುತ / ಭ್ರೂಣಾಹಾರಯುಕ್ತ ಬೀಜ,,,,,,,,,
,Alcov,"ಪರ್ಣಶಾಲೆ, ಉದ್ಯಾನಕುಂಜ",,,,,,,,,
,Alexandrian sorrel,ಸುರಭಿನ್ನೆಮರ,,,,,,,,,
,Alfonso,ಆಲ್ಫಾನ್ಸೊ / ಬಾದಾಮಿಮಾವು ತಳಿ,,,,,,,,,
,Algae,"ಸಮುದ್ರ ಕಳೆ, ಪಾಚಿ",,,,,,,,,
,Alkalinity,ಕ್ಷಾರತೆ,,,,,,,,,
,All foliage arrangement,ಹೂದಾನಿಗಳಲ್ಲಿ ಪತ್ರ / ಎಲೆ ಜೋಡಣಾ ವಿಧಾನ,,,,,,,,,
,All spice,"ಗಂಧಮೆಣಸು, ಬಾಲಮೆಣಸು",,,,,,,,,
,Allahabad safeda,ಅಲಹಾಬಾದ್ ಸೀಬೆ (ತಳಿ),,,,,,,,,
,Allotetraploid,ಭಿನ್ನ ಚತುರ್ಗುಣಿಕತೆ,,,,,,,,,
,Allsop's early,ಸೇಬಿನ ಒಂದು ತಳಿ,,,,,,,,,
,Alluvial,ಮೆಕ್ಕಲು,,,,,,,,,
,Almond,ಬಾದಾಮಿ,,,,,,,,,
,Aloe,ಲೋಳೆ ಸರ,,,,,,,,,
,Aloft,"ಊರ್ಧ್ವಮುಖ, ಉನ್ನತ",,,,,,,,,
,Alpine garden (Rock garden),"ವ್ಯವಸ್ಥಿತ ಶಿಲಾಮಣ್ಣು ತೋಟ, ಶಿಲಾತೋಟ",,,,,,,,,
,Alternaria leaf spot,ಆಲ್ಟರ್ನೇರಿಯಾ ಎಲೆ ಚುಕ್ಕೆರೋಗ,,,,,,,,,
,Alternate,ಪರ್ಯಾಯ,,,,,,,,,
,Alternate bearing,"ಪರ್ಯಾಯ ಫಲದಾಯಕತೆ, ವರ್ಷ ಬಿಟ್ಟು ವರ್ಷ (2 ವರ್ಷಕೊಮ್ಮೆ) ಫಸಲು ಬಿಡುವುದು",,,,,,,,,
,Amaranth,ಅಮರಾಂತ್ ಸೊಪ್ಪು ತರಕಾರಿ (ದಂಟುಜಾತಿಗೆ ಸೇರಿದ ಸೊಪ್ಪು),,,,,,,,,
,Amaranthus,"ದಂಟು, ಹರಿವೆಸೊಪ್ಪು",,,,,,,,,
,Amaryllis (Belladonna lily),"ಅಮರಿಲ್ಲಿಸ್ ಹೂವು, ಮಿಣಕಿ ಹೂವು, ಅಮರಪುಷ್ಪ",,,,,,,,,
,Ambe bahar,ಅಂಬೆ ಋತೋಪಚಾರ,,,,,,,,,
,Amber colour,"ಹಾಲು ಮಡ್ಡಿ ಬಣ್ಣ, ಶಿಲಾರಾಳ ವರ್ಣ",,,,,,,,,
,Ambroisia,"ಅಮೃತ, ಮಧುರ ಪದಾರ್ಥ",,,,,,,,,
,American aloe (Century plant),"ಆನೆ ಕತ್ತಾಳೆ, ಕಲ್ನಾರು, ದೆವ್ವ ಬಾಳೆ, ರಾಕ್ಷಸ ಬಾಳೆ",,,,,,,,,
,American blight,ಅಮೆರಿಕಾದ ಅಂಗಮಾರಿ ರೋಗ,,,,,,,,,
,Amla,"ಬೆಟ್ಟದ ನೆಲ್ಲಿಕಾಯಿ, ದೊಡ್ಡನೆಲ್ಲಿ",,,,,,,,,
,Amlet,ಆಮ್ಲೆಟ್ ಮಾವಿನ ತಳಿ,,,,,,,,,
,Amorphophallus,ಸುವರ್ಣಗೆಡ್ಡೆ,,,,,,,,,
,Amphidiploidy,ಉಭಯ ದ್ವಿಗುಣಿತತೆ,,,,,,,,,
,Amphigynous,ಪರಿ ಅಂಡದಾನೀಯ,,,,,,,,,
,Amplexicaul sheath,ಸ್ತಂಭಾಲಿಂಗೀ ಆವರಣ ಪೂರೆ/ ಕವಚ ಪೂರೆ,,,,,,,,,
,Anaerobe,ಆಮ್ಲಜನಕ ನಿರಪೇಕ್ಷಿ,,,,,,,,,
,Ananas fruit,"ಅನಾನಸು, ಪೈನಾಪಲ್, ಮುಳ್ಳುಹಲಸು, ಪರಂಗಿ ಹಲಸು",,,,,,,,,
,Anaphase,ಪಶ್ಚಾವಸ್ಥೆ,,,,,,,,,
,Anar,ಅನಾರ್ ತಳಿ,,,,,,,,,
,Anastomose,"ರೆಂಬೆ ಕೂಡಿಕೆ, ಶಾಖಮಿಲನಿ, ಅಡ್ಡ ಕೂಡಿಕೆ",,,,,,,,,
,Anatomical,ದೇಹ ರಚನೀಯ,,,,,,,,,
,Anatomical study,ದೇಹರಚನಾ ಅಧ್ಯಯನ,,,,,,,,,
,Anatropous ovule,ಪ್ರಕಾಶೋನ್ಮುಖ ಸ್ತ್ರೀ ಅಂಡಾಣು,,,,,,,,,
,Androgynous,ದ್ವಿಲಿಂಗಯುತ (ಪುಂಸ್ತ್ರೀ ಭಾಗಗಳೆರಡನ್ನೂ ಉಳ್ಳ),,,,,,,,,
,Anemoneflowered,ಬಹುದಳ ವೃತ್ತ,,,,,,,,,
,Anemophilous,ಗಾಳಿನೆರವಿನಿಂದ ಪರಾಗಸ್ಪರ್ಶಗೊಳ್ಳುವುದು,,,,,,,,,
,Anethol,ಸೋಂಪು ಬೀಜದ ಎಣ್ಣೆ,,,,,,,,,
,Anethum,"ಸಬ್ಬಸಿಗೆ, ಸಬ್ಬಕ್ಷಿ",,,,,,,,,
,Angiospermous plants,ಆವೃತಬೀಜಿಸಸ್ಯಗಳು,,,,,,,,,
,Angular leaf spot,ಮೂಲೆಗಳಿಂದ ಕೂಡಿದ ಎಲೆ ಚುಕ್ಕೆ,,,,,,,,,
,Anise,"ಬಡೇ ಸೋಂಪು, ಸೋಂಪು",,,,,,,,,
,Annatto,ರಂಗಮಲ್ಲಿ,,,,,,,,,
,Annonaceous fruits,ಸೀತಾಫಲ ವರ್ಗದ ಹಣ್ಣುಗಳು,,,,,,,,,
,Annual climbers,ವಾರ್ಷಿಕ ಬಳ್ಳಿಗಳು,,,,,,,,,
,Annual drumstic,ವಾರ್ಷಿಕ ನುಗ್ಗೆ,,,,,,,,,
,Annual mixed border,ವಾರ್ಷಿಕಮಿಶ್ರ ಅಂಚು,,,,,,,,,
,Annual rings,ವಾರ್ಷಿಕ ಉಂಗುರಗಳು (ಸಸ್ಯ ದಾರುವಿನಲ್ಲಿ),,,,,,,,,
,Annual vegetables,ವಾರ್ಷಿಕ ತರಕಾರಿಗಳು,,,,,,,,,
,Annuals,ಏಕವಾರ್ಷಿಕಗಳು,,,,,,,,,
,Annular scar,ಉಂಗುರಾಕಾರದ ಕಲೆ,,,,,,,,,
,Annulate,ಉಂಗುರಗಳುಳ್ಳ,,,,,,,,,
,Antenna,ಕುಡಿ ಮೀಸೆ,,,,,,,,,
,Anthelmintic,ಜಂತುನಾಶಕ,,,,,,,,,
,Anther,ಪರಾಗಕೋಶ,,,,,,,,,
,Anther dehiscence,ಪರಾಗಕೋಶ / ಕೇಸರಗಳು ಬಿರಿಯುವುದು,,,,,,,,,
,Antheridal,ಪುಂದಾನೀ,,,,,,,,,
,Anthesis,ಹೂ ಮೊಗ್ಗು ಬಿರಿಯುವುದು,,,,,,,,,
,Anthocyanidin (pigment),ಗುಲಾಬಿಯಲ್ಲಿಯ ಒಂದ ಬಗೆಯ ವರ್ಣಕ / ಆಂಥೊಸೈನಿನ್ ವರ್ಣದ್ರವ್ಯ,,,,,,,,,
,Anthocyanin (pigment),ಆಂಥೊಸೈನಿನ್ ವರ್ಣದ್ರವ್ಯ,,,,,,,,,
,Anthocyanin formation,"ಆಂಥೊಸೈನಿನ್ ವರ್ಣದ್ರವ್ಯ ಉತ್ಪತ್ತಿ, ಹೂ ನೀಲಕ ರೂಪುಗೊಳ್ಳುವಿಕೆ",,,,,,,,,
,Anthracnose,"ಚಿಬ್ಬುರೋಗ, ಕಪ್ಪೆಕಣ್ಣಿನ ರೋಗ, ಹಕ್ಕಿ ಕಣ್ಣಿನ ರೋಗ",,,,,,,,,
,Anthurium,ಆಂಥೊರಿಯಂ ಆಲಂಕಾರಿಕ ಗಿಡ,,,,,,,,,
,Antidote,ಪ್ರತ್ಯೌಷಧ,,,,,,,,,
,Antigenic,ಪ್ರತಿವಿಷಜನಕೀಯ,,,,,,,,,
,Antioxidants,ಪ್ರತಿ ಉತ್ಕರ್ಷಕಗಳು,,,,,,,,,
,Antipodal cell,ಪ್ರತಿಮುಖ ಕೋಶ,,,,,,,,,
,Antipyretic,ಜ್ವರನಿವಾರಕ,,,,,,,,,
,Antirrhinum (snapdragon),ಅಂಟಿರಿನಮ್ ಹೂಗಿಡ,,,,,,,,,
,Antiseptic,"ಪೂತಿನಾಶಕ, ಕ್ರಿಮಿನಾಶಕ",,,,,,,,,
,Antitranspirant,ಬಾಷ್ಪ ನಿರೋಧಕ,,,,,,,,,
,Aonla (amla),ಬೆಟ್ಟದ ನೆಲ್ಲಿಕಾಯಿ (ಆಮ್ಲ),,,,,,,,,
,Apetalous pollen,ಪುಷ್ಪದಳರಹಿತ ಪರಾಗ,,,,,,,,,
,Apex,"ತುದಿ, ಅಗ್ರಭಾಗ, ಕೊನೆ ಭಾಗ",,,,,,,,,
,Aphid,"ಸಸ್ಯಹೇನು, ಗಿಡ ಹೇನು",,,,,,,,,
,Aphrodisiac,ಕಾಮೋತ್ತೇಜಕ,,,,,,,,,
,Apical (axillary) meristem,ತುದಿಯ (ಕಂಕುಳು) ವಿಭಜ್ಯೋತಕ,,,,,,,,,
,Apical bud,ತುದಿ / ಸುಳಿ ಮೊಗ್ಗು,,,,,,,,,
,Apical dome,ತುದಿಯ ಗುಮ್ಮಟ,,,,,,,,,
,Apical dominance,ತುದಿಯ / ಶೀರ್ಷ ಪ್ರಾಧಾನ್ಯತೆ,,,,,,,,,
,Apical margin,ಅಗ್ರ ಅಂಚು,,,,,,,,,
,Apical shoot,"ತುದಿಯ ಪ್ರಕಾಂಡ, ಸುಳಿ ಚಿಗುರು",,,,,,,,,
,Apiculous,"ಅಗ್ರಸ್ಥ, ಶೃಂಗದ",,,,,,,,,
,Apiculture,ಜೇನುಸಾಕಣೆ,,,,,,,,,
,Apogamic seedling,"ಅಪಯುಗ್ಮನ ಸಸಿ, ಬೀಜಾಂಡಕಾಯದಿಂದ ವೃದ್ಧಿ ಪಡಿಸಿದ ಸಸಿ",,,,,,,,,
,Apomictic embryo,ನಿರ್ಲಿಂಗಜನಿತ ಭ್ರೂಣ,,,,,,,,,
,Apomictic reproduction,ನಿರ್ಲಿಂಗಜನಿತ ಸಂತಾನೋತ್ಪತ್ತಿ,,,,,,,,,
,Apomixis,ನಿರ್ಲಿಂಗಜನಿತ,,,,,,,,,
,Apomixis,"ಅಸಂಗ ಜನನ, ನಿರ್ಲಿಂಗ ಜನನ",,,,,,,,,
,Appetizer,"ರುಚಿಕಾರಕವನ್ನಾಗಿಸುವ, ಹಸಿವನ್ನುಂಟುಮಾಡುವ",,,,,,,,,
,Apple,ಸೇಬು,,,,,,,,,
,Apple cider,ಸೇಬಿನ ಮಾದಕ ಪದಾರ್ಥ,,,,,,,,,
,Apple root borer,ಸೇಬಿನ ಬೇರುಕೊರಕ,,,,,,,,,
,Approach grafting (inarching),ಸಾಮಿಪ್ಯ ಕಸಿ,,,,,,,,,
,Appus,"ಆಪೂಸ್, ಬಾದಾಮಿ ಮಾವು",,,,,,,,,
,Apricot,"ಸಕ್ಕರೆ ಬಾದಾಮಿ, ಏಪ್ರಿಕಾಟ್ ಹಣ್ಣು",,,,,,,,,
,"April pruning (summer pruning, back pruning)","ಬೇಸಿಗೆ ಸವರಿಕೆ, ಹಿಮ್ಮುಖ ಸವರಿಕೆ",,,,,,,,,
,Aquarium,"ಮತ್ಸ್ಯಾಗಾರ, ಮೀನುಕೊಳ / ತೊಟ್ಟಿ",,,,,,,,,
,Aquatic,"ನೀರಿನಲ್ಲಿರುವ ಜಲಚರ, ಜಲೀಯ",,,,,,,,,
,Arabian jasmine,ಗುಂಡುಮಲ್ಲಿಗೆ,,,,,,,,,
,Aralia,ಅರೇಲಿಯ ಸಸ್ಯ,,,,,,,,,
,Arbor (pandal),"ಚಪ್ಪರ, ಲತಾಗೃಹ, ಬಳ್ಳಿಪೊದೆ",,,,,,,,,
,Arborescent stem,"ವೃಕ್ಷರೂಪಿ ಕಾಂಡ, ಮರದಂಥ ಕಾಂಡ",,,,,,,,,
,Arboretum,ವೃಕ್ಷ ವಾಟಿಕೆ,,,,,,,,,
,Arbour system,"ವೃಕ್ಷ ಪದ್ಧತಿ, ಚಪ್ಪರದ ಪದ್ಧತಿ",,,,,,,,,
,Arch,ಕಮಾನು,,,,,,,,,
,Archegonia,ಕಮಾನಿನಿಂದ ಕೂಡಿದ,,,,,,,,,
,Arches,ಕಮಾನುಗಳು,,,,,,,,,
,Areca,ಅಡಿಕೆ,,,,,,,,,
,Arecanut (betelnut),ಅಡಿಕೆ,,,,,,,,,
,Arecanut beetle,ಅಡಿಕೆ ದುಂಬಿ,,,,,,,,,
,Arecanut tanin,ಅಡಿಕೆಯ ತೊಗರು,,,,,,,,,
,Arecoline,ಅರೆಕಾಲಿನ್ ಎಂಬ ಪದಾರ್ಥ,,,,,,,,,
,Areole,ಗರ್ತರೋಮ,,,,,,,,,
,Arid,"ಶುಷ್ಕ, ಒಣ",,,,,,,,,
,Aril,"ಬೀಜಚೋಲ, ಬೀಜಗಳ ಮೇಲಿನ ರಸಭರಿತ ತಿರುಳು",,,,,,,,,
,Armoured scales,ಕವಚಭರಿತ ಶಲ್ಕಗಳು,,,,,,,,,
,Aroma,"ಸುಗಂಧ, ಪರಿಮಳ, ನರುಗಂಪು",,,,,,,,,
,Aromatic,"ಸುಗಂಧ / ಪರಿಮಳಯುಕ್ತ, ಸುವಾಸಿತ",,,,,,,,,
,Art of propagation,ಸಸ್ಯಾಭಿವೃದ್ಧಿಯ / ಸಸ್ಯಾಭಿವರ್ಧನ ಕಲೆ,,,,,,,,,
,Artemisia,ದವನ,,,,,,,,,
,Artichoke (Globe artichoke),ಆರ್ಟಿಚೋಕ್ ತರಕಾರಿ,,,,,,,,,
,Artificial manure,"ಕೃತಕ ಗೊಬ್ಬರ, ರಾಸಾಯನಿಕ ಗೊಬ್ಬರ",,,,,,,,,
,Artificial pollination,ಕೃತಕ ಪರಾಗಸ್ಪರ್ಶ,,,,,,,,,
,Artificial ripening,ಕೃತಕವಾಗಿ ಮಾಗಿಸುವಿಕೆ / ಹಣ್ಣಾಗಿಸುವಿಕೆ,,,,,,,,,
,Arvi or dasheen,"ಕೆಸವು, ಕೆಸವಿನ ದಂಟು / ಗೆಡ್ಡೆ",,,,,,,,,
,Asafoetida,"ಹಿಂಗು, ಇಂಗು",,,,,,,,,
,Ascariasis,ಜಂತು ರೋಗ,,,,,,,,,
,Aseptic culture,ನಿರ್ವಿಷೀಕೃತ / ನಂಜುರಹಿತ ಸಾಕಣೆ,,,,,,,,,
,Aseptic seed stratification,ನಂಜುರಹಿತ ಬೀಜ ಸ್ತರೀಕರಣ,,,,,,,,,
,Asexual (vegetative) propagation,ನಿರ್ಲಿಂಗ ಸಸ್ಯಾಭಿವರ್ಧನೆ / ಸಸ್ಯಾಭಿವೃದ್ಧಿ,,,,,,,,,
,Ash gourd (wax gourd),ಬೂದುಗುಂಬಳ,,,,,,,,,
,Ashoka tree,ಅಶೋಕ ವೃಕ್ಷ,,,,,,,,,
,Ashwagandha,ಅಶ್ವಗಂಧ,,,,,,,,,
,Ashy stem blight,ಬೂದಿಗಪ್ಪು ಕೊಳೆರೋಗ,,,,,,,,,
,Asparagus,"ಅಸ್ಟರಾಗಸ್ / ಶತಾವರೀ ಸೊಪ್ಪು, ಸೂತ್ ಮೂಲಿ",,,,,,,,,
,Asphaltcoated felt paper container,"ಎಳೆ ಸಸಿಗಳನ್ನು ನಾಟಿಗೆ ಮುನ್ನ ಬೆಳೆಯುವ, ತಾತ್ಕಾಲಿಕ ಧಾರಕ, ಅಸ್ಫಾಲ್ಟ್ ಬಳಿದ ಫೆಲ್ಟ್ ಕಾಗದದ ಧಾರಕ",,,,,,,,,
,Asphyxiant,"ಶ್ವಾಸಬಂದಕ, ಉಸಿರ್ಗಟ್ಟಿಕ",,,,,,,,,
,Assam rubber,ರಬ್ಬರ್ ಗಿಡ,,,,,,,,,
,Assamkata,"ಉದ್ದವಾಗಿ ಎರಡು ಹೋಳುಮಾಡಿ ಒಣಗಿಸಿ, ಸಿಪ್ಪೆ ತೆಗೆದ ಅಡಿಕೆ ಹಣ್ಣು",,,,,,,,,
,Assimilation,ದೇಹಗತ ಕ್ರಿಯೆ,,,,,,,,,
,Aster,ಆಸ್ಟರ್ ಹೂವು,,,,,,,,,
,Aster yellows,ಆಸ್ಟರ್ ಹೂವಿನ ಹಳದಿ ನಂಜುರೋಗ,,,,,,,,,
,Asthma,"ಅಸ್ತಮಾ, ಗೂರಲು",,,,,,,,,
,Astringency,"ಬಂಧಕತೆ, ಒಗರು ಗುಣ",,,,,,,,,
,Astringent taste,"ಘಾಟು ರುಚಿ, ರುಚಿಯಲ್ಲಿ ಒಗರು",,,,,,,,,
,Asymbiotic seed germination,ಪರಸ್ಪರ ಲಾಭವಿಲ್ಲದ ಬೀಜ ಮೊಳೆಯುವಿಕೆ,,,,,,,,,
,Asymmetric balance,ಅನೌಪಚಾರಿಕ ಸಮತೋಲನ,,,,,,,,,
,Atemoya,ಅಟೆಮೋಯ ಹಣ್ಣು,,,,,,,,,
,Attenuate,ತೆಳುವು ಮಾಡು,,,,,,,,,
,Auricle,ಹಾಲೆ,,,,,,,,,
,Auto tetraploid,ಸ್ವಚತುರ್ಗುಣಿತ,,,,,,,,,
,Auxillary explant,ಬೇರ್ಪಡಿಸಿ ವೃದ್ಧಿ ಪಡಿಸಿದ ಗಿಡ,,,,,,,,,
,Auxin (plant hormone),ಆಕ್ಸಿನ್ (ಸಸ್ಯಾಭಿವರ್ಧನ ಚೋದಕ),,,,,,,,,
,"Avenue, tree",ಸಾಲುಮರ,,,,,,,,,
,Avocado,"ಬೆಣ್ಣೆ ಹಣ್ಣು, ಅವೊಕಾಡೊ",,,,,,,,,
,Avocado pear,"ಬೆಣ್ಣೆ ಹಣ್ಣು, ಅವೊಕಾಡೊ",,,,,,,,,
,Awn,ಊಬು,,,,,,,,,
,Axe,ಕೊಡಲಿ,,,,,,,,,
,Axil,ಎಲೆತೊಟ್ಟಿನ ಕಂಕುಳು,,,,,,,,,
,Axillary,ಎಲೆ ಕಂಕುಳಿನ / ಮೂಲೆಯಲ್ಲಿನ,,,,,,,,,
,Axillary (apical) meristem,ಕಕ್ಷಸ್ಥ / ತುದಿ ವಿಭಜ್ಯೋತಕ,,,,,,,,,
,Axillary bud,ಎಲೆ ಕಂಕುಳ ಮೊಗ್ಗು,,,,,,,,,
,Axis,ಅಕ್ಷ,,,,,,,,,
,Axis (landscape gardening),ತೋಟದಲ್ಲಿಯ ಕೇಂದ್ರಿಯ ಕಾಲ್ಪನಿಕ (ಊಹಾತ್ಮಕ) ಗೆರೆ,,,,,,,,,
