ಆಡಳಿತಾತ್ಮಕ ಪದ (Administrative Word),ಇಂಗ್ಲೀಷ್ ಅರ್ಥ (English Meaning),ಇಂಗ್ಲೀಷ್ ಪದ (English Word),ಇಲಾಖೆ (Department),ಕನ್ನಡ ಅರ್ಥ (Kannada Meaning),ಕನ್ನಡ ಉಚ್ಚಾರಣೆ (Kannada Pronunciation),ಕನ್ನಡ ಪದ (Kannada Word),ದೀರ್ಘ ವಿವರಣೆ (Long Description),ಪರ್ಯಾಯ ಪದ (Synonyms),ವಿಷಯ ವರ್ಗೀಕರಣ (Subject),ವ್ಯಾಕರಣ ವಿಶೇಷ (Grammer),ಸಂಕ್ಷಿಪ್ತ ವಿವರಣೆ (Short Description)
,,Adapted counter measure,,ಅಳವಡಿಸಿಕೊಂಡ ಪ್ರತಿಕ್ರಮ,,,,,,,
,,Additional,,ಹೆಚ್ಚಿನ; ಹೆಚ್ಚುವರಿ; ಅಧಿಕ,,,,,,,
,,Additional employments,,ಹೆಚ್ಚಿನ ಉದ್ಯೋಗಗಳು; ಅಧಿಕೃತ ಪ್ರತಿನಿಧಿ ಮಾರಾಟಗಾರರ ನೇಮಕದಿಂದ ಹೆಚ್ಚಿಸಿದ ಉದ್ಯೋಗಗಳು,,,,,,,
,,Additional funds,,ಹೆಚ್ಚಿನ ಹಣ,,,,,,,
,,Additional income,,ಹೆಚ್ಚುವರಿ ಆದಾಯ,,,,,,,
,,Additional revenue,,ಹೆಚ್ಚುವರಿ ಆದಾಯ,,,,,,,
,,Additional series,,ಹೆಚ್ಚಿನ ಶ್ರೇಣಿಗಳು,,,,,,,
,,Additional units,,ಹೆಚ್ಚಿನ ಘಟಕಗಳು,,,,,,,
,,Additions and deletions,,ಸಂಕಲನಗಳು ಮತ್ತು ವಿಲೋಪನಗಳು; ಸೇರಿಸುವುದು ಮತ್ತು ತೆಗೆದುಹಾಕುವುದು,,,,,,,
,,Adequately countering the hurdles,,ಅಡಚಣೆಗಳನ್ನು ಯಥೋಚಿತವಾಗಿ ಎದುರಿಸುವುದು,,,,,,,
,,Adequate publicity,,ಸಾಕಷ್ಟು ಪ್ರಚಾರ,,,,,,,
,,Adjustment of discount,,ಸೋಡಿ ಹೊಂದಾಣಿಕೆ,,,,,,,
,,Admissible deduction,,ಅಂಗೀಕಾರಾರ್ಹ ಕಡಿತ,,,,,,,
,,Admit the claim,,ಹಕ್ಕೊತ್ತಾಯವನ್ನು ಅ೦ಗೀಕರಿಸು; ಹಕ್ಕು ಬಾಧ್ಯತೆ ಅಂಗೀಕರಿಸು,,,,,,,
,,Adult individual,,ವಯಸ್ಕ ವ್ಯಕ್ತಿ,,,,,,,
,,Advance deposit,,ಮುಂಗಡ ಠೇವಣಿ,,,,,,,
,,Advance publicity,,ಪೂರ್ವಭಾವಿ ಪ್ರಚಾರ,,,,,,,
,,Adverse comments,,ಪ್ರತಿಕೂಲ ಅಭಿಪ್ರಾಯಗಳು,,,,,,,
,,Adverse impact,,ಪ್ರತಿಕೂಲ ಪ್ರಭಾವ,,,,,,,
,,Adversely affecting,,ಪ್ರತಿಕೂಲವಾಗಿ ಪರಿಣಮಿಸುವುದು,,,,,,,
,,Advertisement and publicity charges,,ಜಾಹೀರಾತು ಹಾಗೂ ಪ್ರಚಾರ ವೆಚ್ಚಗಳು,,,,,,,
,,Advertisements in newspapers,,ಪತ್ರಿಕೆಗಳಲ್ಲಿ ಜಾಹೀರಾತುಗಳು,,,,,,,
,,Advertisement spot,,ಜಾಹೀರಾತು ಸ್ಥಳ,,,,,,,
,,Advertisement tariff,,ಜಾಹೀರಾತು ಶುಲ್ಕಪಟ್ಟ ; ಜಾಹೀರಾತು ದರಪಟ್ಟಿ,,,,,,,
,,Advertisement tax,,ಜಾಹೀರಾತು ಕರ,,,,,,,
,,Advertisers,,ಜಾಹೀರಾತುದಾರರು,,,,,,,
,,Advertising agency,,ಜಾಹೀರಾತು ಸಂಸ್ಥೆ,,,,,,,
,,Advertising in newspapers,,ಪತ್ರಿಕೆಗಳಲ್ಲಿ ಜಾಹೀರಾತು ನೀಡಿಕೆ,,,,,,,
,,Advertising over Vividh Bharati,,ವಿವಿಧ ಭಾರತಿಯಲ್ಲಿ ಜಾಹೀರಾತು ನೀಡಿಕೆ,,,,,,,
,,Adviser,,ಸಲಹೆಗಾರ,,,,,,,
,,Affirmative reply,,ಸಕಾರಾತ್ಮಕ ಪ್ರತ್ಯುತ್ತರ,,,,,,,
,,Affixing signatures,,ಸಹಿಗಳನ್ನು ಹಾಕುವುದು,,,,,,,
,,Aforesaid,,ಪೂರ್ವೋಕ್ತ; ಹಿಂದೆ ಹೇಳಿದ,,,,,,,
,,Aforesaid circular,,ಹಿಂದೆ ಹೇಳಿದ ಸುತ್ತೋಲೆ,,,,,,,
,,Agency,,ಏಜೆನ್ಸಿ: 1. ದಳ್ಳಾಳಿ; ದಳ್ಳಾಳಿ ಕೆಲಸ 2. ದಳ್ಳಾಳಿ ಸಂಸ್ಥೆ: ಸೇವಾ ಸಂಸ್ಥೆ,,,,,,,
,,Agency number,,ಏಜೆನ್ಸಿ ಸಂಖ್ಯೆ,,,,,,,
,,Agency scheme,,ಏಜೆನ್ಸಿ ಕಾರ್ಯಯೋಜನೆ,,,,,,,
,,Agency valid up to,,ಇವರೆಗೆ ಮಾನ್ಯತೆ ಪಡೆದ ಏಜೆನ್ಸಿ ; ಏಜೆನ್ಸಿಯ ಊರ್ಜಿತ ಅವಧಿ,,,,,,,
,,Aggregate face value,,ಒಟ್ಟು ಮುಖಬೆಲೆ,,,,,,,
,,Agreement dated,,ದಿನಾಂಕಿತ ಒಪ್ಪಂದ,,,,,,,
,,Agreement of conditions,,ಷರತ್ತುಗಳ ಒಪ್ಪಂದ,,,,,,,
,,Agreement period,,ಒಪ್ಪಂದದ ಅವಧಿ,,,,,,,
,,Allegation of tampering,,ಅಕ್ರಮವಾಗಿ ತಿದ್ದಿದ ಆಪಾದನೆ,,,,,,,
,,Allegation of wrong delivery of postal letters,,ಅಂಚೆ ಕಾಗದಗಳ ಅಕ್ರಮ ಬಟವಾಡೆ ಆಪಾದನೆ,,,,,,,
,,Allegation petition,,ಆಪಾದನಾ ಮನವಿ,,,,,,,
,,All India radio commercial broadcasting (AIR-),,ಅಖಿಲ ಭಾರತ ಆಕಾಶವಾಣಿ ವಾಣಿಜ್ಯ ಪ್ರಸಾರ (ಅಭಾಆ-),,,,,,,
,,Allotment of booths,,ಮಳಿಗೆಗಳ ಹಂಚಿಕೆ,,,,,,,
,,Amendments to rules,,ನಿಯಮಗಳಿಗೆ ತಿದ್ದುಪಡಿಗಳು,,,,,,,
,,Amount,,ಮೊತ್ತ; ಮೊಬಲಗು,,,,,,,
,,Amount creditable to insurance fund,,ವಿಮಾ ನಿಧಿಗೆ ಜಮಾ ಮಾಡಬೇಕಾದ ಮೊತ್ತ,,,,,,,
,,Amount creditable to savings fund,,ಉಳಿತಾಯ ನಿಧಿಗೆ ಜಮಾ ಮಾಡಬೇಕಾದ ಮೊತ್ತ,,,,,,,
,,Amount deposited,,ಠೇವಣಿ ಇಟ್ಟ ಮೊತ್ತ,,,,,,,
,,Amount invested,,ಹೂಡಿದ ಮೊತ್ತ,,,,,,,
,,Amount paid,,ಪಾವತಿ -ಮಾಡಿದ ಮೊತ್ತ,,,,,,,
,,Amount payable on maturity,,ಅವಧಿ ಮುಕ್ತಾಯವಾದ ಮೇಲೆ ಪಾವತಿ ಮಾಡಬೇಕಾದ ಮೊತ್ತ,,,,,,,
,,Amount payable on the certificates,,ಪ್ರಮಾಣಪತ್ರಗಳ ಮೇಲೆ ಪಾವತಿ ಮಾಡಬೇಕಾದ ಮೊತ್ತ,,,,,,,
,,Amounts reimbursable,,ಮರುಪಾವತಿ ಮಾಡಬೇಕಾದ ಮೊತ್ತ ಭರ್ತಿ ಮಾಡಬೇಕಾದ ಮೊತ್ತ,,,,,,,
,,Amounts to criminal offence and prosecution,,ದಂಡಾಪರಾಧ ಹಾಗೂ ಕಾನೂನು ಕ್ರಮ ಜರುಗಿಸುವುದಕ್ಕಾಗಿ ಮೊತ್ತಗಳು,,,,,,,
,,Analysis of supply,,ಪೂರೈಕೆಯ ವಿಶ್ಲೇಷಣೆ,,,,,,,
,,Analogy of the schemes,,ಕಾರ್ಯಯೋಜನೆಗಳ ಸಾದೃಶ್ಯ,,,,,,,
,,Announcement,,ಪ್ರಕಟಣೆ; ಘೋಷಣೆ,,,,,,,
,,Announcing media,,ಪ್ರಕಟಣ ಮಾಧ್ಯಮ,,,,,,,
,,Annual accretion,,ವಾರ್ಷಿಕ ವೃದ್ಧಿ,,,,,,,
,,Annual accrual of interest,,ವಾರ್ಷಿಕ ಬಡ್ಡಿ ಬೆಳವಣಿಗೆ,,,,,,,
,,Annual feature,,ವಾರ್ಷಿಕ ವೈಶಿಷ್ಟ್ಯ,,,,,,,
,,Annual interest,,ವಾರ್ಷಿಕ ಬಡ್ಡಿ,,,,,,,
,,Anticipated retail sale,,ನಿರೀಕ್ಷಿತ ಚಿಲ್ಲರೆ ಮಾರಾಟ,,,,,,,
,,Appointing authority,,1. ನೇಮಕಾತಿ ಪ್ರಾಧಿಕಾರ 2. ನೇಮಕಾತಿ ಅಧಿಕಾರಿ,,,,,,,
,,Appointing the committee,,ಸಮಿತಿಯನ್ನು ನೇಮಿಸುವುದು,,,,,,,
,,Appreciation of public,,ಸಾರ್ವಜನಿಕರ ಮೆಚ್ಚುಗೆ,,,,,,,
,,Appropriate agency schemes,,ಸಮುಚಿತ ಏಜೆನ್ಸಿ ಕಾರ್ಯಯೋಜನೆಗಳು,,,,,,,
,,Appropriate insurance,,ಸಮುಚಿತ ವಿಮೆ,,,,,,,
,,Approval of trust,,ಟ್ರಸ್ಟಿನ ಅನುಮೋದನೆ,,,,,,,
,,Area sales manager,,ಪ್ರದೇಶ ಮಾರಾಟ ವ್ಯವಸ್ಥಾಪಕ,,,,,,,
,,Armed police escort,,ಸಶಸ್ತ್ರ ಪೊಲೀಸ್‌ ಬೆ೦ಗಾವಲು,,,,,,,
,,Arrangement of results,,ಫಲಿತಾಂಶಗಳ ವ್ಯವಸ್ಥೆ,,,,,,,
,,Arrangements of wide press-publicity,,ವ್ಯಾಪಕ ಪತ್ರಿಕಾ ಪ್ರಚಾರದ ವ್ಯವಸ್ಥೆ ಗಳು,,,,,,,
,,Artists and photographers,,ಕಲಾವಿದರು ಮತ್ತು ಛಾಯಾಕಾರರು,,,,,,,
,,Ascending order,,ಏರಿಕೆ ಕ್ರಮ,,,,,,,
,,Ascertaining structure,,ಸ್ವರೂಪವನ್ನು ಖಚಿತಪಡಿಸಿ ಕೊಳ್ಳುವುದು,,,,,,,
,,Assessee’s income,,ತೆರಿಗೆದಾರನ ಆದಾಯ,,,,,,,
,,Assessment of income tax,,ವರಮಾನ ತೆರಿಗೆ ನಿರ್ಧಾರಣ,,,,,,,
,,Attestation,,ಅನುಪ್ರಮಾಣನ; ಒಪ್ಪಿ ರುಜುಹಾಕುವಿಕೆ,,,,,,,
,,Attractive rate of interest,,ಆಕರ್ಷಕ ಬಡ್ಡಿದರ,,,,,,,
,,Augmenting the welfare funds,,ಸಂಪನ್ಮೂಲಗಳನ್ನು ಹೆಚ್ಚಿಸು ಕ್ರೋಡೀಕರಿಸು,,,,,,,
,,Augment resources,,ಕಲ್ಯಾಣನಿಧಿಗಳನ್ನು ಹೆಚ್ಚಿಸುವುದು,,,,,,,
,,Augment savings,,ಉಳಿತಾಯಗಳನ್ನು ಹೆಚ್ಚಿಸು,,,,,,,
,,Authority,,1. ಅಧಿಕಾರ 2. ಅಧಿಕಾರಿ 3. ಪ್ರಾಧಿಕಾರ,,,,,,,
,,Authority number,,ಅಧಿಕಾರ ಪತ್ರ ಸಂಖ್ಯೆ,,,,,,,
,,Authorization letter,,ಅಧಿಕಾರ ಪತ್ರ,,,,,,,
,,Authorized dealers,,ಅಧಿಕೃತ ವ್ಯಾಪಾರಿಗಳು,,,,,,,
,,Authorized postmaster,,ಅಧಿಕೃತ ಪೋಸ್ಟ್‌ಮಾಸ್ಟರ್‌,,,,,,,
,,Authorized representatives,,ಅಧಿಕೃತ ಪ್ರತಿನಿಧಿಗಳು,,,,,,,
,,Authorized schemes,,ಅಧಿಕೃತ ಕಾರ್ಯಯೋಜನೆಗಳು,,,,,,,
,,Authorized women workers,,ಅಧಿಕೃತ ಮಹಿಳಾ ಕಾರ್ಯಕರ್ತರು,,,,,,,
,,Available sources,,ಲಭ್ಯ ಮೂಲಗಳು,,,,,,,
,,Availing of opportunities,,ಅವಕಾಶಗಳ ಪ್ರಯೋಜನ ಪಡೆಯುವುದು,,,,,,,
,,Backlog,,"ಬ್ಯಾಕ್‌ಲಾಗ್‌; ಸರಕು, ಕೆಲಸ, ವ್ಯವಹಾರ ಮೊ.ಗಳಲ್ಲಿ ಉಳಿಕೆ ಯಾ ಬಾಕಿ",,,,,,,
,,Back matter designs,,ಹಿಂಬದಿಯ ವಿಷಯ ವಿನ್ಯಾಸ / ರೂಪರೇಖೆಗಳು,,,,,,,
,,Balance amount,,ಬಾಕಿ ಮೊತ್ತ,,,,,,,
,,Balance credit,,ಬಾಕಿ ಜಮಾ,,,,,,,
,,Bank difficulties,,ಬ್ಯಾಂಕಿನ ತೊಂದರೆಗಳು,,,,,,,
,,Bank form,,ಬ್ಯಾಂಕ್‌ ನಮೂನೆ,,,,,,,
,,Bank guarantee,,ಬ್ಯಾಂಕ್‌ ಗ್ಯಾರಂಟಿ / ಖಾತರಿ,,,,,,,
,,Ban of sale,,ಮಾರಾಟ ನಿಷೇಧ,,,,,,,
,,Basic formula,,ಮೂಲಸೂತ್ರ,,,,,,,
,,Basic records,,ಮೂಲದಾಖಲೆಗಳು,,,,,,,
,,Basic security,,ಮೂಲಭದ್ರತೆ,,,,,,,
,,Begin with a digit,,ಅಂಕಿಯಿಂದ ಪ್ರಾರಂಭಿಸು,,,,,,,
,,Belated remittances of sale proceeds,,ಮಾರಾಟ ಲಾಭದ ವಿಳಂಬಿತ ಇರಸಾಲುಗಳು,,,,,,,
,,Beneficiary of scheme,,ಕಾರ್ಯ ಯೋಜನೆಯ ಫಲಾನುಭವಿ,,,,,,,
,,Benefits under section 80-c of the income tax act 1961,,1961 ರ ವರಮಾನ ತೆರಿಗೆ ಅಧಿನಿಯಮದ ಪರಿಚ್ಛೇದ 80-ಸಿ ಮೇರೆಗಿನ ಲಾಭಗಳು,,,,,,,
,,Biggest public sector,,ಅತ್ಯಂತ ದೊಡ್ಡ ಸರ್ಕಾರಿ ವಲಯ,,,,,,,
,,Black market tendencies and injustices,,ಕಾಳಸಂತೆ ಪ್ರವೃತ್ತಿಗಳು ಮತ್ತು ಅನ್ಯಾಯಗಳು,,,,,,,
,,Blank cheque books,,ಖಾಲಿ ಚೆಕ್‌ ಪುಸ್ತಕಗಳು,,,,,,,
,,Board of trustees,,ಟ್ರಸ್ಟಿಗಳ ಮಂಡಳಿ; ಧರ್ಮದರ್ಶಿಗಳ ಮಂಡಳಿ,,,,,,,
,,Bonafides of the claimant,,ಹಕ್ಕುದಾರನ ಪ್ರಾಮಾಣಿಕತೆ,,,,,,,
,,Bond,,ಬಾಂಡ್‌; ಬಂಧಪತ್ರ; ಮುಚ್ಚಳಿಕೆ,,,,,,,
,,Bonus,,"ಬೋನಸ್‌; ಮು.ವ್ಯಾಪಾರ ಸಂಸ್ಥೆ, ವಿಮಾ ಸಂಸ್ಥೆ, ಗಿರಣಿ, ಬ್ಯಾಂಕು ಮೊ.ಫು ಕೆಲವೊಮ್ಮೆ ಪಾಲುದಾರರಿಗೋ ಕೆಲಸಗಾರರಿಗೋ ಉಚಿತವಾಗಿ ಕೊಡುವ ಹೆಚ್ಚುವರಿ (ಹಣ)",,,,,,,
,,Book binder,,ಬುಕ್‌ ಬೈಂಡರ್‌; ರಟ್ಟು ಕಟ್ಟುವವನು,,,,,,,
,,Booking of advertisements,,ಜಾಹೀರಾತುಗಳನ್ನು ಮುಂಚಿತವಾಗಿ ಗೊತ್ತುಮಾಡುವುದು,,,,,,,
,,Booklet,,ಪುಸ್ತಿಕೆ; ಕಿರುಹೊತ್ತಗೆ,,,,,,,
,,Boosting up the small savings,,ಸಣ್ಣ ಉಳಿತಾಯಗಳನ್ನು ಹೆಚ್ಚಿಸುವುದು,,,,,,,
,,Booth,,ಬೂತ್‌; ಕಟ್ಟೆ; ಮಳಿಗೆ,,,,,,,
,,Breach or non-performance of agreement,,ಒಪ್ಪಂದದ ಉಲ್ಲಂಘನೆ ಯಾ ಪಾಲಿಸದಿರುವಿಕೆ,,,,,,,
,,Break the deadlock,,ಬಿಕ್ಕಟ್ಟನ್ನು ಬಿಡಿಸು,,,,,,,
,,Budget,,ಬಜೆಟ್‌; ಮುಂಗಡ ಪತ್ರ ; ಆಯವ್ಯಯ ಪತ್ರ,,,,,,,
,,Budget allotment,,ಬಜಿಟ್‌ ಹಂಚಿಕೆ,,,,,,,
,,Budget compilation,,ಬಜೆಟ್‌ ಸಂಕಲನ,,,,,,,
,,Budget estimates,,ಬಜೆಟ್‌ ಅಂದಾಜುಗಳು,,,,,,,
,,Bumper,,ಸಮೃದ್ಧಿ; ಹುಲುಸು,,,,,,,
,,Calculation and recovery of tax,,ತೆರಿಗೆಯ ಗಣನೆ ಮತ್ತು ವಸೂಲಾತಿ,,,,,,,
,,Cambist,,1. (ಹಣ) ವಿನಿಮಯತಜ್ಞ 2.(ಹಣ) ವಿನಿಮಯ ಹುಂಡಿಗಳ ವ್ಯಾಪಾರಿ 3. (ಹಣ) ವಿನಿಮಯ ಕೈಪಿಡಿ,,,,,,,
,,Campaign,,ಆಂದೋಲನ; ಚಳವಳಿ,,,,,,,
,,Cancellation of main sub-agency,,ಮುಖ್ಯ ಉಪ ಏಜೆನ್ಸಿಯ ರದ್ದತಿ,,,,,,,
,,Cancellation of the nomination,,ನಾಮನಿರ್ದೇಶನದ ರದ್ದತಿ,,,,,,,
,,Cancels,,ನೋಡಿ - pair of cancels,,,,,,,
,,Canvass,,ಪ್ರಚಾರ ಮಾಡು,,,,,,,
,,Captioned cheque,,ಶಿರೋನಾಮೆ / ಶೀರ್ಷಿಕೆಯುಳ್ಳ ಚೆಕ್ಕು,,,,,,,
,,Captioned draft,,ಶಿರೋನಾಮೆ / ಶೀರ್ಷಿಕೆಯುಳ್ಳ ಡ್ರಾಫ್ಟು,,,,,,,
,,Caption of advertisement,,ಜಾಹೀರಾತಿನ ಶೀರ್ಷಿಕೆ,,,,,,,
,,Cases of rejected claims,,ತಳ್ಳಿ ಹಾಕಿದ ಹಕ್ಕೊತ್ತಾಯಗಳ ಪ್ರಕರಣಗಳು,,,,,,,
,,Cash value,,ನಗದು ಮಾಲ್ಯ,,,,,,,
,,Category classification of locations,,ಸ್ಥಳಗಳ ವಿಭಾಗ ವರ್ಗೀಕರಣ,,,,,,,
,,Caution notice,,ಎಚ್ಚರಿಕೆ ನೋಟೀಸು,,,,,,,
,,Ceiling limit,,ಗರಿಷ್ಠ ಪರಿಮಿತಿ,,,,,,,
,,Central acts,,ಕೇಂದ್ರ ಅಧಿನಿಯಮಗಳು,,,,,,,
,,Central advisory board (C.A.B.),,ಕೆಂದ್ರ ಸಲಹಾ ಮಂಡಳಿ (ಕೇಸಮಂ),,,,,,,
,,Central deposit head of accounts,,ಕೇಂದ್ರ ಠೇವಣಿ ಲೆಕ್ಕಶೀರ್ಷಿಕೆ,,,,,,,
,,Central govt securities,,ಕೇಂದ್ರ ಸರ್ಕಾರದ ಭದ್ರತಾ ಪತ್ರಗಳು,,,,,,,
,,Central registry,,ಕೇಂದ್ರ ದಾಖಲೆಗಳ ಕಚೇರಿ,,,,,,,
,,Central sales unit,,ಕೇಂದ್ರ ಮಾರಾಟ ಘಟಕ,,,,,,,
,,Central stamp stores,,ಕೇಂದ್ರ ಅಂಚೆ ಚೀಟಿ ಮಳಿಗೆ,,,,,,,
,,Central treasury rules,,ಕೇಂದ್ರ ಖಜಾನೆ ನಿಯಮಗಳು,,,,,,,
,,Certificate of deposit,,ಠೇವಣಾತಿ ಪ್ರಮಾಣಪತ್ರ,,,,,,,
,,Certificate of higher denomination,,ಅಧಿಕ ಮೌಲ್ಯದ ಪ್ರಮಾಣಪತ್ರ,,,,,,,
,,Certificate of the head of office,,ಕಚೇರಿಯ ಮುಖ್ಯಸ್ಥನ ಪ್ರಮಾಣಪತ್ರ,,,,,,,
,,Certificate registered,,ನೋಂದಾಯಿತ ಪ್ರಮಾಣಪತ್ರ,,,,,,,
,,Certification,,ಪ್ರಮಾಣೀಕರಣ / ಕ್ರೋಡೀಕರಣ,,,,,,,
,,Certified copies,,ಪ್ರಮಾಣೀಕೃತ ಪ್ರತಿಗಳು,,,,,,,
,,Change of nomination,,ನಾಮ ನಿರ್ದೇಶನದ ಬದಲಾವಣೆ,,,,,,,
,,Checked and found correct,,ತಾಳೆ ನೋಡಲಾಗಿದೆ ಮತ್ತು ಸರಿಯೆಂದು ಕಂಡುಬಂದಿದೆ.,,,,,,,
,,Check list,,ತಾಳೆ ನೋಡುವ ಪಟ್ಟಿ,,,,,,,
,,Cheque,,ಚೆಕ್ಕು ಹುಂಡಿ,,,,,,,
,,Cheque facility,,ಚೆಕ್‌ ಸೌಲಭ್ಯ,,,,,,,
,,Chit business,,ಚೀಟಿ ವ್ಯವಹಾರ,,,,,,,
,,Chit fund scheme,,ಚಿಟ್‌ಫಂಡ್‌ ಕಾರ್ಯಯೋಜನೆ,,,,,,,
,,Chit fund promoters,,ಚಿಟ್‌ ಫಂಡ್‌ ಪ್ರವರ್ತಕರು,,,,,,,
,,Chit of daily collection,,ದೈನಿಕ ಸಂಗ್ರಹದ ಚೀಟಿ,,,,,,,
,,Chit system,,ಚೀಟಿ ಪದ್ಧತಿ,,,,,,,
,,Chromatic printing,,ವರ್ಣ ಮುದ್ರಣ,,,,,,,
,,Chromograph,,ವರ್ಣಮುದ್ರಣ ಸಾಧನ; ಮಸಿಗೆ ಬದಲು ಅಸಿಲಿನ್‌ ರಂಗುಗಳನ್ನು ಜೆಲೆಟನ್ ಮೇಲೆ‌ ಹಚ್ಚಿ ಪ್ರತಿ ತೆಗೆಯುವ ಸಾಧನ,,,,,,,
,,Cine camera,,ಚಲನಚಿತ್ರ ಕ್ಯಾಮೆರಾ,,,,,,,
,,Cinema slides,,ಸಿನಿಮಾ ಸ್ಲೈಡುಗಳು,,,,,,,
,,Cinema slides with different colours,,ವಿವಿಧ ವರ್ಣಗಳ ಸಿನಿಮಾ ಸ್ಲೈಡುಗಳು,,,,,,,
,,Cine projector,,ಚಲನಚಿತ್ರ ಪ್ರಕ್ಷೇಪಕ,,,,,,,
,,Claim,,ಕ್ಲೇಮ್‌: 1. ಹಕ್ಕುಸಾಧಿಸು 2. ಹಕ್ಕುಸಾಧನೆ 3. ಬಾಧ್ಯತಾ ಪತ್ರ,,,,,,,
,,Claimant,,ಹಕ್ಕುದಾರ,,,,,,,
,,Claimant’s signature,,ಹಕ್ಕುದಾರನ ಸಹಿ,,,,,,,
,,Claim application,,ಹಕ್ಕುಸಾಧನೆ ಅರ್ಜಿ,,,,,,,
,,Claim form,,ಹಕ್ಕುಸಾಧನೆ ನಮೂನೆ,,,,,,,
,,Clandestine sale,,ಕಳ್ಳತನದ ಮಾರಾಟ,,,,,,,
,,Clause,,ಕಲಂ; ಖಂಡ,,,,,,,
,,Clerical mistakes,,ಲಿಪಿಕ ದೋಷಗಳು; ಬರವಣಿಗೆಯ ತಪ್ಪುಗಳು,,,,,,,
,,Clipping place,,ಕತ್ತರಿಸುವ ಸ್ಥಳ,,,,,,,
,,Coal mines provident fund,,ಕಲ್ಲಿದ್ದಲು ಗಣಿಗಳ ಭವಿಷ್ಯನಿಧಿ,,,,,,,
,,Code and notation of series,,ಶ್ರೇಣಿಗಳ ಸಂಕೇತ ಮತ್ತು ಅಂಕನ,,,,,,,
,,Code difference,,ಸಂಕೇತ ವ್ಯತ್ಯಾಸ,,,,,,,
,,Code list,,ಸಂಕೇತ ಪಟ್ಟ,,,,,,,
,,Code numbers,,ಸಂಕೇತ ಸಂಖ್ಯೆಗಳು,,,,,,,
,,Code secret,,ಸಂಕೇತ ರಹಸ್ಯ,,,,,,,
,,Collection charges,,ಸಂಗ್ರಹಣ ವೆಚ್ಚಗಳು,,,,,,,
,,Collection fee,,ಸಂಗ್ರಹಣ ಶುಲ್ಕ,,,,,,,
,,Collection of deposit,,ಠೇವಣಿ ಸಂಗ್ರಹ,,,,,,,
,,Collection progress,,ಸಂಗ್ರಹ ಪ್ರಗತಿ,,,,,,,
,,Collective time limit:,,ಸಮುಚ್ಚಯ ಕಾಲಮಿತಿ,,,,,,,
,,Collectors,,ಸಂಗ್ರಹಣಕಾರರು,,,,,,,
,,Commencement of sale,,ಮಾರಾಟದ ಪ್ರಾರಂಭ,,,,,,,
